x,y
7561,7440
8374,6566
6825,6912
9255,5602
8664,8492
4774,5102
5390,5808
11609,7550
6093,6101
7770,7788
3761,10443
8240,10116
5632,9217
4926,1530
8633,10146
11810,11392
8079,7533
8516,8216
13614,4413
3235,7745
1575,6508
7534,7944
6388,6999
2704,5844
13757,5045
5993,6300
2931,12988
1016,1376
8118,8042
9069,5583
3804,9467
6169,10746
6004,5544
6175,9569
6966,13388
8147,10251
4699,5994
7763,9794
5012,9314
11164,12416
12137,10845
8102,8129
9346,9311
9330,8580
6130,6820
11572,6554
12423,12261
9524,1831
8800,8149
4172,2998
7350,990
6251,9497
8954,9250
6676,6231
10357,9864
13344,3369
4688,11634
9027,5564
11430,1812
10967,1380
932,6298
6320,6688
3602,3561
8674,5506
4884,6011
6633,1056
7369,7761
6892,9104
8505,9835
8172,7632
6410,6242
6726,6246
6294,6366
7474,6746
4586,8024
10085,5000
7378,3832
7389,12263
1675,9251
5868,4938
4905,5168
6969,7459
3063,2342
1971,1767
6941,7920
5711,9166
8052,7506
6006,6262
5292,5064
9436,5498
6370,4657
7362,7288
8628,4297
7904,3487
6070,6293
8920,3847
3216,1638
11790,5846
3014,7397
8090,8497
5817,6220
6625,7007
5157,5600
1814,2526
8790,8194
8576,8797
9143,8442
6284,6838
12453,11142
10301,2630
3309,9208
11329,11408
12507,12902
12172,12224
6323,6182
5703,6165
3678,10448
5302,7532
7113,8085
12077,5195
1648,7122
4676,6774
5366,7603
8746,9741
8699,10766
14063,14585
6269,6161
5871,6193
7715,7638
11320,6518
11569,6487
11128,5558
5735,5224
12207,11774
7233,3435
12288,11453
4096,4570
8976,5670
11213,5989
3613,13363
4497,4952
6690,7583
4724,7483
11541,7550
10019,8383
8066,8552
11830,11157
6156,6307
8864,8780
8999,7329
2324,11976
11170,5095
10088,13808
14146,13550
4974,5946
7914,6616
8415,8874
1168,8074
9553,9613
5264,5418
2872,5058
4665,2070
5898,5578
10623,11707
11835,9815
3344,3062
2840,2458
8392,6427
2251,12077
10931,4352
6527,6512
8756,6445
8677,4614
10646,5439
6844,1641
6964,6640
9234,9526
1548,7476
7105,4576
3625,4140
8032,9989
1017,6997
1164,8983
6709,7272
6590,6868
12124,1380
13874,3778
6077,5123
10079,2390
7429,6848
11341,4842
7055,7875
6745,2763
13948,4794
7838,7894
6936,8119
8007,7856
8989,9136
12130,7737
6052,6302
10576,5210
6142,6130
8832,12880
2336,13240
5943,9325
10289,7627
1162,10818
1358,10885
774,10256
1585,11917
1206,10490
1161,5415
5712,5794
5850,5304
4879,4825
6928,1240
1688,7425
6567,8557
8018,5896
7169,1070
7053,4465
4527,1805
2950,3226
2466,2716
8628,8246
8020,7532
8827,7986
13573,7239
10000,9839
9560,9056
9912,9740
10901,13597
12924,12926
8032,7656
9176,8411
10173,12132
5104,2552
4730,7315
10094,6298
12648,11778
3830,11530
5132,8530
6033,3298
9431,5703
3434,8646
6949,7044
13436,3418
7044,4426
2544,6952
9638,4266
8569,8200
6302,6948
8384,7448
8538,8720
6897,6238
4374,12355
6842,11525
7224,9674
10519,10921
7148,10158
12089,13647
6148,6268
6499,6545
6550,6474
8333,4894
9284,1950
9009,7522
6712,4527
820,4663
7095,3701
7728,3600
8038,5586
819,1182
3701,9197
6199,6461
7340,7436
4593,5154
8205,8242
8650,4625
6800,2588
4052,4576
6997,3932
2987,2127
7009,6476
8356,8062
6168,6014
6158,6066
3265,9119
2472,3545
874,10535
2849,8213
7004,11575
4315,7239
9986,10232
8473,7880
13432,12664
8144,7316
6082,6682
11290,1638
6809,9276
8158,8472
4180,4132
3280,7742
6362,1116
8162,7493
7478,8013
7002,7322
1623,6798
6292,5836
8782,3696
6485,1159
9078,5505
10212,6928
7762,932
883,6046
5119,9212
6432,10088
7479,7116
9472,9370
12428,1962
1596,9624
1418,4723
7018,4767
8189,4887
7286,7204
8112,7369
6080,6649
2074,1610
6142,6795
7348,7891
6457,6721
6184,13699
8003,5852
6290,13829
7744,10898
8779,10005
837,9467
6804,13504
3626,9568
3118,3478
10626,3022
3339,10893
9300,5880
1811,12722
4763,9229
4001,9403
7184,922
2387,7643
5128,4708
6872,6942
2328,2672
8617,4638
13516,2885
11324,7124
8693,5152
9807,9258
11768,7448
8382,6163
10504,872
1611,11093
6102,8733
10632,4718
3979,11268
3618,7339
10015,10580
12760,11207
9014,9644
6282,8450
5197,1105
6985,11525
9700,2724
6387,6577
5921,6547
6274,6283
4044,13372
5774,9213
3684,4261
2274,4570
11196,1841
8184,6829
7461,5048
7774,4965
5193,9369
12986,2994
11676,9843
12948,12980
11372,7484
5924,5532
1617,10744
6139,6138
9840,5359
3051,10861
8241,1694
830,8973
5239,9225
7083,7286
7217,6876
13651,10161
12805,10711
11193,12203
10894,13541
8950,1128
3185,5171
2218,13530
9325,9074
1698,1306
13250,3236
2627,6660
10894,4780
3993,7776
12446,6247
11768,6754
13954,8889
9040,5516
6193,1542
9413,13014
6304,9266
12717,14029
11868,9321
6358,6680
7327,7432
6577,7011
3791,13116
8158,10327
6607,6517
7360,6340
4848,9753
7675,7936
12120,1261
7400,8744
3946,11300
4755,10305
6274,8056
10528,5810
9891,5631
6482,6860
14008,10986
6738,4834
7137,817
1134,6680
8292,8034
8412,9002
9298,1566
11562,1536
10817,1934
10208,4530
11916,2939
10415,3292
10637,3032
6279,6409
5396,9222
10450,10844
14037,9155
7278,10135
7130,6600
9114,5690
1080,10222
2483,11918
6381,8064
4814,6776
8215,5550
2211,4565
11892,6697
6456,7028
10283,4934
9898,910
5054,13820
7674,7229
9166,9199
5794,9445
3734,4960
1751,2412
10550,1550
7921,4864
7846,5784
7417,13390
6761,4894
8719,1270
9648,5827
8513,5819
7690,7247
7288,7140
11143,6699
8781,5755
13452,4368
8714,2154
2459,2061
3762,2105
7848,7519
4317,2323
7497,1065
8582,742
5956,8956
14032,11489
13493,3717
8412,7888
10095,10952
12440,5395
12179,12011
13385,11133
8609,12709
10945,5328
7087,3135
2051,3221
7203,7789
1938,1318
5224,1003
1512,2873
8308,8226
8000,9356
7480,8021
2271,13268
1268,11083
1300,10306
3160,11008
2317,5324
1427,4502
3742,4299
1028,6401
4866,4890
6304,6704
10590,5206
13892,7693
9954,9214
9166,8920
5292,11462
12637,5506
13532,2456
7996,7015
7471,7650
2310,2072
8591,8925
7980,6648
6798,6832
7330,7111
7936,6454
12063,3524
10288,8395
4539,1376
1466,1168
10502,3361
6182,9143
10448,10152
11252,5240
9860,1759
5130,5429
8507,8085
13466,8342
13554,6971
6922,7000
5392,9024
10926,13599
7942,8199
7072,6981
7862,7602
7269,7872
3189,959
11236,4079
6950,13641
10895,10512
14296,13766
1326,11449
8738,9721
13438,7066
8293,13718
1648,11889
2177,13429
4016,12414
7297,6236
6541,6745
13132,12502
8191,8155
7113,6154
3435,13188
1781,12021
3746,4682
5925,4020
6168,5856
6667,9832
2893,1886
7045,6793
4871,6135
4372,6003
2638,7400
8389,7745
9984,9154
10253,905
8192,8115
10256,2931
5307,6149
7064,8954
3378,7898
11650,6178
14028,6046
6270,13777
6390,6488
13643,8167
5023,5494
3364,6232
11318,6013
2961,1571
7026,6720
13271,2611
7657,7303
1165,10233
9546,1524
11888,3438
3376,8743
7899,8021
3860,6201
8256,6921
7838,6892
8682,4712
2235,970
3802,3896
11190,5772
7174,6536
13262,2678
4897,8440
5403,11408
8355,7838
7351,6759
8138,7108
7583,7269
6462,4861
5754,5024
7126,7824
8185,6674
2282,3112
3111,1873
4016,3628
1633,983
11253,1494
6091,1797
2432,8934
5537,5080
10133,7576
3171,6484
3297,2397
2048,11630
2056,13164
2027,12272
13364,4591
13992,5580
8277,7818
9171,5663
12114,8996
11010,12998
7562,7777
10228,7257
7017,4192
6372,4523
7893,7733
11523,6481
13458,3202
6300,8366
1246,8890
12546,12803
6966,6726
810,10802
4686,14011
1334,10397
4220,814
8203,8232
5139,13917
9535,6273
6308,2396
8629,8902
7815,8628
11058,11416
3295,12867
891,10690
1948,12498
2654,13393
11758,9668
1679,11537
11488,1922
11187,5401
8140,3493
12256,2443
5081,5490
7962,1170
5719,8784
3354,6286
1322,9692
7968,1972
1024,6518
5719,5474
3931,3798
8048,3460
2764,5601
10064,858
11472,4217
8255,5286
8800,6213
8309,7409
3757,6358
7577,7141
2280,9776
6141,3997
6878,4675
7659,9874
7779,964
2628,6478
8589,8261
8224,8456
7479,7616
9316,5788
8473,7802
8018,7054
890,9235
7024,12525
4552,7584
8110,6585
13690,8682
819,8018
11228,4094
4717,5996
9560,8916
12884,10613
11670,9782
8076,5172
10897,1585
7561,2453
6020,5848
3893,6113
6648,6782
6136,8846
8792,8054
13476,12647
6897,6764
3872,1572
2843,2528
2192,1128
2282,3269
2260,2167
1934,1895
5276,2123
8497,8490
6923,7103
1455,12300
7246,7010
6504,8136
12626,10998
10517,3447
2835,4691
5110,5725
6076,4347
10303,5042
5593,5567
4632,4296
5800,8717
13787,3226
7217,6770
4072,4656
12005,7585
4544,1794
2277,1297
6503,6659
7403,7702
8057,8234
11664,1423
12124,8274
3972,9458
6245,7040
8195,7906
6513,6546
7202,6996
8230,7881
2558,12988
9384,9118
10620,9956
11804,3904
13102,11786
12454,5441
8800,8689
7060,7311
8717,8467
10013,9713
9558,1189
10467,2877
11634,3974
8782,4506
10924,10325
8494,10145
6619,7115
7280,8678
7448,7412
4774,5322
6793,4047
6866,8106
7080,7272
6768,7634
9167,5752
2474,1204
6848,12775
8555,6556
12856,2604
6990,6996
7168,14074
6190,9588
8464,7997
11469,7084
4280,4409
7645,4910
7032,6436
12533,2813
4965,4948
14006,6255
11967,2109
7972,6691
9220,6247
4682,4242
6847,1330
5227,5892
12770,3012
7355,3794
945,1817
8097,7302
9810,9801
10151,5134
13406,8579
12075,8854
6658,1134
4408,6134
6892,4532
4709,1171
7259,7015
10310,1586
7140,6829
7869,9969
10251,8832
7639,5199
13383,4517
7710,8423
6392,8228
13888,8250
7659,11593
11401,4581
6260,3116
5246,5635
7179,7444
7934,8200
3186,7336
11959,6721
5194,6044
10004,7434
9071,7414
1188,10497
3270,13264
