x,y
8005,7692
7534,7395
8042,2024
7722,7322
8789,8564
9376,5824
7269,7065
11217,6018
9352,5592
7785,6933
7632,7164
7334,9079
6231,5793
1640,8846
3524,7706
1349,11167
8760,5514
5104,5278
5685,6410
4847,5147
13167,5065
1437,12217
8563,5866
8444,5626
6344,4623
6745,4782
6071,7287
8203,6605
4682,7106
1990,3631
8106,7000
6610,7398
10131,4468
13564,5108
7084,8162
10655,10940
8457,11459
7650,7586
11260,11267
11213,11324
11469,11945
11419,11948
8462,13947
13427,9816
11551,10901
11601,10889
12938,12792
13409,12093
13148,12456
12187,1506
8707,8354
3844,11266
6400,7089
10900,4363
2015,9732
2381,13053
11153,3277
8351,11638
2231,3149
8163,7527
1551,11232
5498,7555
7150,6744
7492,7854
5557,5826
11940,5259
13381,5464
13512,7070
9639,8936
7979,8391
6465,6435
7901,3465
8649,7824
11590,7218
10110,7370
3998,9229
6294,8863
3042,3326
4045,3391
5037,2974
7520,3197
9088,1200
9089,8359
8260,7586
12290,3016
9334,13667
13550,4189
13607,3141
8576,3589
7351,3209
7136,4654
8558,5384
10335,1710
3021,12684
8668,7774
7196,6639
976,9079
7640,7410
7500,7364
8022,8407
11512,4522
12309,1876
7486,8556
8812,8860
7609,8197
7444,7214
8913,8748
7287,7771
3980,3771
2329,2480
12469,6250
6591,7271
11282,4922
11453,6093
3538,13364
5534,5110
8217,7480
7495,7446
7573,2722
9793,3107
5371,7543
10680,3278
7750,7225
10167,9695
5230,13180
5360,13070
5206,8922
11571,5785
13070,2128
8467,8298
8484,6063
9462,2582
10859,11044
8051,13216
12614,12374
14012,12243
12093,13060
6933,6366
5805,6600
5686,6188
5420,6056
4814,6905
8912,9663
7789,7724
9196,8691
7099,4041
5476,6236
5366,6128
9262,5981
11568,10749
11131,5554
9020,5626
1644,8571
10444,10501
4064,4588
5695,8777
11047,7663
10416,5586
6921,8183
8578,11668
10669,11115
10890,10618
5735,12440
4053,13485
12007,11239
11570,1007
1254,10257
13509,2762
6604,7502
3426,6802
2898,3846
14071,7941
12208,7967
13732,9061
9943,7457
9670,11721
10789,10593
13214,12432
7094,6700
8699,8580
8892,11437
10690,5573
10722,5469
12028,12764
14078,13522
6058,6721
8154,8293
8547,8390
930,7755
4836,5646
4987,5923
2833,5817
4611,7001
4977,5206
2495,2979
6035,10060
6038,10234
9260,1963
11398,4520
12232,9175
1588,1084
2562,1761
8913,5603
7907,2351
8124,3454
6510,6670
9476,9950
5513,5356
6270,4430
3421,6722
1472,872
9773,2458
11642,1306
11708,1721
11458,3801
9776,2508
8333,1160
7851,8397
7654,8136
13850,4818
7929,7673
8500,7641
8032,8313
13412,2742
12370,2123
14148,5344
10006,7324
6957,8216
8638,8372
10184,7066
4771,6238
2883,2162
5687,1121
1669,9065
9096,9026
10361,8700
7876,8268
9249,8574
10807,10894
10694,10288
10975,10622
11165,10826
12698,12563
12836,12645
7637,11578
12882,12984
14376,14355
1430,7987
6050,5904
5758,5828
3319,8326
1948,1207
5231,7661
7921,1399
4325,2394
2825,3554
2495,2424
6603,6399
6445,6862
13377,10450
10984,10836
10708,12758
7480,7329
1067,11863
9614,8997
6952,7370
5945,6049
9363,3550
10519,867
6313,6007
13514,3359
12353,2308
10383,2988
6160,6419
1632,7180
1620,7360
5295,3267
4659,2972
5130,2475
2004,1977
1931,2699
2464,2083
6971,7861
5628,13699
13690,3346
13950,4042
6352,6264
12935,2041
1027,11682
6410,7066
6468,9603
6474,9446
9876,9974
12137,4956
6679,4589
5980,3952
6260,6728
5095,8427
6914,13284
8993,9823
6344,11172
10223,10880
8302,12010
12096,13533
12340,1362
12766,1818
5918,1378
5074,1515
2243,9561
8130,5540
1524,2462
12773,2989
12019,2069
8411,7920
7504,6825
7268,7194
8808,1281
8694,2159
9197,2423
7326,4707
6752,6299
6159,6079
7870,7651
8212,7724
8123,7167
2410,2582
2825,3439
3787,13713
1025,9939
1757,11305
1192,9382
11232,1082
7424,1148
9425,1236
4235,7439
8574,8507
5994,4370
9334,8916
844,7706
9742,1176
2781,5998
8183,7050
4670,10317
9550,5412
9907,4341
8246,7296
8211,1028
8251,856
10128,6876
10257,3273
5145,9268
12996,3454
8232,7811
8136,7107
1310,8383
1148,5306
6888,6836
2145,12752
8036,7045
9742,5914
7497,5016
9531,6006
9656,6315
10364,872
9460,1141
8236,5606
7856,5439
7550,5107
3548,3983
2886,5505
2655,5792
7044,6152
11472,3069
6125,6255
5271,4787
1648,11380
981,8347
3032,5318
4920,5468
5746,5745
4735,5225
1946,2643
7427,5955
9701,9392
6736,13403
8001,8365
6696,4779
9566,1732
13632,4598
3076,5358
9388,5596
8947,4340
6507,7068
8602,6400
14064,7087
7762,5721
5880,4972
13450,6727
8222,1219
10742,1781
11806,2622
10536,4858
8563,7992
5069,12427
7012,13235
7431,6358
9980,7264
8657,8433
12730,13463
14212,13648
8438,1657
5872,9288
6079,8683
11327,6248
11336,4399
9966,2476
10939,3677
3710,7131
12437,1859
10056,10352
10529,11198
13181,12465
3703,13352
11299,5281
11372,5468
13635,6504
5384,9214
9237,9387
12551,11750
12581,12651
5606,6409
2756,6658
2767,6563
1563,3449
