x,y
8864,8652
1743,13031
8224,7833
2178,13060
11236,11692
11742,11249
10989,11927
10831,3598
3508,8934
6908,9613
1220,6493
5874,8557
1936,12176
3815,10365
4074,11371
3051,12638
8277,5254
10188,6982
11704,10935
11795,9919
8441,5532
8312,5665
1062,11579
2642,3924
2861,6010
4062,13999
11766,4220
3583,13145
9031,8333
10906,4796
6858,4374
2205,12387
4051,12918
4798,13729
6007,13505
6892,12636
2517,9846
8412,6441
13621,7470
12623,5046
3140,10722
13426,8018
13939,7046
11200,5327
1300,8626
6410,8685
5475,12956
6844,14002
9983,7931
10783,11406
6116,6814
2291,12347
3423,12912
3837,9302
1374,7317
5684,4946
7972,1908
7683,7491
7227,2886
1039,2327
5162,11587
881,5939
1257,9183
9224,8668
5334,5094
5926,5201
13034,1973
10815,969
10642,11988
1551,11777
1377,10764
1148,10598
3406,8819
7499,13465
1262,12620
3442,8388
2912,9253
7801,7588
1185,7911
2389,1450
4394,1748
5354,13188
3873,13255
4520,11765
8595,13433
13133,8267
9693,9091
2460,12347
7999,13787
6568,9372
6752,9515
8034,13841
7960,7094
6049,10669
4666,7299
9529,9647
2126,12930
3989,13560
12372,1258
950,10880
1635,7351
1418,6279
2589,2083
9112,8402
2751,7030
8692,8638
12064,2417
11775,7071
7019,9197
10900,10673
8046,9680
3493,13325
1363,10697
2496,8749
11114,5748
10788,1391
9478,1056
2113,12444
7185,7063
9324,5703
4253,11934
4477,13311
7487,10029
8450,5737
8000,5724
8343,3627
7693,3240
1507,12928
4440,13497
2123,12908
4837,10849
5366,10572
10278,9600
12702,12014
8282,10304
2750,13101
10468,5216
13194,3651
6244,6313
6316,9266
4486,14051
1248,12246
2114,11634
3369,6698
869,10784
4093,12810
5051,10790
4820,10027
8861,8731
1332,6069
6337,6706
6089,5798
4220,3274
11618,6806
3312,13502
11832,9940
11831,8946
9405,13001
5877,4946
6291,3224
10347,4738
6895,1119
1209,10630
3120,8036
3595,7894
1682,4745
9293,2132
4923,1014
4565,7288
8124,1543
8399,1242
7710,898
10239,1463
4621,5266
1191,11497
9846,5561
11299,5495
5214,10473
4039,1736
4322,4111
4454,3967
2878,6255
12028,2929
13687,8159
8518,13579
9573,4586
3649,12905
6767,7014
1511,10782
7741,8314
5960,6639
10859,1596
9259,1979
2310,3200
2361,13418
2925,11857
1938,12371
1332,6151
11864,1999
7565,7865
3678,10871
12860,9363
2546,12335
7320,6952
11872,3731
8441,14130
10740,2071
1680,9529
1092,8621
4614,6824
3527,11636
2803,12347
1215,4884
12141,1785
6870,8292
1502,3395
1566,12238
5376,9218
5475,5529
5962,6041
1080,10534
1503,10693
1081,11057
2731,12241
1285,8417
1284,4936
3482,12944
8654,5562
5035,9345
11725,3852
7578,13948
1691,11126
1502,10507
4306,13508
9234,8547
9325,9456
4178,13050
7300,11593
7663,13370
8757,8114
8270,7634
10306,7945
11984,12691
4153,13513
7041,13793
10700,13203
10307,13931
14009,8299
13891,8433
2434,12572
1515,11264
3534,13195
7090,4452
5938,4406
3500,12982
5781,12952
13709,3813
10628,2762
9698,9803
6725,6319
2865,13359
1771,13059
1955,11973
13488,5950
12545,2029
12932,1771
1379,10366
8062,5269
4530,4768
12928,3470
7098,4604
7136,3996
6895,8999
9764,4419
7892,13664
2187,11912
4322,14038
1861,11857
2240,12521
1754,10333
1455,11666
3534,13511
1508,7814
2344,5432
7860,3382
7761,3417
4411,9985
3812,9816
8334,11820
1715,11363
3412,13428
4311,13707
5421,13909
5884,9399
9699,11278
8098,8594
8119,7438
6599,6198
6330,5830
3431,10898
3711,10284
12415,7411
13922,3624
4850,10273
6445,6983
13946,5675
4516,13747
4699,13879
8209,7110
12869,12761
6367,6411
11724,2103
7849,6801
9678,4171
1204,11272
2433,13426
3818,13565
2335,13414
7368,7188
10056,8795
4696,6520
6257,11155
3510,2959
13828,3330
5900,7129
12050,9316
11669,9550
12381,11374
11457,1605
12680,2332
10147,829
10190,10259
8460,8753
1439,12534
1443,10879
1338,5627
1256,7182
1623,6561
5809,5657
3133,3701
2681,2355
3994,970
4043,979
4595,1332
8757,1162
12645,12025
10378,12005
3040,13368
1185,11341
11761,4177
11811,5991
8328,855
9355,1144
7826,7438
7449,5925
6014,4332
6225,3177
6698,13906
8413,13576
8993,13712
6617,7386
13648,3164
1559,11752
6759,6803
10286,1077
955,11018
5705,12809
6032,3486
4079,1102
6990,9914
991,11163
2641,11750
1836,11288
10797,2100
8078,3480
2263,7564
3324,8423
3938,3697
950,4158
1557,4052
2334,9420
5918,7297
1963,11619
13390,2530
11349,1253
10606,2499
3326,10485
5489,6129
4069,4212
3860,3132
4938,9398
886,10781
4544,13900
2902,13504
10310,7358
10042,6116
9992,5460
9960,6642
9980,6446
10414,13895
11771,3459
13614,4891
739,8166
6036,4935
2470,9380
7292,5007
3633,11224
11543,4296
1603,5614
3475,1619
2373,1386
7746,7072
8206,7507
6419,8676
2520,9945
7360,4910
5211,5686
2849,793
7289,7313
8373,5327
1824,11877
1029,10276
1400,7938
1746,4408
7105,7401
10202,10484
8689,5432
12053,1754
2741,13298
8909,1677
8369,1433
4638,5112
12321,2053
6983,14081
10794,1495
3523,3202
5286,5319
4723,7952
4910,7975
11057,1224
12543,1965
5868,5655
5389,8981
2064,9803
6247,2204
2755,7288
12156,2248
3641,10380
3996,13523
924,10854
2036,2650
3098,2998
3759,2970
10563,2727
3328,12927
11670,2173
11360,1759
13798,5922
11052,4771
11099,5315
11092,5574
7985,8192
13447,6121
11479,7975
8924,8773
8942,11096
10285,10120
11838,7224
7554,6777
7845,7600
4298,11868
8079,10193
7083,9915
6447,9445
5309,5838
6435,6659
6560,6658
6076,7188
13277,6964
13366,2934
2778,11629
6910,4846
6094,13829
4033,4201
3145,13646
1405,10064
6519,6889
1771,11292
13060,6882
12287,5093
1418,12078
7986,1458
2071,12082
1452,11358
13227,3422
13015,3551
11252,1573
6795,1665
6897,1279
9436,4462
3842,3565
6431,6515
3452,4089
10944,3697
3746,13429
3350,13565
3145,7725
5637,5707
6289,6899
4546,12018
12248,8429
13332,3304
1696,12010
4114,13550
1650,11924
9955,9944
5906,8728
2796,13346
7945,13576
9679,10262
8780,6522
5504,5418
6258,6831
13991,7142
10888,2664
5121,7848
13787,4133
10279,5750
8963,7324
10316,7921
8641,8818
2368,12484
3199,13523
3043,13678
4607,14052
7500,11513
7782,6746
10074,5292
8480,4795
4488,6309
10001,5134
4570,4636
6797,13888
1493,11841
2235,11944
7714,7844
