x,y
13292,4308
13497,3653
13654,4838
13429,5673
1856,13166
12027,8978
11425,7687
11368,7590
11010,12430
7475,11499
8819,8998
10234,6866
9989,9208
8270,1346
13992,4403
13876,3640
10108,4816
11742,7020
10512,1139
13913,12211
14184,12022
14052,13764
12401,1440
11510,1080
11454,5623
10777,11349
12724,11176
13801,3256
10020,1546
5172,10496
7574,7072
6277,803
4877,1610
4359,939
1273,1925
1533,7122
560,1325
13424,2630
13082,3543
14046,6818
7260,6789
13890,3697
12129,1283
11536,4325
11894,1365
13414,4576
13940,4104
8881,8725
8779,8821
8615,8686
8959,9925
8914,9114
10682,10438
11014,10925
10080,10708
13645,10176
14226,12075
13832,11980
10433,861
6955,7472
7483,5070
9091,8337
9148,8478
1209,6296
1164,7012
1879,5509
830,3274
2271,2041
12421,2063
8903,8700
2833,1941
11178,1952
11468,1103
10283,901
10595,1518
6292,912
4654,4593
2821,2239
2971,1936
12123,1805
12072,2426
10443,2885
7662,7080
1540,2771
13665,2938
12757,1965
9971,6771
13450,10585
3810,1190
3939,10130
9652,1565
9848,2559
4084,12402
10274,5716
4972,13484
5634,13442
3508,10727
4298,10227
5713,12893
7443,14047
8591,12785
11844,12063
12337,11600
13436,12431
13851,12563
9528,3323
13242,2382
10082,10642
8418,13748
13952,6643
13686,7088
10126,5679
14057,8687
8246,7458
1127,10923
1881,12693
1559,11469
1756,11430
1799,4045
6091,6503
3406,4243
11014,4606
10979,5515
1133,662
13538,3658
14102,4886
13646,12462
9943,5142
6004,5806
7199,13354
4856,8372
3694,1517
2660,1474
11724,1254
12231,2223
7123,907
9010,1326
8326,1104
6106,4860
5763,3805
6188,4171
6553,2724
5517,5728
4783,4957
6821,5588
7904,5124
5700,5714
4161,2419
13366,3354
14080,4606
12476,2212
13666,4873
14110,7513
13107,2167
13464,3660
9297,6294
8662,5376
5979,7163
7093,7452
10760,10729
12307,11222
12852,11191
13773,10720
14269,14047
13120,2600
13130,2742
13313,2408
12557,2853
9654,942
7668,13331
8427,3731
10794,10653
5405,5651
7142,7294
3157,3656
10633,1282
13075,1946
13389,3326
13585,4479
11864,6853
3059,3392
3178,2379
4075,9622
7629,4940
13816,3590
12732,2973
13332,2386
13668,3231
13956,5490
12144,1748
13317,4871
14058,5087
7463,7276
6840,7201
8786,8734
9699,9186
10991,4424
8883,8619
12785,3134
13388,2558
11819,3571
9682,5318
5817,6220
7134,7186
2048,3221
11292,3368
6486,9133
8472,8456
9542,11471
11624,10829
12063,11366
13100,13605
13202,4876
13238,5093
9526,12888
9986,9269
9733,9190
13593,3325
13675,4485
14038,4633
13778,7474
13505,8383
12230,8538
9987,9991
10231,10397
8692,4653
9574,5586
2033,4337
12147,9230
12368,7684
3980,4370
5771,9390
3184,3876
13688,3896
9422,4158
8229,7423
8492,6386
7894,6891
6086,4936
9594,6089
11943,2710
12229,1694
10033,1436
6376,772
6781,7331
6243,6313
4929,5240
5285,5181
8634,9826
14017,4492
14078,4359
12806,3364
9370,2329
13788,4728
13881,7008
11182,11767
8835,8706
7057,9234
7575,8485
4782,10222
12251,12658
12838,12616
13430,9208
14198,13636
9683,3434
7179,3354
13635,3750
12910,1966
13047,3268
12088,2167
12159,2329
6790,3105
6808,2835
5174,6010
3285,7365
4856,7084
8770,4774
10863,3558
8836,4900
4082,4872
5150,1427
1556,3542
7288,3437
986,5614
3401,3116
1485,7465
2200,1260
2078,863
12996,3626
8153,1539
5740,3847
3862,2781
12588,2853
12299,5326
10048,4937
6181,6337
5638,5844
6247,6377
5659,5013
2772,8156
4537,5926
13707,10172
7146,9103
7779,10105
13917,4842
13708,3212
12519,5145
13074,7498
8692,4924
13766,3538
11331,4111
13620,7042
13605,4368
6138,9058
10033,5024
7943,5343
3082,9561
8390,7499
4518,14056
1696,12696
3388,13008
1026,11021
2369,12674
2949,9417
7870,7834
8154,8338
11859,1417
11764,2535
2780,7347
2941,7482
11512,5674
12663,2579
10750,2099
7326,12469
10073,12201
4145,12956
11523,5659
13818,14247
13290,2986
3495,5018
13857,7061
13562,3294
13597,10017
13535,8238
10443,7688
9842,7325
10126,10382
5949,6169
7035,6636
5635,5852
10402,5444
10746,5176
3615,4045
13542,3728
13485,3883
13341,4701
9040,8285
2286,3963
8292,7853
4078,4355
14067,4461
8801,1287
5910,8872
7240,3879
4914,10284
7769,8063
10778,881
10787,1053
3876,7384
820,4663
4628,794
8917,4567
819,1182
3168,9412
2176,1640
12888,1792
12712,1570
3605,3362
13265,3419
13698,3946
11522,1957
9158,1276
10227,1295
14009,4599
13334,3502
13402,4006
8882,8964
13367,3653
13216,6251
13593,7591
7948,7764
7724,7507
7834,9956
7718,10272
7826,10902
8644,6451
11807,5644
8323,1599
12164,2488
9778,5471
9513,6196
7646,11702
7844,10561
13439,3416
13250,2268
13625,5198
14001,4686
10899,1952
13111,4599
14207,11198
6464,11262
13838,5852
5653,8935
6403,9420
10266,11072
13952,10596
9309,9863
7649,11078
10840,11224
4084,4610
9968,1306
10666,879
9372,808
10525,1182
9854,880
3984,4789
4468,4276
5947,3440
4903,953
2775,2636
3036,2474
13642,4473
12290,2182
13480,8713
5352,13340
1501,12809
1318,12644
11024,11602
9757,13978
12831,7591
8886,7741
3939,13679
2824,5348
1730,4347
692,1755
990,1803
13871,3884
12968,2058
13953,3927
12866,5327
3627,6247
9649,9167
1291,7922
10746,11380
10005,10722
9858,7315
8857,7474
9248,7436
5893,10416
5343,10638
12991,11317
12845,12478
12289,2442
12644,2274
11918,1661
10729,1390
8139,6986
10424,3310
10882,5288
6456,6378
6753,7390
9739,10251
9772,10296
7392,7006
3837,3876
11478,7526
11204,13021
13378,6831
12112,1754
5050,8528
7736,7461
8745,10402
13316,3899
11022,1658
13018,2197
13509,2959
9168,9092
8302,8536
10049,10246
11136,10628
13626,13394
13423,13976
14136,14033
11270,1835
13640,3811
10954,3414
13676,4007
7378,7836
10911,1667
9771,1209
5596,7450
5642,3506
10391,863
10642,3010
12042,2052
11990,1908
11983,2024
10819,1182
12732,1911
11641,2072
10772,1104
7472,3747
4643,977
5571,5533
6037,4523
11122,5006
2903,1923
13370,3407
10106,4397
13498,2920
8982,1059
4565,7255
7145,3983
4622,10329
2272,2888
5968,10828
7594,7044
1599,1126
10202,1019
10621,1804
11766,1557
10293,1159
11251,1816
10725,1065
12644,2606
5993,6245
10780,922
12793,3262
13066,3828
10245,9583
10632,10921
9026,10728
13225,11769
1260,6506
8561,2639
7805,1580
6011,8638
10706,5168
4719,4794
9993,1446
12603,2053
12566,1826
13625,3202
14049,4967
13195,2484
13397,2941
13823,4034
11205,5755
10133,10156
10199,9939
11427,1820
12543,3097
13704,4018
13269,4633
10350,9834
12189,2399
13167,3897
6168,1075
9781,1285
9566,1643
9327,2262
11215,7761
13571,13808
11597,4316
10399,7482
14123,12655
12337,11821
14114,14113
14079,6848
13364,12756
12642,2946
13339,6962
14035,11108
13631,10386
14095,9501
14006,10959
12809,11568
13782,13714
13571,4097
13832,4806
13289,4971
12573,1701
13758,9434
14088,9552
13557,8708
9978,5829
9489,5388
13065,2950
12111,2162
11887,2893
10338,5604
3223,2310
5083,784
12225,1735
10322,1562
13571,7527
7250,6883
5971,6232
6144,773
6609,1684
10570,10180
4068,4526
3534,10840
14072,4508
13928,3754
9980,1574
9650,3135
14119,4777
11743,9520
11596,1654
10732,948
9750,9971
11838,11302
12928,13484
10828,11593
9544,11474
13745,2962
13776,3150
13827,3264
3496,9823
10316,10252
13910,10353
7795,4827
13852,8608
14050,4575
14106,4492
6469,7142
4583,13420
10433,4745
13881,8062
6343,8220
14006,11617
13954,12915
12859,2321
12645,3021
13220,4444
13137,5656
10331,1137
12940,9555
12412,13259
1149,11250
3099,13657
1399,12469
992,10072
6390,1440
6831,1133
1452,7244
1241,7559
3391,951
2983,1682
880,469
12248,1581
11653,2690
13196,4101
13199,2685
12578,5537
11340,5077
6898,7233
8615,4811
9014,8346
10774,10456
11311,977
10857,1132
12336,2650
11771,2025
10198,1343
7582,1602
8022,4258
6710,6856
6381,8064
4794,7604
4814,6776
754,7851
1061,6755
526,3458
815,3037
12257,1934
9741,1530
4021,11366
9799,9372
6561,3028
7585,864
6044,1449
841,10515
1105,11041
13024,2059
10825,998
11225,1448
8176,8645
1505,6031
11948,7406
7368,8937
10628,10435
5224,6038
9883,11325
7828,9950
7491,11081
12204,2324
13538,4476
5868,5546
5890,5411
9017,8282
7271,4935
8534,4727
4038,10337
10119,1589
10177,1342
13451,2941
11755,2233
7932,874
13384,3971
8348,2060
2104,1449
12069,1568
11511,1414
12841,2750
6475,13828
9886,10253
11485,11261
11694,12619
13098,13665
13380,14202
12894,1789
5865,5503
1580,12426
13215,2672
13093,3016
13435,2511
13026,6978
12640,3215
11677,1660
11987,13212
11479,11399
10711,2525
7856,6974
11005,2069
10377,5118
3711,9892
3674,10746
11811,10800
11354,11735
13722,3268
13130,2949
12974,1944
12873,2545
7471,7650
8976,8928
9830,9104
11334,10664
11167,4879
1731,1104
8074,1703
13253,3644
10944,2165
12358,2641
6873,1046
10874,2188
9278,8548
8370,7449
4987,5275
9544,5769
8416,10205
3878,4481
7714,1671
2596,2195
13042,2842
13063,3078
13649,4292
13988,3841
13801,5055
13465,3561
12827,2784
13099,7447
13886,8278
13636,8287
13756,9613
13930,8297
13813,9060
13481,9748
13783,10473
13777,12352
13729,12803
13801,13825
14042,14226
14292,14046
8775,6671
11029,1543
6685,6186
11022,998
9261,1315
12860,1904
12693,1488
11002,1763
11113,1150
8563,8247
8132,7500
11782,3916
8809,8643
3790,9578
3401,8839
6194,6277
11319,1633
13274,2282
5890,5610
9832,1382
11092,1818
8908,1034
11267,7094
2467,8446
3007,7972
2774,8186
4813,13318
11419,4783
12895,13113
12882,12933
13853,3919
10264,6649
6338,1763
13185,3007
10978,1194
10444,1184
13724,3640
10867,3295
13306,3514
14028,3931
10086,2985
7314,1463
9266,5511
8666,5364
7444,4935
3662,3887
3951,1057
3802,3796
13650,6875
5501,9024
6575,7635
8248,7328
9572,833
11247,5185
11517,1987
14119,4912
12673,3082
7172,9587
6894,8933
7689,8212
4641,9999
6583,9411
9679,5848
7040,6177
5895,7481
9317,9917
1374,8047
3018,10505
8906,8815
7488,7793
14123,4614
14018,4982
8396,6520
8991,8232
8814,8148
2955,13150
6090,5623
3913,10140
10287,8421
10361,1429
11536,7162
5287,4788
4904,13206
5371,13404
9269,7431
11185,1702
13388,3558
10064,1076
12544,5290
12253,4850
12962,1842
10585,1180
12038,1205
11651,1079
8414,947
11216,1126
8661,1341
780,7064
