x,y
5688,8917
6350,2393
7141,6941
5992,6910
6058,6757
6557,7242
4377,4938
10714,3624
11289,3395
7051,4186
9210,8566
5242,11456
8964,10719
7511,6783
12012,9542
12870,10434
11804,10690
13077,11203
9530,11757
8907,11136
12752,11824
11125,10721
8206,8062
13858,9790
8525,986
3905,13494
11019,1775
5719,7582
3643,9533
13325,4281
6846,6836
6362,6508
7779,7212
13480,6787
13392,7980
10575,9952
8913,7797
7733,10014
8344,8819
8454,5500
9322,1440
6924,758
6472,6365
12199,2439
843,10386
7217,9112
7500,4910
7582,7231
12545,2006
9940,9273
10850,3489
13600,9542
8199,10102
8066,10120
5544,5817
7517,6752
7536,7293
4121,9538
4220,4770
5823,7288
10252,1531
3284,2044
3245,7120
2922,7660
2870,5818
4214,4450
7119,6779
12836,3263
7629,7599
6507,6455
1537,12860
1734,7039
4110,4455
13241,2619
9910,5994
6519,7925
6524,7185
7208,3169
6126,4894
8320,4828
5617,4945
6475,3211
1828,2113
14023,7107
13280,6055
9586,4409
11864,5514
11468,6471
11255,6037
8575,7803
8341,7811
13438,5855
11665,7508
10467,10189
13123,7335
9067,11371
12195,8818
5016,9207
11069,5626
11928,2257
13181,2962
6807,8003
12277,3080
13549,3773
7516,7498
8503,8214
8814,8268
8071,8314
8473,11464
7699,5224
12013,7704
7166,9896
13895,11291
10209,8820
11240,12281
8516,8140
3462,11648
1279,7569
2779,12713
6940,7981
8074,4730
9591,10011
8636,8364
9080,8460
6296,5886
6380,6281
6233,2253
10704,886
8157,8484
8104,7078
4491,5179
10167,7680
10837,9910
1524,12524
9146,9857
8508,10052
10922,13852
3857,11580
6455,6786
6806,7755
9960,1300
6322,4602
3940,1645
8604,8621
7243,7268
10401,9898
8612,4996
8583,4928
6895,3782
6838,7808
9925,5234
5941,5698
4724,4821
8103,6414
7522,13881
4146,4954
10263,10547
11986,10842
11386,11518
10640,896
3537,8902
10190,11122
9607,10019
7046,7359
8365,7953
13076,7542
8220,10286
7774,8398
4255,4374
6938,6733
3837,3178
3921,3301
2584,2146
3688,7034
7034,6386
12616,3215
7678,5197
8087,5219
8628,7514
11286,3715
3253,4249
2431,3271
3835,2208
7587,8165
7515,7722
10094,1101
5886,5754
5111,5189
4354,4836
7222,4552
7390,4868
2539,3069
14031,4262
12905,2633
8348,7637
8258,8423
10927,4433
6370,8152
9995,11997
5122,9332
8328,7734
7499,5167
6493,4782
7761,7242
7512,7514
7204,6755
7451,3052
8020,3510
851,10180
4238,7206
10574,11370
5160,7583
9037,1474
5443,10373
7052,7977
3270,3512
10164,2363
2283,8241
13532,12892
13270,12641
5254,5780
3287,4385
6551,6117
8109,1608
8092,1998
7510,8646
3005,4137
6258,6562
10092,5102
6011,6514
6658,7518
5537,5656
4350,12620
4771,3618
11264,8288
8024,7526
8866,8223
11680,6122
8359,8711
12215,8925
9984,10095
10502,10203
9112,9110
8770,7513
10706,11162
7324,8961
11831,10500
12732,12576
12824,13110
12042,11589
8988,8238
11696,1777
11643,1750
13420,3451
11832,2058
11922,2331
10119,10316
12108,12919
9755,937
6772,6732
10066,1506
9722,1690
10230,1359
1114,2945
2222,12018
8840,3444
7212,7288
9356,9918
9954,9214
3704,11126
2082,9516
4926,5933
9507,1498
1897,7695
5870,3519
8996,8732
12510,12929
5878,6685
11299,1074
1456,11174
3599,8614
7686,8286
9930,9186
8907,12980
8437,7518
5381,4830
6591,6374
7932,5289
8435,4844
12546,10845
6488,9430
14284,14182
4357,13600
7272,11537
4805,13569
10227,13702
10809,10645
11304,11241
8591,8178
8075,7149
7163,7652
3025,11255
8961,8179
7583,5129
5335,5614
8170,7884
7544,7028
8593,8354
3534,11687
7188,13388
7551,11150
7849,13815
9947,11823
9355,13433
10904,10562
6797,11482
14181,10946
7279,4713
9837,3931
13935,4711
9740,5664
7613,6697
7422,5908
11839,2285
10406,12335
3977,7334
1529,7700
4187,9986
2800,12598
2602,11905
954,10779
1508,10537
11428,6318
8603,4102
5192,1462
8618,4565
10221,2628
798,8116
3372,3462
1881,1277
