x,y
2006,12216
1673,7253
9956,5351
9550,9212
4533,10098
9840,6995
9395,9611
9910,11079
5690,9220
7357,7622
6246,9613
13920,3583
8961,2176
7536,7293
8444,3531
12038,2574
7188,2740
4220,4770
5694,8691
2046,735
2922,7660
9586,4409
6074,6715
11468,6471
11985,5156
13494,6370
11665,7508
13086,7624
6896,9824
8858,13444
12244,13110
8874,2203
6562,9586
12809,3098
8772,8160
8830,8196
10109,10013
8531,6108
10952,5410
3998,13833
9688,10248
11632,12295
4314,11875
11633,2070
6758,7794
8659,4723
3128,8105
3427,13601
3431,8279
7991,1860
4774,5347
3487,5147
1846,2033
2906,12427
5920,5980
10633,1282
9383,9082
7493,8926
8929,9868
8701,9631
6986,6840
9030,5836
4068,4694
3186,7656
7650,2578
3596,9125
6607,6363
7629,4940
11414,6292
10430,10434
13298,12808
6683,11424
9741,5362
10777,4977
5244,10540
9587,4385
3711,1812
9362,1804
5353,1337
1893,9408
2535,3198
12315,2830
8696,8332
8614,13068
10196,6744
2719,7245
5447,10382
13862,13622
3958,12737
12575,1592
8961,8179
10972,13335
8537,10442
5077,8587
7544,7028
5418,6082
3655,4856
8315,10124
9522,5708
9083,5757
4968,9043
13826,3547
8894,8690
6882,6572
5848,8430
4172,4772
3673,9435
3548,1821
9132,5480
4829,3825
10530,5232
840,6390
3151,5327
13962,6448
9659,4622
9543,6037
13380,5457
10662,5058
4882,4374
1334,7066
12324,5110
8600,4566
5887,6201
3148,12870
4622,9334
6612,1386
7192,6638
895,7066
5757,3764
10910,10513
2986,12966
9515,10143
9938,6882
12618,5795
13101,7855
11762,11818
12019,1258
5080,10530
9100,5680
5693,4993
3454,10840
4665,10504
9854,6474
7259,5092
6720,3025
3076,7577
3584,13128
4063,10210
5653,6089
3601,8571
7754,10383
8438,7773
8387,5499
13272,2967
1021,11793
9559,2621
4824,8098
5585,5579
7628,7794
4596,6753
8146,5039
2389,9174
8324,10396
2402,1586
9045,1280
7845,9587
1295,8491
3438,2322
1357,9969
5780,5140
6912,4868
8311,5744
9364,8760
9411,11344
10505,10098
6118,10541
12032,10386
5088,8557
13756,4632
5867,5084
6250,2521
6502,6902
6667,4219
3459,6945
1094,10319
3819,2865
1351,2208
3930,1672
11170,1912
12252,2245
2002,5048
4062,1989
4498,9338
