x,y
9374,8699
9602,9390
13158,2423
2276,11725
4388,14030
9932,6320
9094,9334
4974,10860
8538,8373
10352,10729
6682,7018
7817,7897
6317,6926
7376,8011
10616,1270
6960,8304
12707,2844
13283,2662
8209,1092
13132,2759
6047,6525
4723,4793
8088,9888
10603,5392
9874,5646
11632,8172
11902,6756
13863,8817
8647,5946
9459,12619
10065,7602
11475,7523
2994,12490
2945,9877
4554,13488
7145,7554
6404,6320
12864,1765
4519,1128
1034,4310
4408,9764
6127,9216
8076,7809
11021,1372
5920,6659
8284,8340
7587,9923
6909,6941
6657,13317
13762,7763
2825,2435
1086,12265
13496,10616
12818,12999
10304,2694
12894,2552
1299,11034
915,11248
6814,6258
8562,935
4817,5489
8730,5423
1179,10372
6377,4919
10133,7203
11786,6891
6586,6833
3791,5113
7645,3327
9208,5732
3073,7448
10019,7687
10500,10387
8779,10012
13726,4452
1531,11134
7447,11422
13003,1989
10034,3180
2270,9712
1663,11775
1236,8754
1011,8834
2473,4271
1347,12016
11447,1395
11831,4238
6584,9790
11096,5228
2886,12591
9416,8803
8000,7422
10131,10726
2975,11850
11740,1892
5677,5501
5159,8914
10566,1178
946,6168
13996,6627
11510,7152
9376,4525
1482,11672
1580,13055
5348,4928
1130,11366
4740,6332
5942,6316
2344,13240
3078,13158
6572,915
8088,6254
13842,5216
7897,7069
9434,9084
10287,8918
5143,5665
6476,3167
7408,8697
7355,7238
7360,6702
7642,10037
9747,3323
9285,1573
10410,5136
7104,8850
8239,10378
4422,12511
13077,13793
8838,8032
8835,8901
4895,9979
3694,11164
8747,4486
7817,5160
5631,6091
5034,10202
8717,4490
7546,5190
3144,7589
3316,10511
9674,6134
7367,7835
5485,5045
12522,3148
6274,4800
12843,2612
11009,4467
3623,12917
1028,9957
10687,2177
6743,1419
9852,1288
11398,1481
8992,5583
6475,4638
8472,3754
7724,3510
6945,8863
6140,5067
3105,3579
4776,5484
2155,7635
3779,775
9647,4374
3459,8666
9081,8597
7443,6855
13762,4642
10011,7907
11930,5569
5956,9159
4527,13671
9762,9968
8799,3447
9880,6545
10130,10855
10464,10159
11944,13290
1859,11876
1342,10418
5670,6328
