x,y
2984,12240
11680,5631
8015,7001
2482,7250
5889,4156
4474,1203
11418,6107
2186,2622
8666,5658
13747,3561
1624,10806
9218,9204
8714,9213
10927,4433
13359,3523
9195,8458
9995,11997
3270,13123
14021,5059
7136,3106
4880,4746
7029,7197
7370,7459
1647,11190
6502,4583
11002,4144
10827,4832
11802,13782
8730,5423
6946,3030
8014,3254
2360,7413
1179,10372
6377,4919
9319,8945
1100,10041
11786,6891
6165,6020
7645,3327
9208,5732
4009,3914
5242,3005
8951,9290
10019,7687
7516,2528
3673,10693
7374,6948
7588,1241
10265,10409
4767,7532
8220,8148
13665,3789
7597,7621
9409,5818
5331,10706
11956,13402
8865,9041
4878,10478
7956,10606
6513,9881
12244,11577
8035,12163
8699,12422
3698,13134
10552,4728
7398,6772
9911,7401
9976,9334
12583,11468
12611,12850
8900,5932
7856,10604
9751,2494
4997,13948
9116,9021
9210,8925
8630,7510
9575,4294
10238,9055
12967,7155
9636,4366
6883,1135
1630,5984
7933,866
2918,1119
6067,9303
9017,9615
2943,13025
5435,12560
12128,10936
11057,7186
7559,3053
5174,5420
9920,4434
5268,5938
5380,12468
6128,4920
6877,6949
13529,5573
7431,10125
4158,786
6942,6870
7127,6487
11556,1218
5114,13419
11837,7335
9772,9105
8407,6825
7714,11815
10514,2792
8096,13736
10444,9726
14098,12837
1950,11543
8976,8814
13011,2719
8253,13439
14051,11351
12342,11680
1582,7208
7228,8050
1269,10413
6120,8868
7759,7401
3754,3355
778,3198
2611,681
1957,1508
8878,4188
1435,11392
6776,7018
7592,7260
5108,4706
4518,1269
9631,2510
9388,11369
13793,13279
12452,1673
10556,2341
7514,7454
10242,5048
9252,9390
9530,3427
6309,4874
4947,10702
9403,5697
6568,4798
12688,6010
9832,9141
12186,8475
11527,6601
8854,9848
5463,12720
8007,10087
4416,12224
9519,9412
14190,11239
13145,2119
7521,7134
9376,7425
8593,8541
8326,5454
6295,6914
10955,4570
8553,8963
2711,13246
3076,5358
3395,1029
8642,6590
6507,7068
4768,5346
1007,6918
2722,8220
1704,6799
8618,5167
12213,9635
14181,10807
9028,8344
3065,2814
13393,3588
4817,1213
5606,6409
7606,5139
2756,6658
4644,1152
11415,3701
1260,11241
10468,5220
12490,2833
4668,9217
9731,4264
6366,8440
3371,8251
6246,6308
8401,2250
6783,7871
8035,6955
7553,8087
8306,8094
6236,10992
7994,6691
4685,12253
13559,2649
7812,10459
11683,1284
8593,7783
9714,5476
9095,9738
12404,11683
7089,11350
1214,10820
9392,1089
7782,815
3010,13555
7063,9817
6583,9948
8355,6828
12146,7186
10933,4304
9917,6520
13698,2915
4814,11734
1119,2000
8034,3492
11676,7579
11197,5258
1513,10246
11140,5527
12307,2543
5478,5332
11701,1502
1131,5690
2988,2606
3683,13275
8360,8436
8273,6438
6636,9732
10995,5523
7505,12202
7837,8230
6434,4746
5240,5639
7695,10198
3327,11668
6489,4850
4931,3685
5236,6150
12589,1725
7702,3765
3860,1275
10718,8792
10847,5274
2764,12408
7200,13303
9526,13535
9121,13145
7290,6515
10024,6258
10620,13684
10945,11072
10752,1724
10447,4850
4946,10105
4638,10084
10667,11036
8753,13434
11822,2781
12288,2480
13903,6516
12345,2625
7794,1228
6970,7473
5658,12806
11657,4253
11012,1183
7248,6814
8808,8085
7712,6940
4983,5360
3202,9299
1924,11935
5973,7340
6917,8030
6274,6527
2471,13422
2924,12041
11469,7579
7461,6008
6491,7213
7858,10911
7701,12211
8255,7017
4957,5234
6768,9784
2552,7434
7245,11401
1118,5856
12522,2553
3147,10801
3752,1954
1519,10925
11059,3293
13503,2887
3271,11683
2605,8461
6182,6021
7764,4886
7801,3348
10961,4758
5939,4335
13648,4902
7450,7406
11948,1821
5372,8920
6417,8660
13923,10454
10383,10723
7545,7689
12906,13414
1783,7480
10772,1275
7457,4946
5236,3727
5210,3758
1740,9050
8667,11080
13438,5753
6205,6558
3655,9602
11254,1106
8187,5690
8175,1136
5332,9096
9892,9455
8410,10139
11954,2767
797,7934
7091,3611
11928,7017
6285,9079
10644,13346
12222,7593
4440,13514
7895,5517
5273,5790
6562,10086
8598,5290
7196,6370
11523,4545
7866,8148
3340,4975
4906,3286
1180,964
13185,7220
4102,11531
10044,8705
6475,2442
10843,11231
4854,9023
9820,11085
6811,4499
7408,6834
8909,5624
7107,4854
12407,1831
7656,3244
7589,7066
6916,6924
9566,5844
5761,11438
3886,12652
6648,11544
8260,5224
11358,5359
7515,7623
8525,5300
3384,3588
7088,3122
8634,3782
1832,12266
13761,3547
3409,11008
11478,1927
8727,11430
13966,6387
11274,11863
6330,9611
9090,11245
3814,10789
8004,1827
11046,3585
10298,3135
4392,7455
4332,4252
4888,10348
12368,2728
11444,11227
11972,11994
5033,4955
7882,5637
7865,3411
7216,1218
3074,6658
3782,4420
13557,2601
9303,7377
11533,1669
8697,4464
2111,4174
3432,693
3720,13104
6284,12072
8709,4735
9432,6011
10237,13388
10339,12312
13203,13733
1998,12156
9828,1442
5453,3359
1655,6956
6471,1241
2138,2656
3255,2025
5653,6427
2266,12180
11205,1644
12043,3198
13707,3573
6199,13651
8047,5359
10848,10787
7850,8728
4718,7295
6870,7715
13187,5385
1378,2536
5602,7664
2710,12936
4754,10368
10985,4812
9374,2316
10531,1267
4659,10383
8943,14050
8317,7442
7392,10100
11861,7274
11059,10150
9613,10185
6478,11288
5408,12265
3694,11252
6498,13806
13080,7451
9469,9443
9282,13148
7940,8158
6146,8438
13278,3812
2874,9656
797,4351
2670,13654
11138,1665
10870,4366
1328,6526
6628,8394
5213,4705
5364,4850
5990,8759
7629,7261
11018,5433
8825,8892
3884,3831
3224,1352
6036,1383
3085,6967
7222,3192
2411,5254
11997,2251
6476,6918
6371,8492
3724,7408
9066,9416
10489,5771
10781,11005
5606,11236
11931,13255
7180,7176
6822,894
9269,4633
754,8050
6530,7770
12651,2651
1449,11026
5576,5620
5806,13279
3218,6852
3712,8056
7393,7390
13481,3519
7296,7656
957,10136
10648,1658
3567,10151
7547,6939
4302,11825
6085,4945
7130,7768
2031,11987
2694,7416
7933,7028
2010,883
8912,5502
8968,5470
12774,3202
1723,11657
9266,5767
8546,4988
6678,4770
6072,8515
1374,7550
9631,5646
6683,4789
2576,3448
9350,1907
1833,12983
2705,12678
5021,8546
5413,4992
5773,9373
5435,8841
8531,5309
8643,4491
5068,967
10116,4849
3840,9804
9779,7184
10968,5489
6633,14002
6558,8162
6867,7931
13634,3810
12192,13097
3779,13798
4764,13660
1878,12479
12879,1736
6309,11627
9509,13116
3636,8766
3930,9420
10000,9021
7829,3311
13476,8212
3797,1352
11608,12446
12878,13300
11359,7189
7875,7059
4099,13773
7306,7807
9494,8858
4275,13214
12705,5428
9725,11729
4479,7516
11257,8547
5357,8719
2913,12050
11022,5395
7003,815
7270,3042
7360,9858
10589,5375
4932,5012
8048,10093
13257,3475
11619,1911
8180,8280
8823,1109
3379,13684
9266,3732
4984,4978
10208,10342
2703,7064
9814,8995
10349,13826
2596,13213
8214,13543
8375,6749
13694,5644
11529,7147
7761,7756
8317,11989
11640,12783
11793,10998
13634,13178
4893,8576
7840,6829
8081,7445
9808,4115
10293,8757
11806,1768
10717,1273
7250,11314
5731,8671
9627,5705
7212,13211
10613,13090
12158,2856
10599,2195
1642,12234
8887,9011
6931,6813
6188,5714
6661,4118
7407,2539
1309,7719
6788,3081
879,7096
4698,13998
7736,7932
9269,13656
9974,9803
9196,9378
13687,12997
12672,12098
6736,7464
12502,5418
9864,5245
9559,9529
8083,10869
9491,13146
12236,10235
12803,10399
13073,11341
7140,7162
10210,9520
7980,10687
7328,5079
10264,2373
4992,8429
6643,6984
1014,6694
2837,9607
14060,4395
7820,8016
8878,9070
6128,6255
9406,9100
7523,4840
7319,5968
3596,9697
6866,7682
5180,4712
10121,4669
6854,9748
8563,12629
10636,1823
4872,5586
7055,6144
10221,2571
7275,6832
6413,9223
10969,12687
3842,4592
7123,12737
4931,6067
3184,13812
6890,11608
5610,6118
8833,9021
9877,4591
4834,5104
13608,3873
14037,5526
10125,6726
13612,3096
11717,4293
4575,13522
12385,5804
11192,4724
7153,7972
8078,6711
12023,8670
11240,5051
9329,9913
10632,13276
12055,10799
6546,8077
3058,10815
5712,5345
13184,7332
3751,11278
2311,12139
4899,9506
10660,5438
7259,4892
10760,10629
3066,11050
6344,5831
3185,8326
9655,4411
5629,7399
4809,11893
11352,1825
11286,8337
8499,9977
4303,13466
10499,9929
6423,8651
6306,9522
12163,5032
8598,4704
2660,733
5262,5358
4839,6061
10694,10174
7752,9783
10798,10595
13894,8948
8919,8919
9534,1020
10867,9979
8671,11006
11036,11570
8731,9168
7960,5263
6522,7118
11718,7358
6727,9643
6408,9314
8276,3509
7290,6906
5726,6480
10682,5391
7878,1262
4420,7462
7414,5962
7853,4299
3186,7673
5088,10188
5514,6169
9086,912
12689,1511
9585,5414
8933,9258
8782,3434
8735,5714
6677,6787
11282,3738
12541,3098
4289,9818
8039,6773
3810,3477
7791,1209
5393,1673
5304,8903
6425,4774
4574,12049
12482,1501
4240,876
1748,9658
12328,2536
8480,5656
13529,6164
7865,4852
12526,5943
14076,7343
10567,11704
13009,5415
13180,13668
1373,10753
7460,7928
3343,3851
9583,6294
8623,9997
10452,2776
13649,2882
1733,9331
8328,8150
12558,3148
7257,4930
10850,2405
10340,1291
8698,9208
6580,7666
10228,5156
11101,7024
12160,11567
12954,5245
6048,6360
11504,6109
6995,6991
6571,8361
2936,12423
9960,5277
12051,1262
3383,8352
9980,4538
5024,3292
4611,4601
8897,9369
13068,7640
9037,13389
12972,10562
1051,8593
12086,1317
2810,5206
8045,7869
9723,4339
6056,6884
5146,10721
3367,5161
5391,2408
1570,9598
7029,4661
9329,9337
8718,7783
8062,5649
9899,10012
11810,11584
6189,6306
4560,10078
3863,13105
7392,9068
8758,13129
8925,6434
7279,9101
7266,1346
7988,3521
8387,8567
10674,2428
13113,5376
1642,10666
13913,5680
10453,5562
13566,4454
7060,11423
4044,4800
7378,7702
11508,6104
11867,7034
8665,6452
9738,4634
11689,3637
4675,6820
8504,6147
10096,7531
4629,7716
9309,1196
6889,6951
13644,3797
2744,12044
11984,1976
6589,8687
6406,9320
3938,12797
11965,5482
7927,12167
8054,12153
11484,7867
12122,9567
13124,2245
9319,8695
13276,5875
8677,6742
8334,10394
7042,11234
12927,3270
7709,11716
8875,11198
7367,6229
890,10536
6466,9635
2628,9938
8455,11626
6274,13908
12420,2882
12634,1572
8055,5459
6387,13227
3020,11045
5037,13390
12636,1535
8658,5963
4365,11938
4250,6060
1933,13279
1090,7074
6182,2395
3234,11150
8956,1555
5122,7876
1386,7324
8522,7970
8537,6403
9964,5119
4697,957
3018,12616
8582,9822
11920,4792
6362,9206
4733,7507
11488,4005
3198,4164
10107,10476
5218,8486
3099,3018
2161,13025
12304,6525
7992,3518
5649,7523
5117,5913
1056,5538
11008,1593
3868,12648
11865,3005
6300,6552
9904,4542
6007,4911
8568,6299
9768,6454
2727,3069
5815,5395
9136,9129
8608,8142
7267,3292
7491,7574
7755,6913
8022,7918
10338,10957
10692,11344
12207,13029
13496,3105
13410,4139
11698,3316
8334,8038
10774,11860
6622,11397
13064,3609
13360,2403
13998,7951
13652,7681
6590,13444
9460,9057
9952,7264
10121,8788
6962,7532
10493,11001
5973,6112
8288,7436
6708,4432
5768,3865
12300,2353
11812,1109
7012,12718
1565,11377
7544,7065
7139,7207
10298,8882
6338,2458
6933,4655
11707,12949
797,10239
10407,7631
6939,13130
4605,6050
3078,2436
11577,4229
10860,4827
9458,9218
6682,8238
12563,11600
11540,3648
1851,1960
7617,5174
3745,9835
8983,8338
3564,9305
8776,9910
9997,6801
4125,13581
7112,11547
10073,8007
3911,13677
9430,9540
1273,12274
9015,13555
4714,13673
8233,5106
12069,13513
12969,12753
13683,13085
8989,3862
11254,5365
544,3718
4550,5178
6898,2535
10399,1477
3590,9358
12915,2023
3921,968
3212,6774
9464,4372
4640,6380
5406,5660
1269,1028
3388,8612
1304,10734
11102,5636
9436,9428
10695,2325
3759,13069
10296,2773
7835,13752
8528,8795
7205,7353
4031,10134
11155,5731
3129,12759
4822,6747
10053,4604
4715,13880
6046,5810
9294,9972
12028,12823
6248,10346
13707,13122
8763,7810
5886,1518
5273,10322
8789,3398
6817,5229
7764,845
11157,5580
4050,4638
2232,2593
12962,3120
7494,11515
11136,8828
3661,12854
14014,4051
5086,9302
9662,12518
10065,10892
8187,7237
13773,7456
12964,7328
9279,5939
11994,1471
1980,9536
7083,1248
7815,7017
12613,2262
13759,9317
6136,4102
2344,1600
7586,3519
9127,5832
1241,8861
11465,4045
7080,12630
8421,9830
13755,3852
8933,13339
4791,6197
11772,13372
8743,6268
3056,13120
9751,9720
5206,5354
1422,3670
4908,9765
10684,10833
5496,5916
4784,5486
2749,3103
5692,5217
7483,6966
