x,y
7364,6783
3525,8748
800,7309
3390,986
13898,8380
10207,9606
13495,3227
11151,1012
1640,10847
12219,2223
8181,8699
8682,9039
13461,3526
13449,3523
12072,9212
6020,6214
13091,3785
9301,7341
9568,11170
1675,12009
13660,3930
1936,11450
3219,2367
4794,5196
13447,6819
4289,13696
5285,13889
12982,3612
10730,11395
11731,3690
11079,4646
6123,13855
9713,13638
4115,13179
2906,12427
2400,9816
8836,7375
3380,11119
7493,8926
6986,6840
4656,7383
7720,4823
5409,1790
7912,1035
4068,4694
3188,2467
3186,7656
6392,9351
8798,9005
8925,6236
10029,7569
7544,3324
7650,2578
4891,9784
7551,6990
2910,3980
9088,5588
9037,5640
11414,6292
11558,5638
5372,5104
3666,10523
10343,14010
12017,12051
12139,1605
9701,2484
11134,4134
11555,11170
7525,7182
7094,12632
10259,1178
3835,11575
7407,7688
8277,7650
3744,10080
3644,9011
5540,5456
5165,5236
3376,12996
13793,4258
8531,8773
2727,11849
11193,4887
7022,14085
7591,7342
9514,10164
11641,12503
11377,10927
12184,11744
6903,6689
8473,8946
8562,8534
13073,10623
9319,11183
7170,9256
8921,8997
13316,7174
8868,7367
10218,4972
4258,13629
1338,6674
3871,13728
13602,3569
3808,13781
11821,1718
11703,1964
13774,4935
14023,4349
9955,7497
10562,4840
8880,6258
2039,12454
7727,7355
8448,7483
10066,9900
11986,11362
10752,10226
13833,12665
13490,13663
6074,10323
4041,13484
7208,7272
6588,6122
6396,5932
5772,5327
5768,5759
13661,3521
5417,9095
7223,1211
8560,1462
6689,8317
5614,6120
2203,12700
1612,8325
10674,4918
8513,6306
8432,8271
8479,1076
8888,1050
6915,7169
7048,9661
9405,7195
8555,7517
11533,6935
5155,8600
8004,14013
5026,5013
3118,10775
2780,12999
7981,10433
13243,9794
10064,9618
12429,12127
3949,12732
2542,12220
1501,11039
8775,13132
2138,12562
10386,2992
13073,2304
7204,3429
9148,5472
12516,5102
8305,13776
14266,11331
8612,13236
6512,8496
12558,12492
3192,11711
6607,7482
12793,2570
4134,3239
1108,10783
12167,2581
11616,2004
955,10658
1349,10710
9030,8975
7886,8266
7993,7769
6190,8632
6552,6522
6161,6430
8876,4737
11003,3778
7306,4843
5478,5151
5344,4867
6087,3800
7282,7806
3952,3296
1927,3826
2427,719
7805,8208
11429,6504
12324,3211
12404,3204
7660,5841
11704,6770
8979,8879
9273,9511
9352,8680
10860,10428
7184,8080
6131,6134
11236,1469
11281,1702
1934,11755
10998,1502
7390,932
3291,13557
4701,9322
4826,4184
8415,5665
2884,7480
11300,5452
9241,9300
11552,6986
5021,11717
3517,11385
12939,7346
8047,8725
7293,7000
9198,7470
12949,3096
12934,2057
14039,4177
2824,12980
7492,7233
7863,8236
10626,3022
8084,8314
5849,5242
5514,5703
4590,4831
8618,4250
5095,9198
4001,9403
7945,1147
3226,923
8647,3873
4616,4682
4883,5265
6825,6589
6872,6942
2885,3644
2575,3124
11500,3044
3516,13603
2344,8376
871,11134
8450,6592
1288,6615
7986,1168
8627,7995
7756,8179
8589,10027
14112,9973
13667,7453
12584,9764
11976,2160
11126,10183
10590,11636
11073,13044
13340,10148
10508,9936
11403,1221
6962,7520
13361,3631
10002,5115
11795,1664
1627,7393
781,9711
1043,8634
2702,7595
13775,5898
12751,3136
859,4275
833,4517
1430,4198
7617,7754
12562,1999
6927,6672
14105,5594
13751,3548
6139,6138
6138,4482
6484,4740
4715,11600
8241,1694
13314,7813
5239,9225
8455,8712
8863,8963
8132,8244
11275,5732
14064,13614
7144,12555
13118,8164
13444,11483
2797,12617
1695,12020
11457,1381
5202,5526
1638,11388
5132,5471
756,5209
4672,7712
1364,1307
2707,12767
9660,1632
13465,4059
8246,8744
12145,2513
10563,2708
940,7213
6175,6692
5006,12309
4688,9310
10229,5644
7262,3841
6117,4167
10334,1672
2873,2712
2067,12338
8856,4026
7451,4330
7719,7487
6224,6359
12092,11475
10821,10533
4816,9866
12026,11475
9472,1913
13275,3434
13145,2291
13393,7161
7370,6166
11227,956
11183,4634
5427,13013
7375,7422
7792,1079
2742,13453
5461,5266
7954,9710
2569,12506
5023,13430
13709,4534
7162,6914
2283,12134
6927,6594
9621,9670
13519,13009
4608,14065
11156,5614
7789,5770
6886,12854
10621,11374
12616,7178
8802,2230
8824,8209
8477,5278
13608,7139
10322,3133
6434,7210
9806,1036
2867,11866
12212,2573
2008,13114
6953,7821
7055,7381
5835,13445
11239,14042
3954,13461
10268,11960
12421,12882
1042,11739
12968,3416
1851,9803
2032,11613
1264,12318
6351,9863
7701,6627
10714,1056
9763,6966
7705,5179
7611,8293
12250,3286
4703,3901
4665,4144
5619,1525
5348,3430
2018,4226
6410,5975
9939,5181
10001,8998
6155,8306
13577,13078
13572,3212
3628,13668
7045,8311
11280,1623
12952,1810
8670,8066
5203,2176
10010,1241
8890,8346
5336,9129
4669,6530
6312,5914
6386,3326
11410,1669
6966,7205
7965,1886
9906,4722
9753,9723
9496,9323
9114,9452
9891,9236
9086,8668
6881,3124
7246,4871
5392,5968
5662,5556
9979,9373
12054,7752
11652,1576
13583,6765
8785,5839
5609,12709
8284,5334
7486,7458
4169,2332
1950,1790
3304,12848
6325,8040
10062,10709
13069,13580
10739,13736
4237,12225
2109,11898
3444,12946
8018,7059
7885,3254
6775,13038
10938,1066
6435,11257
12633,2131
12388,3084
6960,1158
8341,5019
5953,6087
7755,10885
7156,11665
8439,6059
9429,13710
7605,11648
990,1050
3806,13227
13559,7976
7805,5425
7630,2600
8036,9464
7477,7732
8020,6943
1187,9669
5340,12039
5828,9223
1266,10562
2179,1429
12112,1646
1001,11546
12801,1994
14122,5773
1524,10899
8974,7775
5180,4676
1344,10591
10699,12212
1708,12095
6696,8540
7077,7718
1403,8514
7949,3480
7025,6852
13250,2961
6032,4960
4181,13091
8096,2089
1631,2923
11460,1603
7915,7940
11375,1350
7683,5942
6823,1010
6194,10922
11185,12983
11706,1431
10925,1345
1622,7014
13599,8053
6511,915
13116,3080
2308,12286
6246,5100
9746,5788
13469,4415
12462,2295
6732,7544
13561,5625
4317,9665
9587,4283
10535,7518
13021,12439
12647,12673
4186,13659
1875,12063
7736,6699
6415,1778
1676,11693
11910,1658
10223,1236
6208,7041
2245,9722
1973,2290
3126,13166
8961,7794
12046,2147
11811,2721
6727,8216
7950,7137
8151,12062
11188,10860
10894,11085
2413,12961
10800,4558
3975,9950
10248,1058
3497,10147
4626,13956
8019,7173
3128,12736
12902,5206
8419,8767
12517,5668
6987,9933
13731,7236
12274,8656
2458,3579
9905,10471
10942,11735
11904,12981
14049,14121
8197,8275
1776,7972
7686,7673
7737,8233
7708,10359
10751,4620
11067,5339
10023,8935
3652,11360
6384,9307
8384,10185
7988,13851
13449,4455
9788,9065
13125,7767
7812,10824
8247,10265
10388,10829
13790,13978
2024,3001
2284,4040
7450,6834
7872,7757
1983,12183
2832,13199
11278,1589
4753,1629
9190,1649
10044,8140
8630,10097
7080,7507
6988,6809
5280,9027
5739,1231
3414,3222
8968,3601
3272,1832
983,10938
12257,2212
8171,7958
7584,7547
1336,11865
10008,1135
3590,10022
9946,6100
10297,5709
11788,10987
10247,5399
4706,13828
8061,7454
12999,3394
11051,1300
9031,2264
6594,8205
7586,5960
4162,9325
6832,6594
7385,10134
13010,10293
4138,12874
11419,1066
1733,12194
11665,1396
11751,1222
1256,12294
2979,7599
7850,780
7238,7916
4574,7066
4034,4098
4508,3872
13615,4598
8950,2343
1456,11735
4643,10063
12092,13528
1366,10043
13640,5618
6644,8640
5684,7502
7789,7862
11750,1483
4103,9906
5174,10606
9418,9746
3596,11640
3078,11973
13999,4244
11200,5359
13177,2453
6894,7806
11909,1840
11986,1788
9664,6220
8302,5307
7442,4783
1405,7580
5881,5990
7278,5111
2350,12697
3511,13385
2926,12479
11755,4281
4186,9814
4730,5614
6787,3074
6113,4825
4681,6686
3976,13458
3862,9650
4037,14001
8579,5246
10871,1148
7320,7464
1746,12030
2769,12323
4348,13622
8401,9958
7677,11566
11644,1733
7245,7995
11842,6640
13001,7371
13472,8374
13506,8671
13881,8081
14100,6858
10106,9802
12576,12673
2708,12561
2678,13153
10703,1600
6049,6938
1679,12376
13360,2402
12396,9354
12865,10942
9877,13254
7438,7859
13426,3002
1514,11933
10243,5362
6806,7230
12452,5143
8561,1469
3431,8184
10110,13288
13095,11153
12212,13895
12484,7290
13366,5978
7656,7050
5328,13056
11455,1446
8878,5463
9121,8651
11574,6270
10432,5310
1345,11744
5216,8566
5705,3594
12832,9362
2841,5586
2582,5440
11182,5016
1956,12847
6539,6651
8015,6957
9682,1182
13262,4169
4970,5788
8180,8525
10110,10266
10295,13781
9131,13379
6752,7984
11359,12085
11620,12479
7735,7637
7218,7023
12060,7333
7499,11572
11248,5176
8014,8556
6159,8545
11125,1753
11829,5136
8378,5144
7464,9874
9908,10420
7009,6986
12461,2594
3646,9144
10841,2132
12303,2491
11720,7295
6498,6726
6810,4310
2279,9460
8626,1148
1216,5299
3826,3922
3152,2762
11779,1890
6512,7003
7658,7838
5553,13850
13075,3796
13508,5324
13014,11817
8824,8708
8039,7695
8556,8547
5056,11471
5896,12682
7474,13295
13704,8143
9794,10253
9717,6411
13465,4151
11956,1778
13986,4790
8689,5813
7574,10942
7612,8566
7712,8107
12704,1803
12819,2254
7877,7686
9330,9459
13580,8900
7205,10777
7914,8027
13127,4744
7606,6007
3114,13452
9732,5459
8287,7725
10282,10181
4630,12006
8368,13622
4217,5987
11797,7519
10337,4891
8550,5862
8500,5933
10941,1176
5773,5521
5486,5644
5817,5341
5624,5422
8206,8310
8608,8647
7568,7207
10245,1719
1714,11828
7584,13529
3459,8088
5915,7051
4800,11561
6904,11603
8196,13745
12639,5411
12410,5826
12180,12645
7492,12466
7092,7227
12545,12641
11158,11696
7720,10934
1862,12842
14083,7295
5423,5983
8978,6399
11645,6819
12037,7231
12604,10772
11409,5895
11541,5636
12575,2918
10097,8442
6880,9610
12153,7242
11493,10836
3317,7799
7030,6925
11924,2081
3430,11363
7315,6762
8389,6611
7934,4776
5116,5925
13471,6727
10688,3449
1310,11333
13212,5024
11544,6978
8632,7557
9687,9216
10426,10104
6477,6106
4894,3820
12591,2783
7303,7548
10889,1681
12743,1821
11589,2059
5431,13433
6730,9962
10038,8413
14091,7606
11335,4364
9705,7147
7176,8261
7571,8259
4470,9968
4806,9694
2513,4721
9691,11795
4305,2334
3466,13464
8822,8390
3091,13825
7479,6974
5300,9001
12988,2801
9877,11316
9057,11015
10300,13703
10829,10516
13933,9404
8246,6503
1912,11958
4433,13995
10244,13119
8375,8708
3182,11132
14185,11439
14096,10509
10648,10947
2188,9999
7749,5863
10047,8104
3951,13520
11553,1492
3499,13301
7678,7882
8282,8145
7492,7019
10415,3105
11334,1574
10264,5365
1488,8489
8487,6570
10092,3268
14121,5873
13490,9278
10125,12857
6009,13902
7074,5438
8440,5551
11872,2210
7882,2051
6690,9555
3973,10361
12683,1705
11120,8710
12447,2693
9725,9787
8058,12141
3005,11738
3071,12663
13574,9957
1191,12021
8821,8109
6948,6765
13710,4907
13328,3653
6152,8227
5601,5238
7422,6243
9051,8995
9620,3328
5233,1636
