x,y
7790,7546
7584,6124
2980,12710
3892,13002
4872,10155
10341,10146
13365,5838
7520,3650
4246,13286
10664,2716
11977,2875
3681,7707
11201,9877
13429,8515
10899,11601
13516,12894
2119,11991
2126,2553
13333,2794
13086,1907
14003,3823
9477,3572
9710,9265
10222,9935
7020,3783
7565,7556
7276,7632
8323,7468
7633,6873
9781,5690
11795,9919
8894,8356
3445,1750
10226,5478
10957,4269
11266,964
13750,3237
5686,6380
5342,4819
941,6817
9450,4248
1168,454
2781,1020
11550,3505
5541,6000
6185,5923
6130,6488
4254,4940
2698,1525
3456,6200
1626,1039
13164,3791
10935,1227
13291,4126
10043,5672
11475,6415
13675,13412
7284,6675
6812,4518
3384,7822
6410,4755
1578,10130
3131,7952
6851,6841
10705,9848
11754,10946
6051,13617
1858,5458
1375,979
12355,12350
12252,1855
9595,1807
10977,961
8284,8340
6914,978
7118,6646
7587,9923
9395,8652
8439,8801
3586,3080
7284,3523
4834,4382
9580,13509
9274,9945
10884,13402
2345,12806
11419,11216
9231,8660
6051,8633
4687,9343
8094,7064
8824,4074
7469,7965
13547,13884
9035,8322
8360,8244
8376,7795
8778,7571
7217,6767
12264,7274
8489,8167
5954,6212
10780,5093
9252,13202
10413,10392
13952,4171
11817,1541
6358,13962
9960,9807
8662,14083
11028,4064
7669,13624
6127,5694
4237,9380
10842,10873
9380,1569
6799,6866
3710,9359
3682,6509
5576,1191
4706,11653
4375,7061
2959,4472
8096,1956
8767,8441
8917,13136
11927,8848
1544,12616
10342,1456
12294,2443
3395,7004
1571,5081
2747,2515
8890,9139
6531,8497
10814,2214
7822,10065
7951,13954
10734,11177
5567,5709
10416,1306
1237,10207
3832,1382
13393,3715
6300,6988
8425,5169
5677,5251
6245,6740
4797,5898
9702,4072
8702,5096
5945,6022
5915,5043
6693,2739
4644,6394
2258,13277
910,3514
3702,2429
2246,681
3023,7736
7417,5147
1632,12640
7462,6859
4983,5642
1132,9757
8703,4111
3365,9242
7242,8738
4454,4090
6228,1459
5229,4754
6320,6628
1579,8329
12330,1608
8656,5726
3632,8498
6892,11511
3258,9226
6861,3105
1563,11118
6569,11384
10252,5762
7853,7764
4975,8367
5882,6184
6920,7054
12626,5519
8375,7851
8100,7236
6644,863
1152,9456
4470,3307
7293,7470
10860,10309
10671,1438
5288,12458
3684,9578
8601,1398
12635,5449
10994,13222
8749,13403
5087,10391
12791,13406
7521,6699
6445,8543
7709,5173
8768,1397
10044,7684
6260,1525
3501,8792
6830,4295
13300,9120
13514,4343
13402,3430
10760,2113
5455,5519
3552,1736
2786,11382
5541,9315
3074,883
1569,6524
3901,1104
8063,9791
12095,2418
13424,6576
7781,7052
11747,6596
9299,8573
7760,8330
7808,7905
7790,11941
4916,9112
7032,6254
7959,3316
6155,9928
11072,7506
7694,8056
3734,6382
5897,5197
9600,9578
12702,1930
7338,6372
9116,8810
11085,11569
11800,13068
12864,12675
12653,3038
11846,2129
9678,9635
7962,13988
7141,7394
6924,6578
9207,7133
11000,4940
3330,1908
10004,3193
10011,10852
11196,9931
11430,10919
11054,1659
5036,8635
6203,10321
8359,8301
13309,7837
13519,13009
12819,2326
5326,6042
11246,968
9882,1479
946,6043
5490,9295
11527,6658
2126,9575
6972,7362
8300,8563
11528,10584
13387,9948
4461,9727
7379,7081
1520,9420
3960,10509
8605,8883
10838,10310
5126,13337
7317,3265
9158,8474
2548,13718
9534,9124
7542,7637
12628,3163
7325,7721
1621,11617
8023,7034
13551,10370
7168,7238
3286,7718
3463,8035
11320,6182
10009,9026
2915,12200
7686,11745
8645,12743
12040,1371
5121,10749
8212,5454
9837,6065
11918,10050
10251,7004
9003,7306
7579,7065
4332,9922
11644,11284
11769,11339
1913,12951
13350,2396
1964,12684
12014,11762
7918,6537
13559,7213
7974,10498
8682,11490
12283,2590
3057,7189
1993,1154
6842,9894
7902,3522
6411,8056
9331,2573
2228,11800
1505,8580
3344,1754
1046,1070
12855,2610
12868,2350
10041,4893
8859,8137
8103,7279
7126,7198
10914,5515
6844,7266
12546,3195
9303,2019
8500,4757
6168,4538
7237,10019
5121,5700
4906,2926
6019,4987
2743,3467
10330,4534
11204,892
6164,9868
8374,5243
5663,5487
9936,10157
4754,9790
4399,7141
7871,9306
7968,7212
7884,10231
5260,10530
11434,10652
4863,10778
9417,5771
14022,3982
10142,9726
9818,5876
9385,9000
10458,13943
8137,7100
5746,12727
3779,10839
12352,9412
10102,5361
5087,10383
6803,9542
10157,5105
12607,5349
4451,9811
8283,11824
8786,6580
13688,13504
8516,7678
1901,7605
8407,3613
3805,2736
7515,4924
7927,11196
8525,6589
8166,10421
8222,7360
8590,3160
3991,11288
5312,8684
14122,6756
3377,6970
7619,8274
2939,2615
10934,4592
3454,962
13488,7437
5530,13335
4049,11587
2411,11924
1372,8303
6616,6528
11405,6010
7736,10946
6022,9166
9413,9510
12666,13383
11913,3767
2234,9471
11210,1213
6203,4267
11385,4560
8295,10321
9847,9090
12328,8349
7451,12422
12491,9883
13586,12537
13500,3851
6932,11434
6771,9719
11661,7950
1672,9666
5697,6303
8241,6297
9996,8236
6765,6950
13193,10169
5601,5504
12055,9884
5134,9364
6821,6915
10037,8466
4964,8482
6239,6642
12934,10282
11159,5298
6557,6151
12072,3331
10804,13094
8151,12062
10159,10993
2714,12609
8831,3906
3086,13167
5345,3111
13006,2466
9687,1582
12090,1508
13436,4056
12801,5268
12842,12269
1024,12056
9108,11105
6115,12396
13370,10302
9312,8557
5299,9429
6877,9483
11577,5649
7890,11782
7844,1406
4225,7436
9174,6107
2246,12169
12144,1469
4066,12284
8226,5382
5431,5484
6482,7206
6663,4522
8159,6852
740,3769
4626,10121
6564,4666
7335,1647
1476,6854
3987,10264
8031,11751
9848,13676
9798,13943
8316,7518
4406,13503
5495,13958
11970,8720
8318,10168
11872,12560
12466,2031
12600,3146
13016,3565
13003,3198
12927,5224
13195,4578
9317,8938
5510,9434
5318,9128
9927,10115
6069,7282
12632,13381
2368,12902
5858,6015
6014,8918
4203,13573
10331,5544
12463,5927
10491,10858
10610,13690
11887,12262
6130,5915
6298,6001
6499,6169
5204,4744
8018,5781
6958,2797
8868,1505
1878,12243
2131,2757
6140,8842
10947,5279
7025,4384
3184,7890
10561,7702
9022,8667
11548,11186
7256,7073
13451,5184
1050,8352
5356,5668
6972,1287
11139,3913
2795,11299
6335,6503
6442,6620
7332,7400
5854,9424
4310,4512
9898,5578
5958,6053
6644,7328
3654,9319
7890,7613
8142,7827
10134,12668
14015,6430
8008,9468
11176,11905
14068,12467
6075,10775
7611,6610
6671,4490
4483,4784
4663,4639
8555,8214
3879,2665
5288,4868
4475,4796
9701,5433
6898,9102
10675,10832
4452,14031
12202,1263
2826,7772
4784,6239
10919,1054
4894,4566
9566,3181
13209,11542
4549,11570
1218,12252
2972,11490
8078,10745
4578,4894
5182,5469
5806,5483
13845,13816
8776,9778
3420,10432
8540,6077
10926,905
7331,1360
5095,4589
6505,6348
10806,3294
11497,1823
10640,4916
10454,5352
7392,7352
6744,4512
8386,7861
2081,7507
7864,5297
4811,7024
4184,3081
1447,5234
9189,8741
1531,11340
11042,11310
10394,10177
11624,6633
6996,9052
4929,10705
8440,8618
12152,6681
8836,8977
13321,12379
4952,4486
11447,6379
6866,6198
6494,6265
8216,10117
13132,7438
5327,9134
3098,8180
10558,11514
13782,11950
5108,4963
7538,1071
3078,11606
6002,7021
9125,7537
9067,9274
8161,8210
10826,4755
6847,7228
8801,5629
7485,6936
10569,12450
5670,4950
13282,3361
5761,14020
10866,5384
4414,4802
5242,1592
11750,7295
7769,942
2960,9323
4192,1908
13177,3705
4858,10100
13284,4484
12239,6810
13480,7314
9096,9091
5585,5829
4632,3739
8178,5541
