x,y
13055,3704
13329,4080
8510,8223
8609,8036
3210,13260
3906,12670
13945,14334
4054,9905
12041,8657
7110,9385
14122,4858
7639,6660
1658,10933
735,6393
1129,2299
4754,6230
2737,975
1211,11166
8608,854
9746,970
12820,3261
13694,4887
13715,5270
10690,10973
11635,6972
6795,7231
3801,13792
10589,5498
3092,7421
9113,5588
10476,11107
4853,5816
8282,8798
8733,9298
7647,6920
5694,12363
5116,3774
3755,1600
5887,5292
12357,2365
9975,10443
7264,7610
2173,12217
1318,12224
7918,7491
7614,13309
9029,13631
12737,13840
8226,6206
11926,10682
12505,12466
5244,10228
6954,9771
6340,9824
12258,12832
9443,9236
9178,8852
6005,8530
6054,9215
4654,9927
4958,9742
8400,7470
7395,7655
13009,3443
10076,4712
10221,4160
6295,9712
4837,8159
9742,7291
8821,8788
6659,6783
12053,2498
11802,3140
11006,1880
6998,6191
13171,2217
11474,4323
11587,1252
7699,7734
7716,5390
2303,9031
1971,9441
4258,9313
7031,6880
6092,6500
5918,5746
8672,1314
11419,1098
741,9139
4812,8041
2621,4408
2588,3650
13415,7886
8761,12900
1435,12307
4818,9876
12284,5039
1338,4775
6405,6655
3952,1245
6275,6687
9597,1150
8506,7866
7750,8202
6763,6656
6288,5950
6885,9653
3632,10839
10610,11178
6793,4849
12866,1824
6158,6895
9959,1037
12054,1313
834,3292
1541,3345
7282,6448
6380,2670
5652,1289
6069,6111
7138,3167
1365,4012
2469,879
13858,3240
13720,4244
3669,13842
5327,13384
9278,9221
2981,10236
7754,7410
3438,4965
6784,4807
2837,7140
6764,6634
1761,11406
10464,1526
10818,1720
6882,7665
6156,6186
7556,11516
6852,11536
5236,5294
1302,11896
2256,2372
11866,1261
12151,1807
1421,10484
6054,6441
7025,7511
7661,7138
6770,6614
6114,8468
7260,6809
10266,5268
4934,4565
506,871
8263,10088
8514,8245
14000,4897
7265,9845
9866,6907
8016,8244
10719,2785
2699,6159
2910,7165
2410,7567
3287,650
4478,3904
1285,2443
1056,2960
10773,3323
8914,8207
8743,8019
9560,9850
11254,10724
3721,13171
11742,7070
11431,1875
6772,7250
13557,4739
12310,8069
7199,7242
7824,13313
12326,14085
5414,8763
3103,3453
3552,7961
13897,7016
12937,2923
11207,1803
11538,1993
3413,4051
1907,1746
6065,8989
7406,6939
11492,1109
9729,1040
7158,13971
13316,2445
6975,4827
4921,5404
8553,9019
1938,1467
12425,1700
12858,2352
11911,2867
9996,9652
11976,12260
11864,12304
7538,7053
7341,7047
6157,6597
6575,6164
7751,3370
6006,5045
8167,8799
7587,8938
1086,7268
10011,8645
10043,8737
3904,13246
9687,4183
885,11194
10366,12637
3299,13274
7339,13550
7794,6508
8407,5638
1627,3760
7854,6682
9856,9942
9928,9599
11561,10648
3202,9299
7984,7476
6453,7033
11769,1742
4301,9595
11222,9778
3140,7646
12607,7566
9390,5873
10216,4898
10346,9898
7020,7788
8638,9083
8490,9951
10182,9550
14122,4708
8492,4747
7647,7766
8142,8060
6905,8002
7271,11724
3187,4021
11912,2043
3147,13125
3518,13402
13842,4215
8726,8608
9866,5722
9934,5685
11640,7133
6749,6929
12312,12010
11368,11378
7251,6769
12593,2076
12930,2101
13401,3317
7992,10491
12010,10388
6796,6759
7305,6179
7553,6959
3478,6020
13289,5746
7504,6854
8200,7625
7495,7334
5634,4943
4307,9833
9855,5703
10621,5300
6395,1618
3435,13188
13670,3407
10598,1400
12836,2310
10678,1415
1302,10597
8594,7683
7245,7279
10935,3629
8184,932
6440,1116
6187,4617
1260,2341
5477,13030
7306,4777
4913,3283
5629,3777
6831,4650
8309,7409
7577,7141
1351,11352
2280,9776
10821,4784
6084,3932
6141,3997
6128,9722
9319,5561
9533,810
7659,9874
4860,5449
6621,6748
7779,964
5291,7605
8486,8196
8830,8248
12302,1952
13386,2196
8201,13289
9970,9553
11016,9838
12559,11481
11982,11603
13023,2580
11733,2294
11499,1534
13660,8049
10761,12900
1971,11960
7095,7583
2732,12508
13737,3285
5880,6258
8750,2290
13993,3953
10032,10392
9054,14082
11941,1228
12070,1835
10418,4843
6285,5930
10250,4647
6389,13635
13908,5842
12002,10959
10177,12626
14096,8603
14016,4134
8698,3377
8016,3401
6216,12710
6547,6393
5784,5964
6568,7740
6672,7624
6766,6928
8055,7561
6378,7045
6423,6897
9504,5850
6616,6783
4645,5176
3731,4182
2469,3337
8852,8253
10259,11032
2049,12877
13176,6997
13388,6742
6749,13717
12458,3193
9832,5245
9842,5316
2912,12897
7152,6827
13480,3463
10284,861
10083,8252
13038,11625
11998,9255
7829,8004
8538,8895
12543,6409
13451,5184
14116,4514
7251,11687
7457,12054
11890,7150
13376,3348
12676,5085
7875,7888
7364,7566
8665,3936
6946,4436
12454,10704
7419,11776
4865,9502
4907,9386
12935,2521
6760,13348
8910,7957
12911,5441
6935,7877
8536,12949
13074,3268
12884,2711
7593,7234
2491,13387
8811,3463
10240,8252
10024,8039
8776,12920
8595,12628
