x,y
4488,9532
13034,11628
4004,11596
4942,9719
858,9712
2753,12884
8384,1316
7669,6990
7821,13275
7380,11778
10504,10901
12242,9983
12180,11704
1212,11794
4142,13642
11462,10701
8652,13699
12238,10726
10812,14074
8937,10610
13072,13649
13029,9302
5178,4689
5044,9477
13532,13704
2100,11695
4977,13484
4249,13487
7839,13710
10041,9070
7170,8700
8254,13390
5112,13892
9240,8986
9640,7368
11413,12655
2068,12288
2300,11924
1131,9614
1412,8267
9940,9273
11161,3944
13417,4452
7957,10312
4726,13896
1120,11861
3375,13240
7865,6554
5011,13594
6047,6525
1259,7714
2095,845
4601,5993
1847,2178
3420,13132
4413,10046
2520,13312
6676,12366
1159,11162
800,10062
1608,13002
3147,13447
7987,8642
3558,8673
6171,6334
2975,7275
2330,2680
3563,13883
2755,12628
990,9966
3566,11111
7511,13688
11704,1339
7922,13931
4485,9841
9712,11271
10464,12355
3908,13243
6846,9824
13281,5195
10033,8565
10637,10743
2085,11912
2010,7576
1666,10978
7042,7614
12012,11522
12187,11022
8012,2360
5584,9269
9732,6090
6212,9226
9994,10304
2332,12454
1928,12494
3674,12806
2309,11736
2210,11990
8230,8142
7916,6792
8905,9043
10407,10858
9348,13892
11706,12394
12357,14305
10604,11143
12931,13739
3054,13157
1912,12050
4817,9263
9021,6469
4046,13556
1829,12418
10292,9978
5559,5648
4137,13998
10035,6805
8580,6805
10304,1412
8521,3716
2507,11624
1548,11867
1525,10190
1454,10242
760,8133
1627,10764
1300,6834
1253,7578
3241,1523
1300,1019
4580,14001
2571,13152
4006,13671
4042,13546
9850,4068
8239,10378
12896,12897
7818,10382
4722,12379
12219,10555
3991,13774
3386,13123
3587,10020
4378,13439
6508,7222
7640,6662
5657,5021
2960,5010
3423,5035
1259,11103
8565,10379
9065,8336
7610,8022
11195,12205
6528,9108
9991,9848
6860,6505
4945,4517
11552,11160
11413,11435
1511,2097
1419,11227
3463,13100
2216,12276
7491,8505
5394,13827
6806,7016
10167,9473
11392,10842
11946,11600
874,11456
1524,11376
1216,11852
5404,5775
5211,13658
6571,12719
7899,13606
7366,7832
1938,1934
2686,12562
2663,12964
2078,12129
1524,10106
5825,3490
5473,11354
7609,7284
6206,6252
11544,3818
4228,13096
2646,9895
1648,9210
6174,6302
9337,1399
5438,2594
738,5092
2124,13288
3145,13196
2496,13184
2614,13510
9644,5693
8124,8227
4189,11972
10658,2670
10190,1400
1153,5434
1595,1277
13547,7599
1871,11958
4353,9399
9692,9456
1116,11990
8743,7993
7326,12469
4574,11786
2096,12810
10535,5442
4032,13838
4665,13694
2520,12991
9085,9978
9638,8864
11480,11160
8803,13905
13403,12874
899,11022
3410,11804
13036,2891
11928,2396
11510,4787
13672,6968
5510,12267
8730,8580
9569,9360
1806,11583
6980,4955
14018,12541
7464,4768
11936,7492
1348,11557
7966,14081
11770,12248
1291,10638
4823,4907
8818,8527
2382,13034
1932,2551
987,11485
884,11311
6445,6335
4873,5018
11842,3837
7790,1259
5848,9116
3520,8912
2832,3878
4517,13750
10524,11090
1104,10335
2602,13369
1147,10120
7284,4936
9656,6315
7386,5027
2655,5792
1248,11400
2125,12831
1654,10832
2537,11683
5001,4954
6573,6889
9376,9164
4809,9710
7083,8736
7972,8357
822,8210
5927,9344
6832,9668
13674,13038
4008,13157
7116,13564
8659,13522
2834,12612
13176,13666
1223,10665
4013,14033
2768,13239
7872,10779
9023,9308
2943,12887
7369,11504
12434,11606
12557,12808
6091,11335
1976,11976
2095,13075
6201,9665
5441,5420
1520,7642
10700,10580
13387,10251
1185,11366
885,11357
2426,12786
1519,10845
1541,11970
1452,11220
1335,12319
5336,10711
9133,6345
5866,13339
5211,5147
5313,964
2429,12081
2315,11849
1770,11740
1383,12360
6890,4706
3177,13012
9235,9733
13874,8601
1642,11238
1770,12066
6164,8924
5516,12600
1294,10228
1307,10669
2215,12978
1362,11148
1154,12018
920,11038
10578,11339
5286,9562
5199,4842
5829,5342
5327,5222
13414,12736
12567,11786
2087,12001
4154,14009
3786,13377
1701,11946
3700,9458
5716,8954
8214,12201
13929,6729
1171,5726
12905,3192
8670,5538
3974,1640
1094,11744
1569,12244
2965,12863
1322,10892
4827,8065
5682,13944
9921,6219
4223,4271
2710,5546
7803,7059
1244,2729
5283,916
1747,11178
13744,13917
2944,12220
4292,13530
7258,13726
2341,11911
8593,12121
6123,12719
10648,1495
2242,7704
1101,11078
5362,8760
4003,12966
8450,10116
6570,7846
8112,11836
7904,13850
6448,8379
5928,13998
2034,3302
1638,11582
8404,5626
2368,12312
1996,12081
8121,5302
1145,12318
4982,8500
4481,1689
13188,14082
1259,12636
8479,3759
3857,10013
11478,6238
831,4256
1642,3084
4157,11362
2425,12283
2829,12579
4625,14023
2714,12220
8904,6023
7835,11026
7130,6647
7494,11706
10308,13520
2793,12910
4095,13073
2999,10729
4143,11512
3043,9714
767,9778
7270,7068
11742,6846
6327,6192
5059,5467
5942,6134
9072,8406
1086,10842
3067,12685
1658,11900
11118,3881
1998,12368
2109,11965
2016,9617
1447,9885
7987,5797
8342,3592
6091,3336
13676,10284
1642,10053
1468,6207
1048,10106
5532,11218
9143,9711
12390,10736
11093,10587
3073,13074
4628,13654
1321,10407
1898,12845
3246,3520
1622,4874
2854,12459
10541,5051
1621,10394
2214,12468
1472,4570
1019,1709
2892,12622
4064,13111
1152,7270
1640,9130
6031,6008
7983,7485
11035,12055
2368,12580
900,10731
5290,13097
7842,8489
8992,9565
12413,11346
8072,8756
7772,7696
982,11377
8494,3282
1385,11650
5833,5853
1745,9847
2588,2018
3817,6296
1351,2166
3861,13102
1629,11527
6577,4810
4962,3510
2030,12154
1123,11422
2171,12052
4284,14038
987,10242
1020,10505
2077,12001
2931,13136
1384,11580
1573,10924
4712,7819
1508,12285
13246,2817
1305,7326
3309,13291
7440,7346
8038,6956
2675,2570
5627,12316
4243,13257
3873,13043
3712,13801
6633,9361
11939,5544
10642,1642
12478,13174
1972,11644
3948,11553
8543,8181
5916,9462
6013,9074
1164,11187
4716,5298
961,4209
3475,13522
3993,13525
3599,13742
3804,9942
2590,11992
4007,13399
7930,13595
13714,7160
7569,9910
12954,3408
9383,9190
6983,7277
13426,12670
1180,11067
3818,13680
4659,13970
1347,10679
1809,11883
7271,7320
5956,6334
4992,5584
7942,5344
2992,4045
10008,1199
7096,13748
6392,6904
7729,7999
4442,2420
1090,11619
1650,12772
1736,12057
10714,3378
4092,4358
1592,11357
9466,8996
5665,8738
5164,11582
6140,10874
13255,8991
5915,8789
12746,5390
13170,11764
4721,13657
3687,13117
5662,3542
2411,12424
3631,13810
3026,11398
