x,y
12659,10898
1403,11878
3877,11507
2039,11643
2828,11358
9158,9797
3252,13867
9875,9030
10566,10290
9186,13491
10969,11317
13032,13659
7018,6892
11389,13392
13262,12293
6193,10949
10716,12444
2005,12166
1632,11347
1681,11224
1090,10200
2525,12935
5121,11532
8004,8501
3560,9852
8725,9078
5988,12552
1977,12292
11586,3189
12038,2574
5757,6495
6796,13971
1232,7421
2046,735
2356,1490
2412,658
3829,13179
2265,12195
7670,7638
4963,4687
6094,6309
1410,11732
1584,10248
3257,12822
1700,10333
2152,9780
2699,11444
2431,12119
1494,10622
4287,13191
12161,11482
12819,3156
11130,1828
9353,13394
7868,12367
2862,11152
10042,4412
6164,9552
13079,7323
8789,10010
5824,10506
10916,5199
9487,5766
8837,5469
2600,13166
4726,14042
4426,14011
8683,8057
7813,10258
6496,4864
10139,8444
8224,8050
13406,11816
13825,13123
4853,13750
1947,9773
1882,9782
987,5079
6585,13688
8036,3352
6629,8345
1247,11406
1731,10922
2542,11952
1686,10902
9816,5909
10298,10545
7745,9991
8076,13304
8104,13652
6928,14064
2141,2450
9234,1274
5013,1492
1787,11357
1010,11586
3583,11560
9990,4192
14117,6924
7358,11681
2857,11891
4271,11766
3204,10798
7958,6827
8491,6611
11659,1012
11406,6023
5262,4926
7308,8867
1624,6808
1344,4052
10732,10514
6262,7334
9968,13631
9854,14062
10481,12687
6338,11195
3323,13290
3690,13367
4772,13623
3182,12831
7585,7578
14023,4120
8293,8166
7940,7062
6754,7584
5221,12290
7812,10792
11019,11662
10639,5048
7532,7830
4622,3838
3141,2458
2552,11659
2938,13481
1238,7894
12948,13538
2283,12378
5414,3222
4074,13652
1975,1783
4340,11636
8720,8016
4874,8331
3978,13267
1099,12074
1895,7557
6439,6144
4473,5940
2479,7135
1730,7613
10434,2855
11015,3613
4926,6042
9208,3361
5329,4796
3763,3889
3795,3514
1658,7647
2498,12484
5559,1029
4595,9843
2257,12061
3413,13518
13343,3777
14043,4757
2664,12622
7504,6108
12980,2786
11568,12069
5990,10342
14064,10064
1692,5233
8383,13279
9053,13608
4533,9293
1373,11402
1335,11391
1125,10461
1127,11097
1281,6432
1811,3663
1757,3634
6739,4382
818,10420
9543,2755
9476,2400
9689,2427
4791,5133
9158,7294
8415,10133
9408,13207
9508,13240
9649,13488
9480,13703
3215,10972
5962,13873
12946,12286
12726,9722
3210,12954
1664,11352
9118,8972
5620,8986
6010,8679
9917,6577
10014,10174
1447,12435
3160,13405
5794,12724
6042,12488
6021,12697
9101,13605
1365,9748
4068,10177
4910,10484
5162,12352
3918,13709
10271,14086
11589,12038
2284,13353
1868,12067
4778,13494
7571,7822
6742,7211
13362,12751
1402,11677
7392,13542
8814,8512
2153,2645
2261,11826
4493,13403
8634,1004
7829,969
4512,6438
2683,5562
7091,6677
4804,7670
3476,1819
4020,13504
3840,13217
4216,13416
3951,13350
2956,11299
6171,12510
10553,11048
13137,9455
810,11050
1120,10898
8189,4887
1820,7802
9687,3476
2225,11747
2985,9392
3951,9386
2281,9118
1433,11582
1788,12614
987,11141
861,10326
2781,9965
3726,9340
6391,4896
8564,13604
5898,12292
4758,12232
6974,9810
8775,5606
3006,12689
2818,12629
2026,11652
4684,13303
11728,5809
6690,7506
3019,11915
8763,8055
9008,8269
12825,12612
13259,12733
11227,11048
13988,8978
12662,12395
6464,11216
9638,11147
6957,13194
8519,7870
1658,11296
4136,13966
3082,9261
7990,10730
9136,9002
2967,13010
3927,10368
4008,10103
7731,7151
7429,7632
1502,11778
2406,13009
1703,10827
1146,10291
7506,10072
6105,9465
5954,10936
7626,10276
5369,5268
3563,8977
3469,10828
1567,7436
10541,1561
11054,10853
10722,10455
9505,11647
9314,6120
4210,4996
3468,13180
4383,13714
3195,13162
5133,9302
4553,13709
7090,13920
10473,10368
13088,5000
13306,4832
13933,9133
12274,12343
13264,13727
13004,14039
12932,14020
13000,13981
12928,2032
13006,1934
3286,13193
858,10853
2508,13473
2631,12740
3395,7274
8291,8225
7889,7327
5247,9612
6299,6371
6070,5540
6322,8953
13918,10794
5825,8997
2551,2547
3658,3097
13247,13730
3730,13057
2730,13413
8173,7907
7789,7758
10690,10593
6834,9550
3755,9706
3091,12696
3278,10286
2616,7308
11472,3403
9117,5524
4869,9580
1322,2260
1132,2497
2150,12006
3435,13828
13124,3749
14016,4466
8551,13394
12922,13428
12717,12775
13198,12858
1234,10771
3954,12408
1379,11044
1666,6719
5438,4850
10260,13423
7360,6829
1516,11057
3380,13545
6999,13636
7566,13500
8812,9918
7637,11522
5686,1566
3808,13959
13511,4614
5976,3956
7496,5150
7740,1944
2753,11390
1783,12923
1092,10928
2994,12085
2689,11448
8807,4137
11390,6449
5638,5903
4826,917
7111,1183
2000,12999
1286,11394
10650,7596
6481,8334
11704,14265
3629,10753
2232,13001
5821,11230
8034,11748
5328,11250
12080,6861
11299,7525
13544,9720
13726,9482
5190,13681
3572,13153
1529,10812
4680,2671
1756,12604
1794,11802
785,10175
2869,12616
3931,12365
1559,12050
5417,8624
9058,5700
13803,6455
13513,5822
5377,4931
6054,6315
7490,8379
7181,4912
8818,9014
8832,9016
9000,9284
5182,5920
2759,7050
1559,2438
2172,2492
1311,2271
899,1389
1323,10844
2052,12116
1479,11825
4060,12526
1538,11518
7703,7371
10801,1476
9526,9254
4158,3831
1267,6606
1075,5198
3159,8353
2251,9278
1100,2064
1530,2114
3926,5030
1251,10589
956,9802
7788,5800
10570,2796
1633,11237
2942,11052
10344,8319
2489,12568
5311,13492
2651,13465
1357,10271
1652,6643
1623,6913
1837,5327
1443,4498
4510,13740
2563,11739
10657,5212
1891,7646
3889,13375
3812,13189
2815,7136
2420,9742
6154,5722
2305,11939
1754,12811
5105,8476
2592,11803
5560,13386
14085,5950
13224,6840
13452,8087
10943,12765
10913,12072
13217,12871
2282,12601
1135,11676
3939,13590
4324,13233
4466,13594
3698,13607
10036,2477
10488,2780
4365,13717
9046,8803
9073,10992
3123,7718
9335,9906
12445,11377
7446,4741
5215,737
3778,3036
2364,7664
2375,12063
2372,12881
6404,6809
7030,13375
13388,5516
5408,6059
6336,4468
6412,6530
7491,1192
5032,3633
1153,10511
6420,9612
2399,11916
1547,12505
8728,9967
7296,7824
3267,13367
2312,12815
3070,12898
6945,13452
10988,10771
10376,2991
12613,12677
2412,12142
3914,9417
3926,9437
2399,12558
13906,7181
4157,14015
10524,10897
10202,11096
2734,13272
6448,9630
1344,11048
941,11318
1652,11349
1567,11563
12966,2152
8074,7460
6667,6899
5523,5375
3377,3950
4072,4656
11398,6890
4544,1794
2268,5149
1209,1035
2277,1297
1581,1171
956,10756
1936,13162
11464,1500
12345,3054
12185,9145
11834,6713
11587,6047
3862,10420
3997,9344
5602,11563
3349,12988
2218,12681
3108,12742
2952,13136
9408,8958
9467,9176
3088,13127
13043,11832
972,10258
6110,6098
8766,7576
7350,7039
13572,3700
6495,1515
7446,7811
5572,5696
5267,5044
10335,9715
10228,9629
9562,9083
9273,6148
2568,2862
10157,4481
12052,8585
7453,7155
2758,12496
1798,12247
2976,11533
4899,10297
9092,5975
1819,12570
7206,1393
11973,2842
11603,2029
4616,8003
6269,5800
4924,9810
13759,3243
8314,8107
8661,7858
11218,3853
11244,6167
9025,9289
10070,8129
2844,11329
4070,13273
4352,13663
4435,13598
8294,12386
9032,8276
9588,10140
9349,9772
11526,10986
7423,13560
11808,13371
12396,12264
12126,11944
12909,12876
3592,13076
3392,13819
2446,13425
2435,13521
1783,12995
794,9382
1075,9561
7680,5141
7980,1105
6543,1197
6602,1208
7871,1518
6199,2416
4914,7889
1736,11270
1886,9760
774,10156
2039,12972
3941,10541
6517,1031
9958,11314
12364,3237
4650,5907
4624,5966
820,9217
3720,4352
12855,11846
4206,11433
11680,4192
6152,4638
7545,4736
7604,5151
3718,13319
3454,12916
3286,12886
7386,6161
8816,5508
13491,7781
8521,8372
13668,8809
9123,5723
7705,10117
9436,9701
3518,10655
10093,7660
13558,7972
13762,7905
7907,6426
3185,13169
1479,10778
7292,9790
6605,7688
13442,3797
7967,1725
3451,9267
2573,6955
7793,1496
5234,9130
3912,11196
4249,9595
1321,10762
1565,10668
1395,10579
5186,10359
7217,9033
1694,4599
2129,2651
5053,1578
2849,9729
13701,4257
8359,10271
4803,9443
8821,4491
6095,3386
6582,13207
3685,10123
3775,13323
953,11524
9209,5506
9027,4739
8132,4830
11730,3483
876,3800
3227,12892
6716,13798
1193,10421
8473,8003
3318,1612
4213,1701
2013,11975
4287,13260
2756,12546
9871,4237
11096,5322
11251,4847
11209,5447
6435,2574
13350,3193
13082,3294
8792,9019
13917,3904
8263,8050
8433,7668
13623,4441
13450,7227
8760,8817
12072,1108
7124,6300
12232,3332
9234,9215
9829,6366
10564,10727
10283,10778
2417,12779
12324,12455
5924,13466
13062,5080
8830,10000
8632,8843
8335,6562
1484,11403
1457,11829
1194,10946
1675,6655
1493,10732
3601,9784
4103,9763
894,9814
6990,8805
9884,9453
2715,11677
4223,13691
5281,13104
4419,13244
9018,6062
9280,7162
8892,7346
11452,1223
13393,7473
7014,7927
5912,9419
13478,13788
11026,3762
13663,14112
1335,11246
1572,11391
6895,8925
4230,7282
7771,7438
8636,8642
2793,12070
1290,10915
1127,10165
1282,10374
1356,8495
2372,11882
2722,11430
8195,13960
13150,8738
7203,14020
8610,13416
13072,4184
1391,11284
1198,11765
1794,11187
1327,10577
4195,11775
1179,10360
1204,7623
11640,5386
4747,13837
1937,12808
2343,12337
3934,13523
2733,12275
4487,13941
1904,9633
1835,9752
7140,11488
12511,13698
1392,10635
1887,11619
11205,12574
3344,13766
3224,12815
1081,6796
1977,3336
1656,5002
7782,9823
1084,10720
1506,11444
11041,5539
6293,6537
1336,12806
8379,8380
7469,7374
6465,8055
7053,4283
7032,4093
7086,3950
7155,3981
7840,7858
4138,3561
6705,7512
5725,9157
1229,5891
5980,9346
9312,8557
5056,9712
5299,9429
11577,5649
7766,13468
8322,993
4225,7436
2822,13688
4712,13737
1821,12189
6556,6762
7216,6997
1685,10072
9649,9500
9958,2527
2982,13176
4424,13303
8455,880
3142,574
2822,12933
2858,12808
10608,5267
2079,11856
3474,12956
2865,13198
4214,3496
1189,5349
938,5846
6208,6168
1232,12641
8109,13437
3813,13695
1426,4231
3235,3929
1038,6271
824,10446
6322,12678
6546,9385
798,4324
1573,4073
1496,11375
1840,12355
1720,12225
848,9733
3546,13729
7552,10129
9457,6143
10121,7119
8510,10184
8038,11996
6282,6404
10106,5166
6123,8505
1458,11670
13391,6013
9966,5464
3108,11225
1780,11323
3411,10271
952,6824
10157,7089
12347,6331
2952,12681
4249,12056
5249,12428
4307,13349
3074,10706
8404,13474
3094,12692
1339,12782
1600,11522
1917,11695
2598,12632
9344,9254
5675,13296
8489,1265
7054,1611
11738,2228
7195,9139
3118,13201
4404,13406
4063,13387
5409,11470
13749,8707
12106,8108
12276,8511
12227,9278
6639,7495
8650,8686
8620,10608
881,10820
5358,9207
6460,13949
4514,14045
11256,10798
12534,10639
11492,11010
6202,8713
1136,11291
2814,11257
8240,1317
6625,7958
8154,10132
1568,7806
918,4986
1352,5250
2149,12904
1157,10823
9674,1766
3277,13062
3523,9715
3222,13199
7300,13502
1093,10842
1152,10688
6253,13465
5298,12422
1264,9516
2744,11464
2001,11649
8463,9042
3120,10894
4839,8217
1958,13139
842,10940
12338,5250
3566,2868
3976,3136
3400,2536
2871,4332
1141,11500
1800,11463
1281,4600
3463,8566
3616,8786
11870,2532
7890,7613
11682,10717
12090,10460
3210,13034
4126,2249
1739,5086
2856,11628
5776,5816
12007,5081
6529,6266
6098,6694
12827,2570
7079,7321
6148,6685
1674,7333
1050,5653
4169,13631
8887,8182
3939,13892
7639,13674
8532,4877
3788,7819
1163,11035
6616,1400
4470,5062
13199,3485
5834,2912
2108,1485
2662,11495
11050,4910
11112,5758
1061,10586
4702,7929
10394,9804
11925,11165
6217,9162
868,8621
4340,4866
1510,11358
1903,11628
3430,13415
7959,7188
4324,13649
4034,13432
8766,8896
8856,9183
9513,6110
13426,6016
11070,1684
11651,7627
11207,8478
1547,9253
2532,10102
8099,11763
7741,13250
10087,13623
1274,4472
7146,6069
10538,4676
2887,7836
7454,1033
5531,5395
9508,4241
3198,11037
9412,5712
2397,13040
1095,6701
5982,5104
9570,5572
7218,5035
4395,3108
3006,12656
1748,11138
6462,13463
8368,8152
1761,11395
4318,9977
7545,13721
2733,9892
2320,5458
1484,12128
1119,10468
8265,5437
5302,2886
12746,7337
1461,5450
11918,12561
13960,11638
9899,9877
13390,12410
2194,13307
1774,13156
3296,13437
12575,2106
3993,12466
1554,10572
3848,13527
2390,11992
4380,10126
1206,12367
4226,13640
2937,12777
3648,13246
6320,13676
7788,13284
13728,10292
14103,10324
2916,13102
3541,13450
2093,12800
3028,13540
5276,14077
10201,9601
11278,10871
11704,11100
12065,11208
13187,13738
9344,1704
3739,13926
5328,7774
5227,5220
3587,13306
4113,13231
7738,13306
4534,9278
13584,5927
11332,14143
7475,11268
7439,11737
5056,9182
5490,9218
4898,9275
11279,11395
13253,11787
13017,12112
13942,12606
4556,11672
2404,11766
1237,12575
2094,13014
3559,11270
2759,9879
1697,12327
8369,10227
7332,7996
9805,13890
2598,2178
11123,5677
2333,12746
3128,10940
2293,12523
3040,12648
4561,13579
4200,14009
7601,8382
7812,13736
8822,14068
11142,12834
11102,12836
11975,13843
2768,12807
4540,13784
6749,7188
3057,11580
4326,13307
774,10156
1264,5873
912,6946
1801,1345
3067,2555
3953,12476
1014,5657
3621,4276
1921,11594
2990,13302
8985,5500
6102,6048
1346,4810
3466,13496
2291,12863
7894,11024
7000,11368
8486,14108
13393,4008
1532,3292
5049,5186
1583,10777
1437,10434
1216,10494
2355,7358
1696,6648
3806,13676
3774,10883
1482,8018
7395,7356
844,5041
913,6822
10329,10490
2817,12750
4162,13743
3524,11706
4312,13690
7692,13684
10107,13456
14170,12089
1760,11622
2116,11654
4245,5085
6234,12150
7246,7022
9426,4708
3926,13445
4556,13680
8624,8361
4537,12109
13506,4100
10688,5181
2890,4234
1038,10862
10565,1307
4000,1788
3277,8905
1088,7583
1811,3096
884,10059
1404,12424
1532,10363
4538,9987
1052,9888
1010,11649
1374,12424
4016,704
6253,3352
1676,7357
1706,8118
1095,4773
4032,1730
2123,1437
3426,8681
3312,7710
3319,2821
3882,7372
2288,8929
6712,2762
6076,1615
2501,11815
3336,13404
2053,13111
4290,13498
1797,12159
7298,9128
7083,7340
4766,5160
6554,8775
8087,8164
8692,5878
5565,7683
3829,7359
6688,7470
1174,7108
5440,4974
4303,3762
4459,13540
10918,10495
10615,13536
13632,12914
4948,4652
3273,13083
4422,13940
1354,2021
3864,13962
8165,13295
13806,5860
12677,10895
14039,11455
13796,12472
13994,12647
2122,11678
8036,11753
7586,11252
6319,11060
8891,10669
13402,11597
12860,9759
12882,9769
12943,13013
5145,13499
2932,13468
12208,2644
1608,11267
7088,12494
1079,11877
1366,8279
2964,12939
6249,6087
4898,4910
7815,8448
7041,11383
1355,11191
1393,10599
3765,6264
7323,6809
6058,5841
5868,5568
1300,7203
1557,7010
6469,6753
6390,6581
1967,7832
958,10934
10763,11150
1920,2121
1733,10756
6432,8283
3480,7818
3757,12937
1700,11463
795,10294
1733,11088
2978,9530
1524,10824
8169,10557
9208,8522
1422,12645
10168,4097
12214,11374
2187,12538
3533,9603
3142,7513
3556,9048
3269,10619
3343,13014
3164,13112
2270,13448
889,10771
4616,11621
6173,6135
1623,12943
7247,14087
7065,13266
9538,9119
8373,8937
9920,7892
8694,4468
2011,3044
1066,2407
1196,1798
4782,9743
8468,13508
6171,13650
7212,4803
4389,9781
2710,6858
2672,5889
4878,5006
4580,4399
2831,3367
2314,12208
2292,12914
1176,10934
1882,11967
7194,6961
2154,2622
1196,2316
7198,8218
5422,9384
11383,6448
12141,7234
5450,8554
13163,7581
12413,6151
2016,3454
6225,2254
5732,5386
4840,13740
5343,5158
4780,5851
1789,11674
3972,13666
2236,12668
6893,6410
9186,9178
6344,11498
9652,9674
7512,783
8168,1040
12061,11192
3261,10684
870,10210
2061,13149
3057,10842
7960,13801
7619,7440
7848,882
5762,864
5117,921
10073,1236
1851,11511
4292,14054
9448,13436
7523,3089
8099,13640
6988,9505
3386,10229
6669,9687
8657,10686
9250,5671
8139,10097
7992,10628
6523,13516
14184,13711
9580,2457
8507,1389
9435,8752
10926,7650
11134,7675
6454,7090
6796,9218
8084,10326
1695,11758
5696,7535
10276,10772
10051,9606
9548,9696
11260,8585
2260,4365
14040,5713
3123,10794
11190,3282
11926,3755
7631,7332
6351,1658
3934,13082
4716,7706
3144,13430
8699,8491
5968,13878
2316,11739
4656,13926
5940,11367
7350,8968
11558,8195
2753,12779
4107,14015
9085,11071
13405,2526
10304,10924
10051,8254
10116,8416
6914,2585
9882,10322
10731,10812
8037,5283
8257,6371
1700,10492
3162,11108
3582,10883
2722,9855
6118,4714
9821,9283
9937,9526
2219,11763
1205,11798
3927,13191
6822,4987
8027,6659
11910,13171
