x,y
975,11362
7735,6860
10826,4444
6886,1284
7839,8041
7914,8474
8585,8018
7984,8376
3699,10693
5286,13214
4062,9534
4915,13368
8658,1295
4491,9628
6748,12827
6600,12870
3739,13113
6460,6680
10078,1155
4700,9100
1128,8419
6715,953
8250,5657
6594,6567
2881,9723
4729,4849
4643,7443
6354,5934
1970,1788
9057,8757
13455,7190
7406,6807
7347,6898
4876,9531
5968,5600
8844,3618
4529,2770
3994,7272
13612,8430
13474,8902
12596,5186
1774,11376
6125,12725
4856,7459
11080,10686
8814,9893
8658,9784
4580,4865
2304,8787
10791,5313
6658,6604
11127,3842
13866,5646
10499,5718
9879,9714
8438,7883
4788,8222
8057,10141
12941,7276
8860,9874
4360,4980
12557,12645
7814,7632
8415,8222
7964,7826
7854,7704
4517,13975
10027,8108
10254,10787
13334,6392
8633,8318
11268,6172
13250,5538
11735,6639
7418,7599
7052,8849
3755,13285
10907,4537
7218,7910
9238,9328
11724,5976
12943,3166
8402,8853
9820,9734
6398,6504
2642,9942
8771,3669
7881,8214
8828,8666
8271,8434
9611,9274
9238,6258
6032,8670
7358,7346
10151,9978
8374,11670
8354,13907
9209,9942
10613,10858
10607,12811
9888,13482
8273,13369
8115,7734
8382,10023
9364,9995
9580,9306
13193,7527
10048,9996
12364,12485
6744,6708
9670,5400
6024,1730
8236,8166
4148,13606
4198,9810
4042,9466
12403,5761
12029,4820
12383,5213
12530,5196
4057,10008
13931,6687
7083,7441
7284,6675
6806,7362
4835,5457
3384,7822
2996,7664
6410,4755
4665,13908
12312,2928
13883,8184
4694,9647
1439,9816
4375,13420
9663,10198
10738,11097
11089,11945
12619,13719
8101,8272
10495,3132
8598,8179
8371,8138
3534,8031
5230,4745
8353,2614
4780,4716
2397,3541
5969,6144
6268,9395
5598,1514
1164,1868
5538,5307
2723,2403
7264,7420
11518,1292
9423,3633
5962,6240
4919,9651
810,10548
1068,11431
5756,7420
6096,8452
13961,3924
7589,11784
4698,9328
5890,13874
4488,4478
7762,6513
8622,8164
7912,8243
8763,7929
5812,9162
7246,7724
7623,7470
7429,13500
9377,1108
9176,2651
12632,2170
2718,6472
12655,4976
7214,7085
7486,4987
7218,6014
10071,7408
8502,5760
7928,3370
10566,11152
10886,10902
6886,6804
11220,3674
2561,12730
9540,9336
8602,8521
6376,6858
6025,5881
6004,12514
7880,11734
4388,4374
4390,5150
979,6054
3312,4060
4936,10288
6378,10050
9841,5891
4500,13776
8673,13778
13174,2807
13312,3358
9860,9849
8635,7713
5876,13098
5543,5874
7899,3341
4830,4363
7631,10243
8690,8677
11531,4014
13960,4956
14031,4311
10004,6358
7133,9434
5815,5490
6938,5197
2594,12450
4216,13938
6974,11536
7344,5034
7182,7176
6781,7687
2880,12016
4217,12685
3483,6090
8249,7219
7848,7447
4516,11922
11524,4222
9715,11461
13843,11477
8554,8390
10018,13946
10096,13594
8542,13863
7996,4770
10312,10304
11585,10677
1557,11000
3704,9534
11774,1058
12603,1613
13136,4331
12692,2374
13456,2671
12870,3180
12968,2744
11784,2044
13116,3102
12364,2064
10212,3060
10392,1247
13822,5074
9565,8800
7334,7629
7713,7843
11165,1377
10853,1028
9608,1134
4844,7420
3879,6009
3510,6121
3280,6618
1178,6029
4062,4314
4174,11734
4736,11724
1439,8777
8267,5600
7695,5234
6458,4663
9004,7652
7924,7144
6276,7224
6891,7510
3945,13320
3402,12913
4087,4486
2715,3224
6690,7583
1678,3154
8163,8027
9855,9424
6669,6616
9567,9202
9220,8747
2278,11841
7757,7681
4806,7952
9050,7649
10090,5168
13384,4674
7516,7465
8124,7309
10864,5175
13397,2567
2070,7891
8879,5773
8986,1524
3346,6623
13525,4286
9938,6882
12618,5795
13531,8765
13407,7782
10755,10575
13871,13183
7777,7951
13621,7816
13310,6660
4094,9878
10053,10292
8448,8445
7606,5865
3766,8615
7690,7875
4132,5090
3510,4014
9539,6266
5916,6261
5990,6206
6304,6198
5923,5861
6209,6450
4798,6742
8012,2126
7739,1168
7976,758
7199,1674
6960,1048
5056,5220
12328,10780
10497,10616
11386,10051
11384,9840
7065,11501
6574,6832
10778,3293
9403,13637
9273,13939
5230,11698
4768,4310
5939,6585
10822,3497
9065,8336
7610,8022
5966,6602
6528,9108
5279,8697
7636,8080
9991,9848
6829,6872
7346,7894
10660,10980
10791,10046
9497,9250
3278,8220
2607,5534
7179,7351
7946,7915
12888,5083
10084,7038
7146,7026
8644,3504
8786,7990
7857,5151
8036,5653
10761,11090
10243,8092
11020,10655
8954,8887
12456,10753
8988,9191
5786,6560
5710,6540
5697,6519
5907,6709
10651,7521
12676,1652
5387,12348
11157,4719
3140,12762
7119,7285
8004,8540
9259,8496
9878,1588
9458,1970
8863,8154
7720,6833
13389,7622
9932,9786
10176,10432
11319,10755
10776,10932
9184,10000
4600,13648
13342,11020
12051,12403
6550,6569
10834,9956
7591,6715
10157,1197
8721,8393
5825,3490
4287,4079
7444,7636
11534,3213
3803,7191
4193,3896
4137,4068
6629,6939
2768,2268
6289,6066
12648,2853
4940,13881
11502,7027
10692,4885
5417,9199
9326,13891
8628,8246
8020,7532
2863,12606
13425,7858
9560,9056
9833,9906
9900,10114
9082,7630
9912,9740
8700,8731
9039,9402
10727,10288
10992,11626
12924,12926
6265,6575
8359,6770
5694,6227
5856,7224
6185,6522
5476,1240
8551,7507
7132,6790
8932,5992
6884,3055
6710,4427
5311,5542
2803,3170
1513,2043
816,1667
10280,4739
4094,12629
12377,11704
13524,13780
6692,7196
4903,9419
11157,1122
13113,2690
10957,902
10204,973
5263,5968
4780,6151
11493,3308
4376,4400
6237,5040
6969,6764
8141,7625
7650,7311
6987,7267
9216,8497
7125,6974
10622,10541
7495,7064
7138,6123
7419,6244
12788,2784
3540,8901
3324,7706
8940,8791
8686,8805
8842,5823
8379,8206
8660,8712
9895,9425
10072,10297
8381,8687
9212,9358
11292,11468
10849,11233
6244,4948
1967,12179
10541,5766
10535,5442
11430,6065
6099,6422
6423,6534
7268,6702
6566,6412
1696,11446
5825,6127
5402,5959
10685,2168
5233,5369
11839,9305
10788,9863
7777,8363
6446,6444
13492,6054
13907,4171
6615,8555
8119,7482
4823,4907
1232,10446
8388,8555
6079,6302
6143,6200
7071,6161
6544,6565
5889,5724
7006,8050
12022,1394
7612,5676
5311,5494
3418,3842
5416,5374
5466,5315
5793,5241
6276,4734
4617,13735
6546,9084
7854,10529
3101,8063
3996,13763
5225,5652
1939,937
2918,2863
7010,7304
4202,11700
5883,9434
8519,8317
12890,3382
9588,6354
13641,4944
2182,8358
1118,11038
10019,6536
5905,7495
6010,1130
5087,2350
4174,3042
1446,12436
4312,4824
8707,8624
7292,8760
12452,2654
1728,9146
8649,1466
13132,4113
12182,2561
6562,6204
13491,7744
7025,7212
4819,5598
8708,6590
7324,8695
13442,12755
13578,13086
13871,13140
7256,9122
10356,892
11684,1857
6460,9162
6684,6282
11745,4673
11702,3911
5356,5347
9360,2384
4485,1122
4603,8488
886,4367
6714,7737
4069,4643
2711,4838
8983,6119
7247,11625
8232,7471
8038,7704
7571,8150
7172,12390
6054,9392
6721,9390
8307,7452
8183,13410
8818,11504
7843,14000
13417,14062
13415,12077
5407,5971
4814,8133
7239,7629
9246,9508
6873,6923
7671,7496
9779,10970
8375,8658
10348,10381
13019,11168
9940,11470
3376,13145
4501,13742
2052,13440
4593,13757
3187,13736
4408,13533
1286,11308
8316,6096
5056,1142
5821,1506
1774,10066
2333,9740
8341,8715
4648,4656
6302,6154
7339,7026
8229,5313
8653,8021
8946,8787
11194,4724
2667,12639
13858,6154
6508,9546
10409,10463
13482,13855
8748,7979
8078,7354
9150,8546
8530,8045
1734,11486
5950,12458
2839,8349
7872,1602
4566,10202
2489,1776
8145,3257
6349,6875
8044,7102
7717,6717
8034,8643
8366,8704
5451,5846
8036,8312
3489,9075
3714,9164
1060,5710
1607,9191
1628,8276
6646,6482
6154,10530
2525,13412
14008,6616
5534,12378
13733,13690
3068,11063
4466,9273
2794,12284
7186,9684
7536,8450
6150,6271
4787,4556
5162,13868
10595,5205
7110,7540
13588,8994
10436,5136
9944,9209
11745,3333
7048,6943
8109,5260
11430,7546
14010,4244
8106,7701
13495,3110
8941,8819
13622,3624
12600,3130
12433,6029
14122,7956
13118,7206
7603,6826
4610,9989
4637,10375
4436,10078
7836,10394
8993,8236
8569,8583
7096,11177
11498,1388
11909,1993
11480,4664
9090,8817
3469,9165
8630,5107
9127,1478
8377,6858
7387,7939
12617,1552
11849,3471
8854,7988
3535,13114
6573,2677
2247,1635
9767,6979
9185,8758
7359,6695
10342,2739
10698,3175
10046,2528
10131,2581
6871,7810
2669,6338
7330,6817
6304,11618
6292,6975
13353,5975
13103,4089
13546,9464
5059,5726
5563,6281
6201,6800
8698,12710
4658,13890
5633,7392
7685,5749
8096,10133
10707,10470
10966,7686
9454,7217
7104,7202
6897,7218
10706,10017
11036,10254
9173,7262
6061,6927
3143,13551
6106,13648
9575,8943
7176,12452
7522,11642
11008,5531
13997,5930
11378,7967
10070,9478
871,10727
3668,11344
8325,8898
8400,8651
2840,12308
5882,4231
8516,8394
6272,6284
8595,4556
10739,3225
10329,5881
6774,6703
9183,2431
6126,6590
2854,7671
1498,7915
9507,1136
10848,1739
8984,7822
13719,8890
13930,9843
2577,5650
6229,8268
8686,8150
7799,8190
8482,8164
6477,11453
7567,6855
11821,7167
13112,5105
6572,12814
9025,9430
13294,8708
8652,8465
7950,7581
7053,9193
8564,8407
8130,6498
2076,11936
8009,7686
13662,8000
5050,13544
3799,9905
3633,2166
3497,1917
6957,8966
7849,8151
14122,5158
13658,5009
11039,4557
13378,4462
14021,7498
13350,6110
5566,6054
13259,5941
6718,7859
10329,10218
9635,7298
8798,7943
10790,11563
6971,7156
5848,5016
7137,817
874,10151
9212,8620
10003,9407
10564,10892
2388,11848
6268,6568
6413,9132
4626,7579
3862,2773
3403,3727
3662,1646
7406,7408
8501,7859
6618,6297
7610,7429
13765,6783
3173,13105
7596,7243
10100,9758
10062,9638
11520,10844
11724,11034
12012,11368
13573,10842
11650,11154
12666,12389
14199,13415
6906,6660
14129,4536
13953,5955
8935,6502
4314,13584
3751,13838
6818,13640
10402,14113
8754,7838
9227,9084
11344,8758
10988,10265
13305,11404
13943,5993
13026,5105
13123,10662
11670,13031
11568,4140
10683,1682
6443,13914
11788,9444
7492,7389
8141,7578
8221,8092
13748,5113
8682,8051
8582,7600
6706,7826
5766,6532
4416,4972
6684,4448
9262,9531
9445,10017
7844,8570
11886,11511
13860,13266
6688,8263
7887,2319
7796,7763
8274,7394
6592,6806
4179,11570
3664,8992
4523,6191
4003,1253
912,3678
7373,9789
10055,5998
13533,3649
5124,9055
8851,9041
7772,7591
2605,2218
10628,11174
5221,8515
8803,8714
8757,8222
7486,7443
11237,10685
8156,8157
11180,6064
11268,5967
7586,13754
11092,5533
11106,4907
13505,7473
13645,12211
13431,10565
9090,5508
4826,9841
4518,10001
8812,6146
8391,8069
6831,8526
7106,7148
7002,7984
2585,1869
4167,2372
3375,13002
6379,13465
2158,13016
2989,13346
2280,13336
5981,6257
8278,7253
9459,14082
6620,6680
8936,7930
7869,7837
10092,7398
13473,4467
6540,6078
8246,5395
6817,6434
7834,7287
8405,7488
7146,8103
2394,9887
9944,5219
11294,5751
6670,4713
12310,7392
7173,13228
7530,7496
6274,6527
7141,6902
8194,7770
6702,6332
11469,7579
9471,9762
7461,6008
5994,6076
7042,6629
4314,13994
9551,11624
6766,7461
10327,2341
10319,2798
6298,6439
13255,2451
1648,8596
7600,3300
5556,5402
7583,3383
5616,5400
8660,4401
8021,5324
8808,4140
2927,2280
1772,1251
5613,6137
1667,11689
1828,11272
4463,13655
7719,1460
6982,7586
6870,4894
5801,7240
6236,6142
6019,6576
4703,4701
4877,5240
7856,1502
5329,5576
4114,3319
5308,9083
1660,7118
2634,6462
2784,6215
3919,10447
7656,8142
9996,4189
6393,844
9842,9378
5702,11075
3059,2851
2867,12815
1289,10610
13176,5292
11162,12978
12821,13011
13195,12858
6040,6141
7130,7266
6160,6479
10198,871
5528,6366
8933,3893
11882,4034
13207,2393
10636,1169
7764,8348
7284,13397
5916,5534
11458,6544
6226,10033
3481,10214
6152,5072
5404,2988
7709,7716
10257,9704
12914,13046
7952,7209
8795,8043
8132,6345
1599,9054
5726,1078
4225,4687
2144,3179
6364,6047
2138,1985
2435,3268
3608,2576
4334,2893
1760,3744
9663,5513
3304,2732
3833,3795
10919,3350
9970,6656
9281,6156
7942,7440
13539,7979
12690,2066
12137,2992
4036,9406
5855,9366
8356,6618
7388,1120
8547,9061
8701,8738
8988,8684
10996,11542
5276,13112
6090,10832
8075,6448
6191,5837
8454,7821
11524,5919
13798,6214
9517,11137
9697,4066
9882,4372
6986,13953
10824,13888
13573,8190
7545,7689
4534,9450
6766,6750
3925,12952
6432,6947
6478,6696
13049,5397
7058,7216
5564,11489
5623,11545
7846,10148
6765,7501
6519,10079
4816,5136
5671,3830
4419,4059
9548,5720
10646,12284
4845,9827
4760,10226
5788,6081
4288,4045
8438,6331
9822,3887
8742,9252
8628,8449
7248,7188
8665,8309
8403,8405
8704,8241
8055,7888
7169,8111
9915,4790
8420,8784
7880,6756
3650,10727
8625,3601
6270,6572
1466,11267
12256,3159
8954,9824
10226,1369
5126,7821
9305,8781
8303,7031
5669,9245
13071,2769
11263,4252
10031,4359
9755,5389
1356,10802
2247,9565
5051,5892
4340,4758
5258,3776
6068,8723
1144,11927
5609,7607
5932,6210
5957,6102
4925,7746
4755,6891
10968,3662
5132,3222
3045,9073
898,3529
2171,2324
1053,10099
12770,1582
8056,8125
8600,3921
7470,12403
9699,9222
8620,8724
9541,9886
10145,6334
13890,8578
7255,7264
11897,11075
12738,13372
7628,7778
6862,7248
6986,6952
13418,6627
13593,6194
5538,4974
5141,5629
8282,13400
5731,6127
3809,4387
8807,1005
8766,1283
6373,1186
7038,4823
3596,4315
10591,13365
13405,10670
2378,12094
13550,3144
7698,7755
777,9027
11570,10990
12406,2855
11052,10182
8667,10068
6874,9504
12197,11162
7284,1358
5176,5238
5245,10150
13642,9201
11882,3873
8006,7144
5670,3662
5534,5383
10095,902
8700,809
5337,4995
5708,5410
4063,4253
7237,6601
10594,4851
6841,7156
7959,5314
12456,9479
13782,8952
12528,10353
13673,4534
11076,3309
7360,6248
9344,7217
5659,5840
8504,8422
9654,9488
5530,5683
8828,3601
11474,1558
11235,11406
9707,8903
5853,6010
11012,1010
972,7930
5252,5092
7369,6248
11217,6116
8118,8300
7927,7780
8160,8764
9083,8862
11200,1300
9980,9809
7862,8294
7152,10998
6943,9299
9974,9323
9561,8963
9394,6318
10161,7451
7169,7948
3255,9063
5177,9079
7924,12290
7483,13217
9716,13256
13656,14067
6391,6741
6552,6593
8214,7648
6091,6209
7819,4243
12393,2795
14025,7019
7726,9791
14071,7240
9226,13457
5596,14110
11586,2101
6651,4537
4778,4691
8944,4330
5237,5390
4902,4932
13281,2453
6800,8192
10638,3223
11013,3450
7432,1282
10370,8605
2368,7739
9964,9180
4962,10464
1869,1854
8852,8735
13316,7132
13566,4207
12180,2254
12654,1813
7935,10259
12036,13036
5688,11484
6821,4833
6363,4547
3579,8086
8742,8180
10168,1459
1562,5462
2608,5095
6368,8708
6930,6855
9246,5502
7704,7213
5539,11103
6070,9946
7370,7252
6321,6580
3895,4804
2389,2088
1332,604
6262,6542
5915,5774
10357,1405
5789,6177
6936,7112
8282,8030
5994,6324
8836,4466
3836,10460
8772,7438
10063,8401
10000,9079
9485,5322
7357,7861
2721,6599
8605,8232
10517,5605
8457,8469
5678,11350
8500,6391
8716,5716
4190,12334
4063,11543
1242,9927
9962,11180
10148,10913
11830,9388
6530,7038
6418,6653
11927,7334
7393,4949
6720,13446
5486,5379
4333,4274
6092,5814
4215,3965
3846,4356
4903,4644
3523,3909
5640,6002
3016,13524
11259,5213
12648,1913
5138,13963
13633,4308
12450,5059
13779,7952
2022,12774
5634,1115
8237,11420
5836,8550
8405,8013
7707,8092
8639,1420
7716,7633
5710,6031
11737,1702
9451,13536
13835,13241
8618,8524
7484,6191
9470,5718
2966,13568
3061,13553
7583,8135
4189,13426
13090,3161
12028,3468
12922,1708
8854,5700
1850,7991
7359,6026
6388,6315
12558,1456
4488,4960
2256,7503
9255,8762
6533,2527
6293,12169
10485,878
7661,13609
13930,5141
12324,2426
13261,8945
10274,8436
7800,7453
11092,8939
9737,8964
5536,9072
4958,8394
3165,7671
1592,11491
7230,6773
1955,12257
1302,11377
855,10163
7123,6072
3982,13834
8006,1905
7047,7184
8737,8551
7681,7826
8057,8044
7096,13748
7567,7457
13555,3446
8216,8198
12047,3550
6392,6904
7729,7999
9464,8729
7991,7679
10161,10288
6164,2116
11516,1884
5908,6872
6931,7092
3626,10216
9257,2017
9358,2154
7739,1616
1012,7270
10581,10291
905,10071
2687,7225
2416,12956
2042,12263
2296,12170
1620,10976
1628,11474
7258,1355
7094,11544
6303,5833
6448,6153
4580,4990
6023,13503
3924,3234
12675,2021
14023,4618
4198,11484
3932,13877
11918,9214
7117,6720
2180,2821
8146,11750
6981,12677
7422,4813
8595,5650
11524,3650
8168,7850
1349,12216
9203,2435
10400,2982
10816,1982
2458,3156
11153,996
3303,12922
7100,7577
5319,5409
8902,8890
6963,6799
4466,4786
7048,4948
9367,6266
8310,8104
8514,9093
13610,8269
13768,8341
9316,9863
11929,11996
13320,13976
6557,6366
5575,6117
6649,8521
6689,9431
4940,9105
6364,6856
10105,8502
10236,8077
10678,8840
6954,6934
8176,6580
6791,5115
9470,9029
9676,9174
9979,5312
9750,5272
8917,7566
3984,10292
3067,9813
6520,7671
13955,4297
7118,1137
9714,1281
13058,7383
9786,2636
8277,5272
7807,7780
5881,12396
6577,13447
5639,13722
11061,4763
8531,12540
7739,9692
9243,8612
8942,9040
3762,4428
10259,4987
1022,9350
6082,8190
4177,10045
11024,6563
7334,11981
8070,10528
2101,3094
9707,9799
6522,6923
6326,6538
6177,6245
2633,12657
6312,6406
5561,5901
3133,8424
4804,5248
6406,8172
4953,5541
6332,12081
4460,6320
2776,6866
2759,4683
12854,2928
8839,9756
4569,4587
4768,3968
12472,2472
11972,2454
4393,9361
4362,4228
2706,2071
2311,1633
8792,9938
8862,8164
9010,9287
7830,8011
8731,9061
8247,8507
10854,11346
12808,12706
12345,13181
7733,7701
6626,8338
13336,4287
7268,7251
8457,6596
6183,5215
1322,8292
10432,1356
11642,4640
5428,3441
13419,8019
11696,11431
10287,10418
8344,3547
6626,6632
8665,8328
8576,8315
14024,5074
9299,2261
10033,9391
7546,6088
6851,7405
6495,4753
7740,3335
940,9037
1533,5258
1640,6205
13101,3748
11011,13360
9000,8278
7902,3553
8029,4182
2567,12572
4662,4726
6917,7866
6780,7524
11306,975
4138,13132
10232,4819
10416,2926
5637,8808
7487,7497
6430,7063
11768,1804
8209,6893
6520,7216
7059,7843
5874,5109
6348,9917
6541,7238
4962,10000
3756,10476
10132,5732
9983,6475
6350,6264
7256,6547
6723,6362
5034,8800
3394,8130
1299,6736
6910,7412
3749,10050
6687,4705
1561,11123
7046,7454
6294,10176
9332,9296
12921,3431
10032,5692
9164,9067
9616,9371
10177,10178
13744,5059
11123,12076
14198,13935
3863,13588
13200,2900
8755,8113
4494,13521
12784,5394
12475,7657
10052,6658
12542,7299
8889,8344
8894,8182
12447,2617
3101,10972
3941,4200
13868,8146
8554,8372
2591,11594
8653,8789
8607,8326
5128,12469
9860,6141
11243,5471
8338,5745
13278,7854
7492,12140
5732,13104
8383,7635
830,10574
9244,9258
13300,2205
4796,13663
10333,9954
8623,12711
13820,6452
8676,7813
9035,8359
7891,8459
7733,8278
10522,9972
11282,7148
11066,4754
7619,10182
3777,13268
2495,12991
1112,10764
6161,6915
6351,6381
6493,6766
6427,6275
8708,7909
2448,2892
1088,747
7731,7337
7528,7381
8964,9596
6974,7448
6302,6265
9605,9290
4076,9866
3584,9672
3470,9419
11805,9094
7938,8264
9491,9620
9294,8745
8241,7973
8588,8083
7789,9461
10226,10137
10270,10047
11455,12041
11305,5650
6806,7943
5775,6089
9230,5630
8216,5291
7759,8295
4156,4346
3548,2903
9027,1687
13121,10887
1958,9531
8274,7791
2149,13102
6088,4903
13057,5069
11806,3383
7904,774
8293,6284
6162,7058
5958,6144
2579,8917
12972,3525
2749,4541
3615,3887
8658,8283
5960,10955
13004,2612
11365,1022
5652,6032
5798,6087
5704,6568
14121,11624
8255,8162
5570,4938
5312,8688
4831,8245
12027,7373
12214,9278
6170,6212
6798,7281
1068,12011
3747,13759
3796,13766
8791,8785
9903,1293
1924,13312
12848,14245
8546,8304
8813,8917
7343,11842
10233,6464
8692,6294
11200,1820
12059,8564
6582,7143
7886,9534
7801,13636
8285,13958
3446,7850
10070,7249
8556,5170
6737,6679
9578,5895
9266,5767
8546,4988
5782,4943
6072,8515
592,3035
6881,7955
5697,6084
8066,4843
6997,4798
9926,8931
5357,5932
4079,4323
2713,4867
1228,4515
1912,2060
8684,7929
8162,6927
3488,9288
6816,7999
13052,9813
8597,12568
7979,11898
6202,6182
5778,13398
13931,10335
13469,10429
2092,12920
11659,2862
8618,13524
13608,7803
11731,5294
9953,3329
12366,8613
6158,9726
5555,1226
13795,3500
9896,5332
9032,9906
10041,6987
12846,13228
12986,12298
8491,8586
8150,7980
6311,10103
8453,7695
14050,4664
13611,7933
10006,9740
7567,8304
8594,10067
9999,10033
1285,10511
1728,11348
13990,8292
7901,11137
7898,8228
8107,5135
8042,3441
7936,8258
2280,9508
11809,11482
4023,12952
5287,13260
10068,8673
8158,7700
5523,1254
6774,1531
4274,14000
7185,3377
4531,5086
4965,5721
5606,5491
5438,13558
10992,10520
8473,7786
3468,13109
1884,11420
7242,9926
7216,10100
13762,12362
11396,13923
7944,7884
7706,8664
7059,7822
5983,6282
5228,4704
6387,4925
4751,4605
4109,4510
6553,4570
2272,4623
1017,3777
2569,4173
2759,3780
4874,2684
5456,1751
1637,10564
7484,7652
6393,6285
13258,3106
12668,2611
9890,10424
9538,5879
10127,7469
3696,10108
8012,6438
11746,3604
13691,9202
13528,11864
3620,7851
6936,7818
13349,10642
12603,11372
4064,12576
6692,4822
5633,12498
2733,11920
11903,9238
11880,9545
11435,7810
12688,10747
13732,12524
6024,6049
12321,2980
6463,6427
12531,5358
9301,9259
4204,9704
7601,7488
4862,3980
3071,10835
7993,7790
6372,9373
1131,9703
1766,9470
7300,7077
7084,6664
1380,4442
1155,5119
8604,7846
12628,5049
13312,3893
13518,4166
10479,7468
7794,7720
11811,10016
8248,6436
5077,13961
4294,14039
8971,7469
8790,7807
8495,7966
9712,9562
8154,6697
7538,5946
8029,6379
4552,12594
4068,4567
12510,12289
8379,10379
8111,8544
13107,3836
10244,4778
11334,3644
8638,8314
8411,8785
11772,2892
7661,7253
3445,7798
8245,14069
8306,10248
7473,8587
8137,8321
9944,7412
3959,10214
5303,10554
11961,6701
8760,11427
13240,14014
13964,13750
12798,3012
14058,4614
13230,3389
10549,1143
7895,1136
8616,4374
7580,6853
7084,6681
5440,5643
6221,4885
9558,11180
11713,12487
7211,7142
8262,7675
8725,7999
7224,7267
5324,6208
6142,6826
7280,7262
7736,7932
8679,8996
10066,9999
9957,9833
9196,9378
9637,9505
13626,8020
6453,8609
5659,6355
7859,3390
7387,7285
815,9808
9167,1466
6367,4446
8900,5557
8441,1021
8421,8206
1293,7558
2281,9806
3036,1625
1679,11057
4174,13452
3595,13638
2833,12231
4691,13782
7131,13357
1680,12902
5574,7546
4557,13203
10738,1391
5390,13017
3130,11643
4274,7387
3320,7411
4114,9862
4342,9510
9310,995
5834,5550
4268,1099
7549,7719
8043,7500
2414,13415
6181,6293
8799,9282
6930,9034
12258,12067
2648,10086
3234,2408
7854,8156
5999,8290
