x,y
6482,7108
10650,10600
4215,4950
4796,6246
3309,4034
3164,1723
4890,8428
7073,6823
8518,7879
1434,7044
6535,4524
7132,2555
6578,4812
4267,13580
1113,10609
1029,5911
5415,5036
8518,7494
3052,4340
7717,7280
4505,4882
4182,12582
5841,8635
6455,8464
5049,4611
4876,9093
8003,7653
2313,11779
11198,5699
4963,8443
10848,3394
4386,4980
1760,4128
2574,4890
5349,5617
10249,5617
8705,8762
8768,7988
13557,3407
2958,12792
9248,2427
8680,9095
12706,2336
1113,12220
1587,11958
3374,6508
6235,6322
1351,11702
2200,13379
8788,3806
6659,6899
9748,948
2613,3331
9058,7401
2290,1585
12897,1949
12725,3217
11524,5689
12478,2982
8072,7702
8906,8212
9083,7562
7051,11625
11360,3975
2050,9119
9108,6437
2596,6774
3231,7450
11872,3741
8205,8194
12528,5653
13687,6337
10119,6932
12068,9736
11390,10558
12183,9672
12552,11709
2489,8715
2374,13454
2929,13530
10020,4475
7666,7573
1986,9145
1946,2276
1393,11571
1357,11719
7362,7040
7387,5004
9482,9254
6078,6081
6089,5586
10164,13954
7932,6702
13746,4923
6186,5770
5731,1370
8024,1832
4886,3044
1092,2614
634,3771
13144,7490
1755,11610
4203,6045
4308,4767
3274,8278
6026,6585
13484,3272
12751,2290
7450,7302
3812,12772
5434,8688
14088,14063
10050,8902
8902,7844
9534,9268
12791,12299
13327,3840
5290,11780
10698,13880
12521,13925
12565,13538
10129,5705
1402,4615
12533,2998
13148,3515
11873,5715
10474,13431
10368,13098
5110,5919
5289,12215
7134,6357
5774,5671
2878,12804
6083,6740
3154,9061
5877,8564
6038,1152
10980,11095
7634,6582
12495,11263
9233,11335
2510,12444
3863,12526
8835,8640
2425,11898
9558,7315
12680,12194
2174,12020
2497,9841
6720,9216
4242,11446
4519,12597
6098,12547
6936,6840
8875,8274
7293,5075
2982,11759
6179,13505
9715,12386
12987,2618
13560,4066
12718,1504
12238,7318
13649,4882
11195,5871
11805,2361
13462,11595
11130,4355
7199,6615
11121,8078
1147,3024
4704,10134
11109,1020
12231,4637
13291,4949
6328,9944
4873,10820
3404,7862
9944,4800
7590,8200
11850,10984
5304,10722
11082,1741
9542,954
2723,2455
3252,12938
7800,4970
3910,7226
2514,13197
7162,7081
1951,11458
4932,8671
8552,7768
8513,7861
2506,13437
5401,13378
8870,8066
10133,10289
11058,5542
5292,14027
12334,1478
11611,1102
5282,9298
8941,8950
8015,8179
4183,12490
7525,9806
9917,9842
7227,13628
11311,6173
11614,6555
11230,11390
9072,10806
12715,13846
3812,7964
3436,10733
4447,13784
3288,8376
7443,7508
12698,9428
13260,11195
5813,5268
10473,3072
4000,3928
2537,6852
6730,6532
7479,8655
10225,10073
11639,12079
10799,12381
10150,868
9317,1135
3684,10530
4702,4783
2574,3422
2676,13056
4235,13650
9516,6329
9832,2454
12610,3227
13279,6260
4956,8814
1127,10469
957,10964
3844,13558
