x,y
3347,13966
869,10829
13794,3370
8664,7653
7115,13235
13965,7325
8276,1307
4016,7880
8439,7640
10944,4228
7444,9076
9778,4668
5857,5533
6078,4215
2884,2193
922,10892
2395,13332
1629,10916
8985,10852
5940,13688
1454,7304
6330,4610
1368,7516
1398,4560
4944,5995
2275,2170
5544,5817
7517,6752
6622,6565
6712,8252
4214,4450
6622,8244
7747,7157
4837,5149
9992,7269
8190,3462
4612,9274
5471,3391
3073,1301
1436,11233
1481,12913
1439,7142
1215,10402
1434,7044
1292,10146
12672,5104
10005,9431
5539,5265
7496,3518
3169,4232
1648,2020
8601,12689
8739,13636
10488,10080
13068,11354
13886,14123
2008,13172
7471,10938
8770,5451
11471,6298
4297,13685
7629,8416
8102,7852
6552,6787
13512,13732
1260,10454
1021,10300
1316,10969
5282,12425
785,10516
1145,12258
1141,12368
10674,5036
3826,3935
1096,11870
13858,7802
8972,4908
7180,1194
3778,12814
1782,11088
1994,11968
4203,12127
3495,13045
5760,6076
8963,8330
7736,11151
8519,8673
9597,8788
8751,8856
6310,6400
6248,8256
4125,2924
5756,6541
5365,6214
12573,3177
5129,5800
1689,3267
1183,980
7028,7162
6559,6990
5489,6271
9336,6179
8518,7506
5952,8327
3768,9274
8329,8456
10783,13968
7835,10636
4394,10059
1132,11014
2140,11694
7200,8798
12692,2268
12330,1330
11931,2565
11918,2184
6251,9063
12276,1532
11269,5913
8179,3510
11687,11340
4000,4651
4780,13724
3842,11124
7187,9704
9418,9954
1595,11564
9162,11195
5735,12440
11392,12398
4178,11456
1583,11919
5216,13236
3772,9184
4208,13685
4492,13676
5351,8905
4418,13356
12869,3207
5588,9309
7153,9799
1024,10912
7500,6946
11232,10752
5358,5161
6132,9816
5894,6551
6697,6403
6640,6819
5506,6306
10383,2411
5059,1098
964,3337
2026,12892
3897,13583
4453,13969
12193,11575
11262,10801
5824,10456
1800,12298
12226,2234
4764,12680
6026,2027
4175,1517
5772,6167
7553,8319
8130,10068
6793,8534
1690,11688
990,10960
794,10258
792,10628
9578,6228
4063,10394
4612,4402
3576,7287
5147,1147
1001,9112
2023,11790
1092,10183
10435,10318
5489,3495
960,5814
7167,9028
10289,12550
13437,10126
13954,13286
1326,7205
1132,11750
3367,13139
10229,10275
2508,6553
4811,7836
10963,10837
12351,8027
3445,841
13239,12393
4009,13710
7366,13686
8328,8911
3759,3494
791,10272
3846,14022
6253,6653
3485,11416
3121,11104
2867,13041
4409,13704
2699,11534
7231,7339
8919,9076
5025,13608
9658,8912
8491,11668
5945,5441
7050,5295
11138,3858
1509,4392
1263,12535
5167,8513
5770,5435
895,4876
921,994
3650,13212
2521,948
6587,9342
6265,6084
8238,8869
6068,7122
9591,5614
1404,2411
8271,7122
3077,12935
891,9769
13116,7019
6680,12467
7739,6678
9984,10368
12677,9447
7818,7549
1260,11651
6482,7064
8689,5515
4893,2908
1542,970
4140,11581
12726,9722
2538,12490
1148,11878
1643,11958
3825,13386
8030,13551
3575,6098
8691,4474
1230,10346
1524,2462
7104,14098
1438,10798
1089,9996
1312,7935
9031,3444
7057,4059
5971,12685
9420,2403
9800,9384
12190,13908
1767,11584
4766,13724
13102,11160
