x,y
2051,13410
5829,6569
8944,8888
6894,9043
9941,1396
10682,1518
3739,7844
8648,8509
8572,6420
8294,7424
991,5291
9920,4727
2568,4227
8255,1199
3535,13255
2085,9481
3834,10340
2624,5758
5502,5882
11789,1475
7538,7246
7688,1597
8125,8169
4681,13688
1226,7634
1259,7714
6624,8306
6588,8143
2095,845
5683,5998
1847,2178
7540,4872
4800,4709
10279,9563
6099,6774
4808,6704
1276,6678
2822,6262
6848,6808
7576,934
6278,2322
12573,5793
13694,3241
1436,10216
8084,7456
8921,8071
7234,7452
4139,13050
9168,13362
11013,2046
8389,5642
7111,4964
11110,5729
6537,6079
2120,2311
1341,10554
4395,9925
5322,8540
5430,5642
1995,3837
8031,8258
8711,8243
10046,8103
1702,12832
5639,13560
5814,9476
6839,7485
6318,7215
6795,9172
8282,10198
12142,12560
11753,11130
12624,12788
1524,9823
860,8611
6337,4692
8934,958
9242,7456
8173,6707
2231,12326
4239,13678
10557,5438
6176,5989
10038,10696
13452,11819
3603,13070
6903,6729
6725,6197
11228,999
7420,8704
8936,9482
6286,6238
8614,4508
3782,2246
5733,6556
2758,2375
7262,6644
2265,5379
7599,7819
6047,4913
7126,5628
6270,6107
5369,5655
5960,5116
8505,7577
10514,5338
1474,11682
4783,9315
12103,10268
9708,12143
10353,9694
12587,12177
7206,9609
13848,9056
9414,5623
12442,2974
11952,1516
13369,12674
11880,12306
4285,4940
7167,7654
1132,11454
5366,13845
12337,2154
12179,2209
2150,12826
2947,13424
2474,13150
12344,2356
1473,10446
9059,9273
5748,12626
914,10257
1421,12268
3062,13128
7195,13965
9220,9060
8664,9064
8917,13617
11151,10640
10966,10474
6271,4965
2356,13080
4117,12241
3363,10996
1765,11379
5674,13404
8515,8530
6159,9531
13879,11899
10913,13025
12118,12273
824,9804
1127,10392
2216,12858
5016,8643
8327,1733
1544,10461
6604,7004
8997,2253
5688,1657
5432,1480
3776,1041
8452,3697
7431,1488
7119,2570
5612,1416
6686,6654
1628,12883
4124,13942
13705,3843
6566,11363
7416,11458
6877,8671
13594,4616
3642,8937
12292,12701
12497,12750
12607,12623
2980,7419
5323,1164
3918,3431
4618,4572
2320,5188
1163,9343
1636,10998
9965,9279
8010,8516
10368,10625
1186,10832
3290,13654
3112,13411
1979,13293
9280,8828
13866,7451
13436,5735
7682,7684
8084,7488
4567,4587
13736,6639
7694,3311
8955,9210
5710,13288
3069,12923
3560,3470
1084,2287
10656,7638
11155,10766
3773,13644
3500,13023
1499,7383
8413,12524
8541,12482
4819,7656
10199,9653
10934,10293
6766,9490
10888,10703
10927,10529
10325,10879
11072,11386
12351,8056
2452,1920
4091,1140
11476,9634
12453,10457
4913,10590
10901,11485
11316,9859
12573,10922
13669,9160
12455,12472
4219,13555
1954,11752
2069,13201
10608,4760
3874,10296
10317,10798
8796,5768
14121,7051
2260,13131
7617,8042
8112,13678
7597,9947
8019,7414
8330,1688
8286,2778
8716,4568
1228,9012
9018,5835
1632,11864
875,9167
2256,12736
5312,9471
3061,12958
3949,12465
4935,5630
3404,2041
5728,5558
7606,5157
13635,6957
11146,4006
2110,3274
2462,5575
1232,4846
1132,2956
8056,6442
2188,13374
7126,6656
8230,6624
13070,4901
8258,7843
6750,6457
7602,7584
6005,6656
7777,12367
10130,6889
9851,6063
3632,13063
6888,3059
8121,5568
7720,5249
3701,9197
2134,13426
4174,11832
2023,3671
2498,12602
1218,12247
1663,10545
1077,9965
7938,5044
7218,3361
6880,10716
10099,7706
4528,12302
7264,7354
7614,8064
6620,6889
7740,7160
12392,13261
8454,7921
6384,8334
7574,6968
1159,11482
1902,11556
7766,14022
6772,13856
8250,10249
8740,10624
11984,11448
12192,12349
2929,12363
3010,12744
2877,12606
7467,13964
5922,9144
8074,12360
7762,13452
6579,13533
13645,5428
14014,7430
13282,6034
13481,10694
14073,11943
13980,11340
11062,11642
12855,10540
10720,11135
1740,12792
1648,12921
2221,13321
6768,13703
10087,7640
8299,7283
10169,10264
10201,9070
11259,8365
10600,10930
5558,13165
12044,10964
11509,6144
13443,4386
11993,2811
6403,6995
10726,4855
13096,5160
5638,7497
8358,8388
8315,8369
5998,13481
10633,10872
4642,13778
4308,13513
13121,2296
10518,1486
10901,1790
13267,7518
12949,7324
4847,5219
10147,9029
13096,4183
7488,8603
6178,9384
11351,1844
12485,1704
11192,1640
9966,5279
5296,13477
11237,1665
8696,12636
6395,6298
13591,8542
7321,6719
3018,3814
6840,12958
9716,9596
2708,13611
5818,13523
9186,6307
9535,6109
9951,14103
6981,11683
8196,11718
8773,8154
6999,6563
9653,9057
7563,4921
8621,5632
11822,11506
10304,9998
3354,8566
9450,6099
6536,7236
7348,6684
9285,9223
4723,8981
9084,8568
8204,8691
8354,7452
8602,8207
7916,11965
10341,4651
7611,9174
6238,10420
13410,2356
8619,4589
13452,2730
6790,9844
5927,9344
5439,9307
11485,12497
12864,11817
8150,13448
14097,10667
14030,10122
6415,6921
4848,12348
7383,7877
12977,2542
5466,5277
3477,11290
2941,873
5982,13318
8588,8740
13095,9150
13266,8754
13804,9210
13341,10534
10005,10044
9945,6606
11010,4404
13583,7245
9183,11390
12378,11747
3776,10148
3430,8359
5692,8848
8713,9196
8207,6275
4816,5590
7470,8863
9810,9452
7251,6809
8799,12879
9144,7406
11592,13902
10473,5597
7521,13252
3037,13520
3597,10216
2897,2279
9699,1459
6850,13352
9948,5112
6002,13359
6837,7711
6352,6611
8597,9060
7930,10120
4442,9028
6272,2729
9274,7121
6658,6814
1135,5490
1005,1482
14122,8056
6532,7938
5759,878
2939,2934
4748,5350
2302,7634
2308,8549
13373,10799
2050,11841
3057,13140
1652,10979
6022,6680
9201,2446
3563,2870
8381,5199
7185,7487
11421,4556
11986,2729
7152,7718
9340,8710
10066,8915
9656,8866
9212,9790
4596,4321
4100,3575
13252,12446
8455,5765
10996,10631
7018,7068
10144,5925
1285,6579
11435,1122
5701,10981
5793,3893
2104,1384
8936,9084
8914,7663
8028,4194
7994,1903
5525,874
6366,2374
5613,9396
6986,9054
9619,9528
9664,9347
10021,9283
9025,8930
5436,6220
5438,11555
12132,2444
2620,13486
2686,6913
1161,10192
8797,8765
14072,7820
7344,10021
5745,9098
5148,8483
1952,12569
3144,7523
5274,8506
13724,13353
1309,12076
4062,13578
7678,13450
9883,12262
10622,13222
11016,13064
3954,12675
9275,13827
11646,11066
13950,13876
6981,7610
5942,6269
3292,13050
9192,9228
7999,10935
10886,5529
10790,5467
5614,5474
4382,3105
3841,3460
5486,5753
6628,6324
8484,6006
10832,5440
11413,5811
9289,1508
4611,9003
4981,9260
6179,8814
5214,8671
4804,4340
13266,3605
3794,13473
4521,13380
1296,7786
4841,13874
2664,11671
8016,7334
4602,7738
1512,2983
1711,10367
1453,11215
2213,9573
11033,13065
2366,12326
3470,13262
8288,8106
6322,2450
6144,3558
5383,5363
1208,4685
9161,9000
13561,6752
5975,6292
5658,5536
2000,7580
965,651
7795,7343
6882,6970
7640,7175
5369,893
6237,6239
7921,4864
7011,6409
5737,5634
7316,6339
4254,4066
7960,1532
8962,5864
9573,5951
906,10782
7412,9979
4251,12399
13139,3501
10413,5452
5322,9364
1436,6606
1595,5521
5284,13829
3576,13067
5309,13788
11866,6857
9409,3458
1698,1294
7779,8116
13174,2303
1509,10988
4000,14040
4033,9777
9590,11247
12079,6905
12174,6858
855,9847
4728,10628
2779,11341
1722,12712
3876,13118
10297,9838
5685,5807
3097,13724
8753,8821
10081,9958
11582,10964
7482,7968
7479,7370
8493,8569
7533,7444
8767,8991
7903,10422
10038,9449
10306,10400
11358,10904
9909,10479
14102,13645
1259,12636
12304,2958
8261,3855
5374,6111
9268,5982
10881,10132
5798,1529
9104,1443
1039,11231
11710,1403
11346,1777
2639,4060
6294,3055
4853,6073
2636,3809
2172,3600
3736,1034
1276,4682
2271,13268
3160,11008
1106,6464
5133,5617
5778,3793
5287,3209
2972,1330
1028,6401
7976,7826
4861,6676
13770,8754
13980,10370
9322,11606
13217,12356
13164,13770
6360,8785
4215,4172
2535,3269
8523,1317
10271,4917
7855,7378
11968,9548
12236,8090
3434,11159
3544,10189
5980,1138
3716,4952
944,5654
2714,13459
1863,11397
4151,13260
11110,6443
10656,13976
8008,12139
4097,13428
4391,13728
4831,13987
3576,13012
6392,2421
6032,1958
2503,8162
3639,8897
12977,5148
5731,1423
1519,8854
8020,1233
5950,5474
10151,9886
9420,8964
3826,4346
1405,5632
10074,8394
3131,12950
6712,13102
5948,7609
13438,9610
11320,14240
12769,3001
6992,6601
7890,10785
12675,12386
13597,12933
11620,12228
7617,7323
7559,5733
10296,5368
6775,7020
8162,5466
6219,2046
1131,10011
4106,10202
9300,2414
8928,984
4387,4441
3050,13008
1824,11526
1074,11506
5945,6665
8568,1346
5374,5089
6500,6068
9549,10039
9364,9484
9363,9661
4675,3666
4841,8137
8792,5024
4833,9402
8385,7623
6847,7588
11679,11021
12600,11109
1570,11893
7403,8838
3324,13706
3465,13952
1542,11664
13552,5604
1645,12271
13839,3474
1241,12355
1808,13025
8717,8752
7831,13767
13297,13682
1312,11224
5030,13878
3068,13372
1300,11848
6938,9026
5586,7427
3937,3364
7772,1543
7826,854
10142,8247
7185,4585
2887,11193
940,10613
10050,6434
9931,6247
10094,6930
10514,7648
10803,7141
10796,9837
12770,11600
7064,8954
1273,12055
1566,11347
3378,7898
13193,9078
6122,6199
6263,10159
6662,4538
1906,1463
2112,2128
1648,4748
5702,8573
7681,7401
1491,11208
13110,7914
844,10041
8253,7351
4835,7837
10999,5304
5862,13267
5638,13288
