x,y
5447,11463
5088,5563
1640,8846
8760,5514
5962,5803
3168,7420
6368,8459
2103,9528
965,11154
11407,8315
6082,13541
1024,10768
5193,13298
10046,6119
10814,11749
1739,12202
7966,8366
9161,8586
9053,8335
9195,3634
6658,4432
3664,3141
5214,1359
4597,13770
3954,13712
10815,10872
1239,11405
10430,12439
9201,9188
12366,12598
3361,13414
4474,14056
3613,13296
10006,7865
8003,13710
4569,10256
13465,12797
1080,10737
8644,8248
1350,6229
4823,7932
6340,6604
7048,6824
7706,7676
9375,8850
5485,9176
10334,10470
6150,8489
3970,13782
7662,13344
6938,13649
3801,13792
880,5600
1522,7483
5040,2601
10460,1138
7616,5675
960,11045
1806,11453
9157,10013
6909,6941
6657,13317
2962,3614
1825,2154
13551,7989
13497,7961
8768,7988
11361,6259
13410,10998
2230,12109
1497,10718
9981,6737
8884,6240
4618,2286
3484,12926
3037,13229
7052,13613
7795,13532
8315,8756
12554,10440
1667,11025
5334,13426
1896,11637
1209,10377
2965,12523
4115,13179
3380,11119
6397,9090
5050,5394
7912,1035
3178,2379
5604,5673
7301,2808
2910,3980
5372,5104
12004,12174
4185,12423
3186,13366
3204,8343
6763,6575
6113,13479
7613,10118
1763,10772
9920,9106
4394,13729
4007,13797
6685,13541
6397,13434
14090,6594
7906,8706
5068,13449
13946,6455
8525,7834
9542,11471
13100,13605
1354,6956
5365,12498
4269,13417
4662,10150
6726,6284
3274,8182
6783,6708
3730,10524
8580,10078
8124,10262
10418,13050
3942,13691
7692,13718
9232,5588
8158,8715
6376,6347
13990,10258
10060,8474
7722,6630
4049,7888
12232,12438
1907,11540
4935,12283
3984,12918
8451,8052
4012,13374
5789,12420
2995,11603
5578,13028
7754,10879
10192,10587
8122,7876
10362,10555
9802,11955
11342,10916
2113,13051
6939,13380
12037,6803
2356,13080
4117,12241
2834,11511
1765,11379
5674,13404
6159,9531
11789,14303
3276,13250
1569,12837
13167,5472
13668,9300
13898,8495
856,10274
3338,13052
10866,3453
1921,11740
11295,1379
3607,9555
5369,7531
4854,4172
4398,3889
