x,y
3285,13396
8181,13600
13900,8307
8517,6815
8344,8964
13187,7381
4123,13363
3725,11596
4898,13710
4841,13159
10595,12889
842,7757
8539,14085
4359,13450
3525,8748
2900,9871
4217,4809
8844,3618
3390,986
2703,11529
10327,9028
5006,5152
10343,10962
4388,14030
6579,7195
9522,10156
4974,10860
8967,823
5071,13411
2875,13464
10078,6720
1578,12060
7367,4769
10067,9915
12993,3677
1764,12259
3220,13714
5484,12836
8454,11302
8664,9904
13016,14078
3325,13265
2457,12396
3512,11515
13677,2947
3289,13390
8048,8280
8256,5035
10002,9704
1834,12258
1753,9954
4850,13803
4032,13666
4042,13768
6705,13806
4528,13687
8993,11430
7794,1546
7870,7825
6256,6354
2962,12433
2698,12124
1408,10204
8115,7488
8326,8407
6353,3364
9152,9531
1625,10923
883,10686
1254,8401
776,8115
6555,4746
3841,4499
2994,12490
1619,11303
1046,9677
1201,10619
5155,4661
5923,5565
2070,924
2578,12998
1064,12257
4190,13318
2552,12426
10151,9978
8354,13907
9572,10088
8273,13369
1436,10216
9515,9289
8134,10069
8084,7456
2749,3702
8939,8700
7426,13798
13819,5890
8841,9084
4614,11726
1123,11099
4889,13539
5648,5890
11853,3948
3614,9012
7381,9773
7999,13925
1933,13193
4231,13375
1317,12406
10126,5679
13879,8735
2920,13211
1229,10358
1068,11431
5918,13478
831,9102
5434,12101
2775,12377
6848,4575
1939,11751
819,10202
2409,9212
2606,7403
1200,11853
2497,11732
8358,7774
8170,7571
9663,6910
11699,7250
11917,11996
12595,12820
1748,10556
8665,9160
947,11252
1064,10775
3646,10824
4794,9577
3964,6004
11174,3434
5014,9610
9972,5263
7489,8477
8844,7486
4778,4912
6825,13636
4657,7210
13678,5746
1635,12940
2954,12730
1268,8938
1396,11801
2720,11581
7840,8236
4692,6226
2712,3577
5466,1513
2715,3289
5443,2935
5764,5789
4214,9451
2621,3823
3089,13405
7803,11073
6656,13711
12025,7069
12752,12784
7686,8286
7932,5289
14284,14182
3387,13268
9494,9471
7828,7966
6067,8467
3495,2549
13446,2537
10233,799
10660,1385
8769,8860
8315,12405
7830,8311
9552,9785
9453,9860
6676,8201
2751,7037
768,10255
1126,10562
3172,13166
3055,13684
7420,7463
4790,7303
7038,1342
5722,831
1616,12884
1145,11017
3187,2701
1081,11495
3205,1966
3394,13561
2727,13088
1851,11348
909,10001
1449,11487
824,9804
1127,10392
2216,12858
5016,8643
6229,6050
1544,10461
10162,2568
3900,3345
5517,4927
3776,1041
8452,3697
7119,2570
2640,11474
2087,11794
2781,11902
1506,10984
1368,4718
13036,1806
7201,881
2341,2322
1791,1966
12738,3156
11561,1683
10404,1610
10252,1100
4024,13046
1901,11974
3346,10638
3124,13669
815,10873
3560,8905
4258,13629
14191,11432
1719,1263
1537,11874
1514,8613
1195,8188
5369,3445
6965,871
1128,5478
2102,13305
2321,12306
10380,11050
8830,13778
10296,2430
5978,5026
4312,4548
8986,3438
1320,11948
1094,12165
4042,13770
2251,12897
3094,11382
2770,10066
5698,9508
9612,10239
2084,11941
1067,11863
9021,8787
9432,13218
3978,13267
1099,12074
13061,6880
1895,7557
1730,7613
10168,792
3763,3889
6173,2183
912,5406
4025,11449
2072,11671
7687,7137
1277,12079
1078,9716
2051,13234
10245,10589
11932,11074
3264,13824
4604,3856
7330,8031
907,11330
3168,13322
8020,12155
7730,6998
901,10840
9264,11322
4225,13392
9764,9074
2846,9627
8229,8604
9264,10014
4183,11655
13606,8708
1915,12218
1954,9785
10750,2099
1363,10697
10758,1713
2427,8428
2477,7428
3234,12883
4041,13484
7208,7272
1344,10282
7624,6656
2542,12474
5058,12470
8032,5292
7042,6587
11316,10810
2198,11973
13343,14003
12336,12761
11273,12413
6219,13603
4238,13517
3189,12829
9538,11814
11364,6090
9975,10522
11336,11763
9627,10051
13252,7392
7362,6877
6768,9592
5672,5711
3610,13800
3979,13825
11992,7010
7660,8703
5602,11002
11125,5136
7538,4865
12544,11281
6535,13895
2242,12252
5291,12388
3163,13490
3947,13148
6527,6489
8554,8814
4934,13381
8504,11733
4550,4292
3374,13106
8576,757
10570,1782
10322,1401
5853,9191
13108,3032
3711,9476
4397,13201
6878,12987
1136,9569
911,10618
8900,8760
10035,6568
4886,10294
1793,9827
2849,12760
1540,11985
5514,13945
6476,3247
4061,4322
3505,12901
2400,12873
1177,10997
3403,13120
2873,12375
1025,11012
7804,7660
1277,11306
8494,8687
7414,6972
13967,6999
3005,9902
1341,4540
6250,6344
4405,4253
1655,8086
3196,13292
934,8823
1752,11054
760,5920
1673,7888
1374,4912
4642,13778
4308,13513
10655,10253
10901,1790
10185,10321
3236,12918
3406,13242
2796,13004
3488,13144
2789,12783
1374,12476
14122,6958
2875,9988
9097,9208
13481,10864
1295,7367
8077,7402
3265,13511
10266,11072
7649,11078
1352,11519
6824,8006
11768,12974
3124,12896
2912,13474
3027,12829
8427,8741
2168,13433
3130,11801
10439,11729
10841,2340
5276,13442
6754,6146
5612,5039
8006,6360
5787,6606
3430,10539
862,10605
2854,11981
12934,1928
13818,3652
8658,7588
2208,11745
2379,9807
3767,13230
13713,3550
9968,9932
10381,5782
7176,7170
7861,5290
12699,12614
2753,13083
792,8304
833,10888
13376,7054
3418,7935
3283,13140
4377,13680
8933,9285
1680,11713
2028,11637
3985,987
6727,7523
6456,4697
3811,13235
3122,12710
4250,13734
3710,13450
8863,8963
1355,11822
2776,12777
1962,9617
7665,12209
8760,9858
1733,11254
3310,12838
9100,5572
1439,12668
5536,12895
1618,11091
2642,12962
2205,9921
3094,9553
1694,7034
1740,9666
10390,12905
2815,12377
1828,12093
3351,13283
5496,13500
1064,11499
2810,12418
3703,13352
9333,9480
12422,13244
1096,10951
3479,10218
1120,12080
1134,10053
7630,4932
9967,7834
7864,6500
3904,13246
885,11194
9542,9663
2183,13136
1782,13124
4076,1479
754,10364
1075,9450
1411,9425
3209,13100
10732,1233
8670,9892
10240,1646
4669,8974
1707,13214
4142,13348
10600,1832
10081,10066
10222,5337
10668,11572
11032,3830
12881,12406
1425,10945
882,10315
3196,10907
6815,5339
13888,6454
1376,12384
2048,1230
2261,9131
4427,14051
1717,11450
2144,12798
7994,7323
5334,10550
2071,12540
5657,5004
8262,8405
838,9793
4329,10059
3151,4292
1575,4856
7729,6915
1072,10710
832,10536
5011,5175
7045,2840
10082,8696
4601,1294
4636,11603
3857,11558
1857,11838
3127,13037
10346,7425
6594,11351
5845,13720
10015,981
1269,10521
1232,11083
12568,7427
1439,12565
1370,10988
5780,9062
929,11036
6413,6413
3608,9212
5573,8674
13998,4417
3842,2706
10863,10597
1352,788
4218,778
4000,14011
1490,11255
11340,1754
10278,3255
7594,11257
6129,13546
4575,4735
4597,13829
2046,11894
4137,13719
2590,11917
2226,12130
2900,12850
11633,4040
9173,7471
11523,11246
6718,7208
7237,7633
8146,7376
1676,12626
9907,7929
2105,12314
1545,11102
2430,12486
3234,12972
1712,11406
2046,11856
3446,11058
4122,13746
4799,9404
4976,13190
2117,2073
919,10631
868,8940
3003,13733
2620,13486
1782,12734
1161,10192
6466,13686
9408,9283
3486,8515
1952,12569
8452,8136
5274,8506
11625,12830
1493,10759
1962,11493
7365,11686
7253,13636
8570,6497
8368,7912
1581,10656
5004,7642
12159,5052
6204,12338
5484,5304
4660,4310
5515,6047
3424,7706
2555,12080
8198,7208
9136,1237
3524,13283
8188,13594
10192,9686
10793,11259
4117,11727
10746,4742
10662,10492
7318,13363
10973,10525
5104,9460
3837,1715
3835,13510
4080,13205
4057,13747
1855,9789
2149,9723
8126,13769
14047,7958
12946,12443
4182,13670
2896,12338
3830,13161
5470,13422
9068,11386
2899,12689
1212,9970
1450,10740
8588,1314
1589,11220
3436,12977
4283,13596
5565,13171
2957,9836
7006,4188
2922,9933
5912,1309
3596,1928
2621,1203
4004,12887
4128,12294
7136,13951
12265,12983
10764,9835
1170,10912
2022,12180
1011,8649
3117,9006
9994,6571
3114,10888
5556,5082
994,6433
837,10811
11334,10875
2752,12760
1249,5728
7182,8260
5585,3533
5320,2729
3254,12810
4669,13510
1759,11853
8720,8164
9030,13903
12142,8452
11602,9842
12306,12878
3919,10447
4658,11933
5702,11075
4954,768
1934,1560
4196,14030
3457,12884
3016,13563
3815,9796
2420,7623
2937,5165
3764,11002
6138,4898
11103,11486
4848,7506
2242,13405
2712,12259
4741,9160
4359,13757
6748,9592
3558,10685
6240,8983
3660,9368
7812,10723
6254,6451
1385,11491
3897,13584
1465,9864
8748,8994
9125,11083
3147,13125
7470,12403
11687,10801
7255,7264
8249,8249
4099,9743
11063,13184
2314,12202
3161,13058
1536,10287
5072,10303
7636,6811
9444,9713
13615,12621
1059,10977
1082,10822
1536,11349
1017,10621
1512,7310
1297,6737
8592,902
2028,2465
4761,6812
3479,1527
852,1535
2042,7840
3163,12977
7450,3394
10334,11797
11912,7535
3023,11263
10524,1542
9953,9586
6094,10576
4781,6298
2628,12354
3834,12712
10215,1235
5425,8120
3842,2339
5451,9045
1482,7685
7700,13872
2392,13010
1313,11072
794,10235
2540,10018
9295,5797
6575,4795
3472,11310
6640,10021
12344,7606
2776,6012
2227,7601
5997,4299
1167,5033
905,11205
1494,11381
1640,10722
8411,6800
10630,13979
4428,3158
2662,12705
1244,12380
992,11521
1978,13085
4243,13429
1437,11268
5864,10842
1361,10634
1558,5073
4155,3175
1859,2214
2962,13217
1915,12314
1642,11496
5609,12709
1156,9536
1302,10597
8048,7953
8399,6124
10869,1216
7486,7458
10430,1170
1799,1999
13552,11879
12174,8269
3298,13234
12743,14144
3543,13051
1269,11258
2148,13008
4849,9961
11842,3142
5535,4958
3657,12949
3735,10206
8043,13987
6374,13902
7177,12568
1091,10252
9655,1733
9818,5462
1241,10238
955,8843
856,2274
1264,1909
2610,12901
5888,13246
6800,13028
7172,14085
6720,13446
5710,12862
6803,13433
4213,13537
2824,9758
908,7010
6976,7409
1931,12470
10024,7750
5782,5629
7203,13686
6262,13194
11594,9918
12897,14040
3257,12860
2023,12960
2655,12341
3550,13298
6660,13687
6868,13194
10073,6542
2399,11998
3322,13566
8002,11109
1441,11681
12250,2938
8787,9115
9944,9675
13665,9780
2731,13556
2869,12495
2916,10203
1257,11262
9415,14023
6640,12828
1433,12813
10379,11046
3506,13160
3247,8179
7982,9874
7398,8511
5315,5387
905,3790
5890,1454
4480,4980
4742,10176
12654,12813
3034,10861
1530,11027
1547,8015
1261,12230
6486,6144
4948,11520
4631,10553
1892,11900
8456,6757
914,5213
826,10412
4084,11666
4024,11618
1648,9865
3273,11354
12069,1597
9144,11120
5879,12257
1153,5784
6759,7610
8455,6692
827,10422
2205,13529
3386,13929
1685,12093
5012,9384
6806,6434
6457,3000
870,11110
2258,12412
3107,13185
2878,12633
4232,14033
1724,12776
977,11171
6593,10040
1506,8593
9060,9004
2420,12390
3953,13868
2412,9769
7474,13325
7035,12572
10398,10266
8029,7066
10996,9749
13867,12493
1665,7415
1361,8401
6356,6272
7365,10139
7577,6124
4155,10299
11727,10936
5512,1438
1331,543
784,10389
3304,844
1336,4899
6382,1295
1506,12363
4006,13910
4105,13880
6675,13855
10100,10098
13673,12759
3412,13469
3170,12764
1524,9540
4610,13678
11998,6493
12480,11600
11980,12497
12189,12015
4658,13924
5035,13859
8170,13600
2446,8891
10024,10025
7828,7432
6698,9065
13948,9809
7122,12678
1299,11089
5320,11330
1413,11451
4641,4344
6873,4124
1366,2256
1921,11758
1394,11555
2679,9890
1638,11014
13681,4041
7110,6972
1857,2118
4185,13547
2886,13051
3306,13565
6382,4894
13525,6738
1851,12521
5541,13000
3454,12956
3460,13938
10626,10148
860,11022
968,10754
815,10566
923,11282
10972,10616
9690,11204
8812,11100
10664,11445
11749,9792
3920,10316
9230,8678
2202,12624
4327,9204
10111,5556
8312,5356
5982,7017
4471,5298
1538,11016
5686,6188
1385,10209
3631,10558
4079,1454
2775,12430
10164,9868
5133,12464
6866,13855
8960,13641
8272,7429
8078,7242
12338,13818
4475,13724
1212,11656
3654,13602
6545,13776
4393,13615
13166,7648
5890,7406
7707,9980
9096,3530
6550,6867
7420,3432
1907,4078
2892,12658
2821,13021
7657,9975
6064,9242
7986,7544
8528,12953
1681,11290
1774,10390
1600,10457
1074,11458
