x,y
2646,12027
4177,13213
7884,7421
6839,9785
7297,13419
6470,13834
3309,13462
4005,12831
5610,12426
1207,10025
1078,9834
12548,2507
2025,12265
9841,9038
8601,4680
9248,9138
7048,7223
2488,12949
2984,12240
7779,5226
1241,9160
5720,13539
8666,5658
888,2982
1716,11237
1184,11664
12813,2917
1566,10215
1312,9539
7287,5968
4597,13770
10815,10872
5668,5785
13094,10554
4793,9304
1628,11246
860,10587
7704,8854
5690,9220
10379,909
7231,4975
9858,3218
7799,2223
4467,7386
3460,12922
5065,8610
4126,13963
8145,2093
5206,13787
1711,11716
7369,4844
3756,11002
3776,10976
5474,12673
7396,13992
9094,6486
8879,9045
10419,10475
8001,10000
10062,8960
4256,13104
2034,11608
8728,9076
11561,3280
7700,3711
7172,13287
7391,9892
3241,13307
5377,9197
5518,9160
4784,13652
5901,6227
8048,2375
7440,1614
5562,4957
2422,3034
4874,4302
1161,11539
1317,11730
1433,10349
1258,7364
1438,7167
423,388
3114,7264
4724,1718
1432,10824
10766,10760
9597,9555
10112,12962
1292,10146
14122,6908
12672,5104
7886,10228
7496,3518
6375,11111
2754,3554
3910,4484
9938,7400
5573,9277
6696,9905
10188,5484
5608,7429
5290,5779
7736,8119
9718,9900
3789,13335
3130,10825
4375,13623
7083,13904
7994,13265
10148,13340
9820,10880
10946,13048
3946,13234
1768,11060
1158,9968
12167,12196
4378,7333
1166,12085
2238,9745
1721,12885
2156,12395
4363,13679
11301,5506
8578,9178
2500,12504
1431,11669
3131,13378
3531,13109
4703,10099
2525,9780
2066,9838
11471,4147
11872,4276
10990,5401
4302,9102
7251,8633
1394,4716
2700,10294
8826,6680
8340,5219
8563,5934
9233,5616
4312,13661
4205,13597
7421,4897
6743,4423
5630,5143
11760,6050
8762,7665
1603,12913
5767,13203
1171,12507
7136,4612
6614,4814
12815,13229
13593,14060
2354,11712
3058,11179
2645,5446
4642,9528
9964,6039
4830,12428
11518,7196
8186,12390
8309,5657
7930,7983
6610,13826
2142,13077
2551,13487
4318,9483
8220,13805
8697,13131
3663,8997
3367,7385
9432,3603
10845,5538
2849,11475
1908,9635
4258,14044
4148,13301
7477,6202
2780,13528
9934,6848
8360,8403
1217,8369
1928,12619
1646,11181
1650,11044
1489,10479
1284,7158
1540,12234
3106,12703
8152,10459
11756,7497
13928,7390
9512,9284
10772,12606
4764,12680
1057,8088
1659,5045
2358,12652
3235,12791
4585,11834
1120,12502
6219,14073
3789,12993
3528,12890
3813,13270
4248,9237
1161,11603
11039,11862
10546,9077
13535,7568
1134,10515
11381,6272
5640,12856
3637,6172
3560,3305
3305,13401
4410,14056
2072,12227
1558,11056
1343,12173
1179,10939
4013,13007
1497,10735
3272,13108
823,7702
9852,9056
11816,11686
4691,11587
2100,12906
3500,13280
3964,13467
10640,5618
6963,9418
10354,9950
10173,12132
4228,13096
3697,9073
9337,1399
12827,3005
8908,9236
738,5092
3510,9370
6786,7640
1351,8751
12425,11653
11083,4972
4394,13726
4279,14052
3225,13784
4451,14059
6500,7864
8537,12369
9331,11167
9172,9232
4482,9357
6220,10884
10355,10230
5298,14094
2874,11941
6024,13947
8828,6329
9957,6713
13160,10332
8295,8069
13062,7454
13070,7506
502,1296
10572,1556
4189,11972
8094,888
1093,5615
915,4395
922,833
3799,13744
4328,13681
5380,12468
6128,4920
6877,6949
4032,13838
4665,13694
2520,12991
8430,8488
9638,8864
11480,11160
8803,13905
13071,12782
13403,12874
5528,13067
6887,13476
9988,7006
6737,8309
8784,11508
7490,11462
9458,12214
13124,9561
10194,1768
8568,6772
3728,3323
5916,6095
1316,10773
6051,8434
959,10805
3458,6745
3312,10428
742,6955
7389,11665
818,10458
8976,1092
5056,12406
7196,953
8150,1629
5089,3758
9977,9302
3206,11802
9694,8776
4016,3777
4343,13336
3400,12846
13556,5564
13184,8264
7304,7276
10744,4506
8158,10360
9512,9238
1407,10750
2988,12401
757,3222
1981,7664
9693,4816
7703,3474
753,3831
9544,9065
12541,2820
3412,2814
2194,12716
1233,11798
911,11275
3533,9062
3728,8608
4364,1639
1938,12972
2750,9715
12815,7172
13495,9926
1529,11693
5479,6142
13775,6776
8643,7544
11235,10747
7704,10898
10529,10635
9840,10320
9854,10458
5162,13180
13674,3510
1290,11580
5258,7797
2627,12871
3278,13469
1565,12508
3433,13237
3648,13052
8363,9024
5998,14080
5798,14122
12055,3616
13761,8645
14021,12183
1325,8797
4804,8767
954,11428
3872,12986
13217,2843
6291,13939
13257,4034
5346,5711
5093,5199
7240,9130
4238,11676
13986,11905
8697,4553
7391,1255
6239,794
7673,12054
718,4944
938,663
1133,10398
4950,10369
7830,12356
12768,12816
10685,10223
14057,13521
1074,12328
3150,12754
12137,2030
7948,3509
4584,13727
8626,10211
11977,11363
2039,11790
3220,8125
10263,5450
6281,10176
6426,8906
3783,10369
8238,10293
1900,12024
4574,12207
8290,8928
4525,13504
3245,12875
1130,10459
818,8884
8954,2218
12010,1446
12899,2439
1365,7843
5158,5470
10078,9318
7218,8819
3714,14022
6569,9912
2974,13513
745,7632
4656,5082
9185,1624
9157,991
1880,1481
10094,8293
8358,10416
1636,11113
7321,12465
6305,8900
7668,7138
7623,7780
5592,5765
7283,6039
10129,4787
10985,10453
10088,9455
10690,10743
8290,7074
4556,9010
4055,13641
5331,5790
11596,1815
13983,5992
2982,5448
2135,13309
1730,13040
1404,9593
5363,13490
4870,12319
6953,7892
7499,3850
1514,12961
12244,1891
7347,1457
