x,y
11390,6497
7096,13976
10740,5550
4552,4795
1437,12217
6745,4782
5413,3777
7857,7811
10614,2386
12621,5187
9732,12955
11068,10208
3815,10365
5094,11659
9751,6997
8474,8695
10188,6982
8899,8712
4702,9273
2276,11725
9166,8408
13405,2446
9416,8648
5203,10203
8538,8373
12258,10266
6682,7018
4867,5729
8818,6155
11911,12025
4129,9886
11304,10895
5034,13716
7122,7858
4488,4112
7203,4702
8806,11496
2969,11050
2857,12593
2951,13014
6733,7219
10007,9256
10008,10268
9810,6119
4538,12031
10541,14042
7534,8062
13340,5308
13303,5923
3970,4127
6955,7077
10200,8107
10649,3139
3576,13578
4528,13851
4199,13519
3934,13627
11747,10496
6838,7808
5589,7668
4214,5093
3284,3830
2653,1986
4240,9762
4891,13441
12889,3415
11268,3264
13330,4174
8891,9213
12180,12334
12382,2897
6228,8409
6051,5939
4633,5454
4620,9534
10172,8356
7465,8483
4550,6530
2313,8841
2856,9608
6768,6570
6897,4686
7815,4927
2305,9331
5155,7731
5254,1026
3103,3931
2838,3333
3284,10412
1762,11626
7379,6971
8679,4489
6950,934
8196,7044
3335,12905
7222,6041
6164,3276
7218,7557
4816,3782
14021,4000
2623,1597
1266,11147
8124,5504
8862,8104
8461,3751
11234,8720
6919,11584
4845,5922
4598,9630
12620,12511
2526,9198
6267,9927
7703,7976
8592,1174
11017,10291
5160,7583
1004,7478
13561,9810
5443,10373
7204,7850
3270,3512
3766,13369
3376,13475
3721,13631
3866,13316
4124,14056
8348,8720
6951,6437
9334,13667
9996,9207
11284,8310
8700,14033
11863,12711
14053,12234
12017,7100
9648,9664
11921,10356
13514,12295
13490,2752
10527,3025
2645,9896
10164,2363
11996,5106
7354,8857
2283,8241
13270,12641
8212,7448
14053,4194
12018,12322
2785,11466
2785,7965
8518,4714
4716,6638
2574,1295
13398,7119
14044,13482
9964,9146
2440,8852
7045,7063
12159,2498
13501,6431
7730,11258
7180,8789
8436,8376
8415,7895
13608,5288
8060,7495
5464,12748
12560,13614
6840,7201
9954,9214
8301,7410
12379,1700
6614,9149
8155,12053
12148,11113
6328,6222
5776,5577
11582,12397
2244,1469
7334,7118
7250,7627
9652,9556
12133,2763
7045,7698
10311,7579
2844,13112
5462,10620
6262,10326
12856,13421
7033,6210
5826,5526
12503,2100
5156,5640
6958,7286
8403,8339
8596,9010
9857,9762
4891,10010
9740,5664
1529,7700
2602,11905
8304,5357
2211,1590
952,9284
6020,6080
5049,9509
2831,5769
7062,7050
8236,7860
7977,7572
13406,12447
5394,10564
12989,13619
6824,6576
7769,7378
13449,4573
9290,8995
6793,6824
14112,7926
5792,11112
6053,1204
6959,7435
4780,7784
6546,7679
6094,6390
7716,6621
5187,8677
11832,4310
12976,3598
6384,6383
7967,7369
10933,3727
2521,7495
10702,3204
4862,7774
2670,6822
11065,1960
9330,1945
3567,9743
8904,8924
10003,5502
9103,8543
4866,10503
6347,6377
13984,7881
13462,5249
4706,8062
8355,7423
8001,12217
13742,2920
3201,13708
9612,9160
4975,3825
9408,10009
11054,5585
13891,7740
1432,10926
1437,10566
8763,4371
9125,2003
1110,6964
5999,1581
2728,6631
13180,4562
11501,8055
11807,7824
9527,12128
7282,6448
6338,11195
3932,13778
3323,13290
3690,13367
4772,13623
3182,12831
7940,7062
9000,4410
4493,4380
3746,3271
4338,4226
3924,9610
6503,6705
13161,4056
6811,6635
4705,6604
4144,5064
3668,4245
4698,5279
2070,799
6986,7919
7990,10462
5094,5799
6262,7116
9863,6333
11209,1910
9090,926
8712,3689
11597,1755
6702,7003
5379,5693
5187,5181
13267,3848
1854,11329
8162,7052
1779,9889
7233,12641
7584,3743
5936,4160
1134,11024
1112,11594
8238,8587
2062,9926
5302,5234
9587,1782
10139,4709
10364,1368
4888,7402
8085,8709
8255,1324
9499,11182
8081,10083
8798,6505
1050,1259
9884,5312
6667,6930
4913,10590
10541,14152
12158,11187
6684,8485
7233,9102
8810,9098
10767,12717
7127,6566
3921,13739
12534,13259
2062,9497
13486,13804
2664,12622
7123,6285
12661,3023
8901,12169
5990,10342
14064,10064
1300,4253
9208,13413
9363,3550
13618,3775
6160,6419
1757,3634
6133,4749
1931,2699
3786,13852
8566,4949
5969,5020
3908,3812
5692,7346
4728,8396
6434,12614
11163,994
3433,2282
7668,3643
1048,780
7004,6793
8500,7632
5824,8356
7517,8493
7859,5081
