x,y
7711,8029
8335,6202
5184,5352
4698,4524
4864,13305
8927,2408
9195,3634
6658,4432
8001,6623
11862,5844
11763,6965
9984,9019
9966,4360
7647,7273
4011,7274
6918,7806
5006,5152
10019,4565
4821,6130
10426,11442
10343,10962
9517,9771
6276,6572
9252,9350
4864,5619
3398,13904
6080,13546
6774,5220
5931,8388
9719,9133
13804,12914
12916,3228
4689,13818
2738,12721
1645,11636
7551,1451
12435,4747
8881,9636
2910,11268
2183,12351
1063,7013
7573,6861
8258,7357
3741,12922
2300,13508
734,9290
3292,13972
2422,8824
10035,7777
4740,11843
9655,13881
1254,8401
6555,4746
9978,9168
5993,6300
3841,4499
6343,8054
7868,7602
8592,8608
8060,8667
9030,3449
8868,9678
8870,5652
13473,5823
12109,7899
10200,8236
10142,10128
3356,8366
9043,9315
8309,6743
5753,6094
7411,7135
8441,7564
8410,11572
5407,5530
5901,5386
14108,7162
6845,2917
6195,5771
5393,5004
3734,13455
6028,6098
8174,5062
7307,3335
7987,8642
6171,6334
11585,1857
4244,4922
4818,5303
6908,6195
3032,7372
2135,1619
10307,4794
10051,894
6894,7930
864,11030
2360,7444
7623,6604
3975,13606
7049,1251
7070,1066
5945,11384
12890,5395
8664,6614
3855,13344
11317,1379
4630,3992
7828,7114
4855,1591
5272,2268
1877,12786
7781,7360
6752,4809
6628,6680
8564,3708
10710,2546
2294,9507
2248,11851
1146,11467
13889,7509
12062,11592
1054,10804
12282,12098
10357,9864
8372,8792
9190,8971
7538,8646
1051,11807
13072,5077
12539,12368
13565,3402
7777,6983
2953,11449
1562,3458
4015,9577
8563,10047
7152,6512
6744,9763
7443,11574
13405,7198
3261,6589
14182,13877
9913,8936
13940,4878
3229,9260
11928,6666
3574,13881
4761,6551
9417,8890
6252,4388
10248,1722
7029,4512
8626,3982
7147,4600
8124,8741
7106,8692
7493,11388
7723,12278
6538,8417
4620,12402
6932,11510
6786,6792
9072,8667
11464,6307
13577,4383
10220,7558
9072,3768
10042,5470
10065,9046
7329,8790
7490,8886
4826,10608
9152,7287
8082,8618
13402,3346
10939,10737
10008,13234
8305,8355
2562,2321
2454,3682
2250,1578
8772,8605
7303,7636
12366,2575
8370,6754
6598,6748
5804,9178
6388,9874
7457,6225
10128,13568
12514,1340
2499,13354
7842,3713
5947,6738
12000,1329
6583,6503
9642,9264
6661,6442
5348,4794
4216,2130
8780,8278
8651,6686
9322,6372
12623,1822
4635,4877
12608,2264
991,8614
5799,12519
10596,3127
11305,1801
7289,8720
8694,4432
6142,6472
3022,7352
4826,5078
1092,2240
13656,7647
12854,13304
6075,6461
1182,10710
12762,5007
9718,9606
13854,9210
13048,12033
7432,6792
10789,922
6200,6795
3727,12794
6134,6280
6822,6534
5226,2724
10049,1040
8512,5942
12382,1299
12408,2381
6191,6236
8978,7270
11765,10897
11449,1221
7045,7049
13053,3570
1738,11088
9854,1752
1678,1036
8553,9608
1299,11315
11375,7537
4503,14071
4899,14107
12005,6974
12225,7411
10680,13003
6622,6579
7000,6232
12148,8645
6792,7015
11195,12205
4871,8368
6860,6505
4319,3843
10992,1131
6579,7178
4402,4354
6776,7709
7026,7241
5938,6056
6333,6730
10152,3189
3893,3495
6800,4965
7110,5030
12190,2520
5477,5017
6224,4927
5652,5282
9173,3436
8626,3719
7548,5050
10352,7690
7812,4938
8641,4450
9989,7238
4535,6225
10405,11752
7716,7114
8728,5744
8726,5410
14055,4377
14000,3980
8043,4790
8347,6913
13375,3701
6551,6400
13794,4336
3965,3430
5448,5929
13249,7353
5867,5084
2794,12988
13690,5206
2221,11698
5930,13535
12950,2671
13812,3681
10859,8829
11150,8642
12254,1256
9357,2417
3010,12974
4767,13941
6037,6647
8133,4789
9701,9651
10756,4770
997,9537
10864,2264
11091,3758
8328,8911
10266,9960
9688,9122
11534,1292
7032,7184
9355,9543
10202,10297
5007,9480
7581,7898
9350,5722
1174,10278
785,9991
4178,4465
2564,7430
1316,6451
10161,11076
13330,2728
13124,2164
14121,9643
13438,2726
12792,1775
12762,1943
3566,8746
11300,6510
12636,1674
3552,9875
1245,12386
11902,1888
5783,5016
4424,4667
7507,3458
8194,4901
7377,7013
6999,6350
8244,4835
7624,6656
5436,5336
4457,12065
8032,5292
6730,7276
8077,8053
11229,11937
5006,8516
9162,7412
7033,8174
7846,7714
5230,8888
11143,1623
5571,6038
11207,3679
12322,5708
9522,1077
3127,9095
11478,1018
7043,7860
5794,5500
1404,2411
7566,6632
8503,8937
10250,1232
6162,10000
4926,5399
10980,1158
5366,13734
11272,6499
9008,8768
7526,7744
8874,8108
8033,1949
