x,y
12069,11770
7874,8290
8832,8617
13532,4326
1197,9294
8604,8167
8012,7624
11078,11879
2552,13630
9636,864
10415,7010
14048,4524
5636,7858
12724,1713
9480,10112
11036,11382
10799,10667
12151,3135
10920,12836
13047,9284
12807,9538
8929,9958
12624,1676
2555,12985
6661,6528
8497,7822
4764,1398
7236,1044
13675,3052
8866,9321
7136,8684
11645,4349
10958,4976
10729,4620
7362,4846
9567,5933
7801,5133
1348,10875
12563,5569
13822,3442
11295,11380
6500,6657
9267,7199
1662,4176
4369,4728
4146,12865
11958,1325
12573,3177
5129,5800
7810,5454
1183,980
7522,11798
7938,12066
12063,1313
8386,8681
7157,6075
1132,6443
8296,11843
2841,1451
11965,2370
12117,1845
11020,1190
13156,6428
7500,1125
6060,6531
10919,2267
7022,9490
7407,7015
13338,2561
12699,1687
9291,5827
11011,5507
10489,5194
5785,4954
8024,7787
5977,14031
6153,8385
1574,10934
1385,10840
11514,11054
10336,10254
10114,5330
11209,4037
12995,12790
13103,12773
12876,13510
7297,7823
6704,9180
8917,8089
5284,4913
4757,5016
3823,1158
2577,1353
2084,1548
6786,6665
6140,6381
2592,4466
4717,1440
4290,1648
2246,681
1915,11980
5109,7584
8261,8553
7089,7448
9388,4326
6420,6782
13258,5292
4832,5511
7201,5221
4178,3720
12619,2092
7421,8468
2521,13048
1755,11668
13340,2942
13047,3451
5951,6730
1391,12562
1290,10837
1012,9926
1758,10244
12399,3260
3781,13086
4049,10369
5836,6272
8391,4796
11012,3582
4005,3762
1920,2199
12806,5044
7067,6961
8532,845
11205,12771
1531,10307
10844,1676
6806,6375
4174,12026
4664,4861
12716,1579
6005,1006
8034,5450
10836,4731
9966,10034
8281,8572
8738,10769
11793,1886
2242,12252
7619,6945
6153,7285
12920,2880
13458,4617
12919,2012
10197,1619
10161,1439
4143,13632
8504,11733
6934,7319
4550,4292
4852,7677
10943,5144
6647,8564
5904,5412
2495,12626
7529,8369
7263,5974
6708,4832
11473,1132
5253,5572
9460,9801
10191,9771
8894,8935
9198,9099
9433,8942
3811,9833
7275,7924
5549,5983
11811,2360
2766,12300
3872,13281
1143,12375
11853,8971
8062,977
10605,10482
8103,10037
12061,10598
9167,8926
9772,13956
3524,8760
3197,8205
9992,2374
13748,4723
13940,4318
11285,7509
11999,5368
11752,5844
11866,5644
11009,10549
12698,13400
9717,4132
8808,4755
11873,5466
12892,3430
9421,9824
7574,8201
10238,2251
6124,11078
1954,2464
2434,2376
2600,1946
2336,1834
13179,2837
6754,6146
3428,8020
7167,3445
8556,8754
5787,6606
12199,2231
8270,7727
9448,3545
11012,5030
3910,13629
3104,9932
2121,13332
3360,13295
2018,12776
6015,6147
9847,6516
9470,1216
4724,6394
6414,1160
6237,1717
6625,2658
1119,6485
9256,2199
6347,6839
11313,5700
1696,10949
3280,2852
4257,4077
2610,3519
5856,1222
2413,12648
7562,5772
7521,1375
4209,13224
6720,4632
827,5693
4997,7937
2692,4148
5419,7732
9670,5478
7602,3784
7201,7238
1211,11879
8093,7456
7038,6610
1280,9531
9968,2411
13305,6239
11637,2045
8199,5079
8425,7572
2224,9459
12975,6963
10361,852
6309,2836
924,1066
1723,877
12506,1605
7335,6947
1990,12025
6747,7227
8653,6328
2361,13492
4534,11910
12642,5859
12212,8183
12729,7406
7087,13295
13344,2638
13477,3199
13646,8202
10150,5626
11578,3437
14134,6420
13533,6929
6065,13336
12416,5683
10188,10301
11576,7161
13224,4002
11258,7192
8881,9164
5014,10019
3886,9477
7576,5185
7819,5201
10549,5646
11021,4029
7663,7483
12023,1410
13581,3597
12205,4972
12130,1708
1213,11235
7786,7774
12493,2206
844,8748
13357,4874
11533,6775
8398,7632
8590,7750
6661,7466
12778,5116
8182,6562
1523,12958
1383,12360
5005,5133
10226,1678
11513,3073
7306,7115
8797,8658
7683,7236
12602,1979
11070,4020
11857,3939
8176,3526
7609,7626
13061,1935
2284,11946
5305,13623
3791,13116
7298,7708
8667,10658
9136,910
8758,871
5880,6153
4881,8929
13296,4062
9434,9866
11195,12625
8704,6591
13706,3037
10540,1372
13576,5899
10760,11358
2918,2822
2421,2120
8114,5475
8215,5550
2211,4565
7937,8554
13661,3405
11020,936
11237,1158
13153,2090
2068,13151
11954,2185
6057,7046
1934,1560
4992,5342
7466,3842
3561,10323
4021,12970
4509,13572
8829,8924
8383,6813
7394,7938
6445,7193
11580,1879
3453,13120
3784,4326
7222,3744
2657,3700
9090,6225
6735,7495
4830,14058
13668,3641
13866,11046
6830,13788
7589,7508
5925,14007
8241,12185
13959,10730
13259,10347
11894,13374
2728,13293
12021,1537
3666,13367
2257,9771
12535,4623
12577,2787
2242,12652
6874,13840
3308,8407
7862,3240
1218,11424
8090,3518
5894,5147
6819,7019
10247,2632
7246,782
845,11012
5009,2887
8542,1625
7553,8066
1602,12918
12793,2705
5180,10808
5141,7655
10995,5511
6279,6521
5089,5008
820,1593
11230,1710
8208,7005
8204,6960
6654,6554
13614,5134
13623,4885
4092,9991
12258,3174
10524,3001
4463,1310
4104,910
4758,4242
3789,4060
4722,9178
13829,11613
1089,5234
1310,661
13506,3361
6737,7284
13021,2133
12841,2089
13161,3088
8827,7949
9266,8561
10122,6536
10323,9679
1448,11462
11577,2991
5830,1432
12973,3270
5407,2175
932,608
1356,9799
3862,13871
8455,8367
5664,5766
3397,8800
3013,13141
13377,2556
3416,8753
12002,3624
13490,4601
11145,4281
11224,5004
7926,11823
2892,12650
8841,7860
9231,7420
8482,9966
7615,10098
13464,2382
5419,5469
4998,8962
6695,6776
7597,7009
9505,808
4026,13170
6485,14099
3673,8005
11364,5848
4754,9790
9392,9554
2816,7090
4399,7141
7871,9306
8512,8691
8302,7823
7968,7212
8295,8630
9268,9245
7434,10016
13868,7657
5260,10530
5834,10086
8152,10275
3329,9031
12792,10783
11434,10652
4863,10778
4368,4047
11142,12418
1317,693
3589,13973
2743,13223
3030,12759
9978,998
13865,9870
9256,8763
8224,8799
9817,5465
13953,4198
8786,9076
7518,7090
11669,7257
6697,13347
6829,12904
6007,8979
1664,12870
8695,7701
4284,4730
10737,11343
7397,13551
6770,13850
12676,13450
10020,7231
13515,11839
5970,6593
9502,4366
5916,5716
3479,2474
8952,9642
11514,962
2364,13234
6513,6546
3260,13952
2558,12988
2370,12454
9845,10334
13034,12429
7317,7003
6651,6968
14027,4161
4231,12446
10632,10018
8045,1186
7936,7814
2537,9787
6989,7752
7941,4798
4396,859
917,1248
2347,13162
12125,4992
5886,9036
4328,14053
6970,7733
2413,11708
2691,13167
13946,3641
10204,7229
10072,6726
11133,5436
4534,7422
14086,9445
13525,10099
7735,7339
11013,10668
9804,9540
8822,12797
7466,6246
3916,12587
2579,8510
3053,9966
10666,13261
2634,13690
13010,2233
12899,3096
11074,1368
4823,6493
9090,8611
10036,9536
1717,11310
787,10408
13640,2687
8315,7660
9438,1254
3454,8848
5433,5270
5160,5766
6212,8482
7758,7780
4624,9178
5669,5967
5300,4825
6390,8080
1924,1339
1685,3026
7101,6586
1409,12593
11089,5573
8255,6432
6239,10919
12511,1359
2965,13202
2580,13472
1786,9723
8039,7195
2396,12198
13183,3079
3837,13676
3535,11379
10727,2111
10766,2202
6699,6826
4314,13645
1661,11787
14000,5826
13440,5742
10046,1165
9145,9412
7136,9367
7124,9506
5573,3510
6340,4438
4763,5163
2716,12565
9756,9090
9134,9798
11074,11351
13540,7518
12206,12713
8636,4635
1090,11141
10193,1157
10664,1042
4235,9605
7775,2043
13437,4991
2961,2874
5440,6110
2435,11648
8160,7801
1958,11494
8008,5324
3710,4088
2372,3752
9402,979
2908,12930
6913,8178
7277,8087
11504,3044
6162,6520
11867,5228
3995,12784
2681,12681
1046,12110
13080,5507
11326,6322
11285,5809
13134,4803
13942,6199
12558,7336
13739,8183
12589,7243
11333,5298
3053,12639
7866,8203
8473,9979
14119,7521
13534,14041
13631,12420
13361,12182
8139,7361
2852,7505
6796,6938
9438,5924
8652,6718
7942,3533
1398,9472
6660,7284
7774,6721
8013,6879
5699,6105
3955,3734
6645,6919
1339,11501
1670,11489
1794,12372
10156,8982
5877,6230
9284,8828
8267,5542
7940,8340
5362,5925
3797,10852
4356,1084
7615,1700
6598,812
6822,7623
2893,12821
13775,3793
13980,3988
13959,4806
1392,8394
9223,5809
9676,7048
7340,6910
8335,12079
11173,1511
10492,2400
4278,13355
7211,7002
9665,5882
13515,8340
13994,10440
12268,11420
13703,8660
13206,12694
3282,11454
4039,13973
13576,7818
1767,12552
3884,13338
13530,4226
13286,2953
12576,2250
7402,1007
8030,1708
777,7726
4096,10003
2727,5934
6528,10106
6096,8871
3496,9175
6447,6430
3498,13986
2683,12540
7007,13313
5159,13339
8370,7391
6078,6110
11212,6648
6059,9226
5021,10128
4663,9833
3278,10966
10088,7073
13810,4910
13499,6812
9744,11908
13578,8006
13209,9313
9429,11719
13468,7515
9238,6399
11857,3697
4084,12842
7685,7334
8935,9952
11643,1350
6383,5952
6672,7064
4158,11737
7018,6702
2913,4475
13837,3247
9040,4408
5120,9186
4262,13390
8792,6410
6338,10148
11335,11457
11028,1789
6009,13731
7809,6431
9854,3166
824,8574
6913,7285
8114,8060
12837,1850
5511,13916
9528,930
14086,4279
13594,8375
8490,6524
6489,13864
8562,8226
9883,13589
14195,11198
7100,11322
10573,11782
4822,710
10858,2414
12818,5318
5000,6054
6095,10338
8967,5864
6611,6300
3872,14016
3363,8491
10067,7777
6494,6265
6473,8546
9345,11363
12551,9420
13782,11950
13981,4315
12655,2620
10317,9734
8250,8365
9674,9096
13409,4173
7617,8617
6613,2789
10527,5488
6871,6420
2430,12425
13429,9430
1752,12709
12462,1727
7301,3432
13279,3600
8983,7513
10026,7645
13495,5181
1722,12223
3108,10807
8222,794
8493,1142
1783,11741
8315,5481
7274,7887
7278,7514
10596,865
7605,7258
11727,1014
1120,5829
2964,13100
11789,1731
12790,2456
7700,7356
7554,4912
9934,10880
12250,13624
2400,13383
8370,6257
3407,9247
8329,1613
10675,11400
2512,13629
10720,5065
10979,4227
6289,6576
5378,13780
8854,3757
5731,7391
9979,6601
13534,2811
3767,13141
8590,9177
6501,6636
6048,6628
6913,9990
4726,4588
4751,6646
12113,9265
12580,12422
12247,2234
9264,9110
5218,5792
7765,8020
10829,5317
10202,9566
6929,7041
1571,11738
6151,6766
13384,3424
12100,1973
11616,1644
10106,855
5786,6579
4421,5116
3108,13692
7875,9682
4253,4747
2594,4466
718,4502
540,3105
7204,7582
13194,2367
1264,5291
9750,6395
6640,2452
7128,9408
4194,11369
4145,12475
11926,3983
8714,7360
8607,3932
6640,7800
10040,7404
7689,4906
9439,3505
8429,4922
8075,8503
8119,6840
10643,5057
11345,3292
8532,8161
9884,2384
9407,2394
7887,7929
3688,13494
1763,11920
6922,7203
11802,2556
7325,6222
2530,8466
7847,7419
4282,1861
4748,1605
5732,3737
8297,5666
9489,8774
10110,10054
3372,3265
4776,4760
6378,6072
5853,4934
6052,6175
12454,6158
3319,13495
8611,792
8989,3945
8253,13923
6614,7318
5418,6282
10758,4504
8534,5991
7315,1392
3531,4056
2300,4475
2067,2062
13004,3206
8569,8422
8564,5376
7268,6582
3678,9188
6918,4862
5243,8825
4932,8815
10054,8600
2256,12886
7601,7876
1747,10524
8826,4191
7051,4740
6592,1263
6752,7124
8107,8319
3495,9721
7650,6528
6324,6780
6734,6650
8578,8442
8630,4312
10389,5814
6028,5805
4904,5442
1290,7022
6184,6625
11594,2089
12638,2565
11395,4493
8660,1426
2390,12694
8177,7824
6993,13852
9640,5652
6816,6510
2852,3230
9208,3634
7738,3238
6177,7030
13487,3091
750,5850
3228,8866
9264,9369
1321,5399
10518,1396
10124,3976
3958,9488
5878,5039
4627,4837
2935,5884
10104,9211
11985,7010
7259,11243
10999,11016
2024,12167
7841,1696
1440,12124
7451,966
4878,4037
1372,4006
3185,11509
8328,4826
4158,911
11486,1310
13316,2349
3122,13342
2630,10020
11203,1591
3858,11172
9445,1046
13686,3028
13292,3658
13841,4774
11726,6090
9874,8106
10069,9790
9314,2443
7994,6762
6117,8212
5196,6029
8044,6799
12162,1476
6937,6507
9555,1514
7253,7979
2862,12962
10053,896
11010,5556
10135,934
10750,5338
6091,10510
12811,2076
10788,1038
11980,2056
11823,6586
7944,3290
5524,13224
10914,1894
12138,2912
7252,875
6907,1301
5611,5893
7975,4984
8604,1440
5590,6123
3758,4400
5825,812
4841,5206
1760,11505
13313,3463
13683,3577
12261,2588
3116,12715
3851,5967
5824,832
11867,2434
13176,3524
11856,5095
3779,12928
10607,1644
11096,9730
11889,4182
7041,8303
7688,11709
2809,12461
2168,12081
12600,2736
5398,5355
6724,14106
12180,8807
13621,13571
7179,9250
9406,1820
9467,1015
10417,1237
11768,1448
2913,9941
5979,9406
11551,4581
11488,5972
2977,5895
8167,10368
12261,2436
9632,7295
12165,11305
5568,9239
10319,9931
9632,9258
13240,2275
6423,6749
7152,8636
12030,1697
13902,3590
1708,13106
7298,9925
1393,12578
7551,749
13492,2944
10332,950
8078,1346
10235,5217
11110,1347
9868,5405
6105,6927
5411,5775
10950,5104
8252,2668
7540,3554
4805,2960
6222,7004
11779,1119
10995,5530
12430,7256
7135,14000
8052,9984
1543,11294
6563,4718
8206,8296
8732,8602
7584,7049
8255,7881
4111,7276
3458,6976
10368,1190
12006,1120
13690,6109
12612,11783
13136,3463
12465,1592
13359,10039
13466,4396
5531,5151
5878,5680
9897,6310
7280,5103
10596,5345
3705,6209
13514,7085
13723,2855
5518,6126
834,10897
13495,2749
7189,920
4335,2805
6543,7237
7743,9671
8887,4238
7837,7731
7901,7390
11902,1932
7080,7141
2508,13184
6148,786
1080,6813
4818,9360
4391,4035
6065,4583
2684,2607
12847,1788
11812,1741
6287,6588
6862,7133
6701,4539
3689,9191
6597,3156
1447,11041
6775,1106
3823,3397
9601,4575
9376,5570
1478,7308
6019,6379
8563,13892
8387,2211
788,7108
6610,8208
8851,8961
926,11340
2329,12752
13780,3470
11328,7544
9842,953
6498,6342
5232,14009
8638,818
10926,2045
7811,6883
11875,1231
9606,4033
6509,6617
722,1662
2475,13431
7457,5929
10568,4606
1059,11767
7153,1651
5776,13262
3791,10265
6168,10193
1221,7945
10834,10633
7419,7109
2911,13427
2048,12273
8970,1180
6439,9163
6463,8355
1738,12926
10292,2666
8095,3481
5715,5788
3746,4554
5649,6314
5942,5098
8874,3556
1586,7235
3546,9734
9259,7202
11037,7679
6397,7052
7164,6678
5554,11073
11078,8768
4793,4319
13637,7401
3497,10631
7712,13879
3292,13209
2379,13264
13648,6083
13195,7026
10918,10666
6466,12494
11235,1017
7773,11739
1390,11029
9630,6362
8536,5924
10169,9852
9243,13680
4784,6314
6762,7216
5133,13497
2465,12576
1259,12468
10889,10375
9740,7319
11706,1852
2505,12439
12020,1148
6708,762
6978,7364
6186,4331
9126,9003
7146,11629
4790,4957
9596,9300
9806,11570
11249,1759
6890,11511
4569,13544
8568,8784
9542,11175
8966,9706
14057,4191
11718,12665
4024,14056
3660,11102
13764,3239
10868,4371
13335,6217
10386,11028
11313,9820
11888,5392
10625,10805
7198,4611
8655,8414
5507,5971
7443,10053
14069,4401
11772,13666
8619,8609
7319,6681
6299,6847
5117,7544
7663,1583
5282,5942
920,2900
5880,9034
2878,3318
5070,1563
6682,1368
4624,10262
3947,11288
13062,2550
13990,4058
9847,5850
12008,3460
9352,5907
13011,7157
11361,8646
13633,9207
13221,8726
10915,11429
3831,13966
8820,8046
11444,6087
13412,4133
8250,5324
8121,3514
12755,3272
9478,9892
4791,6229
3357,12879
8368,935
3818,10745
13414,6646
13821,4850
10044,5546
10705,4868
7880,10022
8391,7891
12114,7227
8511,7748
9544,5886
9445,12875
11130,14368
7791,8133
13962,4052
1422,12004
9407,837
12422,6151
9827,7352
4461,9664
7192,9602
5760,5877
6444,6035
1355,6096
5444,5038
8078,5469
1565,12143
4753,5373
3244,13279
7230,6901
1985,9798
1512,5676
2642,12258
4294,14045
13612,3439
11129,1782
11018,935
8379,5711
8399,13802
10652,11520
12441,11088
13233,11050
5611,6034
7313,914
3719,13831
8701,6261
9942,9505
9649,9759
1407,777
941,11581
6862,8361
6642,7374
7283,6584
2904,7245
13122,7764
13179,10445
10758,7691
10589,13462
11627,14046
10647,2281
6058,6610
2997,11682
13096,2763
4532,12123
6822,6500
6928,11372
7770,13337
7752,7183
6694,6400
12714,7441
13421,9661
13063,3095
12342,3318
12134,3484
12595,3079
12313,2602
13288,4972
8412,8816
11126,7488
8968,9428
3065,8875
4271,2844
4020,2839
2463,13078
5615,12383
9667,1089
8747,796
8352,8799
13918,8648
3918,12531
3799,13063
5656,5818
8591,3809
8773,8083
13002,3588
13407,4179
7019,7340
13418,4307
13018,6990
13501,7513
12270,8545
4111,13705
7157,12532
7199,12667
7066,12535
6675,12940
13349,2337
7722,7938
8728,7890
14111,4873
6422,6050
5726,937
5276,5713
8656,5578
8252,7049
8121,8382
2970,13520
8221,7657
7032,7458
8615,7771
6407,6769
7770,7743
13881,4637
12539,1387
4416,11812
2814,11208
4154,14040
1672,12368
11407,5513
5886,7469
4635,7193
13317,2546
9843,894
1828,12617
5849,13681
9936,7413
7239,7991
8712,9060
5928,1762
9837,8928
9983,9012
7274,9608
8032,6138
12616,5347
8673,8777
13181,2850
11888,1531
6957,6642
7620,7160
7789,7680
3575,10479
12966,2381
4104,14017
8297,8415
11774,1599
11318,4652
10465,5532
10210,9614
8561,10339
10335,14155
10118,5026
4227,14036
4384,10141
3589,8889
2454,12218
9200,10034
10042,9940
6984,4427
8847,5872
9732,5986
8335,3620
6289,6403
3632,6342
10046,8692
10246,5340
7714,10132
3756,10214
7931,8364
13583,12442
12953,12508
10884,1453
5519,13190
4545,5258
9941,1297
3127,611
7101,7169
11486,1062
