x,y
7187,7710
11054,4138
5332,9129
12672,12604
8005,7692
7534,7395
7722,7322
8562,8272
7269,7065
7785,6933
7632,7164
5872,6226
3524,7706
10502,4841
13192,7118
6834,7198
4847,5147
8431,8118
2975,13327
4864,13305
9552,5837
1010,8600
1062,11579
2261,11925
810,9971
1330,8481
6395,6733
12292,2382
4673,6774
2642,3924
8057,12004
3776,10976
1424,11906
5474,12673
9094,6486
10419,10475
8814,9893
11192,4669
14019,9891
7644,7542
4675,5486
5701,3492
4676,1573
3353,13088
3332,13109
4193,13438
3507,13559
8709,8465
7371,7170
9328,6379
6658,7073
9531,2483
6343,8054
7529,7459
7868,7602
8060,8667
7691,7828
9112,8838
7493,7427
7886,10228
5753,6094
5285,7540
2720,3804
3910,4484
5174,7827
5052,7637
4007,14010
6974,9128
10302,13722
6704,7482
6455,6786
6806,7755
9695,1675
6322,4602
8604,8621
6930,7293
7108,7476
10401,9898
6895,3782
9816,9512
2097,12170
2724,12843
3018,12812
4776,14022
11968,10106
13219,9807
13145,13874
12781,2183
7165,6659
12539,12368
7379,7204
6171,6109
1351,11702
2200,13379
4806,14063
7911,7888
8410,4804
6980,9132
2446,3767
8611,10010
8648,8324
1042,6118
11757,10723
5884,7519
6953,9560
8928,8655
10027,7738
7944,7921
8044,7780
10406,3206
8176,8141
7211,11502
13750,10750
1311,11531
2354,13534
1374,10185
1558,12434
6316,6516
2651,4740
5575,6051
6101,5976
2648,7626
7028,7762
7962,7738
8696,8190
13191,8943
10172,14156
11876,11657
1188,10598
1242,10501
2916,12446
727,439
2295,12342
1099,11461
1742,11074
1613,12059
3447,13707
6286,12228
11162,12988
12389,13518
1774,11977
1356,11345
10117,10740
12112,10774
11857,12875
3584,13802
8044,7816
4874,8356
1587,6172
7492,7815
7579,7745
1788,9834
8087,9886
7117,7347
6049,10590
5401,6229
6084,6822
10590,4845
6515,6329
7211,4607
7260,6809
2734,12012
10266,5268
11753,5709
4857,5692
575,320
7942,7027
8762,8009
8346,7779
6712,6776
8696,7688
11475,1306
9682,8988
10471,10067
9415,8919
13907,8211
7229,12401
10914,11006
6442,9404
13659,9368
10671,10028
5731,13891
1296,11166
3672,13096
7792,7998
8072,7629
2935,7731
7405,6237
7612,7410
7441,7039
6814,6838
5440,3249
8013,1780
8433,8120
8110,8458
3770,10988
12878,1676
11404,8088
9972,5971
7849,8356
13279,10901
8654,13650
13250,9249
12924,13445
7632,8007
7427,5955
6965,7020
8524,7671
7166,6828
10128,10292
10443,12155
9573,10109
6736,13403
1090,12114
10627,4696
1788,11898
5824,4976
10619,9837
14114,8361
11130,11772
13178,2590
11685,2851
12140,2402
13740,9922
13305,6303
14036,6938
4831,8122
10224,2563
1444,11749
2910,13836
12020,3390
6132,7368
6442,1735
4794,4282
1468,559
7927,8485
5430,8998
3530,10468
10339,9719
11434,6538
7663,8767
9157,8396
10063,7536
13157,11267
9852,6955
9035,5622
8003,6759
7066,6386
6292,8485
7306,6849
7524,6658
4038,4202
3400,1912
1266,4545
1352,2202
1679,13166
7112,5206
4465,8295
11132,10674
12126,7214
10049,5748
7648,10161
6902,3763
1827,12496
2778,13328
2970,13260
2644,13646
788,10510
1085,7525
1655,11447
1301,12310
1136,6886
1343,8736
1222,8953
10052,13756
1426,10128
7066,7535
7302,3838
3194,2114
8476,7936
7571,7411
8072,8412
9568,8922
12315,4978
7755,10061
6235,6436
9640,3229
8694,5172
4734,9983
6936,3963
7976,8142
8348,8163
7559,7583
6825,6267
2086,12267
1338,11874
2067,12402
7372,7706
13311,6813
10872,12806
1726,12284
2546,9548
7406,7408
9010,5943
8501,7859
6618,6297
7610,7429
8489,5620
10062,9638
11520,10844
10467,10880
13573,10842
14199,13415
6356,6239
7228,7498
6863,6287
10101,11237
4051,4807
4502,4218
6859,8992
2274,2820
2230,3644
898,1024
13297,2945
12930,3494
13113,3395
10225,10073
8874,9468
10042,9906
11949,12981
1234,10771
1867,12604
1379,11044
1666,6719
12812,3242
12431,2121
11745,1780
11745,1562
12818,2784
5978,3682
3075,2240
7908,8255
6546,8438
7153,7599
7748,8085
7220,7562
5990,6319
2842,12269
970,10296
6347,7178
6622,1227
4864,7352
1991,1021
3131,12950
2543,13736
12688,1501
13285,11347
3244,13007
1277,12553
2393,13503
10692,12903
3774,9987
8274,7587
7679,6837
8288,6677
3173,10956
10856,4998
11479,7552
5980,1314
6593,6902
7524,7456
10360,3274
6829,7072
8082,7091
10542,10174
7244,9983
7027,7051
7261,7795
7820,7054
9221,9470
9783,5218
9589,9822
6209,9284
8093,10271
6696,746
8278,5109
6333,6367
1558,12084
2842,11806
4106,13921
6476,8127
5104,5120
6903,1034
5115,5228
4212,3845
3768,10272
13865,9846
5494,1274
1528,6894
5177,6125
4953,5075
7802,7422
3479,4839
5852,5382
875,6254
5184,2018
6615,6221
1823,5407
2326,1577
8078,7445
8224,7596
7689,7720
11792,9557
7076,13410
13242,12206
8412,4791
7589,8004
1864,12070
3609,12942
7192,1344
3495,3920
3707,4096
1980,12234
1902,11909
1648,7336
4192,14010
4830,6040
1748,13000
8435,8517
8327,8456
8448,5555
8696,4508
2841,6072
2312,12281
3223,11130
5459,14029
12348,6555
6405,7205
7315,4918
5589,13617
4259,4724
1104,1133
5762,12714
4894,962
11533,6536
1341,8479
9713,4602
8880,8653
3186,2071
10128,5098
1086,7450
7413,6931
8620,6544
2923,11770
3877,12753
6502,6308
8078,7802
7419,9744
3950,4951
5874,6808
4686,5068
6521,8061
