x,y
11170,4585
8665,6256
4488,9532
13227,10798
7561,7440
7699,7612
9255,5602
3218,7911
11089,10647
9069,7631
6295,6140
10471,5301
8333,5666
8272,5410
837,8122
5825,7224
1820,1938
1589,11989
1764,12259
3220,13714
2741,13069
7080,12743
13440,5960
8292,6766
5269,5350
9052,6350
9628,9104
8664,9904
804,1834
2958,12506
3772,13186
9892,6066
7811,7500
11849,1940
5438,5850
5786,5402
5151,4990
8054,8339
6147,6231
4991,3956
6179,6325
7603,7511
1635,12923
11646,4782
7621,7971
6765,7930
7686,7834
8139,8744
9240,2092
9458,2728
9413,2186
11333,1794
4058,777
10061,7026
9927,6168
6438,9224
8778,8700
8576,5642
7869,5658
6862,8023
8136,7903
7772,7170
3786,10791
8844,9143
10010,7972
10049,8225
10001,9099
6971,10071
2852,13398
12232,7572
12013,9107
6932,12635
11642,4326
13513,4347
13627,4757
8485,6391
11236,4470
13610,8234
12500,11650
12022,11953
10204,10179
9915,9521
11486,9610
9103,8897
14053,4194
10170,9654
5979,6078
7035,6599
4882,4868
4741,8172
2540,3534
1822,2156
4622,13909
4868,13893
2560,6155
6848,6696
2490,2271
8198,7131
6424,6209
8511,8413
6039,6399
6241,6068
6894,6812
7186,7315
6433,1736
3373,8997
8760,8152
9726,13653
13578,13883
2642,7114
6301,6045
1520,10831
2816,12726
13965,11159
1519,10395
3398,13670
5587,5761
1943,9600
12199,7902
2421,12583
7148,9620
7815,9971
1373,552
9130,9763
12656,14011
2918,11849
3510,13234
1846,12596
2756,12297
1683,11144
3432,12883
8218,8755
8398,8513
7422,7563
8909,9250
6349,14070
7244,6086
6553,7133
7750,8376
5452,5093
4606,4796
13117,3219
7210,1269
13016,10624
6142,6795
7271,6874
7493,8402
7348,7891
6858,6632
6457,6721
6184,13699
6290,13829
14013,8592
8887,11034
9932,9682
4320,11878
8406,12464
8216,12332
6804,13504
6790,4329
2011,13416
1796,12281
10218,5109
10931,4527
1476,11724
2538,11768
11044,9870
9776,6228
9868,6004
10128,7172
13883,7378
12510,11525
13129,3271
10556,5630
13260,4899
13517,7804
8408,1014
9909,1249
6863,2886
6074,1296
5180,3360
6960,6529
5588,9018
7936,8006
10869,914
6359,8269
6138,9098
6149,5982
7175,7878
3387,9232
3787,10544
9854,8877
9961,9125
10343,6686
9679,5909
8336,7564
10652,1538
1546,5463
1333,7204
4497,4661
3967,2899
2510,1290
4226,1044
1522,5043
4911,4531
7518,12400
6267,13778
5012,12362
10075,10166
7594,7532
10218,10986
10099,10648
10054,6936
11183,4558
13490,8458
1785,5435
4999,13824
1365,12048
7368,7754
6358,6680
6327,6401
7327,7432
6577,7011
11373,10918
9170,9281
11050,10630
11209,10072
10584,10239
8489,14065
8937,13625
6607,6517
1853,12239
6998,7887
7219,7049
4848,9753
4963,4998
6327,6319
13058,3578
13917,11481
13331,6921
13220,10768
1884,11589
8790,5760
7419,7939
2505,4502
9637,9918
2944,12220
1080,10222
7877,7991
2483,11918
1295,669
12042,3006
13254,3351
12220,5022
12255,1480
7511,2879
7695,6468
771,3481
1304,4349
2250,4025
2263,2491
3024,2551
7419,7210
6906,7330
8030,8286
7129,6400
5133,861
5208,761
5795,1049
5632,1557
6210,6460
1364,10355
5746,11420
13558,13035
14170,13892
6633,9739
9167,8868
8260,8730
8560,7983
8344,7746
4778,9177
4942,7822
7030,4123
2754,4564
8968,8688
8293,8471
8060,8383
3179,7702
12703,2347
10811,3424
7620,7054
6600,7292
7234,6173
6360,9104
10758,10985
11126,5796
12143,8198
8098,10170
12943,12819
12956,12114
6238,10450
8972,8253
6560,8291
8632,10087
7888,10110
7537,7229
7729,7182
10249,3035
9538,6058
11958,1803
7457,7114
9439,13715
7200,14065
12062,5137
11818,5264
2622,13688
4713,5458
6811,7101
6112,9184
2188,13358
4419,4630
4274,1408
5490,1568
6510,6514
4723,4807
6367,6134
5973,6479
4845,5975
4895,4606
7712,6945
1149,7858
1945,5355
