x,y
3017,12799
2448,13356
4226,13646
7324,14106
5558,12896
8182,5356
5077,8495
10892,10280
11492,10106
1524,12524
10824,13414
12842,14340
3368,12905
4267,13580
1113,10609
1029,5911
5415,5036
4505,4882
8918,8959
5867,1390
6455,8464
11276,1712
1206,11200
2419,12012
2091,12796
2766,12804
8604,6694
14069,8239
13166,7963
4226,13418
2206,11970
1880,11974
7812,6818
1377,10089
3512,8580
2757,13521
5364,12912
3036,12862
13044,7358
11452,10496
13579,13682
13892,8451
12778,10588
10867,12917
8626,13468
11380,8208
1883,12441
3011,13278
2838,12599
4635,13660
12420,1941
2344,12286
8303,2095
5966,6179
8887,8891
3650,12888
2239,7580
6281,8719
12257,11894
13757,9119
13781,7934
4130,7264
6564,9886
13844,7496
14061,5885
5956,9159
1269,8045
10712,13505
6925,6957
11100,7800
13366,7333
6752,8048
2592,12784
3421,12957
4074,13446
1142,10602
3540,13619
8064,5418
8624,4929
5206,10218
9965,2454
3275,13065
12861,12189
12797,13509
5280,13116
2909,12538
8629,13512
12987,9348
12162,11042
11118,9932
3290,13204
1990,12067
1315,11007
1709,7679
1402,7698
10621,3250
1434,8350
5066,5410
3652,4167
2126,4061
842,8051
2374,3612
940,8555
8271,7718
9285,9044
10833,10063
13388,9749
3860,13523
3066,13510
4302,13523
5302,12474
5042,7909
11363,10663
11308,8707
10863,10331
11250,11410
1552,11310
3724,12706
6290,6742
8875,8274
10827,12678
7504,14019
12839,11806
12260,13767
12184,2908
13813,4842
10537,13985
1061,12050
802,10432
2680,13461
1291,12228
1138,10216
4574,5012
3834,13267
4880,962
1280,11174
3312,13502
9405,13001
10922,11335
7158,13971
7360,13429
6191,6692
1026,6925
12023,1878
7298,6302
2819,1358
1583,11020
7236,13737
6736,13618
12213,4847
8954,13376
9034,13598
4322,12246
8143,13417
13946,9954
12833,13692
7022,1664
3010,857
9560,9144
11392,4012
12782,2252
10078,2432
7347,1457
7622,1595
7282,6089
8293,1219
4366,1364
5980,4129
2929,12662
13358,4820
6542,14016
7551,6855
4646,11918
8010,7768
10051,8812
1765,11323
6120,12469
8119,7233
7834,7488
6600,11368
10086,10130
9061,9381
12598,11413
10065,8716
7756,10812
13284,11656
11728,12163
4841,11884
12799,12640
13454,3589
10709,2052
8939,3489
8764,4683
1080,8199
9356,1876
6050,6612
8238,5002
1090,10925
7238,14034
3194,13188
6673,6552
11202,13261
8961,8684
1192,11165
1438,12405
3610,9811
4822,9418
6637,11406
2831,13668
3827,13959
7893,7714
2893,12334
4838,13848
13180,7053
12928,13484
7631,7001
9580,13249
11965,10791
11390,4462
1295,11720
4285,4224
1625,2120
1155,11152
1186,10856
1283,10751
2081,13214
5069,4552
10215,2616
9687,5542
7394,1268
9532,8767
8256,8388
3100,13170
6828,3083
10352,8447
7072,3072
12622,1758
7958,6704
12820,2076
10104,3224
5764,1216
3218,13544
1413,10668
2116,12319
2048,11950
8171,5029
7759,11130
7381,4708
9255,13621
10145,13537
13550,7042
13886,10566
2300,12769
1807,12176
13596,4580
4635,11811
11765,11085
11472,1973
3977,10244
2996,9757
5420,5801
7279,6736
11078,3696
3871,4139
8042,7317
13974,9484
2028,11960
3490,13193
6710,7277
7001,7994
5842,5222
6267,5819
1311,7280
1301,7535
11362,5933
8218,13685
13132,8982
4604,7352
9900,13622
8264,7547
8605,7786
8652,13720
9155,9293
8376,3616
11146,10884
1779,13060
7799,9848
8763,12946
7813,14125
6153,13392
11225,12398
1561,11527
4117,12568
2345,13562
923,11438
1575,9731
1814,12280
3016,13524
3312,13664
5138,13963
7906,10866
4510,12518
2712,11710
11196,11014
3669,13926
2203,7710
5198,6077
4517,13688
1309,12052
4596,13553
6022,5891
4916,9756
10870,5467
7689,7692
7017,9649
8328,8536
10038,11126
1236,10356
11210,5482
990,11219
2101,12234
1325,11098
915,10048
6586,13836
7641,8712
