x,y
3379,13432
1772,11570
8609,5575
6173,13475
7226,13648
8030,5355
8715,13687
6832,7878
10206,9694
10810,10460
6064,9298
3957,13368
3465,13404
3835,13350
8097,14011
10162,13963
10142,13984
13750,13865
777,10226
9153,7539
7025,7971
6436,6594
6227,6016
1633,12736
1081,11260
1452,12654
6430,6806
6326,4538
6871,4503
6671,4687
2719,12932
2916,12631
11786,10672
8637,12830
12635,13657
830,10470
3284,10412
6622,6683
7636,5053
1543,11907
1073,10758
1193,9810
3530,8480
3850,815
2771,12494
4678,13432
3376,13288
6464,6933
7120,7222
12051,7283
10117,5196
9831,5853
12079,11915
13580,12606
12507,7365
12871,10617
10738,12875
10550,12559
9378,13271
3205,13487
3538,13204
2351,12979
3082,13305
2689,12893
8008,9963
8690,10330
1466,11979
1450,11143
4847,8210
7471,9875
12350,11519
10561,12801
13850,10252
4003,7368
7519,4956
7747,4746
8470,6104
8098,7684
6232,10342
4364,13484
2645,12915
9741,10322
13343,6208
1295,8491
1263,7244
6893,6538
3278,11052
3578,10296
3532,9389
13578,5044
9127,8761
10975,10283
9530,4691
9618,5446
5175,4973
5968,6043
6494,4568
4598,11859
4579,11647
1815,2452
3448,11437
8573,5084
5268,13483
4649,13614
4991,13780
4484,13767
4892,13874
6428,8173
11059,9835
12255,12752
12468,12931
12090,11597
1281,11456
1280,6562
1406,7868
1317,8597
1122,8654
1142,7432
4213,3716
2450,3557
7727,7821
13342,9999
13406,10100
2816,13471
6658,13440
4595,13331
10850,8816
12456,12611
3011,13208
6301,6440
5252,12282
10588,10277
10938,8649
11543,11059
11042,11427
13269,11866
12706,11791
13383,10401
12753,13818
3924,14056
2026,13275
6698,13661
5677,13687
5336,13522
7087,11465
7551,11688
4996,11746
11128,14014
3321,13795
3425,13481
1760,12115
2817,12266
4228,13750
5100,13303
7175,13292
9609,12628
11564,11387
3654,12867
4173,13666
2786,11382
3537,11036
1811,7533
3901,1104
3621,899
2843,11902
2671,12220
4993,13194
5053,13840
4951,13203
7073,12614
5052,7647
8347,7936
6753,14037
8276,13679
8731,13710
4085,13029
8956,13084
12865,13103
13046,13098
1329,10548
2941,12713
1288,8922
1378,6446
6661,1087
5324,912
4211,1649
6498,6543
7743,6946
5927,4070
3707,13440
6225,13217
13872,6152
5988,13996
4987,11823
8519,8320
3753,10419
5126,3460
6068,4193
9643,5527
13651,10161
12095,9294
10021,8757
8803,13681
13766,4264
13001,3322
12799,2510
12228,2858
9316,1983
9458,2566
10722,5658
11823,4005
8789,3965
4867,5735
2593,13412
997,11322
8004,13826
9953,8334
11437,11093
1391,11686
1274,11198
1758,12335
7760,7618
5593,9366
12982,12956
1281,12110
10728,5150
2182,13365
10708,11190
12848,13476
1394,12710
856,9553
1298,10918
1374,9982
1512,9476
5478,5332
4571,5016
2786,7345
1272,5913
1131,5690
1482,5172
1230,5288
1633,4755
3290,2865
2382,2540
1549,2109
1643,10998
6075,4915
6174,4974
5103,3042
3538,2215
2098,3097
2090,1546
11489,1461
7945,6779
10605,3617
10288,3218
9351,1206
9006,9634
3692,4168
8694,1356
7497,1065
9380,13452
1217,10442
3459,13382
4067,13103
7812,13590
8975,13144
9739,12516
10295,13809
12343,10626
10219,10081
14142,11239
12450,13831
11178,4138
7879,7010
11642,13126
7516,7906
6113,9505
6453,8531
8234,8334
7568,7742
5265,4993
5966,4138
4804,5329
4975,5112
4810,5421
3784,13057
4378,13341
3595,13288
4148,13198
6249,13720
7369,11630
10544,11923
10802,11104
14177,13217
2786,12270
3189,10851
7967,13993
8623,10005
7420,9909
7875,9677
10172,10175
12018,11171
12532,11400
5347,10676
3068,12733
863,11330
1172,7362
8992,9819
7638,10034
7618,13542
10786,13196
4987,13838
1064,6481
1511,7860
2666,7561
4639,13784
11798,7458
2812,11593
11196,9986
11401,11193
10920,11563
10161,10914
12980,12866
1560,12258
1384,11940
1360,12495
1737,12142
903,7380
842,9108
1492,10742
1337,10534
1020,10851
2718,13120
3480,8001
1599,11422
11480,6128
10902,5127
2131,1622
13614,7836
2795,11893
1075,11747
8280,13846
4985,13611
6982,12835
8587,11808
1907,11704
11052,5568
9563,9313
1649,11298
2894,12660
4274,13391
6042,13381
2226,13500
9632,9852
8942,11050
9115,11133
7678,13554
13339,11164
12045,12411
2982,12853
2450,13471
1059,10780
8742,2203
10589,1306
6742,4696
4553,5610
5566,5526
1120,10711
810,10205
1142,10009
6140,6938
3704,4846
8343,1236
7693,1364
4087,578
1519,5400
2057,12547
1826,12344
3464,13297
9827,11810
1230,10205
1474,11114
3795,13733
9002,2132
7594,2882
5777,5699
5835,6175
5723,5415
6654,6938
7061,7133
7062,3154
7278,3172
1818,1137
1997,12778
1192,10990
9099,6029
8388,8311
7452,7575
7292,7310
3993,13686
2578,13528
6574,9770
2800,13572
2327,9823
6963,7009
7548,7805
4021,13763
10915,5108
11563,5769
8257,5771
8505,3539
7971,3462
8136,3471
687,2786
4748,5496
5669,3804
3256,3690
3528,3990
5060,5965
4674,2465
1985,4381
2040,2186
4108,2098
2139,1443
3791,6675
2883,5551
2046,11838
2129,12139
8822,9165
6343,6904
7950,11762
2453,12932
8345,7560
1360,10624
2128,13299
1261,6839
1697,4231
1137,2064
2251,12812
2490,13157
2643,13545
7827,13599
8825,8892
1127,7064
2411,5254
3497,12928
2858,11394
3456,10221
1776,11250
8216,7425
8381,8459
12224,3378
8296,11973
8731,12683
7790,5073
9223,5545
3720,8375
5481,8488
13047,11816
8262,7860
4936,13959
1799,11963
2523,12980
6544,4654
4196,4398
6194,5030
1861,11511
11396,1756
8733,8666
8227,6163
2378,1868
1119,10124
6344,5922
7787,8049
10976,10868
2649,12097
6581,12247
13780,5066
2152,9590
1625,9121
13460,6738
10101,14055
12642,13254
1685,11308
9847,4553
1731,5925
7141,9560
3125,5195
2328,11855
5732,13316
7102,6868
1861,5414
7572,7542
6082,5954
3666,2051
1541,8018
2022,5541
4475,4796
6013,5870
3801,13411
12117,5094
12209,3079
7046,13752
11640,7982
14150,13232
9340,1945
1181,10007
1813,12914
7164,4973
8391,6941
5067,5804
13338,2368
5375,10455
3386,13714
3041,13413
8400,13812
1466,4096
5220,11516
2524,13452
8470,10298
12926,11716
12277,13750
1596,11984
805,10577
1317,6561
4265,13548
7610,13636
8819,13980
3568,13426
1478,10700
3468,11248
5370,6084
2789,13617
1747,11255
4565,13749
7686,7212
6092,9410
2294,13384
10270,2326
4612,13958
3963,8056
925,11447
4043,7396
4472,11751
1968,12009
3796,9966
4637,9256
3561,13060
1228,5552
921,4386
7992,6372
5147,13990
5388,13334
3479,13427
2782,13174
3045,12861
1443,11470
877,10241
5898,9090
1004,7568
789,6189
4566,10304
11293,6772
8736,13788
4523,4660
5577,3636
11049,13058
10845,12876
11260,11978
5946,13454
5241,13866
2556,12691
8658,12344
6721,7195
1618,11476
1595,10401
1165,10045
4483,11640
3396,11098
5715,5335
4767,5262
4543,4103
1032,11859
9395,11184
5093,9123
4766,9492
4734,10081
4948,10346
9760,6966
9783,7089
7126,1123
10947,10270
1607,12538
1615,12156
3456,13182
1946,12226
2575,12986
10723,9915
2216,11687
6604,1251
5775,1174
4330,13662
5128,13408
3845,13031
9633,1473
806,8302
10101,13473
8852,9259
1008,10784
13631,4635
4333,13264
3350,8560
12454,6088
12631,5506
13684,10398
9821,13530
11014,12933
11886,14039
12316,14038
11554,1849
4839,7782
5453,13759
4750,7171
4866,7074
1727,6958
8646,4158
1330,11428
2873,12393
5500,7822
1136,11741
2495,13075
4456,14024
11593,6063
5733,3858
4818,9537
4152,12385
5805,8745
6563,9850
8610,4452
1529,7949
932,7642
9956,6628
11549,7514
11026,6360
12516,5856
5400,1143
3253,2743
6389,6292
3578,13232
4823,1339
3263,13675
1278,11662
3190,13178
1494,11430
2393,12164
3800,13706
9462,1661
13330,4818
9440,8915
10218,8895
9370,8940
6666,8110
7328,6956
7403,7144
7545,6890
7850,7252
4177,9430
1121,8395
11760,11384
5060,5461
2426,12389
6379,13587
1510,11528
2685,13635
2422,9065
1560,5463
3727,7349
1111,11906
2864,921
571,2410
1119,10266
8207,7977
2496,12078
7030,7223
8503,8906
4554,10587
8779,7827
1241,11638
1314,12180
3611,9231
7184,7262
7847,1014
8572,833
13403,7867
1817,12741
3493,13487
3364,12997
4080,13103
6356,13831
10368,13983
12139,11887
4488,13850
1238,12274
6436,13673
8492,8606
9696,9338
8320,7573
10619,11920
9611,9884
3064,13023
1333,10892
1546,10778
1688,12048
3237,12436
1360,7034
1701,7492
1348,12602
975,4104
6782,9190
3005,4188
1368,2010
2431,13379
1939,12774
3939,13744
10177,8669
9828,9768
9687,9831
10120,10195
1557,11875
5272,13758
5440,13968
10705,13567
6972,12778
3055,12683
2691,12476
3365,11296
1354,10895
903,10600
12469,2745
7026,3959
3554,6603
6889,6670
4578,13728
11773,14052
11224,14073
12958,14065
9244,13302
9632,13577
760,8664
994,8358
13595,12777
1459,12661
2881,13330
2342,12348
7193,11246
6426,9092
2836,12430
2823,11355
3681,10366
1504,11382
1022,10648
1468,9045
3897,11228
2858,11162
1402,4707
7526,5080
3446,13609
5274,13648
5947,13885
6050,8502
10464,4776
8911,8028
8645,7794
8311,8459
8898,7854
5365,13823
7011,13887
7044,12630
6678,13666
6836,13658
10118,10123
10687,10573
10821,10549
12019,10685
11736,11042
10632,5042
2592,12190
7388,6131
10086,9803
4602,13650
5395,12878
13877,3799
2013,11715
1282,10274
917,10854
3012,850
1864,968
2872,11378
6033,11122
12831,12534
1225,12304
3533,13160
1322,11200
1349,7817
997,8217
5847,4947
6364,4830
4442,13291
5507,13873
2332,12619
9764,9701
10741,10395
5111,9296
4828,8436
5896,11190
5762,13195
5404,13638
6526,11271
6206,11062
8623,10372
11492,3773
9292,5781
8308,6073
7976,6360
5573,13393
5982,5196
5330,13637
7642,7979
10419,9773
2686,12492
1311,12640
2436,12043
2148,9490
3521,8104
2835,7421
1158,11986
1096,6588
1123,6951
1765,4030
2001,4165
3045,3871
5967,6037
1534,11919
1718,12790
9139,13395
11541,10012
965,11441
3400,8993
2394,12399
1226,10271
952,7022
844,8423
2392,5100
1427,9121
2960,13098
5506,13312
4032,13316
8906,13315
5469,12310
2752,13403
2729,12655
1565,11740
8823,8323
8872,8860
9896,4372
12264,7282
7661,10144
8072,10270
7062,9893
12921,13598
8764,7968
9421,8880
9090,9667
8317,9929
3944,13622
3759,13069
7835,13752
10287,5615
1575,11744
6508,4809
6937,2880
1232,11759
2928,12590
4865,7002
4731,7072
3922,689
4086,3486
3022,13157
2307,11749
7550,13184
11423,5589
7499,9786
6962,9226
11595,11231
4483,8045
5116,10942
2719,7629
12277,11484
13609,9709
13329,12777
3949,10134
1418,11488
5878,12495
13206,8563
14047,8352
13770,8888
2177,12692
1012,9964
1713,11668
1377,10640
7925,7751
11263,6675
12835,11188
13337,8833
13844,9083
3277,13166
2509,12411
1002,11663
1732,10990
8611,8437
1627,7460
8552,4792
8351,5698
10842,1293
4063,4659
1067,596
2897,11329
4801,13628
1459,11640
931,10821
888,10775
813,3946
6618,6157
4153,10031
2771,8084
12687,5368
6232,6098
5683,12630
9901,9814
3202,12832
2921,12478
8825,3851
3809,6070
3444,13847
2908,13290
2886,11540
4320,13716
6084,6614
4918,7935
1638,11334
5958,13448
9868,5579
6746,11486
4553,13778
6579,13376
13595,3833
12845,2120
12911,3013
12317,7977
12217,7749
13140,7668
13892,9380
7801,13749
9901,13614
9554,13342
3032,13378
833,10552
1444,12409
1691,11477
7944,3296
3999,12748
4617,9256
1566,11964
1638,12134
3476,13345
8716,8664
6734,8137
3357,10720
3970,13607
3176,13420
4024,13155
6758,13187
7858,13912
5991,13619
6142,13355
3730,11272
10319,13163
6752,793
2786,11724
6470,9721
6343,9696
10220,10106
1073,9484
9037,9220
10450,850
5532,5517
6550,6966
9778,9364
7460,7676
1813,4524
1884,4572
1281,6645
5866,7568
1886,12836
9342,13407
9383,13224
8314,11841
8176,13870
7401,13823
11256,10673
11252,11382
9613,7015
1808,7725
4151,13100
5446,12629
4425,3181
1598,11804
9995,3748
7208,8078
9777,9774
3043,11969
1308,11071
1963,12684
4769,9378
4771,9850
4478,9474
1470,3869
1293,5143
10977,3639
1163,3857
2764,12117
8531,12026
2672,5619
1682,12583
3597,13116
7993,5444
3992,13221
4011,13358
6675,13469
9597,1299
10817,3529
7370,3336
5727,940
3136,12994
3084,13142
2490,12175
2592,13434
9338,9036
2745,9876
6465,12552
7269,11137
7059,11332
9878,6474
11125,10617
1584,11268
1519,11991
3440,3609
7220,1137
2523,12166
3588,13485
1805,13041
1658,13094
2665,12431
2425,12224
6224,5738
7853,8168
7168,7704
7831,6725
1606,10019
9768,6316
10869,3480
2379,12063
1880,12846
2818,13074
4811,13733
4948,13829
3175,11072
7316,8020
6903,9246
5267,10483
6838,9091
6735,6200
4145,13340
10091,7536
5644,5604
2776,12934
4104,13524
1065,7475
5382,5911
2501,2417
4508,9856
4853,10326
10814,11118
10986,11275
1870,12412
11347,10830
8935,8693
10303,10128
11879,3876
3408,13212
4228,13622
8813,8988
9471,9058
9288,9002
8868,13607
1507,8249
1346,8283
2683,12459
2757,11612
1210,5862
4277,4874
4466,5058
10842,2466
12740,13270
7607,8086
5338,10464
13389,12107
2886,12965
1926,11648
1034,11756
1474,10857
1126,8881
7045,7343
6749,7510
6660,7313
6930,3001
8566,4749
7113,1203
4007,2593
5036,1014
5079,3826
2642,13622
2894,13250
4762,9084
6480,6406
4057,13705
8924,13605
10872,11728
3140,13594
1604,1278
1998,1780
1790,11561
7176,7847
6769,6736
10009,10339
7107,9366
2845,3619
6384,9628
10197,8773
1875,12646
1725,11255
1544,10869
2012,12556
1407,7269
1854,12544
7029,12771
1093,12369
1100,11220
4877,13473
2028,12753
6961,7072
8385,7916
7573,13504
10657,13852
10435,12706
9962,13675
13377,6275
1845,11716
1345,12309
1896,11420
3906,9394
1117,5578
1341,2739
8854,12952
10705,11932
11453,11950
13247,11038
1612,12107
976,9542
1392,10530
3426,11442
3954,11332
1146,10282
7678,7784
1185,7769
7902,7939
5602,6340
2138,12490
3616,9182
3897,12792
5914,12398
2016,12612
850,10511
2412,9996
4560,3877
1876,11511
6344,11324
8234,6397
8311,8815
3064,13357
13479,9018
1432,12600
6982,1706
7867,1688
1618,10276
1242,10896
1572,1131
993,11174
2990,13304
7250,6897
7904,6475
8159,6613
1282,11752
6807,6645
11410,5841
3306,11196
4197,13576
4072,13478
3201,11541
5404,11534
1029,9504
9363,5806
8734,6196
13036,2654
7929,13594
3758,10303
4102,13818
7802,10050
4451,1566
4267,9444
4042,13156
1162,11495
1386,12372
1781,11572
3152,13182
2748,7331
6274,12661
3555,10545
3998,9791
6097,4352
9693,9048
2230,12008
9738,4364
5592,5143
5493,5743
7363,7314
1052,7262
6520,7980
3294,730
6417,7208
12291,10558
1796,11442
4820,13644
7326,4992
7470,4944
9249,5786
8353,8282
5259,9247
4227,10002
8101,7430
8429,8959
1024,12266
938,10696
1105,10334
889,11137
1046,7515
1162,10829
6612,6378
1399,11836
7285,6874
11803,3030
4420,13768
1461,12024
4026,12985
1528,11950
8589,10223
7890,10052
7792,10115
7330,9908
7139,9676
9186,11420
1107,12342
5997,13334
7141,6819
8054,7349
7995,11041
7824,10485
10751,10527
10192,10248
11239,11040
9302,5488
9936,6848
13164,12162
3577,13093
3558,9960
3816,9269
6666,13004
7887,13601
9740,13318
8672,13122
12153,13647
11253,13114
10327,13281
11850,13626
13855,14009
4007,13335
1395,10256
1152,11173
887,10195
8837,1490
8708,1267
1705,5047
1758,4096
1496,3643
2378,12265
10228,1236
6140,6341
3750,11543
4486,9204
8307,13491
8896,8900
976,3291
1100,11305
6313,13633
2604,12538
2436,12486
4498,13877
4576,13461
9340,9683
2000,2652
3109,10877
3082,13248
2906,12128
5880,11429
8217,8610
8981,8835
4478,13464
6668,13576
8653,14092
8881,13095
6792,13068
10005,10536
12556,7194
4856,13459
5169,14080
3355,7241
2547,7243
10383,2956
3252,7756
2142,13235
3540,13427
3793,13331
7217,7194
1645,11516
9505,7095
9532,7224
820,9427
3998,13346
2042,12456
1251,10273
3201,6634
2723,6657
10720,5518
10755,5622
7689,1441
1409,11012
1248,10108
5139,4943
5276,6017
12201,12025
3918,13058
8077,13896
10220,14115
10673,12425
10522,13010
13044,10248
2101,12158
8856,10720
2909,13129
8886,5871
7992,5470
6098,8728
7487,7443
5421,8665
6716,9033
12526,1863
3540,11548
8226,6488
7216,6935
7898,7402
4355,13155
7796,11938
2344,13436
3575,12921
1497,11451
5577,5275
4905,5083
6044,5787
4681,7208
