x,y
1236,10872
3644,12890
11104,1653
6446,6400
1380,6830
4697,13843
9067,11371
956,9462
1276,6678
2822,6262
9007,2331
5817,1638
6975,2630
7395,4864
6621,4788
1264,9250
3184,13228
5122,9332
4545,13871
6520,13949
7761,7242
8359,7394
7451,3052
851,10180
4238,7206
6309,1764
10574,11370
2274,12540
3736,13259
3775,13579
9619,11732
3752,10223
11584,6028
8830,11509
3488,13016
5906,816
2950,3838
8726,6242
898,7382
1102,10240
4527,10206
6180,13791
8951,4036
935,4506
7732,7526
3432,2498
4423,9804
8098,8390
6449,12574
6019,13345
11981,14211
2819,6870
8170,8233
9621,8830
10301,9723
9177,9643
9137,13248
7974,7555
3484,13270
6271,4965
6158,6895
4637,13684
834,3292
5333,13895
940,11612
3583,11560
9990,4192
7874,10352
4793,6204
12202,11828
9343,7149
3684,4975
8740,12486
2163,12287
1338,10766
1861,11546
9688,9172
5484,5825
12000,7208
7246,11513
4339,4865
7466,6258
6136,9396
4821,13737
1302,11896
5651,5695
2010,1182
8209,8032
8310,5260
2767,12956
9936,7337
11707,11048
11120,4706
2898,7878
1448,7242
3398,3478
1491,12343
3291,13562
2267,12438
7148,13886
6895,13299
7641,13678
7094,6613
11316,13459
13561,5952
11953,10570
7081,6755
5979,10844
7673,12054
3325,12873
10428,10192
9352,8680
1136,11380
2697,12702
4611,12532
8694,5158
954,9646
4622,10329
3707,9173
7594,7044
10625,12678
2504,11863
1090,11817
968,11870
7016,4878
1260,6506
9896,2528
821,3038
3242,3787
8553,8666
6645,8201
10706,5168
2386,12175
1060,10582
3166,11492
4591,10198
6832,867
4628,4890
1900,12024
14123,12655
4840,13843
9268,8557
6652,6518
6732,8297
1736,5062
1170,8005
10722,1097
6187,9187
4134,3996
4416,13474
4261,14049
13236,8438
7051,8230
2672,11472
9579,5813
6532,7938
3599,1497
3707,13440
6225,13217
3978,12581
5988,13996
8117,8105
9323,9123
3753,10419
3501,8712
3797,3805
5126,3460
10842,5278
2309,12186
2982,12415
3914,12652
2710,7639
6719,13615
7273,6792
8340,6552
7121,7022
7244,7080
7766,7696
9319,8627
8409,10120
5947,13624
9522,2412
4937,13701
3894,13818
3654,13542
6405,11412
8170,8250
12045,9105
8020,10111
11556,12008
3468,13180
4383,13714
3195,13162
5133,9302
4553,13709
7090,13920
10222,10516
12932,14020
3036,12554
1218,10626
1372,9605
