x,y
3603,13914
10443,13232
9691,9474
13649,7622
10625,10373
12037,12351
12775,12913
3406,10394
6458,6200
1667,5619
3572,10814
3822,13124
4352,13610
7860,13280
9172,9155
10356,10474
13396,7377
9152,9713
11035,11431
14013,10281
7561,9947
9023,13197
4344,9709
8627,9710
8728,9926
13098,13611
12637,12614
11413,6420
12983,7254
12158,11781
1481,12913
830,10153
1215,10402
3135,7819
2838,7660
8137,7524
8256,1007
7722,1542
7439,1270
5801,1325
7301,1016
6619,6658
2771,12317
1433,10317
1530,10847
1128,10274
3033,13039
2667,8466
2456,9940
4632,9456
2466,12660
8832,3992
10504,11147
1479,12383
7632,13722
10113,9578
5298,5076
9438,13306
11377,6465
2230,12109
1741,11918
1497,10718
1542,11288
5760,916
2330,3635
3078,3750
1460,6948
1306,4804
1439,3591
7959,4984
1101,10241
6582,7103
5431,5295
6246,6561
4544,10216
4688,10228
8643,4286
7887,7382
3391,2354
3700,13326
7130,7699
9177,9243
1978,12256
8273,8291
9952,6933
10423,10393
7230,9687
8316,8889
779,10567
1552,11274
9498,6368
5894,5553
4311,4233
9491,3499
8648,7533
7280,7452
3332,3852
7755,7470
10453,7573
8113,7744
7389,7240
5913,6180
7212,7107
8515,8081
6811,7260
6702,7746
8072,7814
8971,8375
6721,9373
9320,13277
13908,13907
11911,12774
12462,13464
9263,9124
2115,11784
992,6724
4580,14001
2571,13152
4006,13671
4266,11648
4042,13546
8427,8051
10107,4574
10816,11312
12896,12897
7818,10382
4132,12490
4722,12379
12219,10555
6802,6576
3782,11476
3921,11199
6125,4007
3480,3553
8490,12258
7999,6372
8112,6464
4122,7408
2684,3940
2848,3390
2763,3049
6594,8294
3943,13339
10018,6973
10462,5638
10660,5522
9806,5235
6306,8879
8980,5972
9040,5649
4942,902
3176,2231
2175,12703
12833,2492
13770,3064
1208,11503
8572,4558
7000,13437
2630,12699
4856,7949
1273,6913
1550,2274
1089,4958
1414,2288
2138,3613
3869,13916
3772,13686
4574,10271
3602,13492
1241,12642
3262,12821
3247,13054
4027,12752
3310,13598
2938,12546
9200,13296
8126,8301
9084,9819
5294,10090
11946,10646
10109,13303
12325,10540
11891,6599
11736,6714
5033,9081
3283,13140
4437,9753
4377,13680
6416,4913
10001,7510
7895,12018
7808,10196
7410,9751
10094,9544
14124,6679
1738,9180
1700,9450
6788,6291
2376,9636
4056,13240
12888,2256
11584,1520
13272,3277
10606,13686
8169,7078
1132,6698
1055,6516
1403,3042
3821,3345
7040,9086
8891,8657
10628,4896
5071,5210
3683,6326
9906,3930
14053,4204
6971,8283
6208,6528
6090,7322
1828,12093
3351,13283
5496,13500
13735,11567
1772,10980
929,11433
866,9891
3426,13479
11769,3929
7200,7123
9856,4250
9853,6386
6231,1026
11812,2942
1116,10882
7614,7569
6979,6983
9747,9402
6613,9470
1227,10981
2946,12601
891,10215
4318,7339
11143,5453
11580,8314
9605,5908
4694,8064
5288,7544
6152,6816
4467,1248
8005,1177
5904,1448
1166,2054
3214,2007
2929,12662
7177,9070
6470,6892
