x,y
13620,3231
10841,1090
13074,2572
10693,7576
13417,7424
974,1610
12165,6432
3665,8361
8787,9929
1084,12220
14110,7249
7586,12386
7734,11066
11969,13286
11839,3937
8604,8167
8572,8440
10968,11328
8136,7903
3786,10791
4375,13420
11075,11927
11014,13581
7114,4060
4940,12340
10274,5716
5634,13442
7443,14047
13851,12563
10895,3412
8064,12169
5361,6114
4599,7991
8844,9257
13226,3915
13110,2987
13245,3922
8702,5771
8462,12188
6673,6923
11647,5542
2032,9760
2837,7069
11875,7100
4507,7327
4066,992
10202,7112
2646,6969
5494,9071
2744,6399
10249,1511
11533,1251
8554,5499
10304,1208
7019,5033
3828,851
8838,8032
3694,11164
10456,5046
5631,6091
8664,4670
7546,5190
4611,9508
3144,7589
13206,6746
2259,12712
8322,13645
11920,7579
1012,9926
11325,6454
12399,3260
8499,1104
4049,10369
11012,3582
3293,8828
2616,5982
2110,2931
4100,14025
12475,5161
6503,7213
5776,6546
3926,7792
10877,11246
5548,6242
12716,2100
11629,3442
12322,5708
3127,9095
680,1500
8934,8262
11547,7014
5140,11649
13912,13944
10897,3302
11160,5844
1545,12791
8850,8216
7062,12715
7475,6957
8290,8187
3781,3199
12066,7822
10084,12034
5806,13232
11899,4807
8080,7685
5886,10667
1560,12887
6758,14079
4210,12047
1704,11280
8664,1155
4550,13331
10090,7482
4453,4971
9959,9797
6419,6440
12938,13456
11911,2867
2953,11622
9503,10133
11372,6103
10667,5564
9028,8986
8826,4153
13621,10173
7420,8973
11672,12702
5763,13638
6081,6930
4899,1454
3662,1646
9922,6590
2956,12042
11548,8703
7257,7435
6719,11605
11314,7744
9585,10204
1903,12311
12838,2689
2731,6729
2847,9951
11826,3944
12229,7335
10034,6075
8377,1055
8817,5859
9207,9054
11133,12778
10332,10136
9924,10008
13835,5913
6908,13134
13498,10494
13642,12575
13106,12288
9896,8214
9316,1921
5280,10779
5225,10372
8806,5775
11496,6222
7758,8526
4553,10129
8226,6853
10050,6434
13311,4220
9351,5985
10094,6930
7476,13921
11249,7070
12937,7353
10514,7648
3834,13507
9703,11261
7122,13440
13406,11572
4664,9594
13460,2818
8774,8129
6544,7205
7775,7539
4379,9694
6090,9088
5658,5445
8393,6565
10353,2773
4324,13233
10036,2477
9073,10992
8102,6780
8706,12854
2110,13347
10080,3259
9762,4420
13645,8393
5836,5377
9792,9016
12750,13252
13371,4455
13942,3954
9770,11524
12765,12388
1744,12970
10686,3197
6367,6134
4845,5975
7712,6945
6714,4539
3531,2279
5411,5913
1199,1172
13038,2157
11570,1490
4681,6190
6573,4501
10201,2615
5219,13586
10425,2729
5252,7736
4597,11587
13335,7247
12157,8500
13899,9462
12383,13228
3768,8378
5941,5489
5488,9568
8804,10894
9602,1673
13885,11548
10736,3281
9332,6377
7290,6860
7840,7301
6457,7093
6812,4160
8757,1162
8619,9711
6526,10103
8394,7549
8124,5361
7035,6556
1740,11211
11730,4126
1496,10198
951,6990
4586,6855
6367,6455
851,948
12313,5493
13169,13818
12851,3393
7358,9661
12029,7568
8239,10109
10318,14064
12020,12396
12150,3172
13173,4469
13220,4675
9066,9140
10272,10296
11123,4726
8474,10030
5620,7485
14000,5826
2562,9807
8072,7694
7124,9506
7431,6279
7155,3981
8838,9832
8409,3504
7561,8164
8593,7834
6653,9065
2835,13060
8532,9026
7623,7619
12179,1830
8391,11957
3787,9629
6199,9473
9998,4231
5578,11247
1324,7492
5697,5504
9030,9039
13106,7491
8377,8663
9943,9152
4083,4125
729,7953
12492,2718
6683,4453
5946,6535
9367,1986
6531,6203
4770,9406
5288,5224
4893,5046
2960,7632
4031,1268
9235,3562
2227,13265
2739,5599
6113,4159
5687,8482
7130,7440
2763,6339
7066,6239
6254,6988
4085,9962
6997,10864
13944,11013
3501,10163
13274,12195
13137,12829
5492,5349
1686,2706
6677,7187
2286,9806
4879,9551
957,4641
9680,5650
7516,13188
4604,4054
7015,6531
2758,2235
8019,10021
5829,12539
13082,7346
6950,7728
11440,8257
7040,13697
11359,13320
8070,13258
10900,2293
6670,6348
5172,10198
8980,5589
13855,5932
877,10588
4519,4442
5596,3574
1361,9311
4425,7124
6724,7541
6303,6896
8607,4592
2795,9766
5676,5348
5776,5638
4709,4102
9372,4208
5610,5513
4398,7470
2538,6512
6680,2682
3293,3825
6013,4042
6482,4844
5817,6641
8304,4963
828,4110
2825,7897
6426,6344
1749,1328
4121,1286
1965,9594
5766,6102
1347,6043
12254,1273
13144,2301
10222,10674
10431,5341
12091,7697
7831,5223
12395,1334
4245,9645
8561,3399
4106,9986
5831,10645
11616,8047
6204,5862
7774,7754
10636,920
12643,3098
12934,2137
12681,1927
10257,1064
10564,7455
9980,6710
8795,9045
6227,6435
3609,2689
7384,4822
7604,13577
10400,10961
10994,10050
6705,7080
9654,1221
13077,3296
11649,6929
5998,6378
5521,7478
6674,7034
3302,8025
3642,8904
3678,7192
6632,4768
5316,10340
6917,6376
4797,5144
3579,11653
5234,13149
6020,1812
6281,6009
2334,2383
9272,3746
3590,1515
6909,8159
11798,2966
13519,7567
3219,9221
7061,7312
10850,1290
4768,5042
3558,11400
803,856
13265,3631
13750,3920
13260,3332
13339,3949
13110,4937
4340,13702
8816,8418
8896,9363
9211,9370
12674,7520
7766,4866
12172,2445
9737,2647
5835,1293
6734,7578
2017,8421
6960,7093
1335,5855
9335,6368
4599,7860
1349,4863
6649,7766
9730,9183
8381,10328
13619,13274
11595,10880
5799,8968
2291,9239
11962,1784
7243,7160
7559,7779
970,11334
11110,1534
8972,7208
11214,1896
12188,1361
8012,7430
10558,2328
7644,13285
8264,7666
7028,6855
8666,6624
10004,876
9802,6351
6034,10390
6001,5931
2980,13194
3469,7820
4660,7016
7588,1330
8844,7799
9199,5707
8627,9982
5778,6162
13151,2280
11540,1892
12158,1276
1405,7109
3813,3030
3195,7099
11789,2061
3315,723
4954,5611
6097,8334
13355,3923
10993,3696
10213,4618
12008,7015
11646,11331
7353,7634
6434,6704
1442,9768
2624,4967
7040,7087
3463,8048
10437,9984
8564,10476
12405,12982
12784,12731
6461,13328
9167,9161
4518,13258
13340,2316
7101,8917
4304,11537
2254,11955
5736,11462
7800,7849
9234,874
5744,1556
3300,8759
10608,1178
10217,4915
11262,3260
13194,6018
704,2156
1708,12713
9302,2576
6750,6746
7049,13284
12306,6448
11093,14036
8384,6413
11234,10034
11817,12180
11365,5021
14113,7437
3454,12910
12874,13051
13651,12885
10785,3623
11856,2224
5410,11340
10114,7434
5430,11292
11619,3684
11115,8790
3510,8662
9625,5530
5967,7461
7978,5622
1636,11672
7855,4768
10722,1565
10190,11086
12319,1465
11775,3095
10257,1233
12534,2857
5518,1044
10965,6863
10769,10761
7780,11761
4746,1728
12583,5701
4141,12984
8874,8850
12129,5035
7573,7111
11220,1906
13479,13967
4192,12223
13134,3521
8341,8932
9259,3342
9908,1600
4254,9220
8540,5700
10703,5321
8280,10363
10388,10725
6839,7182
12431,1473
12832,3262
13222,4216
11394,6085
7921,7221
10464,4774
8648,5918
3758,4468
7642,5152
6721,7066
3471,13292
4352,13664
10885,1156
9896,2526
9324,2337
6058,11184
9755,11043
13935,3640
13633,6589
6239,7172
6822,7116
2951,5699
11012,10493
8982,9518
3299,10366
7156,6658
11477,10656
9612,11357
10197,10382
10327,5237
8518,5864
10182,1597
10161,845
12159,8714
10873,10627
12570,7240
4495,4938
3971,3443
10447,7523
10010,11998
10010,6283
6224,10821
4630,11604
8538,5244
4312,11526
10000,9235
3137,7469
7206,1293
9644,826
13276,2304
4284,5969
1626,9264
1943,2534
11896,1693
5897,3482
9027,13654
13259,2141
6844,8294
8949,1643
2654,8462
8558,896
5171,6100
13292,5721
6502,8271
13435,4398
8054,7757
13602,3173
11775,3256
8852,8240
9213,9506
13741,9113
8146,11854
9663,5865
11468,10025
13431,12675
9766,10966
13185,5621
7500,5768
4191,4491
3975,6149
10895,4658
4810,1110
3979,6072
6509,6513
4878,5234
3253,4121
1591,1146
4491,9901
8358,13247
8781,8984
11242,11437
5892,5382
6936,7910
6226,4828
4736,5236
797,871
11339,6472
13791,10715
10973,13708
14180,14027
14087,14266
6342,10140
8120,7708
13100,9608
13496,6040
10247,11014
2851,10139
10433,5290
7569,5179
13293,2359
8772,5994
7761,11742
1426,7196
4364,4721
8636,4214
1055,7110
2557,5306
3190,6900
4630,4530
6258,9699
4153,7292
2910,12233
8911,8967
10411,9812
10558,10942
4664,13674
2212,11706
3573,1916
7135,11659
7668,11082
8229,10356
12250,7539
5990,6284
2177,7598
11213,11029
7285,13192
5453,5509
5042,5428
5529,5448
10856,9865
4819,1119
982,11562
9356,9136
8822,8606
8054,7696
2984,9565
7709,5321
5549,4942
7006,9346
7428,11344
8889,2428
13217,5185
7708,4099
4777,5851
7359,6808
6956,13224
5501,6318
3841,10180
10220,6715
1412,833
5530,9227
6538,7735
13073,1930
1131,9791
13711,3344
11444,1144
11471,1151
2437,8753
10899,1649
9110,1216
7195,3028
7064,3625
4948,8488
8898,8304
6098,5788
7708,5181
3319,7371
4178,4583
2334,960
1587,3226
6300,6728
2436,11856
2350,12960
3176,9275
7091,1633
5832,5222
4318,806
2400,2101
7130,6107
1806,1338
7040,6124
5966,6157
7447,6148
5425,6280
5764,6082
13081,3498
11123,1621
6070,5588
9724,9053
3768,7955
9080,8942
4047,13306
6225,9792
12189,12813
12946,3243
1683,11933
13201,5547
8450,9035
2794,6059
5997,6224
5639,6032
9895,9976
6476,8033
5899,6114
9442,9765
10222,10106
819,10416
799,10129
8002,2192
1338,5732
2274,1660
10582,5567
9408,10027
7037,7029
10184,807
1730,7561
6554,6298
4628,9825
4569,9503
9707,7150
4863,9004
8451,2411
11822,5350
7600,8017
7732,8516
7493,3434
7711,5558
4088,4085
3626,9227
2001,2213
8478,2304
2858,1998
5672,6433
4417,5144
6260,6486
1485,11266
10400,1581
10277,1233
9993,2565
11084,1410
9439,5738
7535,3123
4994,4955
1425,2895
2039,4057
5520,12924
9442,5436
1719,10801
1853,11536
5167,13879
11196,4138
10513,4932
10652,7586
13568,13894
6530,7244
4858,8281
1043,8992
869,5765
10817,2012
11973,1463
2634,857
11490,8186
10262,9041
7370,7969
9432,9821
7792,12217
2318,7461
12323,2932
12054,3296
8535,873
6220,5986
6269,5813
2071,4018
9285,1303
3684,9551
7074,11315
10377,5238
12957,2454
10229,13981
7800,12339
8598,12504
10726,12726
13491,12229
13231,3652
9505,8829
4445,13825
13955,8094
8331,7953
4554,12223
6017,8365
9705,13812
2600,6507
6832,6412
3220,3962
6005,6657
11604,1454
5172,13845
4682,10190
13864,3844
1580,7234
10779,11142
12926,11247
12663,12820
12503,12330
9783,1182
2262,12325
12778,10276
9848,6441
4682,4667
3862,11143
9776,11074
12731,7309
1400,11692
9226,8938
3949,13663
8742,8187
11940,7623
6030,5744
8288,7594
11385,7844
11015,3812
9749,9897
2038,2379
9368,11408
2784,5809
9736,4430
8451,5492
8619,3967
6322,9459
5393,4848
4896,5158
7990,9870
3613,2652
9894,4252
11179,5606
13118,3507
13384,3763
13501,8094
13539,10089
13064,11903
13330,4168
7629,8595
9028,11430
7372,7655
10048,4740
4869,7405
5420,8709
5123,10623
13710,13343
8200,8408
2727,11965
9691,9007
7248,13332
12328,6526
9605,9437
3649,13471
13215,7675
5765,13497
11340,4386
12412,13938
12522,2770
11427,1887
13116,2223
8219,6413
3394,11620
8318,7618
5502,1102
4586,5115
13402,5238
5514,11221
14076,4526
13519,7847
11703,7437
4237,9904
13974,14005
12009,5246
7464,8027
7306,7211
9750,4518
7828,8610
8602,3944
13040,12864
11494,1468
6837,8039
4921,10001
2531,12327
2799,7602
8288,7584
9804,5467
3331,12859
9940,5122
6420,11679
12971,3295
10038,8829
8960,6155
6057,5681
6008,5571
10619,5072
9116,13657
3724,4668
6295,4471
11432,11023
13016,2094
7680,5855
4855,11904
11796,5768
8751,8673
12280,11770
6178,13868
11726,7085
5836,6156
8152,7762
6382,4545
7970,7680
6432,13516
9856,5339
13555,9923
6264,6066
10854,7660
9695,4364
8838,9212
9957,6766
12286,10561
12862,13550
8476,8824
9918,1043
4903,13709
11264,5418
7074,6816
5542,3493
1592,4523
8672,5600
11149,6439
7684,4768
6038,4942
4651,4118
5847,5081
2628,6015
4316,4905
2860,9372
8921,8238
4642,2616
10109,5444
7124,8242
9134,5746
6171,3288
8508,10079
8261,7460
12072,10042
2861,12192
7623,8187
11267,1612
3688,10506
11008,3811
786,7254
3182,6839
2141,2799
4542,7496
7159,8651
3153,7773
6167,13935
8637,8048
13635,6228
13704,9357
6820,4698
8406,4910
13177,6688
11446,12674
10520,10106
7823,4928
3124,6701
1984,2432
9903,1160
7923,5223
9094,5480
2272,9173
2507,7110
2530,5227
4268,3898
12590,2663
12466,2977
12088,3162
8733,1275
6166,10766
9968,9783
4099,13802
8363,5360
3685,1702
3470,8531
3332,8426
4898,1616
10327,10825
6989,4230
7513,7376
6539,6137
7766,8046
7700,5987
7814,1485
13151,7520
2866,7163
8568,7703
5669,13831
11282,10942
7851,7364
11836,11506
12502,12734
9415,1248
13638,3559
5010,12377
13270,8684
10652,8908
10380,5143
11521,6606
13456,6841
5480,9111
1517,6346
7210,12328
9631,8913
13190,10986
6815,11500
3587,10301
9972,6658
6547,7196
6585,7198
6538,8106
2548,8284
9787,5448
6012,4982
633,4114
3768,4204
12822,2079
7043,7173
10363,7912
5328,1465
4509,5205
1814,800
12966,2464
7828,911
11472,6274
5880,3966
3033,7391
8172,8584
8030,11767
14123,5153
7494,6689
12186,6430
13535,8974
13198,10495
7580,7690
11189,8539
11154,10956
11972,1686
12800,3258
5321,9349
3210,13825
13305,5226
7608,13736
2999,11804
6264,6341
7157,1604
4310,1854
4660,2501
5081,5453
3266,2658
8745,10002
10721,13320
4958,6118
10445,1572
2670,13099
13078,3624
1459,6318
1683,7078
5742,3884
4688,4890
4776,6263
4495,7088
2251,3874
1498,4532
1959,5419
8841,7653
12148,9410
6104,10532
12126,9105
7785,11809
3144,13552
9338,5440
7193,8862
8904,4090
14007,14091
13770,3668
10755,5537
6591,8476
10701,10682
12166,8512
12887,13421
12516,5005
10866,4379
11428,10672
3008,11021
11277,3278
9918,4508
8898,1157
6805,4815
4223,1058
3143,7652
9118,5404
4457,13185
13397,3687
7560,6921
6161,11186
9352,3438
5084,2756
4097,12125
8957,5607
13273,2543
9884,7218
3002,8196
14011,4486
9491,8757
11140,10672
6958,7380
