x,y
10112,1594
7736,7866
7570,2494
13368,4107
7828,1192
11289,3395
11338,1802
4915,13368
10388,13497
13079,2137
9859,1128
7264,1598
6979,3093
6656,6981
11346,5330
3430,8670
9980,6280
793,1713
13704,3779
8460,8942
6646,7693
8250,5657
4729,4849
5934,5555
4909,5816
4634,11809
8951,9975
8746,10229
11448,12626
13835,7488
13167,5065
7864,5685
7486,5002
6344,4623
4188,1682
13329,4080
8510,8223
10066,8302
7978,6316
3906,12670
5908,9122
10508,9984
12932,11244
10818,1112
7425,817
6612,4809
8362,6584
4835,9858
5610,9206
1837,2808
1569,913
12194,2848
13765,3626
12291,4716
13317,7609
8307,5173
9017,7629
12512,13525
12545,2006
9594,9212
9632,6036
10013,12127
4110,4455
9643,1434
12537,5105
10810,11871
10766,10760
10112,12962
10816,3536
11004,1004
9569,2390
7722,1542
5801,1325
7132,2555
8722,6708
6233,2253
4491,5179
3985,10013
10237,10183
12354,1539
12151,6434
11585,1857
13888,6215
8812,13508
12959,3335
5557,5826
6909,7085
10530,9952
11865,4024
13514,4661
13191,4938
13545,4048
6226,5997
7558,7575
5879,6229
6072,6273
4423,4469
7337,10102
8077,11856
13561,12879
11004,1099
10916,941
11327,1144
13121,4227
13484,6250
9718,9900
13124,8823
10757,5514
10178,5273
9486,1822
2360,7444
5962,6240
5756,7420
6096,8452
1006,6818
6916,13458
4698,9328
9494,9417
10036,6953
2836,7576
6037,5184
11110,1543
7049,1251
12890,5395
13689,3731
12518,2796
13833,5058
13616,5103
13812,7993
13513,4347
7229,6780
12696,11889
12022,11953
10204,10179
11451,1585
11661,1600
8312,4856
2699,12393
5530,8532
8440,7894
6188,6686
9210,5770
2982,11577
7434,6841
4756,8351
10370,1544
10440,1726
12176,11710
11130,1828
10614,905
7100,6553
4496,9643
12592,11386
14048,4524
13637,4535
11036,11382
6135,11287
13047,9284
10226,2438
10042,4412
10076,4712
6164,9552
8789,10010
9487,5766
13262,3628
9980,6822
13058,3804
13457,7922
10853,8663
12299,13196
10230,1330
1090,1295
12863,3214
7185,6388
12171,1889
13190,5851
8279,3331
11568,1105
11690,3092
3058,11179
9199,3722
