x,y
11390,6497
12343,9834
13050,3919
12098,1859
7612,10105
12000,2128
8139,6291
6981,6452
13697,5095
8545,8732
4090,4762
8669,4047
13893,6128
10055,4316
886,2893
9700,4100
8489,8167
10854,5414
10910,1772
8668,2540
7471,7027
12332,3091
5140,1306
3614,2038
8455,6523
8648,8501
8735,9194
13998,12907
13621,13566
12323,1544
11986,1510
14010,4155
13323,2462
10010,8724
8854,7468
13695,13639
2598,12573
9710,3339
6831,9654
4401,1382
9230,7304
8218,8774
7279,4994
14070,4190
5776,1024
10094,5986
2389,3764
7482,4676
8859,7522
10862,1434
7784,6882
6766,7028
7032,6351
10647,1801
11043,1953
11803,2047
8123,1788
6253,2409
13378,2308
13623,4957
5705,6500
9610,5510
8823,8296
7514,8967
9587,1782
10462,2793
5643,12963
9208,13413
11919,2626
13850,5473
12255,3263
12567,1639
10202,9953
12099,2133
14062,6910
6670,6670
13250,2954
14272,10706
12416,2864
841,7326
11736,1847
12194,2358
2475,3371
7465,3235
1612,4014
1712,10032
6178,10217
10646,1486
13937,4674
6103,6256
11315,1229
12385,9174
14006,4466
6009,11309
8453,10039
7079,13329
11673,1191
9289,1840
8362,12200
13506,11311
7131,6984
10644,1826
13631,3024
11268,8899
10428,13422
10450,12535
9878,1251
11607,1850
6392,1403
6261,6526
7364,6691
13378,2576
10136,1518
11263,3220
14016,4217
9168,5546
3472,2070
12481,1735
12810,2289
11703,1127
6965,9636
12267,1407
1538,8862
11961,1130
10742,3405
4650,10259
10864,5042
1678,12323
13262,2460
8875,8303
13927,7790
4984,5008
12833,13692
2366,9586
9391,2247
9079,1630
7070,6897
4975,4067
12742,1498
13227,2664
7181,9729
1929,2040
13610,3668
8285,8407
8950,1128
4278,9984
13318,12100
10337,2783
12114,2205
12413,1498
6875,1004
10954,2128
2228,12181
7482,6742
4489,5245
5999,1514
12736,2104
2764,12633
13647,3922
1007,904
11443,1204
9578,916
5896,4368
10450,1297
3298,3842
3645,8797
650,3840
9345,1752
2426,3505
2916,2053
11354,1897
9388,2060
13148,3008
5720,5509
13333,3072
11571,11073
5177,2235
9163,9486
14085,13489
1507,8441
4106,625
2464,4618
13640,3666
4723,7184
2024,3443
2196,2414
8723,1494
5008,2826
6814,3182
6583,6394
8521,5747
11970,1560
9189,1208
11497,6442
12171,6605
7980,10403
13318,2582
13088,10546
12976,3097
5884,5576
1741,10888
12275,11867
1618,2164
12819,13159
10761,4617
13529,11794
2573,11593
1451,10177
9684,9238
10121,986
3986,3446
11399,8524
13941,3959
9630,5716
11026,11480
7965,5657
1916,11794
8234,8825
13217,5254
3496,3254
10600,3159
4672,9653
10719,1443
4827,8515
11639,1823
4226,7380
8299,5477
9737,1445
9645,3826
10962,1124
6707,1142
11500,1541
13559,3328
11227,1746
3168,7750
8168,7560
13349,6389
11656,12112
13019,1923
2146,11971
12444,3057
10050,7815
12428,1493
9650,2529
4674,5546
4691,5426
4272,4241
2658,1015
6361,7092
1238,7220
6047,3279
10926,1303
969,7997
11430,1550
1036,723
12184,2520
5304,10811
12143,1231
7380,9904
4783,6581
6010,8819
6256,8841
1350,6979
4776,6258
5398,10534
9530,9404
13275,10550
10837,1535
4698,3833
5355,5717
1756,2592
10011,10428
5671,5413
12215,2435
13001,2305
12262,2570
10521,2549
1768,11206
1599,10821
8016,5640
7490,4125
13703,4349
12666,1643
7892,5749
12232,1420
9551,4310
6028,4205
10072,6540
8436,7484
10130,9729
9171,7280
11473,3862
11637,1228
12308,1616
13147,13983
12168,11095
13680,12659
9250,2130
3882,3550
7141,7484
10821,1519
7517,6783
7747,7208
7736,10088
11246,1291
7270,13435
4504,10196
2702,2114
1666,2124
7969,1809
13230,4296
12744,7454
10451,1381
12662,2881
11216,1841
13077,2006
13386,2604
11391,1238
8018,12181
4647,5104
7934,5573
11595,1928
11732,3449
10440,2654
11318,1766
12257,4885
4395,4355
12415,13999
10643,10135
11785,1571
6222,8181
12356,2144
10098,1610
11116,1003
1759,3002
10608,1392
13646,4016
10804,1429
13358,3933
11759,1978
1537,8123
920,4436
7135,1208
10328,2795
1655,2462
14073,4669
12969,2832
12092,2562
12504,7381
7115,4870
12660,12106
8836,9130
10266,9758
10420,1205
7437,1507
8213,1598
8846,5537
9618,4768
3595,7163
2053,1719
10124,1126
8212,1018
11116,1097
8385,13870
583,445
12492,2718
2990,7269
6824,11590
11782,2662
12222,1373
10924,1046
11505,1444
13389,10620
5923,6226
8962,9634
4462,13342
12772,13117
13290,2826
5885,9206
11274,11884
8762,10313
10778,3376
5568,3498
3408,6594
8612,9834
9262,6220
13694,13274
5541,5445
4432,5121
9855,1363
12163,1241
7939,7098
4576,7612
4949,7805
11284,5834
6798,11472
4104,3563
6806,7018
5831,9393
7762,7391
7890,7274
9432,910
8828,1248
13954,4148
12439,4700
13446,3434
12829,3310
11542,4003
10017,7739
2297,1092
12569,10925
5841,5734
2133,5396
5810,9100
13921,3438
3566,13085
8162,11768
12471,13356
7762,4979
11314,982
12542,1468
9923,13452
10331,5528
13110,3704
5560,5196
13168,3006
11731,1142
12480,1374
9883,913
13652,12640
13519,2872
7272,13403
12658,2365
9790,11401
12154,2739
1304,2472
6164,6174
8657,9919
3944,3364
893,5698
11012,1894
11778,2933
12185,2886
1064,5871
2484,2358
1274,6548
4474,10163
2675,2411
13049,3572
13214,9294
