x,y
5194,9540
8523,3515
9808,5674
13191,4155
2452,9907
14052,13764
6834,5167
4015,10456
3406,10394
13398,4720
5084,3882
1667,5619
2051,13410
1024,10228
5172,10496
7574,7072
1273,1925
3851,7952
11653,4181
5796,3494
8097,5172
12400,2924
2674,12369
11453,6258
13306,6743
7008,13204
3834,13067
4868,10536
13572,12263
7217,9112
8644,8000
11350,11664
9908,9999
10850,3489
10782,10037
9863,10888
13098,3537
7538,7246
13132,2759
6698,6646
1226,7634
2579,1047
7837,7770
1589,11989
3887,11367
7080,12743
8292,6766
9052,6350
8715,5481
5182,12451
9956,6596
4706,7360
10250,7287
10758,2129
8339,6145
4324,1433
9909,8360
12098,1859
8046,8273
12079,12394
4956,10550
10671,13447
2012,12450
1055,11318
2964,5922
6017,6041
5778,9026
6195,6165
2320,2462
3634,10339
8313,8844
9088,9636
10208,4859
1433,10349
8818,5616
8730,3459
1438,7167
9968,9536
9724,4880
4589,7456
3921,11439
7530,12492
6676,8361
2575,8391
3679,9188
2638,3310
9826,6382
8575,8669
10414,10260
12048,7327
12278,11228
8232,7306
9347,8646
7362,8022
4579,9739
1123,10094
10124,10623
3354,13204
5400,8967
9344,9474
7337,8830
5711,3737
9187,8638
10088,8241
11032,10658
6477,6991
6060,6583
10121,8388
2996,13034
4417,13689
4138,13517
3488,10614
5339,11521
6250,10040
10732,13814
11140,11656
8915,2360
4874,10108
11150,5604
3979,3927
1452,11312
3961,11247
8429,5075
7106,13438
10476,11107
4853,5816
10420,10644
1386,4424
5715,5867
4866,12340
5778,8677
13377,4925
7243,7268
7616,8530
10833,3640
1364,10172
1128,11448
7908,8028
11362,8286
10032,8962
12239,11916
1793,13081
2323,1576
6667,7651
5236,4763
7975,1328
8726,4047
6499,6033
4649,3963
8508,1461
7335,8020
7224,10946
4244,4922
6034,6350
4242,4850
6299,7225
7972,6208
8480,10364
7167,3512
3921,3301
4814,13596
10920,4437
5322,8540
6010,1670
5430,5642
7730,8037
678,2465
12245,8887
12636,1702
12150,7557
7164,7448
8600,8170
10469,10042
9659,14019
10770,7630
13223,8732
9029,13631
12737,13840
5958,10332
11577,12813
5588,8681
5238,10434
2416,12193
9637,4218
2592,6504
6066,9172
8865,10480
9884,8865
4833,13902
5250,9263
8222,5638
10091,5998
8103,5332
10592,4656
6295,9712
13079,7323
9979,8902
9854,9301
8822,13106
14054,4786
11561,4792
3159,13008
7434,11014
5807,5101
8020,1801
9148,10980
8333,6513
8036,10090
5266,5928
10112,5014
7009,7740
8374,12244
13081,12869
13519,12996
9826,11037
11422,13866
13072,5077
7346,4741
1018,8148
5268,9295
9397,5391
5914,10114
4983,9314
8696,5562
10286,4686
3727,8282
5477,12739
7199,7282
5565,8831
5854,7168
6323,8935
2680,5482
4799,5108
13237,2296
3909,13233
14089,12320
7394,7848
13723,3221
2145,12374
7184,6689
11390,3911
3931,4015
1695,11183
2023,12123
8036,6868
4615,6713
10048,5773
5136,10684
8877,8796
10608,10816
2313,13545
3366,10288
11250,3638
2950,2158
804,10786
12401,1469
2555,8191
4144,4339
7754,3704
2450,5624
4325,3331
10717,3211
6943,13145
11146,8399
7449,13498
10193,10277
8345,11975
13783,12431
4110,12467
3742,13499
2486,13183
8653,8704
12522,12549
12564,12514
5366,13845
2947,13424
10026,4280
6622,6698
5950,3845
6723,1139
8360,6356
3786,4804
3990,13408
2030,11676
4738,13964
8088,14135
3454,8938
3707,4075
936,8148
4342,11350
11681,1122
8908,7377
9483,4690
8031,6329
7077,9051
10138,10305
10885,10808
12517,13329
11305,1801
5042,9389
7070,6546
7202,3346
3022,7352
7668,9533
8678,6510
4468,4712
11229,10429
4878,5226
13656,7647
12854,13304
7094,6700
11463,5769
6574,12838
13651,7141
5377,12503
7738,11262
12489,7277
9959,13639
11010,13589
12028,12764
11898,2900
9742,9786
8629,4020
8864,9741
7676,6831
10308,5308
11593,11059
6431,12279
13611,3267
2862,7503
2963,13493
4028,11284
1598,10487
1516,10839
1191,12341
990,9548
8649,9864
7244,4812
7214,6700
2506,6578
3658,3470
6176,9194
2007,11667
13719,3794
4363,4898
12516,10426
4298,4298
7654,8136
3535,13161
8032,8313
1497,11028
7545,8066
10184,7066
5509,5858
5061,10110
6122,6490
5051,11660
13093,6850
9440,5633
6622,7316
8010,8054
8156,8000
7017,13300
8207,7808
7885,7676
9633,5803
5221,9169
4172,9850
13974,8025
3140,12762
8004,8540
9032,9040
5544,5772
9932,9786
5120,13545
13717,9363
6038,6139
3599,9906
13766,3538
11540,4214
10611,3444
10153,4941
6661,7080
7444,7636
9431,1959
3622,8140
3427,3620
1453,3529
4137,4068
6526,6950
2768,2268
2998,5764
3259,13055
4066,13368
9717,10267
11604,6049
4106,13758
1790,11475
1442,12206
4917,13385
8531,5452
7289,6396
11034,4584
13869,6745
3449,12881
9324,9480
14031,12526
2605,13507
6753,11392
3103,11701
11266,993
6768,4841
11828,3288
9341,4445
8796,7690
3722,3328
6257,5996
8560,9998
9405,8651
3791,11307
9777,7053
3010,12974
3943,13339
4767,13941
10660,5522
9701,9651
11024,4716
997,9537
13658,7444
2721,12289
2764,11594
5856,7224
5476,1240
8932,5992
4886,3044
2803,3170
2030,2413
11534,1292
13133,6961
9355,9543
10202,10297
5007,9480
2730,12632
1290,10520
887,10456
4811,4479
2143,11807
10047,1152
7497,10010
6760,7507
1764,7768
7031,6260
11749,1984
14121,9643
716,5890
5190,9256
7478,13484
3034,11534
10637,3239
4412,4078
10983,5003
3978,7364
10074,8360
4320,9369
7377,7282
3874,13976
12202,4992
7958,8322
5088,8948
1340,6404
12079,7832
7917,7893
9302,9088
7760,11762
8955,9041
11492,11908
2346,1441
5755,8879
6063,6122
11667,3596
7836,5080
9699,3961
8252,1289
8822,5858
11354,5602
13205,3785
7338,6744
3380,11061
9133,1133
11690,13111
5257,9083
9992,9096
7240,3879
4914,10284
12517,13281
9722,9542
1522,9388
5172,10428
13023,1932
7798,7414
4832,2968
9387,9981
6763,8264
4265,9296
3362,8557
5095,8427
13526,3024
3775,9825
7040,11622
12096,13533
1756,12602
7392,13542
2153,2645
778,10636
1215,10677
1536,1172
6314,6686
5566,5681
8198,5414
3510,3952
3832,3176
6733,6242
7244,1254
6367,6108
8531,5814
3792,3628
7845,8338
6538,7745
4548,4832
12903,13806
7624,8028
10227,1295
7791,4053
1273,6913
1089,4958
10276,8246
13367,3653
8696,8924
5366,10572
8822,8210
8827,12700
7718,10272
1652,9976
3472,10081
11807,5644
6807,6634
6010,5168
7427,7366
1332,8192
8328,3564
8516,4800
6332,4870
11126,5303
2822,4857
2194,12716
8381,3513
812,7684
8718,8310
9485,9148
6532,13459
7016,6303
5121,10750
8878,5742
7776,7728
3721,13171
9289,1840
13971,6104
5057,13505
10104,13183
7486,7753
11958,10713
1953,12793
1002,11674
8966,3596
1686,11053
9402,1033
2978,5500
4456,9065
10538,5822
12573,7344
8164,1980
924,9006
11192,11012
4930,10284
5258,7797
13781,8151
11008,14266
11072,14006
12053,2373
6509,8667
8862,9764
13969,5490
8622,8739
7743,10891
2336,1834
13906,9416
1237,10856
9356,13878
13275,4099
3850,7378
6018,1297
944,4909
1855,3446
7094,11601
7740,5269
10671,2812
3369,6698
4692,5888
5457,1432
10434,5377
11875,9093
12644,5056
8647,8875
4619,12242
10026,6646
8937,7647
1190,11639
4140,13462
8941,8819
8556,5156
13746,7499
12280,9778
9092,6380
8370,6950
4436,10078
8179,6180
3688,9070
5472,9426
6362,6962
11894,1058
8394,7550
6231,10138
2576,13734
9084,8568
11375,8442
7418,13204
4464,4472
6980,860
2926,13429
1853,12231
2800,12574
924,10767
11678,11050
2905,12584
11010,4404
8417,10132
13583,7245
8448,5514
8074,3459
6792,6291
6178,6204
4954,10636
7362,8824
10969,4036
4489,6100
7582,3315
12657,2007
13353,5975
12544,1631
13756,7710
945,8348
4747,12279
5563,6281
8698,12710
3174,13049
3302,13851
13400,4166
5524,9070
5624,9278
13257,10089
12154,8719
8533,4848
3626,9654
10830,4988
6732,11472
1632,11096
11350,11644
14079,6848
13364,12756
4410,13560
1814,12580
4562,13299
7700,5300
6154,6060
1979,1483
1667,11502
13750,3832
7334,6053
3839,9480
6272,6284
8595,4556
13472,7558
3506,3142
7750,8402
3614,11500
7935,7937
7899,3933
11189,5477
4194,6064
6024,6408
7889,7157
4073,13681
6124,4058
4456,4584
4408,4486
3762,2831
2775,3757
8460,8813
3968,3235
7162,7081
6419,8614
11385,1092
5554,5250
4482,7417
12274,5104
12528,5524
7490,3674
7218,6992
3340,12887
10683,5153
5488,3521
11165,1234
2220,9198
6920,4598
11106,5331
6335,7127
4467,1248
2255,13311
6766,7256
9801,11152
4718,5523
5619,1710
3791,696
5174,6117
4856,9978
2320,2027
7697,2227
11753,9482
4540,1475
10358,1546
11681,4437
5677,5246
8043,1592
7710,898
4696,6467
12143,2483
10403,2570
8046,1292
1567,6852
8797,8658
11070,4020
11179,3934
8296,8364
10826,10908
12151,7360
10006,7852
1125,10752
1269,10445
12052,7580
8249,5363
6372,8102
9438,4229
964,3560
3182,8283
5438,11555
11288,4850
12685,1643
9868,6457
7550,7826
13220,10768
12635,1652
8619,6021
8273,2327
10291,1316
809,9624
1100,12349
2116,12630
1283,10166
6533,8453
8220,1722
5094,10588
7609,872
4005,14026
4434,4636
10841,2233
1867,4485
2378,13206
3946,13740
4653,13768
9962,6639
8328,13256
8533,8413
13527,8273
793,10125
2944,7805
6829,6823
10288,5433
5106,1360
6196,4812
11320,959
9250,8543
11998,7616
6734,8718
9065,9648
10014,10595
12584,11515
7654,5789
7945,6779
6587,6376
13416,4861
10605,3617
9999,4630
8766,9126
6164,5789
8520,6845
4423,4536
5163,10375
8641,1370
5308,7532
13708,3812
12966,2000
7534,7632
9266,5526
8069,1729
13702,12809
1332,12301
9282,5665
9488,9118
12400,12040
3876,13118
12201,11913
13336,9055
13515,3276
10032,4165
4151,12579
8614,8452
11010,13933
8025,7227
12566,13487
13270,7422
3663,13219
4952,7872
7740,1944
12735,12254
4155,13991
2254,12152
5363,9351
10108,13403
11846,10873
9902,13417
13681,5422
9826,1678
4723,7184
9868,9365
2924,5463
6605,6273
11948,1699
6399,6169
4221,3807
6046,12707
3707,13371
1557,10283
6170,6392
3279,13911
1406,8652
2527,12100
11499,3072
11978,2032
3171,12767
4798,8730
929,3215
8278,5124
8930,4071
4816,7020
7300,772
8049,3006
4937,1166
3932,12971
9359,5593
5342,4828
4380,2705
4953,13430
1958,11722
8408,8232
4121,13770
2173,9805
10219,4562
6837,10059
8160,3462
5054,13303
10823,10616
10004,10160
12108,10900
8052,7254
8297,8173
8299,7899
11514,8126
9964,4800
5501,5478
11739,10952
6532,9699
10109,9524
10041,8747
8980,10704
1679,2655
1282,11598
4919,3738
9462,1957
3571,13482
7667,5065
3376,7907
3274,7816
8796,1486
9523,6355
8169,11749
8604,13470
10120,9564
8571,12641
12132,11969
6521,11410
10386,1560
5498,6135
10061,4456
10749,2464
14026,10159
1653,4063
6364,6055
3268,13624
3679,13504
4206,13673
4143,13557
4252,13296
9587,13776
13088,10546
8482,13444
11770,11404
8975,13144
10733,13595
11028,13310
2528,13710
7809,10941
8665,5954
7476,8006
7719,5409
4120,11286
7962,6626
5468,1130
4209,13523
3742,13768
2734,12958
4184,13718
12003,10556
7720,7823
3959,10011
13311,14190
2990,12219
2008,13114
1612,11654
6072,6579
4930,4625
10872,1415
7623,1209
8484,11738
4339,4446
6727,7385
7185,3970
6427,6864
3794,3287
5832,5211
2388,11858
2829,6985
4321,10192
12952,7261
11345,11812
1506,10863
802,9839
5199,8491
7763,7949
2713,13388
6504,6397
11554,6700
1618,2164
7730,764
5896,5183
3903,13170
6396,9813
2993,11288
4202,13425
6814,6874
4219,13144
2743,12271
11846,7003
12655,2947
2797,12813
11896,9500
8326,13705
10058,11015
12050,13243
2658,12876
9856,4518
3324,13706
3856,10048
1228,11372
11247,5185
8240,8676
7130,9518
10722,2029
2342,7726
2960,12705
8701,5726
11440,4295
783,10521
3194,8313
3390,8335
8870,8988
6048,2294
2679,6888
2808,2156
4567,6073
10691,888
6596,7270
11377,4390
8184,8147
6156,8427
5919,10915
9336,13985
11990,6999
11320,7850
2970,13247
8867,7412
8855,13036
12723,10498
13822,13046
3471,11346
13846,5017
9728,4593
10594,3083
13957,13486
9696,1326
8059,7257
4610,625
7567,9998
4029,11348
1973,1720
10483,8811
6776,12670
10748,1050
2780,8042
13210,4234
9039,9917
11477,1151
2404,9785
8073,7299
12233,7976
8199,6506
10132,4774
3470,2067
5225,9520
1268,5903
7369,6248
8160,8764
10618,1631
9980,9809
6748,9942
9561,8963
10421,12787
3004,13321
4519,13962
4625,13755
3998,13406
4788,6364
7141,7532
10701,4557
6863,7028
10589,4849
7016,4972
13605,3138
12153,5310
9081,13099
12144,10242
8836,4113
4850,5879
13566,5610
1929,7692
11590,3638
4345,4234
7621,6833
3357,4223
1658,11150
4481,9310
7261,6652
7813,7689
7865,7392
5987,1450
9050,8818
4489,4921
7448,4972
9829,9195
4459,13707
4591,13441
11103,14046
14191,10540
12779,13783
6963,5227
6791,5183
6912,6904
5155,5549
8221,7093
8635,4264
5557,6147
2198,7524
4336,1976
848,7768
6340,13257
3957,4454
1223,7007
8047,2376
3852,616
2671,2197
4245,7322
7686,4024
11290,5086
8562,10081
8290,885
6480,2601
8636,5104
7720,7490
4818,4949
6482,6520
3683,4101
3726,10369
942,11198
4378,9559
8126,8552
3216,8370
5984,1836
1763,2825
4912,13354
1843,11344
2712,2522
5719,1192
1206,2177
1659,10925
2658,12927
6723,6237
4322,13357
7021,6524
7356,6059
5074,5491
13355,2707
10718,2580
10922,1714
9332,5474
9674,5584
5486,5379
7428,7872
4230,11913
3846,4356
3034,11464
6652,7516
11813,7192
5045,8434
11519,4260
7527,8055
5107,8520
666,1556
2794,12567
8584,4764
3254,13036
10047,6897
3509,10953
7894,9564
13449,7298
9236,13446
13829,8197
13456,12106
4978,10260
13942,13502
2991,12228
8348,11263
6228,8316
12419,5095
3732,8303
8830,3522
1493,3206
4450,13508
5125,8802
5414,9345
6168,5920
11918,11508
6012,4053
3650,12942
12019,1463
4272,10252
1697,1105
3635,1340
9423,5359
1229,10968
5324,5702
5685,3886
1824,5056
2978,7572
9984,3905
5062,9344
4825,5464
2919,2375
4727,7391
3458,1839
12892,2492
6805,6794
13055,7421
4350,10137
12841,2089
6768,7442
7675,5830
10122,6536
7507,11647
9505,9280
1552,10005
6615,6787
830,9246
8805,8766
11139,5405
7921,10159
10004,6696
6409,4519
12477,7392
4063,11542
9638,12885
13783,10314
10325,1328
12536,1933
11067,956
9427,7299
7634,10027
2373,12100
809,10445
12016,7273
8610,5755
7691,13542
5547,13419
6533,9614
11512,11066
5182,9126
12060,11442
1066,11031
11712,2104
7011,6862
8230,6610
2846,2080
774,10206
6847,11484
1507,3252
10179,1383
5413,5705
8229,7625
9061,2615
5823,6143
9362,8780
1912,12199
6864,9519
5185,9406
1068,11158
2445,11913
5885,11048
1866,1977
2640,12347
986,10752
1170,6992
4684,7366
10682,4573
8559,8004
11121,13839
9480,12094
1060,6844
1444,11025
1182,10676
12638,9709
4085,4283
4782,5190
6623,809
7075,3832
4783,6192
1693,4593
2703,12585
8426,7528
7183,7216
5935,9246
5764,4952
4574,1573
9976,899
7344,6953
7913,9900
2952,13136
9366,6225
5487,8639
7893,6506
6199,9872
13231,8869
13130,5379
9176,13878
10310,1542
13276,2227
12702,2827
8858,8834
13569,7248
7182,6518
7725,7678
3056,7898
7902,7694
2228,13160
11130,6984
8006,9468
10927,8567
11456,5770
13721,7495
9093,8396
5355,11636
7018,9268
12200,9258
7476,9850
13884,11478
13384,13600
8227,2613
11334,1554
6360,6494
1802,13015
8841,9378
6721,7368
6343,955
7364,7816
7184,9642
4678,9552
1819,12570
7206,1393
11973,2842
4844,7874
4294,9732
13338,2379
13655,3479
13047,14205
9669,6284
8938,8995
10414,10280
10562,12684
4624,10306
10327,10489
9297,1910
12088,3410
4697,12550
10628,3296
8536,8559
8632,10095
8143,8341
3959,10479
4778,5575
1230,4439
4883,10190
7817,6999
12141,2454
9060,7497
13588,3237
11028,4371
9804,1213
8088,5519
3188,7284
12966,2062
7321,8696
8047,2267
5541,5665
4818,4271
3288,13017
7750,13465
9651,9983
4035,12616
7631,8529
10322,13656
3504,2836
11252,11012
9541,7110
6127,9241
8277,7251
8276,8510
7349,6314
5410,1294
4810,6373
10170,5134
1042,5762
1656,11167
6940,10978
8182,7450
7956,8658
10868,6864
8936,14030
3960,13778
4219,14057
10074,8711
13315,11873
13046,11676
7890,7750
10728,3314
8383,7910
3091,2574
4070,13273
4352,13663
4435,13598
9349,9772
7423,13560
12396,12264
1120,10711
1403,11611
810,10205
1142,10009
5355,5717
3476,6708
6841,2999
3364,4926
909,7387
3554,1400
1962,3888
1552,1076
13762,6163
6299,9174
10016,5732
12285,11712
9716,9008
5493,4915
5915,6934
5558,4940
8615,1640
2660,3762
7024,14076
7639,12343
4176,12486
13480,9111
885,11275
1601,9234
4341,13376
9754,9569
2044,9687
9045,13270
3959,13623
6860,6228
11753,11116
10257,13457
1808,11519
8208,7860
11322,7506
3185,13169
6525,6223
10754,1429
9896,5142
3559,8590
12282,4933
7292,9790
7967,1725
5170,2848
5787,8912
4974,10182
2719,11597
8170,11759
7919,11036
10832,10100
10092,9628
10591,13732
2431,12961
3651,8959
1977,7528
2359,7317
5043,10457
7651,2394
3211,8000
4016,4055
4133,7296
2872,7418
3722,10740
1190,11300
4500,9688
9457,5724
7154,7770
2477,12747
4026,13525
2948,7596
8762,7621
12907,10280
1893,11663
6864,13598
4096,14062
4432,13791
8539,3709
8490,8660
12522,10593
859,9800
1022,6317
1906,1819
1845,2451
2912,12897
11791,1959
1580,12214
6416,4858
7067,807
7847,2306
2650,7610
3844,1211
1154,5902
3528,3641
1593,4632
7217,7257
11273,7579
1495,6084
1437,7063
8556,1446
1716,7225
842,6597
4246,3676
8144,5316
7301,6641
8236,5494
7522,7656
12708,5258
1025,10957
3899,4669
1818,1149
1072,11541
8458,2402
8211,10308
770,10146
13310,3005
8018,4937
9482,2412
8126,7697
8365,12337
4660,6995
4068,3962
1915,3854
7476,3727
12449,1597
9986,4767
8901,9460
5194,4725
10785,10659
2423,13055
1848,12553
10929,8879
6522,12826
12878,10706
5950,10410
3891,11312
10608,2829
12129,4583
13889,6503
8548,6314
9370,2100
1978,2150
6807,9724
9377,6077
13842,5943
12412,7503
10522,12841
9192,1828
9528,5770
11588,5790
10077,9478
12702,10410
10944,4882
12199,13521
1488,10847
1428,10760
9800,8781
10198,873
11466,6475
4975,9472
1732,1211
1377,10191
2529,12327
3252,11096
12268,2949
4871,13255
5512,12483
12020,11210
1695,13013
4198,13768
13772,5994
9310,6134
10111,5616
9363,8752
9024,7260
6896,14060
11738,8020
10498,14055
11200,5928
13014,9426
13202,12860
12992,13574
759,9351
4403,4234
5164,9546
1373,5361
1286,2061
1058,12146
10450,1310
1400,7938
1365,8928
4618,1371
10494,837
13747,3032
2412,11710
14071,8008
10245,6312
13691,13337
13445,2903
8532,6288
7314,11012
6626,12859
4035,12916
1675,12647
12376,7839
11862,7778
5194,9128
6735,6707
9324,7234
13205,10185
9042,3940
12888,7373
10992,6815
11828,1903
12048,7300
6501,13818
2991,12990
6437,6468
9899,9581
2470,8995
4035,9735
8663,12860
2701,11591
5990,13604
7564,9759
4483,12383
3604,6214
6379,6285
11189,5794
7893,6658
2988,9702
4972,10374
7498,7591
6659,11499
1970,13125
1732,11184
1116,10498
1943,11975
7658,7154
8025,6491
6610,1520
3536,3389
6463,6319
5581,6373
10212,5587
2672,7585
6119,6241
4845,8748
12634,11644
2410,12770
