x,y
3292,11196
4534,13493
6184,10064
5559,9461
3128,11900
2861,12653
1765,13243
2034,11940
3495,11626
4377,4938
3904,11449
2536,6861
13094,2976
11764,10458
1950,11486
3124,13202
9570,11171
9221,5524
2151,12238
1631,12130
3865,13319
1761,9638
6584,4654
5603,12941
4344,10079
1376,10760
4054,9905
9255,1341
9000,799
11448,9811
2204,9814
12482,6696
5976,12316
5480,10585
5938,10207
7972,9306
9374,13663
10248,13194
12615,12715
13617,12675
9074,6313
1202,11345
13392,7980
8344,8819
8267,7137
5065,8610
8145,2093
6288,2156
11137,5781
9004,5751
12216,4962
13042,11572
2005,12166
1632,11347
1681,11224
1090,10200
2525,12935
8004,8501
3560,9852
1564,11474
2360,12400
3148,13302
5210,13657
11072,1554
1448,3091
6610,7398
7650,7586
11601,10889
1110,10961
1490,10244
1312,10181
2736,12811
1537,12860
1734,7039
5931,8388
8026,12338
13891,7086
13078,11488
1186,10609
11106,11475
13832,11980
3379,13432
12507,1613
13866,5646
5309,14097
11277,4935
6130,9198
5298,10486
12941,7276
6064,9298
4478,5094
12659,12521
11244,5021
7702,7595
8506,8863
9073,3962
10809,10255
8210,14102
13500,12322
12273,5001
4217,12571
8930,9648
12788,13896
7915,7775
3522,10867
8750,10030
4247,13329
6189,10882
4439,13583
2780,12711
11154,5511
9870,9896
2291,12347
2381,13053
3423,12912
3837,9302
1374,7317
11432,1597
12957,3565
8000,939
4761,13379
13665,4890
12801,1932
2731,11458
8351,11638
6844,4492
3644,2986
2231,3149
1626,12114
1679,10677
6526,7173
10818,3404
4994,5062
1411,10421
2344,1650
4273,3443
3365,10409
3040,12830
3253,11038
4295,13536
4290,9459
10000,13830
10764,12080
3852,11302
6343,8068
7178,11072
8785,9035
8480,12324
9422,9244
3765,10767
7215,7077
6788,9530
4957,5263
9141,5735
12386,5057
7693,5735
6117,4716
13062,2761
3857,10282
8829,3888
4868,5740
7290,7580
7975,6754
8208,1330
8989,2480
2620,2109
4762,10084
3308,11662
2531,13201
2096,9631
810,10760
1692,10891
1108,10304
2237,11880
7316,7867
4893,3943
3330,2466
1584,3294
1587,9349
9027,1589
1275,6245
2556,12389
1534,11113
8106,1020
14000,10786
13182,11824
3714,13626
3070,13791
2214,8420
3578,6234
1884,2008
1338,877
2720,12960
1014,10814
13026,9443
8478,12425
4350,12620
4771,3618
1887,12721
3254,10747
2046,9833
4428,13668
2234,13005
3884,13230
4862,10316
12520,13362
1562,10990
10221,9871
4982,10809
8075,9810
9238,8852
8409,8714
13081,3777
7690,9995
7229,6748
12234,8042
10028,8975
10877,4782
4490,9888
13196,13711
8205,8810
5508,12457
10370,5682
7989,10133
8737,8559
2876,12380
13548,6564
12591,10450
12507,7294
8507,5348
10510,13438
4746,6632
9499,5969
7768,11036
10617,13579
9112,9166
11520,10992
9853,2427
6047,4913
7126,5628
5369,5655
8196,7066
5160,5268
7731,7628
1652,12132
1399,11456
3114,13708
790,8530
3053,8331
1314,7542
5414,1436
1201,9322
2391,4240
2546,1189
7631,13760
9173,1411
3705,11325
3866,7277
1318,8716
3426,6980
3498,4280
1190,10249
9432,2458
3784,9533
4872,10064
10887,11422
4198,13335
1826,12611
2888,13050
1125,12314
8677,8100
2058,12069
1045,4674
5314,1245
5178,5406
4335,13352
5163,6089
8494,8885
6580,7152
10039,9385
8905,9253
12037,11128
9952,6766
10083,10613
10568,11155
9403,11380
13407,8041
11395,9984
13704,12742
11752,7144
13630,13277
11835,2154
12175,2154
11714,1755
13913,3834
9328,1148
10248,13964
7936,9640
8816,13226
10324,12780
9578,9416
8743,13430
8072,7814
8971,8375
9662,13444
13670,6805
12462,13464
4179,13433
1660,9749
4935,13632
1086,7872
2576,9868
2167,3174
947,7843
6007,6195
7682,7440
8221,8685
8069,8291
1434,7004
6238,8154
9245,7308
2869,12867
9200,7402
10236,5091
9120,9613
6216,10207
7409,7165
5097,8918
7569,7240
10783,2034
4677,4127
8501,7869
8251,8653
1038,11534
1316,10344
2070,7891
4437,3932
8986,1524
3346,6623
1252,11381
5164,2754
9966,4466
2560,6229
6035,4399
1617,5888
3314,910
8282,8412
7229,9165
9108,2143
3210,3878
2795,3453
7585,7613
3528,10595
13255,6116
10275,10350
11112,5460
5406,7704
13541,12736
2642,11915
2311,12171
7508,6222
4465,6216
1286,12289
1647,12244
6814,9433
3347,3864
7015,11552
11101,11879
8957,5754
6365,4918
9966,5662
6537,1448
9340,2257
8370,6652
3952,6168
3607,8638
11054,1654
7577,1563
10636,5461
4174,942
5145,8947
4214,4556
6944,2701
2195,2659
3737,10920
12708,5060
9089,8429
5932,6948
6883,4459
3459,4360
5412,3466
6226,2360
5367,10449
7824,5760
8821,10691
9410,13959
11529,4356
11351,1822
7633,6898
10587,10185
5218,13492
1710,11533
13290,2649
13787,7745
5742,13698
10778,11093
8706,12379
5951,10652
5983,5642
4004,10430
3854,13749
917,9143
5222,8924
3858,13233
1760,10664
8683,9036
8436,7470
9337,3983
13100,4220
6923,1330
6789,4484
2790,1179
3795,13578
2309,12796
4649,13809
2301,12319
3811,13181
9804,1536
10528,3130
5026,10166
1154,11884
8974,5477
6748,9245
5952,4564
1615,10183
6289,6066
11775,7071
7019,9197
11502,7027
8046,9680
3954,11435
11399,3409
4180,12027
11350,1229
4052,14043
7364,6641
7493,7897
9652,9213
2794,12988
2221,11698
5930,13535
12950,2671
8703,8392
4604,7592
10310,9927
6721,7682
9916,4747
8838,8886
3288,7862
3840,6283
7302,13632
11058,5456
7255,13429
5094,5143
4908,10418
1601,10514
1371,11302
869,9996
1876,12278
1113,10784
9388,4326
6138,9058
13258,5292
10033,5024
6602,6805
1392,10348
5684,13133
7201,5221
3395,13214
4468,5342
2633,12950
1132,9517
7368,12224
11573,5815
2722,7070
6995,7062
3769,4458
3329,9013
801,9684
3824,9606
867,5019
4053,13239
1624,11526
7878,8024
4193,11742
13860,6982
2818,12644
11847,11247
13184,10381
7354,6762
7435,8786
12842,3228
7112,6450
6959,6544
4575,4199
10411,1358
6802,3116
3488,6990
2186,3256
4386,12006
2686,11599
2430,11870
6023,12670
7172,3213
7470,9722
13277,2893
7784,11022
6016,4930
5906,1216
3720,6074
5081,3778
5192,842
11300,6510
6218,2151
11978,1671
10026,2578
1189,8091
6895,6905
1056,11790
2428,5157
5026,3319
1759,10784
7073,4840
9337,6132
7074,7453
2605,12402
3871,10257
4190,2530
4842,8227
9186,3515
2743,2864
2374,13312
1414,11061
1087,6918
5235,5437
7930,5760
4659,5106
5366,13734
5030,13894
7846,9926
7626,7764
5006,14092
9004,9416
8766,7550
4158,9614
8568,12781
4519,11794
2797,11393
1727,12411
10582,8843
979,7595
8313,5193
847,11050
10941,11401
6700,13503
7318,7158
3882,4689
11274,5546
3210,12954
2156,12154
1664,11352
8298,7938
6010,8679
9973,9877
1447,12435
5794,12724
4068,10177
5162,12352
9140,11342
6974,3837
1743,12464
5704,5922
3729,6175
3331,740
2904,12656
5536,13602
11973,2267
4849,5818
5614,5518
1486,10260
1334,10400
2356,12085
12133,11692
3632,13063
3684,13004
2859,3365
1496,2419
2754,10020
8150,11786
6598,3173
1115,10193
1064,11859
9595,4034
2913,11399
2435,9655
4946,1387
3665,13070
891,6775
7899,2036
3512,13171
1736,7280
2304,9519
1423,5678
2918,7257
7122,7756
7975,1607
11839,3089
7328,13328
9270,6300
9866,4416
1093,12363
9028,1420
4500,9310
7464,7070
4674,4724
5931,9058
6758,8122
1782,12228
12712,1570
11544,7146
12570,2614
3605,3362
4816,4216
7001,6572
6674,6494
5197,5376
13080,5360
9544,9065
11870,7041
9062,788
10776,11230
4740,3478
11647,11040
1451,12144
5466,11370
3381,11399
13088,12183
5821,5754
8078,8366
7002,6560
9703,9676
7546,6980
7845,7332
8104,10488
12237,11831
1494,10526
1770,11199
7750,8376
5514,3564
2309,1695
1143,1368
4804,8767
954,11428
3872,12986
13217,2843
13257,4034
10598,11988
4536,13586
1498,10760
1249,834
11779,4277
2920,11156
13418,2660
12620,5104
1300,10232
6286,2162
5383,7644
7451,6027
4904,5312
9102,1426
3803,1027
3397,13248
1271,10535
4453,13384
9721,5676
2215,9137
9860,9537
12312,12953
13672,13352
2982,13465
1944,12312
1678,12863
900,10256
3920,12581
10954,3414
13096,9258
4322,13362
7072,12774
12828,3374
10712,5156
1604,5925
4100,4987
1036,4210
12404,1783
3446,7850
4041,4719
9956,4536
10521,2668
9556,4328
7632,1648
10938,2304
3716,9361
12580,1963
2428,11885
7251,14077
10053,10480
13358,5108
10491,10392
12680,12134
3924,14056
2026,13275
6698,13661
5677,13687
4996,11746
2272,9480
9720,14068
11128,14014
1478,12505
8673,4871
8140,1218
2887,11780
1184,12040
8689,5782
8160,7496
7746,5142
944,10806
13273,4906
6015,6147
10805,5331
1512,6936
4724,6394
6625,2658
10574,2278
6490,6506
6661,2676
5895,1371
2858,4444
3082,10930
3280,2852
2610,3519
1020,2962
4992,8397
10926,3648
6808,7481
8871,8064
11208,5650
9886,5716
6186,6428
5779,5979
7016,6518
12603,2053
8669,6033
7602,3784
1055,7307
5414,6024
9162,2016
11058,11642
6012,6510
9370,2326
6386,4594
8444,8414
5040,7872
3074,3480
4079,13331
1809,12999
4740,13838
1785,12058
5806,10869
763,9741
1836,13177
9124,2232
12137,2363
13294,2336
6070,9004
7814,5355
12171,11565
8947,9530
2628,12015
11477,6385
6550,11496
7104,3649
8808,6358
8634,6041
3250,730
4051,13005
1088,10807
2670,12116
1990,12025
8638,8366
4110,3554
2712,3069
3948,3322
5635,11494
13423,8735
12389,7362
7385,7702
12688,13296
7863,10296
1329,10548
2941,12713
1378,6446
1772,11368
3661,3108
1157,8535
6828,7833
3102,7438
3028,7870
1395,10078
6168,1379
2013,1435
13834,6582
6728,10014
2713,12423
9173,13417
12100,12969
7942,10163
11441,6271
11010,5039
4197,12562
8672,8524
9079,8395
7436,7377
12787,7224
11250,5841
12185,8688
14113,10975
11909,10046
11983,12174
8235,12123
12584,12739
1425,11944
1486,10327
2709,13237
3459,7737
12011,2118
4210,4996
13989,3969
11609,4779
11609,4789
9201,2446
6998,1085
2400,762
2821,12689
3822,13734
5474,10356
7054,9430
3122,1466
2194,12199
2797,12617
11403,4464
1824,11676
8772,5704
5871,5442
8448,2347
6860,6218
13801,6577
12250,11305
11286,10837
8162,7432
10966,10635
8404,8208
3436,10733
10569,3148
9843,9241
12219,9122
3288,8376
5238,10462
4892,4517
4532,13547
8141,7838
6957,11455
14072,7820
3676,11564
8382,10184
5291,9042
5565,8650
13724,13353
1680,11551
2145,11758
3327,12864
4583,13420
5231,7904
12169,2929
6343,8220
14110,8898
13954,12915
11701,1746
5319,5506
1704,7452
1197,10771
7181,7020
4471,2242
10243,1182
8801,4707
973,9632
2908,11418
10672,5045
13238,4377
11142,5312
6698,7979
3955,13586
4275,13507
1393,12785
4665,13785
7120,6668
5442,3365
746,3142
1752,9866
2305,2880
8341,8112
3176,13221
4318,13674
1424,7892
1314,5826
3126,4015
6005,3419
6023,9451
8128,8700
3904,13452
2753,13277
1155,10974
1285,7434
3478,13101
4593,9213
5036,2798
11880,6978
9900,6952
7613,7739
8762,10745
7693,6325
6449,3332
4352,11579
8662,10208
11812,1637
9577,9344
12128,13700
11815,11816
3779,13309
2176,12741
3632,9292
6089,1845
2720,12141
3431,13433
11288,8957
9193,9391
9162,9664
12397,12263
5898,5556
3175,13445
4026,9806
8370,2212
12209,8600
6337,13782
7776,7570
6442,12209
3608,986
9030,7691
7002,9725
11430,6205
11961,7647
9754,5505
11984,7386
7908,7432
13698,9025
11465,7864
13083,9554
13428,11443
825,9403
3798,12982
1284,10564
8758,13576
11586,7630
13835,3289
1216,9596
9980,1028
7846,925
13585,3004
11225,1448
11948,7406
8046,7452
12092,11475
5794,9142
10820,11596
8866,13370
12815,3045
9023,9943
9127,13814
1919,12003
4166,13363
13128,3648
9316,9074
8510,5559
5920,8892
5872,1390
4426,4604
4915,9311
603,417
11177,10641
6963,6666
9424,9812
4843,10117
5410,12453
12762,1760
11870,3606
8797,8744
10895,5207
13891,9824
7986,9555
13636,12700
2338,12073
13708,3119
9751,7364
12658,6375
13093,4191
5949,6011
9943,7879
1025,3725
6610,4823
6412,13705
4488,9932
1829,1366
2163,3052
833,10493
2615,12516
3120,13060
6828,4045
8154,13708
7705,10951
7765,11295
11516,13634
8200,13184
11044,10727
12064,12941
3916,13404
2436,11948
5456,13135
7148,11598
10330,4973
9561,9406
10178,10292
13779,7701
10882,10710
13900,3487
9996,4189
2068,13151
11954,2185
6057,7046
2172,4540
14010,5266
3204,12984
13567,4552
9808,4383
10721,10551
12131,13044
10997,12210
1662,11468
5114,5906
8836,1390
3128,9317
2692,3904
11337,1278
3241,1929
2881,8130
2572,13518
2382,7412
7884,8281
10255,13250
2336,9681
2243,1041
12185,2676
11894,1606
9805,4295
6473,7030
8166,4965
7179,990
6164,4956
2444,9837
2267,12724
6112,13692
4835,13926
7739,10054
11321,10755
3041,5380
817,9997
8407,7885
8992,9412
5499,13700
10282,10903
14040,11125
8997,8661
6530,13415
5130,9551
10053,4840
7107,916
4829,9398
3467,3552
1153,10740
774,10156
3560,13536
5835,13445
6139,13751
5694,5654
11239,14042
9637,13007
10257,10716
12421,12882
3858,13389
3700,12971
13664,4786
10633,1276
4060,12526
10801,1476
8132,7500
9526,9254
2304,3779
3401,8839
6194,6277
6948,9960
8931,8995
6334,11354
2541,6470
4819,8024
817,8384
8046,13940
5644,9338
13409,12544
3108,13544
11958,7156
12390,6073
9765,5340
3958,4337
2932,7285
1967,1948
9030,1281
7383,11265
10055,6885
11620,12228
4508,12106
2580,13431
2422,12700
7142,7601
9236,5528
5968,9078
9670,6342
12061,11973
12410,12750
9686,13503
12655,5381
13544,6336
10159,7511
