x,y
1223,11362
13550,3172
4706,13299
3807,13453
1289,11650
10418,6524
2865,10011
10348,10070
12230,11570
11974,11412
3751,12790
2388,12692
2556,12716
8996,5754
11630,1556
9593,9579
4096,11362
9367,10041
9523,9690
12600,12891
2860,13294
5079,12251
2126,11996
3084,13048
4488,11498
2767,11863
13646,9410
2047,2768
8945,1020
7425,817
11201,9877
10385,11060
11412,12532
10405,12944
1837,2808
3905,13679
6911,12788
8528,12946
1128,10527
2264,12306
8212,6218
9844,11252
6426,10005
4791,8102
8022,1443
5071,13411
5028,876
13072,11556
1131,9614
1412,8267
11161,3944
10780,3359
13417,4452
2423,13476
2381,12491
11148,1234
11016,997
10186,876
4719,13966
11708,6558
8454,9813
8868,1270
5823,6641
5258,2234
1374,3014
2990,13086
1703,12972
3997,13444
1136,11475
6428,6330
7777,7712
11117,4929
12239,7995
12412,9550
1737,12611
14013,4345
14013,12222
13571,12354
9687,12281
3211,13119
2654,12215
13931,11704
3353,13088
8079,7533
10886,1681
11012,1309
10996,1408
3017,12799
1519,11081
8370,10389
8589,10626
5558,12896
9760,9566
6885,7133
5975,9224
13195,2291
11950,14160
2457,12396
2660,12278
3673,13803
7136,6899
8615,8447
13896,8364
9381,6248
9544,5650
9431,9898
10352,13866
13172,9103
7692,8416
7293,7424
7386,9844
2024,13268
6966,13388
2199,4000
2133,2988
1540,11046
4633,10427
5936,5051
11121,4046
4818,8145
3708,4772
3662,8952
4373,2339
6909,7085
10927,10519
10530,9952
1251,7642
2940,13535
1098,12157
7867,13626
7491,13606
10305,13505
4446,13606
3251,12906
3209,10882
11851,3265
10511,5413
10878,5533
8728,9064
9218,7201
7854,7445
8612,13563
13806,4273
5793,5994
10022,8024
10106,7674
10056,7316
10002,8999
10820,909
7151,6853
3885,10325
6880,9232
5094,14032
5810,6586
7623,2771
2780,2486
1575,12921
9161,3280
13764,9426
5937,13971
7273,7446
6626,8246
3008,999
1928,696
8904,1180
978,2790
1208,2903
3426,2790
3638,2713
1983,12200
13058,3804
12959,3297
13493,8146
12702,11568
14111,11351
10853,8663
12564,10424
13181,11949
11246,12328
12795,13112
13398,13825
1544,11149
2287,11732
10099,1147
4204,3728
8872,1708
3324,3061
4229,4917
9811,1287
10811,4923
11312,4987
11159,5051
13595,8551
4163,11703
13924,8962
4792,13488
1104,11242
10964,11247
11020,10656
10822,10208
13445,5776
6307,9802
6364,6195
7942,7139
8674,5603
1241,10803
10058,9796
12584,2007
11902,11230
8589,5920
4767,7532
8309,5759
13851,3924
14055,4720
13665,3789
9698,6242
9409,5818
8235,10316
8609,8300
8865,9041
7028,7162
5118,6059
8189,5547
6408,8322
5952,8327
10996,4459
2271,3345
5480,13741
1308,11027
1194,12126
3659,9165
1290,9247
1764,11363
10023,2457
846,10165
9533,2477
5873,9317
2618,13687
1196,10506
2534,13303
6892,10771
9996,4680
5350,9187
5457,5263
4555,1359
1338,2769
5749,6002
7287,12459
12014,10833
13299,14120
8735,13498
1532,12888
9621,8830
4178,13890
4527,11924
5002,7702
8410,7783
1211,10401
1060,7927
998,6834
1539,7178
2646,6741
2275,7384
1938,3003
5113,4672
1105,7181
5791,6598
10102,968
10416,868
10694,4871
10909,5504
8097,8083
10292,9978
4704,4863
12830,1872
4272,11389
2834,11511
6931,6745
10549,5437
8269,7718
8086,7880
8863,8688
9360,5877
4047,4038
4718,1516
9955,4773
954,10747
2204,12103
920,10933
4798,8420
1091,11821
826,10514
1492,12240
1546,11652
2902,12667
1455,6562
926,6725
4166,6065
7136,889
6227,1327
4654,1492
1904,12815
6187,4178
2953,3480
5661,3539
12969,2238
12333,1490
11213,1260
12333,2076
12055,2119
7972,7324
8406,3691
7446,7159
11563,3758
4250,1110
3496,983
10682,2313
4786,6906
4825,6872
8521,8269
12685,1992
6631,7579
6688,7680
13728,5171
9828,7294
10457,10142
6660,4595
7591,8279
7385,9056
8034,10544
13696,2758
7991,7627
2931,12502
10884,8566
10674,8752
6314,12672
12689,10626
6795,7969
4682,6323
4819,13824
7561,7126
12331,1377
6013,1107
4265,4768
9559,6182
6314,6402
4300,7454
6109,6650
2315,7461
2940,5302
2684,5232
2888,4384
2883,2089
3594,12966
13170,3159
1924,11406
13287,2383
8192,3177
9277,9959
7357,7205
8158,10315
2762,9920
4065,13487
12155,2583
975,10988
7189,7548
7339,7750
7707,6724
13921,8430
5544,5772
8396,10232
13306,7879
13717,9363
8781,13500
3019,11177
4598,13643
13404,8996
3465,7796
8135,13313
7000,10050
10052,7124
3200,7739
9199,11422
4120,12134
13231,2418
13106,4382
12617,1482
11522,7578
6676,13846
7182,6609
5789,12704
6538,1202
7761,7429
7188,5124
5372,7529
5414,5819
7705,7494
7885,7473
4892,2955
3236,2201
5690,5272
5160,4764
9742,7088
1091,11243
13014,2810
6736,7810
8842,8440
4462,9940
4843,8038
2928,8355
3031,905
10732,4816
4861,13259
7373,6862
6399,6638
8534,6656
11125,4547
7334,8645
4246,9236
12780,12695
1112,11594
1573,12844
9640,10178
