x,y
3776,13001
951,11267
4517,13999
10265,10473
11682,10464
7131,11266
896,10857
5988,12552
1977,12292
6162,5733
11586,3189
4121,9538
6796,13971
1232,7421
9163,8743
2356,1490
3455,7373
3204,12792
2878,12524
4408,13754
3404,12896
4467,13790
1670,11428
4702,13551
8844,8579
6357,12767
6020,12546
5715,5938
9860,9244
1524,9823
4919,13273
860,8611
6337,4692
8702,8793
8538,5414
2246,11794
6600,7279
8000,8430
9748,6164
7584,5780
8210,8626
11922,1239
7984,1949
12080,6573
10374,4795
998,5673
2549,8502
5031,3906
11473,1166
8584,2863
1378,6220
7356,2382
3482,3973
8486,5395
6707,6378
5097,9116
3856,3254
1577,12279
7668,13331
8427,3731
9976,6840
2303,9031
9759,9766
9548,4282
5918,5746
1102,9942
5568,9485
7642,6690
8651,5285
2728,12972
8416,8163
11826,6694
9987,9331
10101,8835
5873,8906
3169,13048
2258,13368
10594,2826
7262,6644
1864,3632
2265,5379
8248,1604
4023,7415
6701,8602
908,11056
6488,11250
13836,8177
11659,12591
281,646
1212,10274
1088,10059
1924,13168
1742,11277
7230,1312
4124,7378
6804,4683
4667,8067
9754,7360
10308,13831
8678,8137
7122,7951
8316,6140
1286,7291
8243,8366
4802,8765
1551,11777
1377,10764
1148,10598
3406,8819
7499,13465
2071,12817
2599,12429
1416,10772
5817,5847
4125,11478
6720,3841
7178,3206
817,10798
1124,12506
6275,830
3353,11534
7686,10282
6170,6572
3727,12794
873,9541
9733,9049
4753,7674
6128,5806
1614,10454
4229,13493
8198,8210
4871,14043
1814,11440
6396,13948
4595,1927
11279,3706
5743,6048
6196,6421
7062,6366
7105,1435
8374,8079
2441,8266
4381,9218
10726,5471
5399,6162
6490,9085
7821,10012
5321,10528
9944,12014
7344,7898
9157,7555
9263,6162
6632,4700
11701,11267
12048,11114
4042,12196
3467,10938
2079,12811
10822,11318
5829,11361
5002,9033
12497,11709
5692,6246
3628,4891
8117,7178
3222,13291
2332,12345
4230,13737
2152,12434
2666,13586
7162,13314
10526,11455
1262,11521
8660,6132
4090,9980
4722,9216
5470,5313
3450,13318
3507,9637
2964,12606
1674,11083
7547,7954
10183,8265
11527,6670
7983,8084
1647,10119
3940,11432
1055,10722
6849,7890
5993,6372
8054,8037
2183,12633
5201,4970
5498,3702
4613,4875
2824,1978
1368,10765
4134,9960
4454,13987
4187,13730
4538,14050
11002,5531
13276,5344
9717,5839
5314,5830
3977,4503
2828,7743
13621,13178
7024,7340
6864,6958
4752,9812
12728,2010
4751,4729
8426,7528
10072,7027
6614,7042
10600,10930
13187,12860
5243,7561
9642,8791
3929,10184
3086,12744
7153,4577
5106,4619
2375,2070
2223,12221
2416,12454
1896,11457
1246,10776
3939,13679
7512,6804
7783,1554
1730,4347
3768,13243
9439,5649
8234,7310
6968,4244
7357,3654
1009,8881
4340,7379
10990,3363
5080,9097
3684,3486
576,3552
12568,2514
9731,9681
2365,11791
10892,5397
4991,13918
6855,8280
8449,8569
4486,9939
9530,5603
10192,12073
12409,12323
11109,1020
13291,4949
12048,4977
9733,6269
6186,8699
3404,7862
6844,11404
6515,6170
8700,5076
10152,2572
13171,4311
11728,3407
7262,6762
8260,8410
13330,3640
7258,3948
8430,6212
7059,6866
6274,6018
11574,6714
10202,1019
10600,1355
11251,1816
12644,2606
5993,6245
7976,5228
5857,5212
4739,4595
3840,4032
4589,4205
3409,12997
2847,12646
2697,12398
7836,11786
11542,7847
8005,5185
5684,13516
10650,14165
7239,9129
10184,10406
9210,6198
13442,3644
13588,6533
7550,9814
7415,7539
7266,9658
9900,9204
3252,10440
1508,12200
3516,13603
871,11134
1288,6615
1463,6049
7986,1168
8627,7995
12774,12578
11073,13044
2111,2422
922,10958
2963,13394
1091,10624
1706,12068
879,10728
1409,10664
2712,12914
1562,6904
8767,6446
1666,6749
6403,13480
8648,9001
6390,917
2057,2063
918,1063
6861,7299
7396,7010
5294,8484
9191,8779
8022,14156
13832,10163
6960,6529
7936,8006
6359,8269
6149,5982
9021,8322
2210,12428
1570,11533
4018,12531
2240,11896
8947,9649
9273,9180
13091,13866
13998,13369
7614,7569
4623,9559
6002,13359
6486,7918
4476,1610
7566,8196
906,10768
5575,12983
1444,11490
10243,2819
10901,5513
3707,13524
3810,13803
1774,12824
5608,7562
4584,4785
2521,3779
596,2500
973,6782
5027,5923
7791,7482
1238,8030
5011,7693
2700,8100
4672,7712
2745,8016
1364,1307
2933,12630
7325,6286
4736,13760
1787,12198
1545,11621
1721,6892
7660,7351
957,7425
1894,2716
2556,1280
2421,2121
2408,9092
7227,9188
1239,10390
6232,13972
5691,12786
12169,7084
3624,9292
1577,11326
852,10273
3491,9808
2321,7672
970,6869
5376,9383
4675,9661
1908,1612
2656,13479
815,10291
11394,1845
884,10320
4801,9509
6426,4908
4713,13628
3480,13487
5354,13925
11335,7616
8582,12627
13550,9568
12850,13380
11226,12070
8131,8012
6099,8722
5289,4935
7802,7427
11720,14213
12169,8612
14103,11013
1062,11178
1557,11078
3315,1854
3641,2695
1354,10624
2218,12906
4881,8929
7072,11534
929,8193
7881,8167
12274,8024
13838,10776
11195,12625
13942,3642
12709,2476
12032,3414
13130,8078
11803,6923
8427,10370
8109,7811
1561,11379
1283,10543
764,8869
789,8941
1710,11243
5956,10503
6083,1320
13758,11892
5684,6400
9793,8784
10061,4901
8509,10173
5274,1429
4049,4109
3992,4860
1438,1040
2658,12597
1766,12189
6817,13576
7501,8473
2536,11962
3318,9214
10554,10137
10350,10336
12735,11794
12757,12966
8256,7843
9781,9610
8228,8095
7811,10550
10141,4366
8483,8653
12024,9790
9552,11950
8556,6376
11137,11842
1303,10822
11886,2837
12679,1879
8019,13307
5658,5536
3374,703
894,6191
2707,12679
2831,11844
4009,13455
8221,12065
10499,11134
13549,9421
5498,12964
8485,13406
7572,7160
