x,y
2042,12706
3786,12903
4726,13896
1120,11861
3375,13240
4728,6434
5011,13594
8321,1111
6698,6646
3934,13215
9220,8577
2944,673
7837,7770
8789,10026
3232,7402
1088,10302
8800,8384
13806,13630
1021,10300
1316,10969
7223,7172
1145,12258
1501,5745
5359,5724
6853,4222
1141,12368
7324,7783
8259,6588
5804,4997
5641,6459
6119,5864
10030,1280
7768,4823
10370,4740
4755,5033
2690,7424
2758,7442
5712,5447
9300,2810
12561,2963
13943,4374
11556,1498
13201,4176
1026,6148
5126,6112
4692,6226
8203,3510
2712,3577
5516,771
6126,3358
7668,3358
6829,6394
2718,12305
7137,7892
5754,13805
6027,6181
6492,6260
9403,9716
1576,11565
3416,13236
2438,7200
4201,5911
5200,5735
4288,4451
3618,4006
3553,1783
1120,2420
7403,6891
11095,994
7056,9952
10020,8096
9987,8952
11539,14118
6588,13548
10012,10607
2659,12735
1584,10506
11215,3310
10880,915
10176,839
10693,2220
5644,5192
6172,2626
1495,9369
1689,3267
1987,3584
4792,9020
907,1241
932,1832
3501,13740
10467,7629
10145,8347
9419,11482
4466,11928
2274,12360
5353,1574
3119,7706
3007,7819
4842,6818
3942,13691
7692,13718
11756,4367
4598,11872
10390,6712
8158,8715
6130,6800
6376,6347
9723,9071
8687,9253
10060,8474
9948,9373
9018,9410
5183,10100
5074,9995
10140,7433
1376,11745
2227,12290
6508,8213
13608,2714
9121,5843
8860,5611
8634,8786
5526,5932
4694,4598
7175,7741
8484,5562
3820,3373
4188,10190
4633,9659
4828,8828
4295,1056
1308,12324
1108,12095
3331,11228
3407,13666
8864,9741
1089,11543
1152,10497
6958,6198
8774,8814
10698,3202
14067,4606
8416,3372
11242,3279
2511,5220
838,4097
2612,2344
3862,13516
5792,11112
6053,1204
5654,1330
5307,1181
3834,5042
4869,4084
5947,13651
7716,6621
9866,9707
8548,4751
6066,6921
10790,4948
5218,5280
6098,4960
6220,6032
6868,6792
8007,8450
7785,7849
7686,8278
744,9044
1538,4718
2718,13111
2046,12660
2471,12101
6157,13334
7919,7479
3582,1655
6667,8332
10406,1514
11247,3773
13036,1806
9883,885
7201,881
5891,5429
2341,2322
1923,1439
1271,1010
7618,6904
6196,6255
8574,2873
7178,7391
1375,11940
7099,5382
5869,5612
1172,8627
3001,8093
7725,8744
11255,11524
4106,13758
1790,11475
1442,12206
13185,2317
6497,4620
9176,6080
13761,7719
6209,13397
8966,11403
10087,9547
10241,10104
11130,10680
5527,11471
13414,10490
12450,11356
12369,11863
12763,12132
9045,8684
9096,8572
13860,6982
6207,11323
11847,11247
12858,11419
2062,9497
2969,12393
10304,10878
10860,12267
11090,10834
8760,4569
10644,5212
7217,7075
3234,12883
11044,3793
6149,5032
1344,10282
10211,7118
2542,12474
6237,5819
8110,8242
7042,6587
7556,8798
2041,13286
2346,12336
5009,8819
6475,12566
1863,2133
3681,13377
3952,13321
1418,11551
4167,13505
6548,3143
7453,3525
13409,4574
13560,4476
8041,7420
7433,4919
13969,13152
3915,11256
7293,7470
2529,13511
8290,6562
7075,6988
6208,6445
7103,7566
11719,11218
12914,12927
4613,12235
3610,13170
3736,8360
7927,13705
7460,6153
6170,6884
10148,7754
5208,4774
1262,598
4536,13586
6358,6334
7797,7555
8392,7467
5590,5576
5583,5862
5267,5361
7523,5075
6948,11362
13498,4273
6694,7631
2806,7348
10636,1805
11109,907
7686,5114
6054,7331
7231,7392
8410,1542
10773,2494
7724,7420
10556,10222
1187,10571
1334,10631
6868,7894
9532,9474
8744,8843
14091,4289
8544,8458
8313,10327
2946,9567
3169,9177
10639,3130
6337,6381
7375,7162
6821,7739
7775,5108
11922,3680
13489,3224
13603,5363
7118,6400
6810,6741
9928,6632
6497,6873
12655,1790
10366,3056
2748,5914
6295,4882
6311,4844
4813,4566
3868,3745
4578,4266
5223,11605
1206,11902
10223,6979
8226,7848
14112,7457
3935,12583
4081,12708
7242,6110
8833,8641
10154,10526
11376,5588
7507,11340
8291,10376
11295,4610
12897,13549
13051,13635
766,10283
774,10407
2211,12467
1704,6799
8898,9944
13897,11946
11412,5631
13019,11894
9053,7468
5385,5870
5608,7596
9931,7016
10132,6718
3613,13892
4805,13354
3782,9825
11558,1502
6311,6013
5254,9150
5072,8540
7927,8485
11192,1429
7301,9696
4728,9127
5329,8987
11745,7402
13404,7953
7663,8767
7380,7540
9157,8396
2838,13421
1646,12184
3604,12952
5635,11494
4186,13592
4556,13258
7051,9942
4472,13417
8475,8000
9000,9169
12072,6958
9519,8780
7863,10296
11411,11484
13965,13170
13955,12839
13426,4444
6246,7268
10025,10165
9170,3298
9501,13455
4704,13528
4278,13715
9218,13856
3119,10715
5932,9194
7176,9249
8693,9933
9521,9793
7458,6010
1726,5962
9539,9536
14002,14296
3857,11558
1857,11838
9014,9431
7206,8950
6594,11351
8306,11899
4886,11515
1264,7504
2759,4742
6681,4580
1863,11694
1693,12001
1473,10262
1406,7360
3011,13296
2223,12212
2735,13491
1573,9751
9796,1393
8276,5285
6773,7284
10458,1492
1744,8116
5284,13959
1557,3285
1363,4277
4064,13636
4070,13313
3684,13146
4278,14056
12979,3344
1125,10752
1269,10445
10327,13696
13652,8423
6368,10087
8629,4402
1712,11406
3446,11058
12201,2104
4122,13746
4976,13190
2117,2073
3166,1748
3412,1724
2215,878
4574,14056
4599,13602
3822,13908
8103,13606
11340,8439
4399,14017
11322,7532
8187,8797
7921,7757
6405,9798
6234,10034
7744,7651
1779,10339
2906,11803
3733,13835
13123,13622
10528,5810
9891,5631
14008,10986
3961,3102
6987,6517
4909,6158
5991,6784
5050,8679
5984,14104
5827,13452
6936,12922
1287,11379
6617,1515
5262,5873
3973,4581
4796,3792
11536,7943
11076,6206
12730,13010
13536,2657
12968,2106
12838,2689
14010,4486
13648,3747
12614,3043
12093,3296
11826,3944
13208,3962
10034,6075
11437,4530
11133,12778
3176,13221
1314,5826
3126,4015
10862,10860
8998,9010
8578,8911
7865,8438
8771,3636
9408,9148
8408,7602
1388,8534
10032,4607
5208,9075
3856,6324
3139,7587
3393,13353
11148,4102
10415,3292
11306,5892
10960,5047
10637,3032
10834,911
6279,6409
3293,9221
7705,11037
10040,10333
9970,10292
11076,1540
13587,6626
10084,10047
8587,8849
13614,7873
11550,8523
9920,5349
12436,1410
7258,13726
6740,14024
12968,2502
7676,13801
8593,12121
6117,13283
6123,12719
2242,7704
10381,4839
6833,6902
6593,4728
4322,12634
2758,12817
6609,6497
11804,12660
12701,12080
4644,13864
11424,1907
2417,12583
4089,10024
5184,8522
5864,5294
3209,7113
6828,7340
2781,6418
3519,13861
1030,11167
5660,12894
10662,1608
7073,8260
10460,8600
10288,8395
1466,1168
6666,4710
1089,11832
6846,7179
6312,6554
4318,13718
4425,14060
8601,9675
1459,5832
9198,1337
1432,7089
1981,5452
1189,5421
2893,3475
2226,12782
3586,13325
4263,13622
8794,5666
10826,2169
7433,12039
7362,13505
10528,10707
867,11156
1027,12083
2705,11774
903,10628
6550,6562
8866,888
6552,1074
4717,1510
3182,1520
6776,13587
3698,13058
4455,9169
3736,3300
7708,6900
7550,7164
4422,1596
3024,1234
2990,12219
1612,11654
7996,8370
6017,4982
4930,4625
10872,1415
2936,3573
2205,13414
2996,9757
1356,11374
11078,3696
10952,3437
13974,9484
8214,8549
7068,6556
9619,5475
8878,8955
10282,9930
2924,7741
10941,5528
8894,7814
12428,7251
3861,9408
9180,5622
9912,4298
6973,9190
10388,7740
9131,8558
9805,9584
7634,8271
11909,5325
13838,5838
8248,8026
6109,6564
8175,7813
12082,1922
1180,11276
1247,11377
3485,13231
11319,7755
14065,7650
6741,6546
