x,y
12807,1735
12259,1401
12800,2095
10160,8449
13983,4116
10327,10183
7569,7007
4096,11362
9523,9690
13363,4847
3902,4507
12091,1838
9148,7432
13164,3520
8168,6554
6856,4648
1746,4502
12679,3088
6159,6381
11424,14265
12112,3331
11549,4781
11538,5948
13611,5292
8782,1130
13831,13310
13775,13154
12239,2780
13223,2162
13417,4555
13736,4630
8335,8328
8531,8912
13177,8832
14013,12222
13144,11880
10039,1259
10828,1217
9133,999
6728,7471
675,608
12176,6524
12933,2375
10182,7963
1146,6028
9071,4058
6358,8053
5901,6227
7556,7625
5562,4957
3790,6304
2422,3034
13016,2588
11207,1252
10824,4440
10477,865
5830,5638
4312,9326
6844,7398
1627,3415
13408,4013
13097,3105
12567,2104
12720,1771
8293,8347
13007,5110
8236,8822
8696,7636
10710,10687
12016,3120
10993,1319
11328,1139
10673,2254
4382,4729
4281,10041
3802,4031
8929,1403
6192,1170
7123,910
5154,9380
1135,640
13145,2298
13522,4692
13805,6339
14132,7270
13664,4500
13750,13865
9421,2201
11076,4860
4526,7085
13288,9539
14134,5208
12575,2346
11953,1347
9400,5793
7904,1812
13908,8362
7036,4340
10460,10049
7405,10021
7916,8040
12018,3685
11986,10842
12684,3046
11582,1519
10726,1769
10222,1080
7201,1436
8956,4464
9265,9427
7496,7605
11682,1618
1087,8714
1429,4801
2133,2988
2825,2939
12357,2365
10413,10638
9335,1092
7030,9784
7264,7610
4459,5024
8414,3568
12236,2349
12958,2194
9039,6113
13211,2649
7004,13993
9528,3323
13138,3452
14114,4453
13697,5095
12690,7371
10082,10642
10718,13745
13065,2500
8730,1066
7237,7236
11762,3286
9364,8594
6036,5976
8552,8919
1598,11673
2353,13231
834,10498
1476,11068
6837,6660
12272,1158
8529,1082
7865,7137
7272,6714
11624,6500
946,6178
5713,5162
9314,9422
3702,9779
7637,5027
10037,866
10280,958
9891,6565
3782,3176
5982,3352
7440,1254
508,477
13149,2434
9770,1097
10120,1023
12799,2037
8478,13017
8578,9033
4839,8240
14008,6903
3992,4520
12408,2176
5094,14032
5431,5295
3391,2354
12858,3190
10534,854
12192,2441
7222,12259
6859,8906
5690,5652
8964,8753
10130,1535
7726,7436
12222,2067
11295,4213
4837,8159
6659,6783
5359,5724
6853,4222
9002,7608
10108,5478
6621,7525
4017,1853
11990,1277
6886,13544
12355,11724
12865,12128
12715,2093
5494,5878
7116,9529
4705,9908
5970,9304
4650,7773
5438,5720
2419,8732
13405,2623
10092,5102
10664,1305
4340,4429
11385,1637
12307,3031
10055,1073
4212,4282
3946,720
2531,2119
13014,3024
12706,2038
10224,7564
13851,4817
9984,10095
9112,9110
10086,10149
11282,4922
7495,7446
5209,5791
13463,4157
10211,2612
2748,6973
13834,3434
13431,3651
10152,3105
8039,7418
10830,10330
8589,9078
7229,7218
7938,7692
13300,4059
13572,4824
8547,8408
6261,6596
12652,1876
11285,1685
10601,891
3725,9462
4735,1474
13672,6804
7346,7536
8370,6754
3882,10398
10259,8817
9207,13159
4456,9269
9444,7366
12899,2921
13487,3348
14091,7283
12299,13022
13354,7647
11757,1473
10134,1190
9834,3305
5802,3776
7428,3568
9668,9387
7859,7009
4835,5262
10630,5427
2551,12523
5300,5536
10986,5224
7365,7975
6736,9514
10170,9839
5676,12288
6024,3268
1705,891
8735,9194
11723,9708
12531,11199
13530,13874
12188,2093
13231,3048
11377,1859
7855,12020
13990,7465
11696,12312
13968,14162
5748,12626
11310,12066
7500,767
7927,1870
6202,7164
8169,7494
10175,946
13836,4001
5092,6097
6262,2785
8870,6599
896,8262
9666,5704
12604,2955
6314,9132
8664,9064
7086,7511
12530,5888
4763,5111
12907,3019
12864,3349
11993,1969
10596,3127
9649,1463
8863,7621
6830,4266
5902,6230
5406,5013
8251,7639
12458,11720
5558,3744
11788,2604
11765,1735
10188,937
5210,5687
9390,898
1927,1047
5613,1002
1616,937
12000,1859
10594,845
804,8217
6774,859
3211,2828
6203,2675
12147,1719
11298,10095
10020,11191
12547,1636
13707,3252
10713,1370
6346,7199
12305,1560
6971,4160
11568,3376
1550,4174
12459,2327
12890,2187
9559,9087
7880,8195
10296,10353
10349,9834
10518,10282
11134,10704
7306,7018
6933,8064
13267,4800
13652,5282
8879,10657
10233,10482
9843,7350
8246,12335
8934,12820
12088,11189
5761,7374
13696,2758
13869,5583
13631,3411
10884,8566
12568,10266
12997,11013
10394,10784
8552,14140
10646,11054
11315,1666
8874,4527
6749,1636
7199,1674
6960,1048
9513,1591
6050,5904
1358,7394
7482,3641
13310,3349
11137,4075
