x,y
9657,1726
9570,11171
9876,9953
8161,8792
4909,5816
588,869
10753,1407
13257,3564
12830,2508
7486,5002
7614,5102
9370,5631
9762,5650
7896,6706
10039,4881
11173,1028
3779,1481
3839,1865
14073,4896
9066,6488
6095,9806
4110,9800
7214,6218
8537,7622
8632,10636
5960,12653
9605,12967
11326,14352
8053,8464
11280,8742
9687,10305
9908,6586
11688,12405
12187,13133
13755,12778
13965,13128
12323,2884
13957,9079
13999,8958
13298,3513
11571,3681
11435,1334
11819,5067
10940,1969
11957,1725
11640,2059
13795,3486
13370,3619
4866,4480
3349,6878
10008,9491
4809,4279
5339,8999
5595,7514
3512,8789
13275,3833
13690,4950
5216,9480
11485,7965
11830,7731
11662,7762
10030,9400
8730,8616
7108,1096
7794,1546
6200,6552
6412,6530
2124,3080
13746,4011
8210,7111
5552,8796
5542,9423
846,4856
6289,6474
11992,1612
8265,7407
10139,7747
8633,7827
6929,9076
12411,1265
13889,3875
13501,4411
8222,7861
5024,3884
6746,6459
6365,6238
10824,13414
12497,2147
13717,4110
12064,3220
9459,3461
9540,5523
6569,857
11874,3436
11233,1316
12029,2870
11981,2750
9761,1382
11249,5569
13394,3400
11128,1314
6780,1256
7217,7388
5271,7537
4184,4900
4107,3987
4848,7232
1067,7165
1054,5265
12887,1821
13529,3901
13358,4110
13469,4547
13585,2865
13306,4596
14132,7174
12162,8201
13332,3984
12920,10273
12187,9520
11362,8286
12353,7665
8248,3543
13021,10778
11921,11458
13647,12788
12856,12982
13731,14148
11420,1444
11132,1776
13464,3366
13406,6705
7717,7619
11459,3888
13670,4293
12464,1306
13135,2055
12783,13450
10841,3314
12957,3565
8000,939
7191,3460
5064,3720
1854,3182
6844,4492
3686,2643
12252,1855
12764,1774
9595,1807
10704,1182
12611,3200
10977,961
12620,2265
6914,978
6880,1253
9312,944
7118,6646
9372,8611
9778,9169
8439,8801
3955,4116
3586,3080
7284,3523
6374,6016
4834,4382
11865,4024
13514,4661
13427,3176
13610,3498
13766,3241
13545,4048
13492,5085
6226,5997
5870,6086
6072,6273
4400,4906
8880,6440
7370,13867
6186,10358
8508,11734
10682,1087
10916,941
11327,1144
13484,6250
13346,9974
10757,5514
11451,1585
8588,4689
8395,2174
7612,1596
8914,9352
9637,4218
7012,6778
3564,8846
6069,9440
6066,9172
4756,8351
4319,9483
1242,631
3199,13014
2261,11793
11770,11207
13232,2340
13619,3268
9123,5715
10698,1744
10607,1742
12128,1156
9946,1180
8450,11499
5917,4933
4300,3841
13715,10243
11067,3955
12601,2161
11671,2073
13803,4983
9524,1831
10572,3331
10089,6772
4172,2998
2530,2930
7350,990
11361,1328
11536,1169
5906,5866
10876,1076
11261,1496
10128,1528
13062,2761
6733,7270
4407,4509
11319,1816
8989,2480
6044,9170
13520,4173
13321,4125
10661,4912
12957,2083
13629,3502
6022,8743
12909,3013
13518,2813
13734,3717
13209,3921
8163,7895
2886,12687
8012,2360
13084,2785
6112,10646
5584,9269
13397,11139
13109,3030
12870,3092
8985,9634
8131,7973
6685,7360
8538,5414
9570,5453
10736,4905
7764,13512
6009,3568
4651,1435
13262,3628
12417,3127
13580,4740
11833,1346
7496,7614
9841,4012
4719,5164
2552,7471
4459,3025
3364,1898
3865,4232
12746,2798
12224,2042
11021,958
11684,9818
11532,9652
11118,1055
12408,1429
4612,5093
7222,7170
8241,3545
7482,7559
8628,4297
5630,5140
5096,5260
5608,7558
10269,1314
13175,4030
6799,4180
5613,850
11269,1108
11545,6298
11812,1172
11792,3392
10630,929
9370,2448
10789,9925
11744,7699
8176,10171
13804,5501
13325,5043
13793,3399
14100,5855
7827,7921
7274,7644
5438,5792
5158,5802
4531,920
7522,10111
4836,8744
7167,7110
9085,11100
7801,8162
13064,2027
11559,3024
8730,8978
4578,9953
4309,9684
10228,6522
13506,3591
13848,5782
13807,5685
12133,2763
13998,3871
3594,9509
1734,9325
7218,6579
7938,7195
5514,5997
7429,12283
5830,11314
5925,11436
11983,11884
7692,9608
3023,11658
8657,12529
13155,12734
12853,2648
9628,1228
5736,6222
10635,868
10584,4867
8389,8379
8804,8068
9579,9239
8219,5258
4810,8419
9799,9791
7754,8096
5936,6114
6812,4098
7295,3137
2116,2159
10450,5248
4832,11627
5724,5505
4130,9646
4932,4461
10924,1929
13718,4560
13644,4554
9507,1502
8406,8698
8342,5203
8638,5465
8057,5387
10906,11245
1432,9473
5905,12687
2208,1506
13565,3548
13427,2476
13922,4987
13680,4715
8537,8238
10039,9385
10716,10043
10945,11564
13407,8041
11752,7144
13817,13975
11685,1327
11294,5933
11308,9938
10894,1203
13185,4507
13313,3697
8268,5693
12360,1805
12724,1970
7896,7817
10935,10795
12886,13396
10392,5677
11636,3765
10279,834
7551,1404
8810,1440
7423,1285
7689,1535
9713,1623
3706,4332
7731,7063
5720,3885
8700,1299
13397,3956
11139,1045
8290,7867
12119,3160
13699,3457
11770,1556
10841,1646
10662,894
5877,5231
5477,5866
7466,3640
7972,5908
11894,7219
9504,9135
12079,3035
12869,3207
8278,7391
7032,6488
12687,7279
7500,6946
7907,10783
10994,10684
3848,10277
6228,10396
10221,5052
9080,5699
13173,2147
11783,1225
5058,5916
11840,3072
7369,3538
4242,4314
2412,2964
10204,7093
14108,4687
5944,8638
6719,6704
6847,6749
2831,5769
7972,8027
7452,8670
4788,9511
7522,5949
7723,9539
8493,6605
7138,4842
4122,4514
3123,4956
7977,7572
7878,7568
7424,7372
4852,4170
5394,10564
6525,11260
8659,8128
8019,12254
13280,13846
12989,13619
10788,1074
2218,3438
7330,2532
1585,12748
1521,6295
7004,2671
13397,3230
12822,2876
10328,10170
11245,10090
11888,12019
13222,12810
14151,13917
12205,2676
1789,7624
12446,1464
10515,2726
10495,2569
8175,10197
5158,9459
7436,5914
11475,7499
6067,9303
12338,1412
13768,4798
10184,1634
13306,3412
13075,2950
13200,2384
13324,4826
13531,4156
13599,4835
5599,6254
8437,9001
10274,4906
11900,9234
11353,10643
7784,7820
7364,7359
7532,7786
9337,8990
6494,4763
7809,4961
9307,5743
12537,11445
7213,8711
10685,924
7503,821
11412,1497
8664,9167
5482,11369
7821,11077
8154,10109
13619,3074
12164,6645
5406,7704
8158,7664
13277,8052
13364,3707
13574,4138
13150,6838
13222,8058
12952,7341
13347,4494
12167,8765
13794,8294
14110,10259
13949,7263
8872,4893
8054,1614
5335,4997
6567,6503
12004,10452
12685,12345
12209,10679
13417,12298
13392,12864
12200,12512
12407,2322
6129,3252
4322,10043
4430,9868
6928,1240
13508,4628
10202,2634
11039,1209
13449,2895
11175,1248
10012,1460
8904,1487
12620,2410
7732,7631
8198,8278
9206,9505
4262,11505
3792,9372
4536,9114
2218,808
1552,8429
6598,6141
6936,6759
1506,3370
13260,2420
8642,1526
12150,1686
8693,5310
3366,8567
1172,8334
6312,8055
4555,9779
4717,4376
3801,4307
8906,7613
9374,1274
3238,4411
2669,6532
1528,2538
8769,9989
7214,7364
10473,3311
1466,12556
7573,4886
1724,8036
1198,10365
6616,9142
6393,1335
6095,6375
