x,y
11510,1080
13388,3228
3252,13867
10566,10290
7511,6783
7814,14046
11804,10690
8725,10118
10969,11317
11125,10721
8206,8062
13858,9790
10330,925
10731,1376
10050,1126
11958,1372
3441,3525
1498,5584
12699,2226
13049,3279
4770,5606
5399,1395
10419,1198
7230,7280
6795,4800
9433,5845
5628,5593
5608,3756
6195,1309
2799,2928
10425,866
3320,2012
13297,2563
10588,1430
11017,1284
13217,2752
10803,1934
7620,12062
8194,7514
6912,1275
11318,5740
4548,4860
10649,1483
11606,1339
10599,3176
8022,1443
5028,876
13072,11556
11237,1674
12658,2145
10597,866
11148,4108
10044,8717
12050,1607
13332,5462
13327,6150
13564,5108
10655,10940
11213,11324
8015,8408
13427,9816
13148,12456
13595,4517
12349,6286
13440,5960
6918,7951
9551,6302
9628,9104
12677,11154
11495,11083
7520,11670
12832,1977
11568,6930
8307,13400
8881,9636
11372,13996
13626,3678
6671,4773
9171,8902
4361,9407
9006,8843
7946,8076
6839,13759
4774,9664
9407,2443
2360,3024
4515,7432
10968,11369
5682,8781
10334,1496
11133,3715
13943,5870
13671,5120
14090,13512
13135,14221
11480,1714
13088,2970
10861,897
734,9290
3292,13972
9655,13881
13506,4241
13325,4301
9924,6516
6652,7645
1437,12750
12854,13576
12421,2063
9054,8798
9995,9121
4665,5924
13502,3081
13500,3976
12880,2806
12368,6338
12420,13527
11008,1395
12194,3010
13514,3301
11232,4543
14086,8235
8800,8384
9534,9231
13806,13630
10443,2885
10591,2408
11953,1374
11519,1207
8305,1469
9484,910
13613,3479
13621,7470
13939,7046
12836,5306
13756,4013
6410,8685
14072,7158
8922,8768
10783,11406
6116,6814
2146,2818
7863,2132
4279,3860
1158,2143
5607,1148
3489,2537
11296,1856
10986,4252
9440,3252
7159,3441
5060,3705
8708,4833
4554,957
5328,6202
7492,1340
9387,2373
13547,2737
8848,8397
6452,10114
10318,1121
5759,9094
12970,1830
6184,6027
2489,7601
3027,3921
11344,1903
10277,1296
9037,6219
12450,1653
9072,8349
8628,3484
6188,6544
5304,10592
1330,11472
1304,5011
11377,6465
12601,2161
13803,4983
9587,1655
7206,6728
4164,2815
3548,4996
2513,3570
10714,1440
10972,1665
8095,8560
6262,6512
12972,11318
11589,1842
8793,8927
12375,1496
13419,12234
5421,5908
12750,3023
13587,3391
11220,3827
10665,1310
11070,1120
7662,3251
7641,4784
9831,6034
5145,6116
821,1947
13842,3975
10773,2530
14105,4818
11682,5670
8413,1431
6176,5989
10038,10696
13452,11819
11833,1346
13713,3450
8853,8247
11152,4481
2484,732
13565,3402
6829,6398
12402,2304
12388,1760
11526,1998
11760,1506
13426,3362
8921,1529
10087,2433
10437,9824
2972,2150
7812,5265
13146,4023
10168,5026
8045,3500
4572,1269
8328,7670
3254,778
12666,1974
13719,4926
10051,9824
14046,6735
13114,10995
10816,1268
12231,2223
12526,1534
9010,1326
8273,8133
6188,4171
7287,7771
2329,2480
13366,3354
13666,4873
7093,7452
6450,8798
13942,4354
11484,6371
13086,3214
10531,10181
10595,13484
11501,3044
13271,2870
12958,5204
10214,8833
12980,13770
10647,1189
10236,869
12527,2766
2876,7215
5420,1430
10806,1261
5611,8893
6294,7215
1772,5465
6622,6632
12094,2220
7139,7507
7580,7616
5118,6059
8189,5547
6408,8322
4084,9602
7596,7950
3362,2974
4308,4772
3083,2004
13387,2733
7521,12391
9031,11376
11508,1858
10429,1500
7879,1221
6819,6905
2836,7802
1978,3307
11019,3982
894,2026
13473,6859
7852,7885
3626,10596
8912,9663
12611,13737
13569,2748
12626,2496
12076,1392
7955,1843
9552,2413
8939,1429
7986,1620
7406,1704
13952,7548
3688,3928
5636,1028
4179,1587
8135,8512
1569,1244
1117,2933
9196,8691
880,4370
11568,10749
8370,6609
10444,10501
4285,4940
13565,3548
13427,2476
13680,4715
13836,4277
9156,7370
10120,8269
10945,11564
13110,10206
12340,10633
14048,12250
13907,13152
13756,3054
13051,3098
14010,4155
12164,1410
13323,2462
13844,5163
13119,3224
11934,3798
7583,5129
8978,11005
5079,8628
11095,10583
8170,7884
10558,2702
10709,1954
12202,2285
8810,6312
9477,5685
2019,4227
12288,13849
7960,8718
9749,8890
6971,792
6859,8313
8152,6375
4898,4591
985,1557
10272,848
11722,1950
12093,8794
11825,2932
11770,2140
13001,2076
13637,4446
12699,1687
10697,1356
11011,5507
3874,4604
7146,13895
4568,2698
740,7416
12830,1872
12389,4958
11729,1958
11561,7628
13879,11899
12118,12273
13114,3557
13289,3715
13315,2261
2375,7322
3662,8970
4875,1595
5002,4033
9828,5278
7584,4896
14090,4848
11427,6218
13924,4797
11846,7566
10802,10480
13928,7390
13117,10614
2464,12629
10209,13671
12598,13288
12114,1328
13472,5925
12949,7237
13243,4049
13102,7206
10030,11072
10384,9873
5071,5168
5381,1423
14070,4190
9930,9066
9491,9840
12567,10737
13053,3570
1485,7465
2078,863
12996,3626
8153,1539
3932,9567
13720,2938
11687,2986
12163,1431
13378,4899
12977,3514
5551,6228
8558,7821
10119,9702
12039,6790
12930,3086
13002,3253
8842,8933
1373,4969
12681,2992
9427,6158
14099,4569
13472,4428
12579,2608
8583,9041
9965,9279
12563,13245
2321,13457
11748,10829
12199,1331
10189,1119
14054,4371
12205,1780
10682,1914
10630,2846
6423,6025
10778,3293
9538,8928
4768,4310
958,5841
6999,8838
6598,6141
11246,3414
5188,5416
11157,4719
11346,6252
9251,9574
11147,4633
6382,6888
13531,3944
7138,3167
1138,4011
11102,1076
10711,1014
10607,891
12361,1516
10933,3719
8087,5340
10071,5547
8088,7374
6121,6200
8843,11182
5536,5650
13646,7470
2582,2427
976,1726
10473,3311
1724,8036
11357,1325
13586,5680
6544,6190
5520,5546
8671,5031
7413,6762
6762,6437
4116,7428
3512,8526
11350,4900
13755,4001
13187,8311
14013,5032
13231,2418
12617,1482
14136,6910
13068,4296
8816,3872
5372,7529
3317,3476
3236,2201
12252,2187
13385,4270
13746,4923
7517,7976
13680,12646
13629,7828
10665,14003
10381,1472
12216,2446
11237,1675
10310,1389
6716,4185
13620,3042
7279,1221
7044,1000
5396,4939
4385,1530
3000,1661
2687,2242
13325,3124
13646,4227
13861,5400
12792,1970
9887,5554
13233,5049
9660,10194
8578,8918
10410,5329
9728,5682
11476,12972
10808,11746
10387,3134
13265,2870
10254,1251
13022,3290
7216,1096
7910,8362
6529,6801
1746,3596
13393,3296
12012,3429
7454,7972
