x,y
4634,11809
5183,11559
9977,9158
8652,13699
8951,9975
12238,10726
10812,14074
10310,13319
11448,12626
10726,1179
13973,5242
1088,6424
5084,3882
12083,2397
11161,928
13449,5890
7042,6674
5844,5760
5938,5488
4441,5311
9109,7186
7963,5693
5488,6199
844,5043
4615,6131
5457,6249
3382,6632
7866,909
4642,5885
2169,4422
4073,3547
2469,2580
1989,2059
12180,3296
9590,3197
14039,4024
8877,8237
8416,7999
11537,1633
12333,1896
14092,4557
12148,1551
8769,13830
6238,12586
10610,11898
6155,5720
13454,3907
13085,4484
8546,5364
10258,10016
7282,7208
9594,9212
10686,11178
11350,11664
9908,9999
9632,6036
9425,5769
7957,10312
9863,10888
13573,3399
13715,3392
13492,4659
13469,4036
13264,3922
13400,7379
9745,10288
6879,8481
11037,10580
7639,8798
12797,7340
13246,12426
13221,12222
7050,2954
6294,2219
13667,5391
13060,3668
13820,5552
14005,7651
13655,5289
13268,7911
8596,5978
9980,9106
8834,4560
11528,4068
10020,5491
11976,1658
10104,1114
13442,2929
11261,5627
8947,9499
9854,9304
8806,11496
11308,13977
8698,1540
7161,4866
6080,5814
9242,6022
8850,7437
9398,9241
6605,2854
4154,4346
9643,1434
14146,6796
12537,5105
10810,11871
11341,1786
13292,3353
2951,13014
9493,8976
10007,9256
7105,7547
10018,9062
12640,7528
10008,7974
9552,13629
9428,13286
10541,14042
11354,1612
13634,3204
9310,5637
6631,7214
13145,10922
13889,9241
12214,2322
14038,4326
7534,8062
2680,5508
3979,9520
10152,8677
12800,2948
12229,5014
12534,4909
11340,7534
13486,6960
13451,9685
13795,9845
11487,12472
12581,1898
14052,4202
10090,7804
11010,1418
5988,7553
9487,8956
8844,8579
5914,9195
4193,12589
4858,13519
6020,12546
9860,9244
11176,10684
12462,11522
12329,2879
10685,1635
6976,1070
1470,10956
8095,3498
7546,6979
6073,6397
3355,7067
7975,1328
8726,4047
7038,6488
8715,2304
7480,7877
7335,8020
12164,3316
13803,4243
9837,1484
13809,4239
13413,3736
8651,8651
11795,6824
11508,6585
11560,6755
6336,7157
11412,7088
8620,9210
1002,6149
1497,2498
6235,8403
4195,3101
3476,4034
5780,5643
7119,4659
1546,3758
1828,1900
10250,1189
10927,2005
5880,4244
7638,5686
3470,2181
6030,1364
13314,2209
11004,1099
10728,1120
13248,2502
8008,10522
10940,1519
14032,4647
13200,2330
10057,5703
8474,7794
11293,1917
5236,6129
1535,10286
1223,9643
13535,3359
13128,3148
13497,7961
13620,4523
13648,9707
13410,10998
10037,866
12453,1435
10280,958
6780,9324
10055,7800
7770,10285
5934,6806
3782,3176
2840,4858
7539,3318
7440,1254
3496,8160
2722,1643
3130,2701
508,477
12242,2441
11245,1521
11128,3364
7767,2466
7604,2541
2013,9488
1599,10940
6433,6828
4555,10212
4788,9466
11926,1099
13443,12342
13316,11868
9296,13122
8894,12766
11138,13140
9959,1234
13004,1829
12641,3206
11654,3993
7856,1469
12856,1934
4618,2286
12910,1910
13836,3422
13561,4527
10295,2859
10071,3255
7307,7564
9192,8515
9286,13524
10320,13876
4733,9009
8486,6296
8680,6172
13167,2732
12554,10440
13207,9863
11418,11242
13675,4106
11703,1203
13459,3566
11792,1862
4548,4734
4425,3919
13322,2641
13463,8118
8972,4908
8242,5208
8593,4643
10174,8136
6470,6824
6444,6219
8854,9147
12231,13195
13505,2498
5494,5878
8250,8902
9424,8940
6500,9332
4778,4710
5438,5720
3401,2937
3438,9099
2419,8732
1322,2003
8212,7448
13142,3676
10719,10322
12792,3166
12018,12322
13955,12509
8130,6168
6676,758
2747,1852
2688,1995
12249,1536
12418,1674
11147,1799
7002,2936
1324,8537
10318,2706
5236,9177
4318,9326
4421,1422
11394,4595
10269,9677
2236,7485
7526,10004
3156,5288
1396,2478
1630,1990
2402,1320
13129,2199
10208,1395
10377,3256
6962,4876
9422,3071
3978,10303
5622,13636
13442,4385
9996,1009
12336,2772
5868,4938
4897,3022
11028,4064
9975,9006
1102,6878
12708,3232
10827,4832
11620,4571
10308,10115
9488,13189
11862,9023
10918,13909
10872,13880
11952,2172
11653,1532
12720,3257
8635,1561
9416,2174
8926,1359
9935,1646
2927,7400
11935,1947
11715,2062
12246,1345
10587,1522
5462,4946
12104,1938
10528,1701
1199,5461
10779,1024
11879,2161
9853,2427
13209,3729
13377,7649
8703,8472
8047,7643
8416,10111
5160,5268
6811,6215
8670,8769
8352,8450
7731,7628
9151,8636
12174,2221
13223,4496
13123,4878
7218,8058
10273,10184
7343,11713
9150,13144
10772,10956
12608,11750
12700,12573
10342,1456
5922,6168
4576,4652
1067,2258
13665,3434
13438,3731
14003,6526
10185,4666
10130,5785
10535,5037
10091,7612
4779,8622
4676,6774
5465,5740
7047,7244
3730,10524
11411,6479
7369,9837
11864,13526
10418,13050
12248,13565
12078,3428
13792,4388
10056,991
9200,2082
8918,8988
5786,1197
8767,8623
4490,1616
774,2464
13243,2888
12692,2268
11356,1645
11931,2565
11918,2184
9153,9563
6107,9079
9496,966
5735,5224
8531,3824
8190,3574
11759,4145
11575,4135
7785,13781
12757,1995
9485,8747
8879,9248
11720,10501
10093,9989
12531,11199
12099,12494
13530,13874
10174,1124
13659,3134
13557,3069
1794,7360
12886,3430
13122,3076
9975,9210
9851,8795
8548,7797
8487,6654
9700,5918
10797,10225
10434,2838
9972,3248
1622,4848
9835,9572
1884,1801
10763,989
10476,1216
11114,1836
10766,5312
10624,5466
8276,964
1532,11208
1762,10986
925,9389
7048,2844
7230,7342
5947,5965
4267,4663
3014,3064
3004,3326
10166,4668
10322,8434
9004,2223
12035,8683
11981,8877
10249,1511
10304,1208
10658,5234
5480,5484
7019,5033
6827,13907
13099,2116
11540,1922
1145,11017
3187,2701
13654,3669
10236,5091
10050,6560
13428,10318
6216,10207
4843,10461
12715,2320
13344,3933
2862,7503
1905,3831
10472,1497
9728,882
6788,1088
7569,7240
12806,2978
12520,2846
10783,2034
4538,4466
8440,7977
7466,7577
8251,8653
8452,8612
13436,4671
13237,6899
13728,9059
6561,9864
4589,1678
3091,851
13664,9117
13716,8204
3062,1555
1300,1019
9382,2171
6777,6646
6268,5935
4529,4523
4590,2771
3359,3094
13302,4904
11056,10762
5028,9756
12455,2002
8508,6564
4125,9589
3706,9494
3563,8760
3791,7320
1226,11386
1602,4365
4684,4723
2869,4569
2582,2730
2680,5468
1540,2694
767,1036
1009,797
13320,2376
8150,5504
7929,5406
6945,864
7549,3174
11680,4170
3815,11571
6741,7127
12278,8642
8842,10867
13331,4063
8473,8218
8620,8402
8470,8448
10616,903
11391,1153
6239,5736
6997,4552
8259,2391
1321,4816
1338,3213
1656,768
1710,914
1439,783
10848,3284
12772,3250
6408,7128
6045,5990
9998,10141
12097,7907
10307,9703
8994,9378
10838,4538
9702,4072
12633,2126
8702,5096
10228,868
6556,7148
2925,13102
3198,8176
4644,6394
4108,4960
1156,5332
712,4349
11542,1376
12140,1497
13653,4681
7761,7467
7478,7910
7688,7641
10028,8944
13894,6095
10243,1713
12456,3093
1264,12140
10808,9944
10988,10049
10251,9743
7982,8707
5609,9505
2131,868
13565,3937
12620,2449
9447,5936
9531,5945
10644,3466
12224,2106
6413,4596
8640,4116
6294,6089
10756,1182
12068,1600
5645,9391
9334,2142
11098,1884
6688,882
13210,2248
11034,4584
12516,11525
13655,4609
11433,3119
13934,4123
2346,4384
1500,4192
13645,3204
13259,4311
14122,4908
13218,4059
7514,11236
13932,3627
13846,4078
12844,2868
13605,4319
6721,7682
8242,7999
10229,10275
10199,10126
10821,10443
13215,9129
7255,13429
7097,13809
9576,9637
4881,9693
6989,9774
13356,3408
13788,5385
11790,2541
1078,9716
5098,6073
7325,7014
6366,8472
8439,10084
9620,9110
12565,7240
11932,11074
3264,13824
4604,3856
5357,3233
5693,4972
13264,3548
13655,3753
4831,10276
7797,7228
10300,12484
3008,3570
3978,7364
4434,7080
4557,6844
3277,7401
9386,9663
2078,1458
4320,9369
7984,5343
8772,5873
7377,7282
13451,3253
12362,2385
13534,4392
827,7973
11690,2173
12635,2203
13631,3930
13859,3818
13610,3643
10174,5177
12079,7903
12097,7787
7068,6696
8401,10236
3059,10940
11411,1098
11348,1144
11910,1807
3758,4036
5471,1765
5890,1726
5902,5207
7168,3768
14050,4525
10528,4852
13071,2975
13132,8237
13921,10622
13583,10261
7166,7715
6679,12726
8042,8161
11376,11473
13950,12762
11968,2576
12165,1393
4011,4484
4319,4542
4094,3422
2844,7275
3542,1982
4238,4116
4660,2688
4038,2089
10955,3664
9290,8555
13299,2499
9768,5205
11069,4659
1249,4572
12092,8035
8823,8142
7914,8353
3797,10742
13657,4183
9787,1421
11703,1208
6119,9136
9505,11626
11857,13191
13425,12863
12872,13888
861,10320
4145,4111
4481,4338
4639,5436
1962,2028
1448,4089
3482,3204
3432,4175
3458,2763
12060,2890
10984,1224
13567,4151
13526,3734
12735,5099
13505,2895
12843,1707
10718,1298
6845,4160
8240,7292
