x,y
12095,1510
13500,3669
12474,1948
13120,2931
11128,5702
5349,5278
5827,5824
4334,3890
13477,7570
5335,9096
4214,4410
6561,12622
9728,1773
3633,4946
9446,9242
3942,9924
12260,9937
8117,13909
11794,11294
13164,11423
13431,4106
13560,3648
11680,5159
12880,11228
13276,10743
5668,5785
3397,7865
12503,10559
10902,2380
13199,8447
13199,6162
8258,6724
7210,10169
13140,2161
12248,1943
10096,1325
6183,5717
10839,1090
13312,2154
3304,6190
4933,6113
1509,582
12096,1639
12240,1659
13690,3654
7380,6154
6512,6178
4436,4807
11790,2180
12340,1346
11873,1434
11001,4343
11139,4095
10572,1238
13634,3204
6631,7214
13788,11472
10941,2374
14047,4023
13922,3408
12511,10820
11662,1859
10648,1826
11707,1513
9260,1956
13874,4726
13762,12530
12940,5330
10609,10590
13445,12465
11624,1528
12546,2701
12232,7572
7569,8068
12013,9107
6657,13662
12772,13649
12762,1828
11858,1514
12037,1259
9489,823
9636,864
4592,4788
10979,5515
1133,662
11317,1379
7412,7984
6932,986
3911,3716
3813,10640
6726,7068
6966,6498
11515,1920
12910,1910
12903,3354
13836,3422
9192,8515
10320,13876
4886,8676
8253,7067
11736,2406
8186,816
3428,770
1928,696
923,1129
6824,974
1004,2844
3426,2790
12917,3027
13937,3730
10285,1494
5288,6128
7376,1149
2838,11777
7094,4134
12662,3041
6258,5932
10383,7448
6874,9047
13662,13995
13419,3611
11948,1928
12389,2813
7240,6698
7572,13640
9828,10302
6202,9611
9919,12156
6340,14086
10907,1708
11815,1060
10639,1285
6480,7820
5430,4876
6391,6470
5407,3545
4115,1660
733,1386
12300,1863
11602,1851
7303,7636
9514,7319
13735,7431
6131,13465
6568,9785
10650,2692
14072,4213
13851,3924
4749,13351
12727,14168
9200,9742
1584,12920
11785,2029
10705,2370
13337,3748
12285,1964
10793,10518
12150,3400
12045,11665
10434,10242
11694,1972
11826,2160
10085,1020
13124,2415
10650,2825
13001,3135
11384,5527
8210,7703
7570,7137
6803,8037
8283,8805
4774,9576
4806,4356
11870,3264
11770,1556
10269,1011
2245,9238
5090,5132
7277,3398
7419,6051
5856,1275
4726,7264
1267,1096
12264,7345
12088,2718
13643,3826
13486,3710
12512,7630
8771,8036
13687,8373
13802,6655
8378,8345
11190,4910
3538,11080
10042,12001
8852,8784
11525,8528
7368,8926
13421,12523
13307,2954
13630,3007
8404,10084
12830,11580
13655,3246
13170,3159
13287,2383
8878,6082
9717,1454
11812,12028
8158,10315
13226,7318
9968,13631
12286,12960
12442,3073
13159,3791
7084,4478
11595,7105
1350,7148
12233,1628
10173,1120
13486,3547
12172,2347
7066,1325
7796,768
906,6268
13290,4017
11327,3417
13972,6566
12932,2204
6248,12588
13672,7600
9200,3642
6270,2940
13810,3734
11248,1478
9552,8974
7345,7123
6097,3886
5358,9268
6802,7506
11868,10934
13740,13402
13340,2942
9256,1120
6134,6311
4150,9897
3355,2055
10672,2733
8870,10608
7074,7135
12248,11526
8779,976
13330,2728
1593,13042
8635,13549
3483,9121
11107,4913
6874,7918
11292,11468
10124,13852
10799,10939
1967,12179
13818,14247
6128,6361
11800,7827
5676,6055
6250,6472
4836,8008
12932,3458
10468,3291
4431,6064
8668,6665
987,3911
684,1648
6126,2604
5514,6342
12517,1563
12516,1577
9690,1304
7809,10655
13532,13886
13244,3626
14082,8703
11046,11846
11986,14274
12568,2344
7135,4006
7126,6656
6679,4589
6176,1294
5520,1096
13902,4722
12888,3334
9911,9317
7478,7399
9375,5784
13827,8634
13525,3099
6904,7295
8213,5180
6982,3112
9804,6462
5465,7561
13033,12524
12924,2971
2596,3216
13579,3745
13802,3888
13333,2531
11884,1852
13541,3468
7860,814
7675,885
6520,855
10261,820
1646,2031
5221,2812
14093,4578
9538,10080
8740,10624
12192,12349
10645,2959
14018,4558
13133,3112
9170,8406
8195,8121
7950,7258
2713,2182
6789,7572
7836,8024
6226,1561
13676,2876
14116,6960
11412,1362
7068,844
3064,7890
797,6913
4002,4543
11402,1740
11595,3643
11014,2170
10346,1008
13160,3519
13412,3386
10424,2941
5056,5360
8303,8410
8351,8327
13351,6690
7428,14040
12455,13785
13194,12687
13557,2559
5840,1206
13059,5217
3170,1418
3444,3519
3748,4362
1086,3226
11847,1298
10569,1188
12229,1299
10732,1471
9452,1531
4920,5468
3043,3893
1946,2643
1727,3945
1205,620
13871,3884
13953,3927
9649,9167
10126,10926
12116,12306
13787,8038
12995,9559
12636,2080
6666,7230
11448,4128
10446,1762
12336,1576
11070,1880
13703,3318
11664,2093
11919,1816
7535,8827
12481,2948
12700,1705
13820,4330
7622,5834
13875,7437
6948,9590
2624,11960
14086,13136
12971,5070
9805,2500
7654,5118
13984,4130
7141,8956
9810,13622
8122,1158
13294,2805
10460,1386
9846,1376
12937,2923
11207,1803
5738,5434
10201,13930
2145,2639
3404,3672
1738,11701
7634,13545
5646,5934
6924,6740
3479,7965
7806,12360
5238,5250
9774,6338
8825,6372
11884,2528
12888,2256
10606,13686
11996,3020
13959,5074
13201,3462
9624,7346
11228,4916
13185,9783
4457,4163
11971,12296
10661,1749
13140,3730
8287,1277
3766,5858
7044,8320
9545,4416
5664,5587
6500,1196
4151,4216
10007,821
7276,8764
13452,4044
12342,5140
12507,7320
13684,3184
6954,9138
12268,11920
12550,5067
10939,11554
10447,8694
4363,2342
11217,1001
9226,2266
12524,1709
2867,11301
13421,2846
13220,2723
10670,1729
10836,4989
6584,6168
4018,1361
7568,7453
5046,1384
4508,4567
1952,1408
3404,3867
13319,4021
12090,2628
7284,6618
8464,6654
1239,1241
10929,2017
10463,1541
11551,7515
13579,3432
11856,2363
11272,1375
11168,6210
10913,5047
7280,6492
8293,8876
5017,1113
12729,7406
13597,3126
13344,2638
11578,3437
6065,13336
12416,5683
10256,10806
10626,10306
9072,10806
12222,3326
9340,9106
9434,9334
9966,11019
8610,5956
13097,4876
13792,3391
11094,1294
13364,6862
7818,8534
11917,1556
13137,2729
11090,4732
12938,5111
8975,11407
8736,12753
10900,11065
5905,6245
5074,8456
11596,1654
10732,948
9363,8794
12278,1532
10940,12302
7303,9771
10431,12344
9683,1610
11979,11482
7168,13940
2764,12633
10792,14148
11560,1657
3500,8967
10230,5679
5732,5366
4516,4048
4724,6614
12716,2786
13734,3886
11164,5816
9444,9171
12436,11544
10860,1338
2878,6255
8926,7258
4234,4166
2996,888
3226,1702
12544,2828
8220,6255
6294,6999
6892,13266
11724,8022
7713,8107
9622,9596
10003,10692
6334,5220
12112,2800
13031,3433
10186,10447
12629,3035
13224,5222
12564,1843
13922,3500
13977,6745
12057,2651
13367,9260
11600,12844
13632,2818
10657,2769
8768,1519
12684,1834
11879,1812
6866,12967
13489,4778
11333,5317
11824,2578
12093,3221
12470,2777
12269,6390
7044,7412
13694,9180
13329,12056
14094,13768
13980,4051
12112,2532
12835,2016
14074,5893
9275,6292
12101,1797
3788,1023
10012,9388
8122,7280
12409,6679
9980,2664
13197,4839
9746,2744
9414,6250
13715,2962
12533,2150
13320,3454
1509,10988
5515,9183
12130,3546
11358,8208
14032,11092
3727,10751
12188,6679
11704,2293
13881,8160
11794,2012
13142,2315
12270,1516
13632,9134
10167,6716
11046,7720
12765,5218
5796,961
965,3870
11364,1303
10190,1092
13398,4842
3774,4429
6284,4774
2629,5658
2813,4146
13052,3432
13622,2982
11358,1598
11812,11134
13058,4080
10544,2809
6713,8169
1683,7880
3160,10744
8872,5856
7621,8359
1042,11739
795,10121
1851,9803
3514,11286
1322,8110
6540,4719
3125,4304
6061,2181
4798,2710
5348,3430
1421,4247
1862,2117
12292,2546
13403,2572
13928,3688
13467,13937
4768,10130
8842,6535
8811,9855
4498,9922
13979,13448
10846,1576
10507,1196
13015,2838
8983,822
13068,4208
11352,991
11830,3275
9300,2414
8928,984
1360,817
13833,3399
9692,9796
14134,11062
13545,3008
13237,2699
13289,5746
7504,6854
7252,4772
11357,4712
7378,9821
7814,9672
8421,5585
7008,1008
12433,2718
13308,2351
3121,13254
7081,7174
2289,677
5352,9193
2699,1142
11405,1651
13720,5456
12584,6313
5206,8946
7482,8371
3659,10363
4425,3912
13104,5587
11672,2308
11563,5846
13783,3377
11064,2048
10739,1717
8021,5764
3962,6136
8899,6257
7209,7461
12456,1386
11500,4182
6910,4060
4076,4136
3307,7136
9019,981
11982,1712
10630,881
12552,1603
13712,3464
4633,5137
8441,7484
7898,2046
7030,3859
4884,1535
6561,3108
2283,1295
1947,2830
10542,1445
12836,2310
11237,1022
7478,987
8284,5334
8594,7683
5835,1047
1322,7412
4275,4801
4169,2332
12203,2130
12238,2768
13770,3036
11662,2059
1296,9071
13622,14018
13778,4789
