x,y
13565,4485
11027,3907
3168,7420
13573,3178
4123,13363
9224,7384
4898,13710
7707,6051
9121,6348
9268,5666
4725,9514
5908,9122
10508,9984
10628,10280
10398,9798
11547,9754
10595,12889
842,7757
12728,10862
8539,14085
9010,13172
10818,1112
10664,2716
3681,7707
6612,4809
11263,9976
13429,8515
10899,11601
13310,11816
11749,1574
10462,1304
13879,5029
12820,2242
10978,5396
11714,5463
13870,9055
13270,7037
13543,6274
10248,13194
6248,9736
13204,6063
13755,5637
3896,6134
13213,3492
11634,1420
12459,1945
10746,2270
10280,1705
12292,2382
12114,2131
3903,4369
4102,4820
11197,983
10914,1062
11306,1083
11228,1445
13104,3172
10676,2755
13506,4241
13325,4301
14076,4310
7769,7567
9924,6516
8502,8897
13718,8357
7522,7080
9707,4482
11714,1044
11141,1050
10616,911
8912,9834
10710,11220
13333,14136
13266,13684
13501,13676
11412,5508
12245,8887
13571,4197
13463,4375
13393,3138
13772,6468
14027,7976
12666,10824
10770,7630
13223,8732
13219,9807
12776,2083
11656,2071
11653,5630
4886,1318
12904,3164
8426,6169
7399,6757
6108,6386
1534,7545
6629,6366
4539,4537
4653,4283
4816,3782
4476,4401
7414,7460
2400,2049
3806,4316
10535,10846
10336,1078
11644,1508
12742,2557
7651,4919
7482,5007
8643,4290
5605,4949
8068,5199
6577,4828
7123,860
7912,1831
7741,2254
8193,1421
8301,1215
6353,7078
7361,7493
7116,8215
4893,3943
3931,3929
3613,3967
1240,1234
2302,7536
2373,9600
1587,9349
3782,3629
2467,3540
1781,2147
3490,3216
913,6499
1072,2084
10909,1099
10817,1154
10892,5354
1546,3425
13804,3172
11328,4554
11870,3287
9568,886
11589,3501
9355,3147
2546,12914
4862,4344
12273,1917
13249,2371
6795,7155
5092,12341
4914,10395
5216,10384
12053,12217
12571,12591
13436,4137
6040,816
3598,7217
10111,4318
7613,10118
4331,9478
8866,9698
12986,2002
11019,6099
7985,10858
13222,2283
14014,4395
14107,5200
13710,4229
13713,12620
12565,12374
7958,7200
7248,8880
11806,3894
10949,2158
11973,2236
2560,5475
2505,8545
896,8262
946,8558
1971,7645
1002,5416
13296,3065
12189,3220
11840,2732
8822,8432
11723,7143
11372,1422
7069,6836
7762,8028
13245,7603
10074,1546
9322,2212
13666,4206
13475,4053
14021,7583
13462,4037
10961,7027
12321,1739
4215,4914
5989,4915
11114,1735
13020,2058
9636,10262
12866,7164
13046,3744
8478,4893
7501,6944
6459,8422
4309,3312
1719,1263
13200,2938
12292,2796
9101,2333
13524,2830
14089,4916
13631,2764
13266,2151
12801,2208
13737,8464
6250,2521
3449,12881
6704,6222
5926,6797
9324,9480
9564,9226
14031,12526
13703,3307
4521,11531
6474,9930
4677,9918
1962,12633
2818,12644
11470,10836
8994,5990
13184,10381
13158,3811
13329,4286
7140,6708
11493,1955
10307,1742
12574,2820
13457,2501
10796,5618
11407,3661
8750,6444
7205,5163
9370,7137
