x,y
7885,5120
12685,11001
9858,3218
766,5010
13484,4354
12995,3540
7670,7638
9080,8460
11620,2187
12893,3429
12181,1741
10961,3553
6145,4890
10232,2968
11746,2854
5739,5769
8692,1489
7426,1258
10685,1635
11537,3928
6718,1319
10018,6160
9589,4790
8095,3498
7128,7158
1583,7269
11410,5731
11434,1114
6249,4899
6991,7930
5190,10133
5355,7586
10717,3245
4984,8806
11550,6436
10376,8886
13202,14044
12503,2491
13242,2382
10291,9772
12803,9822
13278,4668
14215,11863
11151,1012
13708,3271
11783,3219
5977,8507
9860,6462
11155,10634
12884,13259
9435,9950
10028,7063
10965,3718
7307,7564
6190,10213
7421,7060
10148,924
7370,6778
7275,1375
6391,1662
13943,4374
13201,4176
8950,4560
8203,3510
5812,1396
7668,3358
7471,7027
7379,7689
6426,9610
4734,7960
8538,7948
6238,10298
9132,8474
7834,7162
7896,5424
7323,10185
11728,10805
7558,7032
13264,4744
13497,3606
7748,4054
2140,7414
3016,7078
6230,10337
4297,9273
1528,669
3505,13794
12673,1680
6896,13256
13654,2730
9429,12420
992,6062
500,1040
10553,883
12014,10833
8735,13498
13014,3238
11722,992
7524,7029
12545,10611
13786,11800
9454,8941
11046,11796
8036,13858
11409,1753
8637,2280
10434,2838
12063,1313
8386,8681
1132,6443
9710,3339
2841,1451
7661,7792
8125,8064
5250,5046
12581,3000
11952,2730
9677,3231
8879,1577
4377,4821
11034,4001
11938,5302
10842,1477
11868,1852
9974,3116
4725,4167
2074,2354
11965,1743
9496,1570
1102,8896
8073,10044
10524,11176
7407,7687
13313,7926
5245,6151
10403,13888
12998,5102
3815,11571
6741,7127
12278,8642
12459,10572
8842,10867
6583,8327
10018,6590
7371,9772
5548,5154
8237,7276
4218,9971
13053,3436
1263,7244
8410,7933
8236,8264
7344,7167
9857,9796
11610,6856
13605,4368
13460,3523
5184,5041
10895,2299
12050,1822
12434,2680
11088,3378
13561,2878
7046,9597
5343,1443
14090,4392
12306,2656
13296,3304
12352,2700
13952,6124
6342,13898
14041,4423
7630,11816
12177,1515
10076,913
7626,1370
878,3564
1646,1219
506,871
13885,6462
13291,6820
9744,11643
13279,9649
6439,6819
12682,1576
13916,4993
10908,4824
1623,10826
7641,6883
1409,10412
5387,8652
4135,12271
11981,4812
11836,3000
10697,8767
9390,11508
7293,7000
662,4520
5457,4894
5664,7372
8996,8284
3264,9219
5572,5272
8395,6012
5732,5980
4639,7462
6508,7025
7878,5116
4590,9504
12466,2306
11980,6963
13478,4648
9655,9142
12279,12372
13588,5182
12972,3543
13246,4402
12233,9145
10457,10565
11604,12734
14087,4488
6182,9646
4051,9695
12356,9617
3726,1090
12358,2538
12010,2546
13303,2648
13462,4159
5016,11536
8299,13564
4507,9790
5664,6168
6957,8966
3907,13633
2459,12506
3147,12934
2960,12680
10061,7921
3347,13170
2463,13459
10581,8788
10547,9803
12280,12241
9656,967
13388,3352
12841,3184
8167,4787
12492,2650
13289,2549
9100,1003
1478,11642
8286,10100
4980,4546
4737,5260
978,4162
4753,6172
2747,5667
13378,3089
14122,4708
14004,5906
13228,2136
13649,8004
13561,13022
11537,10540
12518,12735
12120,11538
9103,8413
10781,1118
11001,3766
4480,9709
10810,3271
13864,4166
12981,3513
11222,1582
3024,8299
1346,538
5868,4040
4109,4501
11268,5789
12921,3325
13282,2220
12272,9792
9807,11060
9845,9481
11088,7720
13982,4364
13544,8654
12774,13151
12408,1764
13400,5940
13842,6787
1518,7930
1533,10058
6694,9722
11675,5518
11374,6373
6574,4768
1109,8691
8329,6343
6903,7361
4097,4283
1768,10614
8871,8077
10458,10179
14005,6322
10835,9847
13429,4081
11036,1873
13502,6937
