x,y
13405,2446
11105,5725
912,2972
7568,8715
11833,3023
12350,2321
12654,1786
10827,1012
2901,11179
1587,10746
11333,3364
13404,3949
9888,9356
13394,3585
13121,4227
13747,3561
13359,3523
3832,1255
2359,769
11568,1105
1378,6220
11686,1887
13237,9526
13735,9270
5306,8642
12004,2149
5119,6124
9319,6313
7516,7871
3616,9813
4667,12465
10333,5530
1171,11778
5982,10254
6887,13094
8388,3584
8429,3595
8517,3665
12188,2093
13231,3048
11383,6436
8743,13430
13929,7522
12295,6454
10287,9634
9802,8974
10827,1232
10511,1365
8307,2041
12638,4872
11674,14039
12288,13849
7510,5216
12573,1666
4437,3932
10189,1119
12288,2703
11671,8044
6623,6242
13640,5140
3752,1551
1618,2183
7514,7386
6991,4199
4708,3895
2745,1778
3581,11607
1296,11166
8072,7629
7411,7997
8251,5459
2285,5449
2237,8243
1925,9708
1142,7077
7405,6237
7310,6254
5275,4879
10294,10865
2971,7337
1569,10370
1727,9288
7841,7143
4002,12708
8206,6360
11129,1506
13592,5048
6582,6590
2181,12773
8143,7455
8605,7978
7521,6930
8277,4829
7566,5998
4999,5230
7558,8730
3640,10253
728,6954
1212,8352
7352,6799
2203,2274
8400,8815
10194,10297
12217,1380
10477,12575
9597,9642
13606,13771
11171,6843
4710,6044
10182,10879
4276,10100
6385,6689
1318,3298
6982,7062
9956,7631
12249,8457
9714,833
706,7972
2943,13537
11993,14249
13477,3906
9392,1089
8250,1182
7782,815
6970,4089
14058,6168
13678,7192
13508,6427
8847,7474
7552,2527
8552,8722
5095,10068
2912,3521
3690,11600
11575,4249
3523,2681
4881,4450
12583,5452
8908,8916
12004,9909
10450,10844
9104,1953
13438,8011
9276,1529
6772,6703
12695,2024
12938,3347
8566,6608
13544,7273
2720,12141
3431,13433
9250,8543
10658,1048
4266,5870
6224,6834
7714,5850
13434,3038
13360,2478
6354,6621
7025,3044
8540,12916
11615,4196
2757,5647
3628,6018
12978,13486
6491,7213
2435,13403
10172,2997
4429,6007
8849,9715
1553,11116
5527,13736
6215,11271
7750,5197
12302,13008
11032,4602
7082,6105
7023,7433
5224,5002
2743,9881
12559,2467
13123,2068
12981,2223
9122,9171
644,3737
4270,4570
9100,9647
11761,2095
8289,13367
4495,11664
12514,12681
6824,7454
7300,7218
8472,828
12740,1634
6504,6397
8580,10053
8415,5413
9702,3944
10329,10021
13348,12495
11497,1247
7419,8865
9805,9618
3111,10835
1762,11023
13493,3476
9504,5952
12611,1771
10337,2738
9869,5485
13747,6246
14075,5983
6854,7153
11606,3135
7363,2966
4737,6338
1869,2167
1917,12334
13788,5002
9543,1821
6499,6984
6431,6446
8057,7487
4612,4587
9474,9113
8325,5515
13558,9192
4141,11724
7200,7464
5490,6382
9399,8952
8484,5507
12177,1915
3790,9284
8124,8266
6985,6991
10812,8660
7386,7484
10889,10184
11048,5499
11846,11116
5262,10818
13837,13174
6473,6508
9609,9886
8368,8547
7442,7652
8396,5954
5923,5748
3816,2556
8888,8906
11976,3329
14002,4151
8948,9407
8480,7511
7166,14084
8337,6314
3238,12980
7792,7344
5811,12827
11923,1518
13653,3774
13655,5934
7355,8757
11009,11387
5754,5585
13655,12492
13128,11889
12337,1695
11063,1463
10847,1044
10100,3106
9544,790
12762,2308
6594,4826
13181,3242
9909,6353
13080,7218
8915,13975
8957,9629
10167,8497
13611,12385
13587,4855
12606,2922
6315,6400
9619,8885
6909,7805
10407,8727
5581,3504
8413,6726
2570,2245
2010,11538
1353,12593
2094,11769
3349,13492
6161,12729
14114,11687
13493,4229
12804,2310
13524,4389
6775,4911
3116,3443
5843,6128
7563,5110
12188,1930
8419,8304
12681,12684
14138,4725
11658,1482
13244,2190
13209,7457
13179,8594
11546,4654
8785,10710
10021,6969
4686,13240
9336,13423
3048,13217
14009,6132
8772,9224
9795,6404
6379,6713
12398,1366
6061,6135
10531,5209
6041,6786
6089,6291
2225,13494
2456,13266
4895,2852
3740,718
5047,5693
9136,1392
3136,1400
1441,4630
