x,y
8568,8268
8890,9139
10317,9947
5783,5708
5776,5385
10814,2214
11759,2391
7822,10065
2296,12353
1316,10996
8365,6942
4704,5357
8327,5425
10132,6508
13910,3515
10881,4453
7513,7987
5609,1720
4258,986
6916,6434
7316,7374
831,8166
2548,13582
6848,4950
8508,8386
6761,4098
7941,8001
13536,10044
4683,5030
6256,6248
5066,5410
1582,10261
8271,7718
13438,10306
1522,9388
5080,10720
5172,10428
7798,7414
8380,7612
8573,5857
6553,4589
7031,3126
9139,9285
8836,8680
4895,9573
6763,8264
3547,8594
4882,7958
1625,6418
2571,1762
2005,11901
8407,6825
8270,7583
8096,13736
8140,13600
10382,10140
4372,9684
12682,13741
13116,3363
6199,6461
4873,5018
3357,8674
884,1606
5119,9212
6432,10088
5442,8743
6137,10392
7479,7116
9472,9370
1596,9624
6670,4771
4918,4406
6754,2942
12035,6951
8914,3935
11712,6066
2982,12310
10372,5480
13812,4252
12580,5150
13990,10501
883,10719
7560,7950
8396,8384
9764,860
9880,963
7074,14106
12401,7349
4476,9124
7467,7872
11702,5716
3416,8542
9779,5846
14014,4841
932,9018
3986,7327
4785,12433
6007,13784
7072,14037
9852,5789
10072,7477
7642,8396
12975,7215
13748,8277
12246,7347
13594,9692
5868,6102
7886,6897
13299,3536
3327,13374
2231,13410
7967,3483
6360,6237
6664,10967
8608,9977
5255,8920
6866,8922
13900,4876
7650,7702
7148,7738
7879,804
9215,1414
14092,6753
13542,7516
10231,7992
13738,7121
13700,9984
10692,10348
11187,10176
13467,12358
12521,1506
6151,6456
6866,9749
8481,8494
8637,7904
9739,9116
10925,3548
11478,3584
7684,5955
13219,5706
1463,6049
12351,12238
14062,13077
11175,3980
12232,1261
9720,3083
10344,10877
7462,11512
7927,14048
13194,10773
12458,11116
13262,10586
6091,11335
6688,11414
13243,2305
7603,6984
9990,8740
4829,4555
8774,3580
6586,7846
5428,9196
4759,9534
11387,1084
7777,10865
2777,2053
4554,13891
8589,7964
9224,9212
5957,8372
10360,1195
