x,y
7828,8686
6728,9903
4534,13493
11304,5725
7936,11828
7131,11266
11309,12497
7522,7738
4904,754
13368,4107
13512,4437
13217,5377
2482,7250
5121,9518
3039,3741
9960,3160
3137,1985
2186,2622
8240,7978
9123,8832
13197,12247
13827,12170
5700,9122
6000,9360
6097,10757
8599,4692
8646,8576
7781,8426
8574,10040
6728,13664
9751,13870
13456,12720
13772,13358
885,8049
8274,8150
7941,8387
8085,8274
8446,8701
5996,6195
5658,5421
4696,2784
10799,5417
9387,5894
8483,5686
6406,6045
4937,5084
4192,3716
6321,6790
10285,2712
10018,6160
7128,7158
4067,3575
969,4931
4987,9336
7546,7630
10558,7774
10291,9772
10623,10071
12803,9822
11766,12789
9223,1867
8066,8667
8004,8457
5840,8823
5077,9298
6046,6480
6250,6272
5978,6706
2757,7964
6493,6745
4811,9000
13171,12299
7101,4836
7148,9632
8431,6850
6135,11287
11806,13919
13178,8577
13414,10413
14286,14120
5803,6629
7346,7543
11163,5208
12128,7537
8844,7486
13842,3752
774,10174
13097,6841
1413,10176
3232,9206
1823,9454
2355,9105
1918,9706
8524,8419
3853,2444
14122,7008
7070,9504
4322,13298
3622,13240
2855,13158
13583,7785
13604,5700
4169,11498
4920,12289
4406,4261
5829,5239
9949,9979
4217,3023
5226,2223
10256,4972
768,7608
3830,3643
4186,3059
10286,4686
11581,5712
1132,10006
3548,9185
13480,4444
9184,7259
1056,9358
8317,8293
11459,4477
4246,14054
8164,10826
6437,12518
8036,13990
2590,13168
14089,12320
13100,12830
10466,1348
10370,9813
10155,10291
10304,840
9745,4325
8423,9907
11845,2380
12041,2473
11272,1676
7744,5233
8036,6868
4406,8179
1961,11854
8560,5982
10048,5773
9703,5755
10740,5582
7487,10204
5136,10684
11927,8848
6362,7177
4743,5176
4890,5934
2217,9468
5515,5740
7033,6210
13887,3587
5826,5526
1699,9977
6538,9653
6059,6357
5418,6082
7406,1324
6649,1147
4197,4922
4371,4909
3655,4856
6438,6222
7036,6892
6791,6558
6073,6352
6783,7133
2631,2800
6317,6696
6606,6195
8202,8191
6193,6458
9720,6176
4496,5210
3312,6187
11064,1004
2433,2224
4074,4932
2427,636
3774,1247
3440,638
9990,7746
10380,1492
11161,1279
10658,838
13363,5611
11001,6225
10338,8862
13425,10201
12533,11638
12348,11475
12779,11795
6365,4918
9148,5607
9966,5662
9375,5781
10174,1130
8432,883
6537,1448
5297,12461
8780,8290
3471,6356
8397,7496
8374,8079
3500,7791
1988,1125
3601,8571
7754,10383
8438,7773
9944,12014
7918,7402
4737,13911
13187,8311
8622,4422
4375,4733
3809,9317
4457,5166
4468,5342
8841,7476
8547,8390
13536,8851
6990,11670
6823,9786
8708,10358
13021,11057
13596,12937
5656,5867
8020,12155
9321,6358
5781,6571
11179,7496
5680,5571
6203,8331
10746,14054
7218,13483
8334,13564
13309,8068
5249,9320
4196,10043
4300,9971
8229,8604
4386,12006
13708,4720
4122,9200
8479,8785
8361,6407
8807,9294
11163,994
3433,2282
2396,683
2842,1202
2370,844
8369,7649
8548,7871
10246,6564
9989,4584
8029,7177
5612,5536
6727,6584
6799,6496
6646,6297
13468,4296
3128,12769
8491,8357
8309,12331
7755,14079
10718,10930
12402,11616
13856,4734
11289,4499
7427,8504
6587,9607
6537,10072
4810,1252
7795,7566
8428,6052
12570,3091
10214,8734
8030,10136
7598,10031
8115,8083
8172,5758
11564,11313
10689,13147
11704,5546
7505,7472
14063,4197
3937,13698
13730,3280
5496,8786
8594,6469
11220,7100
5212,9148
1093,12363
13686,4494
13336,4581
12373,1647
11735,1581
9028,1420
4500,9310
10983,5339
10170,8410
9376,9393
8916,8150
4046,3862
4404,4106
4421,4103
5880,6128
5692,5008
2137,12447
13260,7968
13256,8552
13876,12576
7878,7894
8524,6672
12217,7313
7985,7924
7768,12342
7533,6862
7476,6912
5019,10145
13305,6014
6289,6757
7818,7359
2223,12221
9114,9232
13386,2466
11056,1601
4138,12345
7783,1554
7365,913
6723,1140
6825,4973
5239,5651
6516,6231
7297,7156
6914,6481
6727,7523
1752,10978
2996,9854
765,4426
4228,2617
1791,1371
9930,6595
8775,7980
4871,5864
10502,5471
5725,8466
6963,6506
1733,11598
8816,8779
8073,8008
6648,6194
7355,2472
7510,9796
8834,6470
11502,5682
9452,9243
6186,8699
6844,11404
6515,6170
8700,5076
10737,4497
13120,4114
9264,13359
11017,3869
10980,4753
8518,7748
12099,8659
13772,14226
7510,7164
9863,6939
8794,7776
9765,9153
7424,11026
7373,6964
1013,9089
3122,12710
13237,13699
13069,2508
9392,1721
9570,1716
9771,4632
7437,4672
14052,7731
7812,8136
9996,9682
8699,8633
8414,8853
11659,2965
10116,9721
1145,1735
7174,6652
6885,7127
7877,2242
5867,1211
6742,912
3964,1047
2380,4273
7775,829
5040,958
5196,1367
880,1409
998,1468
10928,5532
11302,5548
10745,869
6199,6611
13009,2645
13476,2390
8648,8462
13857,6583
13748,6821
5614,11366
12100,12969
12810,12503
12923,13621
6106,6419
9917,5918
14122,6516
12395,11486
13323,10684
13753,9785
13790,10358
6606,7358
10514,2928
11718,4634
6791,9819
8200,8543
10036,9950
7656,3294
7644,7485
12554,5532
12535,5111
11782,1706
8952,8713
8536,7958
1239,10175
12056,2303
11724,2048
