x,y
7934,7807
8096,8284
12548,2507
7987,7557
9841,9038
9248,9138
8432,8716
7119,6779
12836,3263
6507,6455
5763,7296
7099,2877
7147,7787
5596,5668
11238,5294
9719,9133
13999,8958
7418,7599
7052,8849
10907,4537
7218,7910
9238,9328
11525,1309
9820,9734
3193,9330
8071,3451
8828,8666
7811,7500
8097,6404
5342,3344
10454,3447
5438,5850
8274,8150
7941,8387
10152,8677
8208,7154
9977,8756
7794,7928
6548,6896
13456,7859
8680,7984
8944,9797
10354,7475
11946,8944
9466,11841
11444,12271
12738,11143
10525,11854
9572,5358
6709,4545
7538,8360
5871,8394
6608,6819
5842,5920
5288,5259
2795,7673
6069,9440
7361,7124
2478,11819
9384,2396
7892,7161
8291,7816
10092,5666
11578,5638
10686,1253
12018,1587
2986,3913
3983,13807
3606,7373
3004,11890
9037,1474
9665,4352
9952,7350
774,4372
7052,7977
3711,4851
6944,7324
8572,8842
8057,7007
8152,7199
14044,12623
9111,13200
8004,8457
5840,8823
13473,2693
6046,6480
6250,6272
5978,6706
2757,7964
6493,6745
10535,10846
4811,9000
3339,13401
1558,12451
12007,3409
4942,6106
7196,6639
976,9079
5084,9568
10204,7140
12728,9862
6626,8246
7544,7649
3008,999
1664,960
4340,1084
2830,5272
3638,2713
6390,9812
6734,7056
8482,8415
8346,8498
7579,7612
6337,8903
7415,9063
7035,9628
4457,7392
8670,11590
12802,12795
9773,11915
6542,2758
8812,8860
4783,4957
5700,5714
7444,7214
7520,10107
7645,7447
7278,6814
7283,4898
7324,6671
9947,9273
2490,2271
10995,11297
11495,10688
6353,6384
8309,5759
7400,7705
9698,6242
8093,10509
7779,13601
8734,9063
6165,9279
8175,7968
10935,8489
8738,7889
10034,3180
6194,6643
10551,1261
12581,2908
8620,8796
7734,8060
5656,6489
7763,11932
7996,10226
8163,13503
9769,9843
8223,8624
7840,3736
8559,4809
14007,8298
5497,9467
7755,7470
13337,3376
10453,7573
8113,7744
7389,7240
5913,6180
6811,7260
10032,9545
9320,13277
12629,13424
9263,9124
6195,6751
7486,7671
9251,5588
13222,3566
5015,8588
9853,4349
5201,12139
13062,4636
9555,9051
7441,7369
6728,6678
9865,9932
6209,6202
4570,4690
1120,5467
2928,9030
10880,3306
5156,3831
6255,6208
10447,4944
9683,3434
7105,6159
3913,12969
8561,8671
6868,6792
1664,6987
8638,1122
2623,11536
13666,4206
14021,7583
10694,10288
12698,12563
7637,11578
13021,13729
5804,5974
10471,3295
1343,8830
3439,3524
4692,4446
2627,12167
6047,10175
9553,9795
13269,11051
6715,8071
14039,5685
11614,8274
6416,9194
10962,8945
6946,7036
8652,8764
4430,9870
5679,6011
8908,7972
11513,11909
7214,7360
8144,8672
6435,4809
7000,7141
10024,5178
6727,7077
6452,10066
3940,9755
9851,3203
4482,4248
4559,3918
7918,7402
11677,1349
3693,12983
13571,3703
3185,10901
7649,7828
8037,7549
8120,7417
7622,7530
9400,4420
13294,2287
5336,6226
8134,8260
7625,7252
14488,14398
13860,3468
5850,2356
7624,7386
7953,7343
4778,7331
3180,8296
1286,845
7972,7941
10152,1250
7140,6708
2323,1742
6029,10798
7099,7063
7738,13524
12269,2259
13261,7088
8643,8801
1378,11882
11021,7713
10658,5522
4848,12207
7091,6579
10162,10810
4490,4522
13378,10188
3174,10629
9671,9644
9066,9750
11672,1520
4122,9200
8361,6407
8807,9294
3646,8124
8561,1524
3469,9403
6892,1363
4418,4946
7013,8099
6338,6225
1488,7567
7144,4069
3488,3326
1151,1777
13920,5110
8404,7484
5959,5880
8026,8483
10470,5398
2658,11800
11828,7047
6518,6676
8919,8117
8527,8225
13912,5789
7701,11960
13949,6455
8319,8639
7409,1051
4112,4884
8023,5311
7511,7637
7360,7681
6675,7550
1337,10588
5642,12890
4048,5016
2110,3274
1132,2956
7806,7408
8056,6442
8045,5866
10631,11794
7823,13580
1249,867
7127,7290
10487,12823
13836,9581
11050,9893
9608,7350
13368,9256
7005,7615
10191,10344
11855,13288
13364,2641
12932,2933
6750,6457
7777,12367
9851,6063
7293,6997
7587,8344
6521,1334
6538,6752
10374,3268
7697,7341
13350,7569
5902,6222
6663,7597
6624,6417
6897,6362
10059,2995
856,8280
5287,5798
2244,2881
4832,1054
6392,6952
5918,7366
7049,7933
8311,5259
9945,8155
5510,13651
5446,13872
6847,7171
11602,987
8398,7756
7267,7530
12654,9780
6633,4822
6088,6518
8116,8560
5608,7455
7498,7186
13179,13650
8601,8341
10963,1111
7997,7124
11037,3705
11009,10581
7302,7151
13127,11410
2360,12624
10934,1737
7082,6795
6649,6967
6519,9687
4860,9613
7167,3445
8556,8754
6922,7327
6974,6756
7568,8118
13516,6286
8642,8784
11542,10918
10290,12080
13800,9883
11693,13614
6743,7054
9338,11536
10837,10205
12412,12771
5631,8774
8417,8333
5864,6578
8036,8214
8863,5868
2461,8582
7898,4227
700,7746
7184,8080
6420,7119
4701,9322
6917,7911
9532,9474
5575,3523
3531,9933
7002,11305
7843,7258
7798,11147
7050,9880
12326,8339
12785,11934
8834,6470
4994,7767
12077,4739
9452,9243
6364,6962
6328,9944
4502,9867
10606,2485
10605,3194
1450,2864
11618,6806
11832,9940
12073,11263
12081,11823
1933,11456
4149,13176
3935,12583
7242,6110
10364,8626
4731,10161
9026,10728
6266,10169
8576,8108
8668,7802
8442,4935
5633,7392
7685,5749
4922,5862
1316,8358
13571,13808
6514,7909
7891,7307
7248,8880
8341,8495
2824,13189
11508,7081
10124,9028
9881,9973
8154,7976
6517,6058
5716,6073
10761,5119
6055,4904
3851,798
7580,7266
6116,6183
724,7956
6065,6581
5982,1222
4540,3228
6906,6465
6492,897
4583,4051
5305,5052
2501,4232
1322,672
9982,7335
10477,12575
12844,13406
1502,11778
1526,11269
2406,13009
1703,10827
11158,1342
1146,10291
7506,10072
2200,12350
6770,9511
5369,5268
9999,8878
7865,8046
10722,10455
9883,6547
12989,10786
2576,4217
14056,4670
8199,6380
8482,7952
11106,9786
10137,9502
13910,13526
7174,6652
6885,7127
6278,6319
5734,5016
7380,3332
4871,8915
998,1468
6773,6907
13793,4968
8116,7408
12210,6569
6932,13745
7623,7780
9485,9197
8398,5604
7283,6039
11526,10050
10129,4787
3922,9765
10014,5895
8130,7942
6896,7178
5331,5790
13983,5992
2982,5448
6176,4144
2978,812
7312,8887
10343,6686
9679,5909
8336,7564
10652,1538
5422,5939
1333,7204
4497,4661
2510,1290
4911,4531
7674,6975
7032,6940
6730,6857
8170,7511
7850,7088
12174,2094
11075,6938
9971,2464
6625,7120
10604,5444
9403,9439
9698,3388
8360,1696
3391,4238
1369,7353
5798,6056
9778,9595
8429,7786
7185,7287
11836,3932
7837,8644
11391,6294
8723,8105
4315,14041
12651,12847
13829,12750
13828,3946
13571,7527
7566,7756
6609,1684
9424,5388
7537,10077
7088,7296
7102,7497
13471,3734
8711,7635
13281,7348
13559,6123
8831,5868
13901,6217
14058,6168
13811,5977
8847,7474
11216,10662
11592,11388
14029,12495
8315,7720
7954,8039
6475,7092
8226,5458
8438,8813
7605,8104
9029,8908
9188,6190
5930,13765
8551,7664
7987,3484
7053,4855
5589,5859
6537,6438
3966,11259
1056,10304
8559,8741
10457,4894
8728,7781
10981,3654
9783,10289
8493,12527
8553,8395
7886,7608
13438,10181
11924,11654
8911,8306
6987,6517
4909,6158
8040,7424
7484,6825
5050,8679
9240,9552
13417,3701
7107,8002
5950,5637
11536,7943
6134,8563
9730,13709
2652,13107
2067,12338
3426,9295
4122,13909
2149,11684
6831,7443
6136,9463
6150,6795
7119,4558
1589,7569
7240,7374
6805,6274
2459,13607
13423,2391
7643,8810
4730,13616
7415,12491
5336,9376
6944,5268
7145,8097
3706,4643
3671,2422
6710,6856
4794,7604
526,3458
3540,13333
7993,12162
8875,8104
9056,8820
8562,8388
9190,9094
13777,6114
4498,9899
8125,8278
9236,9383
6234,6287
3649,12905
9686,6176
10016,8684
13836,13094
6906,7422
7444,6868
7007,6544
9996,10216
7788,8007
6057,6241
10946,4812
7396,6254
8701,8235
8044,7156
13889,9140
6153,6265
7392,7448
5628,8489
5239,4736
11202,5896
3660,2862
6852,6751
8209,7123
10910,2328
8013,6866
6816,972
6765,9594
9645,9546
11641,5460
10840,10695
9367,9072
5676,6040
10238,3063
9129,1406
6772,6626
2960,3432
3630,2242
3312,8324
6068,6529
7650,6524
7570,3747
4749,9060
8633,4578
10678,3351
5767,4945
2183,2233
8132,6345
3442,3090
4225,4687
2720,1799
6364,6047
2138,1985
1760,3744
2516,2252
7573,5925
5152,8760
6123,6159
7595,8454
7718,8223
13362,4130
8645,7743
10595,11043
9770,10323
11045,5578
9057,9254
9501,9617
9053,8763
10697,10365
7945,7824
11312,12236
13714,13080
9386,9034
7637,7904
14026,11012
12366,11465
8041,10167
7545,7343
8836,8969
7849,7802
4810,9462
9157,8472
7895,10981
9909,13480
9207,8691
8038,7419
5668,7771
7581,11351
6304,6664
9223,9720
7373,3723
7760,7553
7714,10204
10358,10748
13858,3966
9966,4352
7236,6963
6868,7263
8139,8271
8112,8003
12064,5136
9838,6527
13431,9906
10017,9981
12936,13571
8620,8698
7678,8022
6977,7448
6600,12705
10171,4692
10348,12344
7714,9982
12138,8474
7834,7790
7672,7927
9395,9464
10765,13187
