x,y
8070,8068
8854,9251
13104,2090
13704,3779
8044,7625
8621,8097
11532,7501
10010,8729
9280,8706
8460,8942
9794,9493
11375,1548
8897,4293
12202,7264
10047,9343
11858,12924
13595,4517
8167,8266
7070,7756
8335,8328
7710,6808
8531,8912
5629,8908
4129,9886
9141,9622
11116,5063
9840,9134
12879,11550
12763,11764
13161,9790
5528,6069
6777,8307
11682,1463
5781,8422
13821,5088
8834,5708
4069,4665
4432,13977
3177,13573
12223,5013
8178,13944
9115,8548
10110,6977
8709,8465
7371,7170
9328,6379
7941,6869
5926,3414
9531,2483
10389,3256
7534,7944
8649,8478
2931,12988
3010,4953
8223,8526
13678,3262
13941,7633
13634,6305
13402,5806
9269,1122
13143,7786
11554,12149
13336,12598
12678,11062
8730,1066
7237,7236
7482,8620
4821,6039
6036,5976
6154,6030
6999,6948
2408,7552
2802,7586
1551,1236
6132,6942
10722,6908
5505,11591
953,9763
1961,11628
10580,1278
6454,9283
4714,7086
6515,9235
6724,1369
9680,8776
6512,9365
10508,871
11054,1399
11372,1459
9695,6391
5812,7192
3263,3659
8356,6017
8426,6365
8884,6240
4769,2844
4061,2113
4201,2333
6219,6573
6027,6520
7926,1050
4956,10146
4829,9900
4196,9700
927,4091
3302,3809
6991,7983
9447,9333
9251,7408
13667,11888
12054,14230
11174,13158
12174,12990
8009,8284
10028,7063
7178,7513
7966,7980
6792,1560
9188,13668
8253,7067
7421,7060
963,10810
11493,3652
2645,9896
1885,13187
7673,7175
6892,9104
7771,8367
7130,7702
3795,4432
9952,6599
2237,11880
7316,7867
3330,2466
3296,1065
2482,1231
4607,1588
5306,808
2590,5305
3161,2306
1275,6245
1873,2002
7827,7529
7552,8160
6617,9122
6294,6366
4586,8024
10365,849
9886,5224
10085,5000
12073,3450
10445,894
9822,1117
9968,1644
5193,1026
13673,6545
1436,8705
1675,9251
988,11639
5567,5027
4694,5190
4905,5168
4881,4825
6344,7008
6969,7459
6469,5991
6565,7220
10858,3525
3269,2603
3063,2342
2062,1022
2076,1438
1360,613
2278,1323
1971,1767
3888,10022
9457,9445
7720,10229
8310,7878
8947,8709
6948,4347
8923,8224
8147,7850
7392,7966
6642,7320
6573,7012
8157,10611
6123,9911
5785,9014
2978,2123
14102,13179
11757,10723
4798,7215
4746,6632
7732,7952
7965,10646
7826,11120
7768,11036
10869,13565
10156,13641
10617,13579
8780,9026
9112,9166
9011,9592
7983,11839
10489,1577
10601,891
12036,4972
11838,1442
5244,10540
4735,1474
5370,1495
5977,1286
3711,1812
6794,8995
8783,8636
8565,8673
8364,11758
8090,13408
8532,8596
5944,3484
7664,7285
13111,9813
13384,3451
13530,4499
8170,8233
14013,4183
7035,7409
8016,7206
7768,7606
7048,7235
9139,5698
12661,2048
12488,2271
13245,3922
13439,3699
8702,5771
8436,6208
7771,5704
9972,4650
9922,4644
6673,6923
6671,6734
6462,6562
3963,2942
8153,8475
11952,2730
9677,3231
10044,3195
8260,1391
8879,1577
9017,1142
6150,5770
6128,5806
5951,5160
4229,13493
8143,8242
6831,6486
4377,4821
2665,7217
6349,6669
7035,6867
9915,873
9709,1368
13822,4234
4324,4796
1238,7827
1464,6357
13307,2954
13630,3007
8000,8709
12272,14153
11736,11101
5999,6149
6011,6039
5447,5784
4638,2040
3639,3279
2072,3641
2895,3508
2429,3491
2075,7534
7369,1331
3768,4951
12824,5244
2342,11981
2743,12507
6220,10112
7421,7429
7044,6304
8021,8533
11889,2468
11635,7582
3899,8080
8703,5467
9190,1955
7914,8253
7942,8395
5008,9654
5273,9609
1216,11034
5371,5944
5550,5889
8851,8146
6114,5048
7038,6995
6831,6685
6960,7856
5784,6170
9642,9616
8638,8691
13466,3831
7031,7497
6424,4693
11805,1629
8196,7252
4020,4652
5073,3714
5994,6325
2290,11914
2221,12087
7586,7995
10214,1460
6678,3606
13591,2690
11352,1851
2456,13519
8741,9031
5652,6224
8666,8138
11312,3419
13061,2046
12086,7572
11392,6680
5476,6280
9974,9598
10211,9746
6285,6715
6346,6815
10094,1616
4813,8252
4736,628
2119,2397
6030,6259
7423,7302
4553,6139
6705,4790
6218,4853
8882,4391
8948,3798
3358,4132
686,3792
1575,1030
2059,1262
894,752
8558,5824
4721,5144
6435,6547
7476,7468
8012,5417
6903,7691
6348,4817
5066,8469
7475,7177
6134,6311
9340,5704
8831,6236
7240,7660
4150,9897
3853,9617
3957,9599
4415,12243
2672,5722
4575,6272
6978,5074
5756,3880
13478,4657
7693,13577
7312,13503
14010,4553
12280,2367
10146,8209
4352,10179
9125,3667
6580,6547
13529,3468
13283,2554
6826,6428
4721,4803
4462,4512
6198,6226
6033,4216
8885,7677
8762,7993
3569,8995
13899,4942
8265,7836
8713,8573
11437,6125
11380,6640
11476,5656
2928,11878
7535,7652
7592,7114
11261,5606
6164,12455
8619,8500
6592,6822
13722,4744
14090,4392
8874,8311
9206,9208
13782,4974
10636,5436
12024,2474
12352,2700
13332,4661
13952,6124
13554,8523
13384,10298
9324,13958
9214,7447
7058,6658
6249,6683
13792,11490
13168,2880
7592,4950
7055,4707
8225,7052
4816,4720
4924,4408
4014,3819
4797,4480
772,1703
8580,4790
8254,6562
1389,11253
1356,10381
5268,13215
13116,7019
4704,5441
4670,5178
9316,13854
9196,13661
5180,3163
8665,3978
8651,8773
7942,7867
8960,8745
8395,8635
6662,12678
9652,5889
14035,4831
14062,4289
6692,7207
8578,12734
7902,11905
7815,11914
9900,10213
7598,8022
9516,9299
9950,9629
9762,9736
10745,10492
10822,10672
7904,13244
13959,9748
13036,10252
13605,10827
12348,8117
13731,10423
13829,12310
8287,8438
8451,7987
9180,8473
10005,10139
11932,6823
11218,5409
7386,8832
8830,7692
11243,11592
10668,11234
2358,11855
1385,12519
13856,8974
13512,9089
13898,9382
11956,9985
12546,10392
8538,8000
8340,13974
11920,13425
10172,7418
6210,8964
9209,8764
13496,3281
12888,3334
8545,6633
8147,7044
9911,9317
3619,9524
3582,10528
4140,11581
7286,12280
10036,12002
6934,6672
7352,7176
6680,6524
6595,6343
9520,8761
8792,4405
8557,3786
9112,5708
4934,5452
5529,5183
6399,988
6629,1436
4459,5101
4037,4317
10095,5686
10145,4980
6791,6749
6526,7027
7486,6906
3258,9226
6861,3105
7181,6911
14037,5711
12145,1366
8821,9036
8775,8540
10292,10363
9590,9360
9733,9101
10394,9916
9898,9213
10007,9435
9976,9100
11707,11048
7352,6717
13853,7431
6921,6621
10658,852
5892,12528
6070,10999
13152,11844
3732,13493
8668,8011
10330,5617
4642,9227
4844,9780
9758,6436
12110,6760
9992,12054
13288,6366
7960,7754
10060,10487
13415,10424
8244,7593
2314,9753
1535,7591
8296,8336
7498,6863
8192,7572
7951,8198
7514,7454
7063,7946
10664,5138
11030,4065
2554,12525
9252,9390
8173,4901
4560,10096
4947,10702
3629,9966
10681,904
13076,12436
7814,7762
8104,7559
7361,9754
7399,9845
2754,12150
7857,7484
10097,8399
7470,7566
7401,7626
13557,7642
10416,7747
10066,10259
10962,10362
11281,11560
11647,11993
12895,11552
13670,13121
12907,12814
12431,11286
12776,12514
1007,11433
1519,10402
1117,10360
8577,8049
7394,6022
5362,10428
7834,7119
6847,6456
8464,4787
6289,6150
10763,4544
8262,10174
8557,10587
2004,11568
13473,13885
7316,8711
2602,13329
13132,8753
6845,11391
10322,4710
1363,5297
1650,6597
4041,747
8686,7649
10090,6021
6016,6559
6469,6375
6204,4938
2936,9635
4716,972
4739,970
9690,3948
11196,3992
12014,2811
6035,5938
800,10137
2152,2534
2828,4200
1474,2022
1270,1087
1251,616
7980,7892
8864,6390
11045,2007
7395,6288
11980,6963
11841,6980
13331,7207
9157,7304
3316,10495
3066,10806
9690,10258
10444,12090
10238,13449
9725,13016
10374,13130
1976,11976
10928,1054
6659,6687
9010,8944
7709,10079
2679,12161
6108,5971
13557,6150
8747,6006
8423,7958
8092,7941
8719,9017
8112,7826
12504,13313
14051,13575
8198,7753
6473,2475
6776,2883
1707,13214
9883,6895
8397,6932
8041,7481
10796,8351
13075,7096
8158,13998
6462,9559
6167,8530
9478,9208
10001,9977
10600,1832
10647,10725
9874,4409
10034,4847
8167,8795
3408,9150
4802,9537
11032,3830
14268,11565
6549,6607
5977,6607
6170,6752
10385,1202
2661,12471
2207,11733
11140,3871
2744,2699
1117,12378
1040,11202
1528,6909
4974,4581
2696,2459
1849,1219
9852,6955
8003,6759
6584,6168
6875,4832
7306,6849
4350,13298
4038,4202
1952,1408
2241,1585
1651,2067
7127,6947
8088,8106
7348,6878
6443,6964
7121,7022
7244,7080
10895,1739
12580,2000
10350,7398
8409,10120
5947,13624
6043,13851
6182,13730
9522,2412
8256,7836
8519,8055
12029,7737
10813,5465
11224,5414
11601,1224
9396,9478
4663,4906
2332,7526
1128,6775
6175,1308
5704,5850
3992,2660
2176,4677
13462,12785
8079,8170
13667,3838
12609,2487
12527,3131
11262,1910
13205,3863
13958,4326
2878,11412
7826,7619
10253,2869
12003,2030
6906,4596
5859,9246
5930,9432
6870,4816
5874,5811
5591,5747
5761,5790
9737,5488
12138,11739
12661,12520
13604,11852
14122,4708
13357,7543
12372,2900
14004,5906
6860,6218
13801,6577
9173,7471
11537,10540
7237,7633
9103,8413
8404,8208
13932,13907
8699,8675
8094,7342
3101,11950
3158,11984
13832,6455
11014,5385
8507,8602
5950,6279
5993,6048
6671,6560
11350,4715
10004,5064
4828,7158
9054,6370
6815,13810
8509,8800
8492,8550
7933,3411
11504,10853
11867,11524
12246,12067
12407,12541
8074,7967
8742,7694
1298,7429
7886,2127
9471,13624
13768,9704
13665,9569
8880,7443
6863,6615
6736,6186
9391,10008
7655,11677
8822,13206
11447,11392
11188,11704
6470,12655
3683,13275
9850,1446
7837,8230
5902,6485
7270,7677
6097,4836
6489,4850
12589,1725
8495,10504
6306,6386
6338,6690
10617,5372
11084,3706
11484,3592
10665,3198
10503,1757
13368,2481
10988,1320
8611,7668
8367,8815
6168,9164
8838,10705
4817,9148
9870,3914
10209,10605
10426,10187
6986,7463
6811,7299
7089,8103
3485,1499
3892,10208
7917,7954
8105,8241
9203,11419
4738,10437
8100,8419
8440,8692
4374,13718
9962,6606
3523,9637
8836,8152
9555,9974
12684,1834
10074,10140
8061,7807
7005,5415
5578,7709
4047,12728
8230,8049
