x,y
12069,11770
11962,12201
14043,14252
1761,11535
2080,13184
12915,2947
8093,7040
6496,7175
2255,3320
6180,13373
6519,7925
6657,6389
6524,7185
6126,4894
7241,3504
5219,5026
1828,2113
1898,12414
1225,11349
800,8835
1564,12176
1259,9406
4210,14018
1218,12111
4354,13643
12174,6496
12085,12910
6988,9307
12204,14070
1848,12996
10192,4672
4482,9714
1686,11673
9803,9813
7172,7600
1633,7771
13681,8508
12684,11438
11686,10575
2628,12659
2738,12676
4659,13553
14011,6949
7646,13531
8402,11663
10103,13228
7765,11780
14311,13478
11759,2838
13883,8184
4694,9647
7832,8556
10049,8225
11089,11945
9080,8904
3947,12310
5310,13324
1649,11515
1318,11358
3111,11397
3220,13058
1130,7470
2360,12999
3385,8448
3963,4560
1738,2012
4026,4320
6551,7014
6883,6771
5196,7891
7044,6990
6875,7514
10549,10984
11536,1169
13132,3396
11851,3265
9218,7201
7335,12153
12597,5163
10002,8999
10820,909
10618,10848
3885,10325
4591,3888
1073,10758
2649,12089
1594,10378
4735,9450
1193,9810
3530,8480
4889,4498
7168,8198
842,8602
625,752
3946,13234
2835,13522
4010,13760
3124,13166
7361,14066
8183,7747
7007,6377
7146,10103
11008,7004
6239,10289
1917,11439
4257,10192
4905,13202
1505,11026
6408,12590
1781,5517
8220,13805
10401,10223
9078,8322
5096,5315
9432,3603
5905,12687
1951,13251
3149,13143
1519,11549
1980,12708
3194,12970
1060,10896
1899,9755
8005,13917
11756,2258
2772,8156
4537,5926
7779,10105
6686,11768
5944,6066
4749,5092
1271,1010
7348,13908
4470,4182
12024,7509
7576,13556
8141,7515
1864,9456
2159,12938
6220,10112
8199,8090
6549,7154
3749,11493
9165,5691
8560,6644
7958,6827
11406,6023
5262,4926
3706,9494
10452,4845
2582,2730
1540,2694
9815,1544
6469,1330
4560,626
6097,4706
1085,5537
1044,6768
4065,13487
975,10988
2263,12063
3677,13222
7707,6724
1032,9462
6175,6368
9184,10000
4600,13648
13306,7879
6218,13284
12051,12403
6247,6332
4594,13887
2994,13120
4045,13521
6823,13783
1695,11845
2305,12387
1242,10717
6342,6973
13406,7526
4939,5132
3559,2440
1031,11745
4353,14051
2879,13247
3246,13652
1903,13133
7575,13755
8178,13378
10378,13444
2214,11962
1841,11879
1291,10685
4564,4558
9248,1695
1039,5355
994,4859
3347,2918
1385,938
1948,12042
3469,13585
1805,12095
7247,13362
5727,5668
6729,9363
4140,4489
2550,2656
2633,13020
9903,9939
4167,11535
1032,11456
1120,11659
6887,7419
10016,5021
11398,6923
7349,9055
11364,7571
11191,13140
13856,8140
7001,6968
12138,13524
12207,12001
1007,11198
4370,13550
13528,3259
13092,4620
9014,4240
13178,3585
4683,5030
4764,4700
1582,10261
10164,6948
4778,8518
6016,9206
13438,10306
1901,13185
10968,13274
10472,12406
5298,9166
9620,6940
9860,13568
9990,10774
11141,11400
10866,10541
9789,9177
2942,12930
5173,13557
3192,12957
7018,12783
7155,9235
4673,4220
2982,12707
2291,12668
1113,12205
5827,13699
8633,10588
13993,13054
13414,13894
3079,13364
10687,10325
13265,11911
12722,12405
8799,4296
13265,9316
8033,8630
3387,10146
5192,5766
7696,7290
12217,7313
7817,7576
5531,13075
8830,12919
13929,6494
1894,2240
7798,8316
3515,10193
10935,10593
1363,10897
2800,11226
3205,11449
3360,13534
10718,12696
8328,8097
8245,7662
13275,3230
12644,5347
8190,10180
9161,9938
8909,8271
7941,7160
7843,8061
6957,13194
4136,13966
3082,9261
7990,10730
8526,14104
11352,5674
9136,9002
1620,9326
4008,10103
8694,12416
7731,7151
12847,12236
6208,10673
1408,12815
1357,10993
1345,12748
11022,3763
12073,6825
7908,7191
7818,7890
8906,4107
10963,5520
3394,8436
7532,7655
7636,10074
8807,8672
3053,4135
8281,5470
13947,9131
3591,13627
3685,13106
4366,13395
3449,11737
2978,11685
8251,13722
9065,9521
10971,11607
10556,5212
13647,3922
3840,13629
3867,13599
9037,9045
8270,8908
6244,10896
1031,11723
1592,10174
6124,10445
1874,4486
9712,4010
3388,10926
12286,2420
12445,2372
13728,3278
14084,4398
11417,1883
8171,8812
6269,6264
8216,8151
5059,3876
1652,2033
13479,3806
6050,5642
6687,4531
1262,11277
1489,12814
1758,13074
1397,5891
1075,10015
2690,4734
12374,10523
2140,3698
7791,7269
8783,8959
2650,12138
5040,1048
6589,11336
7242,3912
10938,5310
10078,10832
4083,13368
3357,13646
9930,8927
4184,10122
11085,5643
12270,11549
12194,12812
13120,13677
2375,12246
5997,12514
827,5267
3376,12846
1255,6068
2268,13010
6372,9086
5695,5310
1057,2509
4170,2619
6108,6469
4907,5100
2000,12999
1286,11394
12171,6605
6920,7314
974,11161
2814,13325
8610,8106
9310,13400
5824,9236
