x,y
7889,8247
7337,8474
12264,5008
12875,7350
3978,10183
9025,11072
11222,11959
12219,11837
12310,12197
11640,11020
7046,8337
6342,6965
8715,5416
7534,3153
1923,3250
1438,2514
6147,5711
8192,7921
2746,3171
6772,7254
8563,3541
6912,4300
1486,11392
1651,10943
2973,8054
13606,7822
11237,11798
12520,1511
12614,2098
9251,2096
8915,2360
7353,8673
1250,10662
3717,13338
13427,11881
10112,11030
13842,14296
4199,13175
10056,5180
9008,7311
7128,7032
9903,7392
7830,8303
8834,9758
10507,10811
4140,9530
4226,13418
5242,4855
7483,3303
1939,11751
2212,11961
6214,7249
5980,6313
2730,6201
6685,7522
8964,5824
5652,5590
5620,13137
3495,2549
2034,11932
5548,10862
8370,10315
2393,12960
11704,1650
13794,4937
1692,10004
6322,6681
7764,13520
4692,4446
4822,4766
2174,12798
2627,12167
2448,12966
6299,10007
2482,2692
5591,5224
13238,10447
13211,11800
13269,11051
4871,9150
9110,9113
7760,6773
8715,6656
6086,6753
10113,5448
11271,6135
2470,5549
3423,5035
1162,10818
1358,10885
774,10256
2272,12373
1585,11917
1206,10490
1161,5415
6489,897
1688,7425
2287,12060
1528,11123
8268,6896
7834,7547
4956,10021
1956,11683
4768,4466
2911,11894
3663,9756
2890,13108
4665,6257
5149,5257
7584,7077
10012,5980
6306,8041
4906,4975
5555,5491
4856,5196
5167,8513
5099,8508
4583,3834
11829,9138
1337,11869
10448,10458
11321,6857
1228,11596
3444,13686
1546,11648
3444,6834
3121,3387
3433,3730
8100,13266
8553,8547
11900,13428
12583,13325
7617,11717
12741,12259
12631,12002
2366,12218
3552,13571
1656,11026
723,8948
6698,7454
3459,10575
12331,2676
10619,907
11149,1132
13108,8773
6029,4583
10165,10394
10007,9258
4126,13240
13236,13794
2904,12656
4049,4262
2192,11932
1016,11007
4783,13616
4131,13903
12694,1866
10556,10375
7110,13726
10320,13489
9933,13497
9126,13262
9985,13241
10534,10416
11156,10156
11141,10690
11787,12245
13101,12851
12824,12290
8498,3720
13282,9899
13375,9872
6071,9011
4882,8404
6981,7095
6635,7108
1953,12793
5638,6114
1002,11674
11225,1350
8966,3596
8502,3688
6062,4993
5697,5051
4456,9065
3616,9477
2649,6297
12675,7204
