x,y
13702,5396
5507,13110
1676,11499
6148,4217
7365,2952
13675,5460
1964,9851
9972,10154
14179,14054
7515,1424
5992,6910
6557,7242
724,8459
1363,7496
13204,2380
3526,2694
6994,1655
5079,12251
13774,3479
4108,13074
7393,1499
6146,4071
6591,7099
11075,4940
7059,13848
9975,4698
6124,9292
9342,13762
10921,4450
2047,2768
11682,2032
10598,3006
7024,6699
10983,4107
6339,13232
14131,10799
8789,8590
1268,11105
10314,10714
5332,13070
12896,13050
1987,13189
3884,14025
2315,13657
1423,12633
1207,12650
10336,9774
9634,9866
7120,3786
12358,10720
9370,11565
6401,6858
11634,1420
7769,4238
12114,2131
9410,8848
6816,13982
3629,13422
4555,13808
3111,12716
4310,13362
9774,3356
9012,10740
9250,9504
8167,5948
1608,11776
1328,11472
1444,11472
1566,9513
2304,8787
804,1834
11950,14160
3961,11519
13502,2448
9564,7184
6955,7472
8728,9076
10289,9853
12043,4807
4798,4643
7700,3711
7172,13287
1209,6296
13068,2536
11766,4220
11201,4362
6858,4374
10224,5944
4316,12809
11913,2047
10988,11788
3734,11480
6654,4820
9263,1780
13480,5847
9473,5639
7180,6730
1171,1671
6488,8562
9507,1690
6159,6223
9744,9510
10430,5176
8238,8496
13376,2977
11917,2371
8799,9271
6096,1263
11011,5510
5500,3456
9360,11326
9790,3271
7537,5590
12546,1373
8567,8578
6530,8140
9230,9172
7168,7058
6215,9008
1727,12098
11029,12766
12308,5032
10549,1627
10170,8368
9743,5171
7128,7722
7942,12108
2869,7366
11604,3211
9950,7902
6986,11524
6138,7002
5682,6366
6063,8997
6251,9484
5694,8470
2867,11679
10173,11141
1345,911
7958,7633
9405,9639
11985,12500
1888,12579
4070,11629
3813,13655
8580,9056
6342,14058
13723,4398
5381,4911
10169,4915
798,10478
8354,5356
9202,2007
10011,4601
14122,5008
11064,8514
14118,13646
3040,9750
8632,6694
7892,5276
11554,2118
7903,7300
1431,9388
11606,6070
11138,7708
10000,6678
10020,8836
4408,9764
12611,3200
10285,10915
4617,4877
8938,5973
7147,3934
3955,4116
5383,5560
6374,6016
10495,3132
3534,8031
10825,1330
3641,3179
9442,4786
4780,4716
2397,3541
1164,1868
4208,11787
5684,11158
3078,11275
1634,10142
2053,12021
7594,11922
14123,6622
7898,5166
7060,4996
7202,7428
8586,4918
5616,1395
4272,938
11721,11144
2204,13019
3144,13574
810,10548
8885,8739
1638,10756
9924,13368
4767,10326
10038,10444
9331,5273
11975,5163
6060,6180
7830,8303
8900,9887
3895,9936
1877,12786
6405,4796
5273,4399
2466,12660
8347,3775
7901,3465
2464,9552
7001,6784
10110,7370
3998,9229
7612,3224
9088,1200
1266,2186
4909,14072
2248,9804
1599,10940
4555,10212
2556,9610
6418,9168
5653,9783
13316,11868
10038,13585
5272,4762
6027,6520
1054,10804
9161,3280
