x,y
8296,7415
13650,5289
3292,11196
7080,13318
12820,7347
5559,9461
12039,8776
7740,7148
7508,7193
8108,6988
7736,7866
4167,9626
13994,8960
13953,5711
14206,13072
8766,7920
9307,933
2828,12351
963,10626
2742,5284
11288,1932
12588,2586
2194,4638
8343,5775
6844,7012
6628,4633
12573,7628
12074,11376
11350,3254
10462,859
6564,3150
2151,12238
8926,8298
4622,738
10860,962
3742,9289
11154,1396
8818,3419
6033,6929
3359,8603
6584,4654
13840,7982
7703,11360
4344,10079
5726,9479
6407,9488
1655,8905
10886,11565
10439,14072
6098,6272
9167,830
11714,7560
3280,3840
3387,7876
13758,6909
10327,9028
8448,7519
9418,7232
6294,9329
9375,11568
6137,6587
11691,1546
2393,11847
11818,1928
10054,7772
5057,5321
4436,4807
2572,11984
2378,11981
9958,6812
9975,6559
9271,9352
6657,6389
3572,13005
2053,12996
6046,1800
7722,3532
7609,3252
7363,1350
7241,3504
5780,5464
6178,5023
5219,5026
2956,12658
2074,1350
2543,717
2657,1116
1976,1866
1823,11633
7824,3620
2471,2524
3034,2964
2259,9198
13346,2194
11473,4147
8509,8758
7768,8203
10284,4659
4734,13473
4782,13904
12828,13171
14306,12550
7684,8034
9664,3220
8048,8280
10092,6977
8723,8973
10390,9973
13893,6873
13589,7634
7522,3934
2224,12333
5715,6504
11369,5724
11372,5922
1626,11124
1848,12996
3524,13621
4174,14056
11483,6273
11530,6212
1686,11673
7399,9735
11840,9422
8528,8664
13901,8659
1633,7771
13708,7691
14075,9740
11113,12019
6670,13339
1618,7244
5223,10130
3679,9188
8570,1626
6264,6334
11607,1772
9391,6238
10134,7109
8618,8573
13375,3230
5400,8967
8469,5711
9344,9474
6024,9285
11367,6876
5711,3737
8682,8457
9989,11022
1446,12926
12316,2690
11215,1725
6466,6416
794,6859
1361,6426
10502,1395
780,10162
11963,2078
13178,3416
11983,6875
10036,8746
13331,7584
6235,9220
7383,9978
1218,884
1128,11448
4528,13851
8448,8492
8511,7877
10407,7556
10032,8962
3934,13627
12924,11837
13829,13113
2675,12616
1148,9668
5454,11388
8150,5334
5236,4763
10339,4760
5439,8821
5040,2601
8508,1461
9845,4256
6353,8782
9208,9005
4891,13441
990,9966
12889,3415
7511,13688
11268,3264
13977,4316
8171,8153
13719,8247
2422,12776
2262,12546
12836,11220
11582,1519
4008,12956
1753,7443
780,10283
6993,13352
9356,5406
7918,3548
7178,11315
10161,9449
7125,7272
1155,11797
13180,2997
8772,8160
10413,10638
10109,10013
4459,5024
8000,3432
8414,3568
12424,2770
10533,1548
4602,4691
3576,3392
6857,4928
6725,4751
6038,5934
3275,11768
5649,3632
5360,3040
7788,1672
13472,2839
7435,7356
8248,8637
5717,5599
4041,13607
2954,12436
2085,11640
9928,11210
7726,7548
1392,11315
7852,7609
7197,3225
7551,2757
2868,8330
5348,12972
10156,13364
4695,9618
4852,5332
4580,13857
7044,6990
7866,8435
9160,13184
12026,9713
7428,6909
11872,4308
6919,11584
6618,8168
5735,5729
11481,12173
12620,12511
7170,3121
2471,2473
6141,6276
5104,13829
2286,11994
8029,9590
10053,5328
5410,12651
6875,13095
5227,4949
13487,11776
12972,11318
9648,13541
2531,13201
3606,7373
3004,11890
9665,4352
13561,9810
9952,7350
2096,9631
3528,11112
5208,13360
5725,5089
8824,4074
7469,7965
7440,11476
4523,12093
9841,4684
9872,4627
7460,13544
6329,6998
7186,11448
8442,10060
10853,12167
11000,13624
10984,13036
3550,11176
1198,10024
5280,10212
9702,4012
4546,4380
4471,4381
2726,4310
1858,1295
8986,5855
12635,2143
2206,11970
1880,11974
10555,887
1126,10268
1377,10089
3570,8758
10926,3292
819,10202
2409,9212
759,5561
1110,7656
2606,7403
8403,6344
12095,1583
6573,7001
6509,7759
6220,6461
6595,8395
4826,7416
2763,1716
3736,3350
3715,3509
2531,2119
2370,2284
8847,8378
4328,12138
7950,13586
8685,8365
8665,8049
13623,3228
13320,3413
4824,2745
6215,13481
7533,7621
7410,7676
11336,5791
8404,7434
10549,866
8602,4490
12615,3089
8052,6500
7192,6402
7768,7891
7054,6896
5235,5574
7599,8250
1568,12754
4875,6404
3066,1245
8230,10344
2456,11650
8373,5317
11458,10866
8643,8758
1573,11543
10235,7189
6446,6262
7895,3486
1081,11869
8584,2863
7320,3219
9968,5532
2612,11532
3574,11671
1515,6998
1405,6269
3482,3973
4749,1612
995,10872
10619,2949
10707,7541
12349,10761
11802,13782
11700,5225
8362,759
7045,7063
7379,7689
6426,9610
13431,3651
7396,6821
6784,7284
11384,6583
11218,5926
7323,10185
11728,10805
10405,10478
3558,11206
3366,10760
1548,11528
2053,12386
6334,8564
1361,12765
4027,11472
12321,2634
7233,4907
4776,5080
12602,5455
3780,11092
5906,6075
5002,5216
5645,12619
5771,5782
6338,6762
10177,4806
8919,5501
3423,6245
7771,11738
6160,6751
8027,6259
5647,3777
4740,5240
5575,5910
12848,2028
4843,13742
8364,2576
9637,2618
9326,1856
5034,784
1671,6129
3372,8216
8198,8403
12507,1577
1264,7814
4489,3017
4125,2924
3391,2637
1406,11748
8860,9374
10328,10733
5865,6547
11726,10752
3479,8743
7190,11662
5968,10380
10727,4990
11822,3628
12330,5174
12167,11159
11594,2114
