x,y
1335,10643
1729,11094
1983,12495
2242,13008
1405,6129
10511,1335
4404,9511
8707,8354
3844,11266
1207,11477
3168,13012
3049,11949
900,5120
4628,6005
1426,4996
6600,6528
10880,11327
3957,13368
3465,13404
8097,14011
12217,6825
12545,13548
4665,13908
5120,9414
1439,9816
2164,12832
10738,11097
12502,14294
4041,13607
2954,12436
2085,11640
5894,13216
3759,13716
4148,13329
14122,5538
11002,10692
8098,13616
8445,8016
3030,12579
8748,8299
1576,11565
1085,11286
4713,1767
3728,899
13583,3435
5085,13644
7226,11325
2659,12735
1584,10506
10176,839
10693,2220
7810,5454
1696,6908
4792,9020
905,1943
5360,13070
1807,12057
5038,13349
3608,13960
2753,13614
7894,6891
3786,4804
3852,13785
2013,12638
7367,7835
7398,7480
6274,4800
6305,6450
8554,5560
7929,5406
7802,3531
7724,3510
11062,4809
13210,6276
12711,3010
4157,1346
4359,1019
1895,2575
3556,13344
3991,13713
3187,12953
13550,4430
10516,5708
6674,7916
7208,12514
3269,8089
1242,11654
3347,12879
3535,12897
4019,11295
11861,2210
1264,12140
1140,7679
10988,10049
5186,11468
6315,11039
10011,9910
14180,10704
4812,9299
9955,6384
9794,9580
1531,10307
4174,12026
8034,5450
10625,11616
8304,7459
2226,12362
9074,1507
8375,10220
7799,5707
13395,2492
13278,2215
8722,5862
6577,13687
13332,6139
3071,11385
926,10960
2500,12722
1331,8370
2530,12821
3420,13125
3313,13380
4708,11946
9980,7270
11909,7725
13206,2408
11539,1703
8871,8092
7800,12048
6638,13847
12210,8056
5809,9385
804,10498
2133,13416
3632,10820
841,10211
954,10778
3188,846
3820,4257
5161,2830
2836,6275
4930,10480
5871,1681
9261,11385
9014,8352
1353,11477
5409,12894
7563,7349
2924,12816
4096,13406
4408,13687
3844,13855
6447,8032
7266,9154
8029,8555
12231,9206
5152,13651
10699,13217
10184,10837
4241,11634
12743,14128
13299,2584
11703,1494
12091,1370
8473,7975
8558,1413
6672,8481
10502,9956
8071,1640
11246,13054
12760,1652
13609,3908
12392,2722
13511,4251
7478,7342
14122,5258
13976,5534
13353,4733
11019,9916
8694,11918
13080,10481
11538,11949
2694,12280
2011,13017
8808,5658
1232,11666
2371,11927
4134,9679
6746,6316
7213,12397
12987,7332
14031,13047
14138,4529
13428,8631
12312,7310
9911,1760
7945,7515
8204,8294
8605,8570
998,6478
5100,2821
11157,5449
13203,3917
14134,5265
11950,7100
13954,8936
10254,9657
13634,7550
9252,9545
13858,7786
13612,13150
10307,1261
13751,3548
10272,901
6138,4482
8238,7402
7679,7382
3268,10796
6417,4866
2935,11388
7185,7487
10065,7899
9264,7364
9391,8754
4100,3575
10297,10282
12264,8118
6927,13082
12789,12157
13717,13189
3189,12956
6851,12654
7532,7334
6193,10389
4821,10194
12103,7190
10960,13265
7929,8628
13709,4293
2686,6913
13046,3628
7873,8523
8797,8765
3106,11819
9356,13035
7232,10972
7394,9704
10671,7766
5745,9098
3144,7523
5439,9361
12441,9606
2864,12640
4124,14056
2408,12236
8893,5876
2751,12196
8484,6006
4462,4762
11413,5811
2415,12370
6179,8814
1559,10910
11860,1052
8207,1169
9872,10433
9068,11388
13768,9704
3381,7953
2864,12488
4095,12531
13982,7477
12975,11565
925,11373
1912,7742
1030,12107
2687,5961
6368,6621
6346,6196
9291,933
6949,3125
8036,7824
13092,2310
5498,7547
854,7256
9477,5603
5880,4948
6525,12278
8186,1423
10626,7557
1024,4482
1504,4294
11189,5404
4714,9360
1642,2374
1050,11757
5286,8637
1634,11700
3612,12965
8594,12469
13999,4447
8415,870
1215,499
1641,11713
7522,7657
1745,9881
8143,10554
14122,6748
7290,7180
3187,4021
1762,12255
9174,8967
10129,6838
7584,13375
5379,10498
4050,1048
12567,12610
3189,10851
7967,13993
7875,9677
12099,10491
8600,10516
6611,7857
2377,12470
1418,11740
2696,13265
4344,11459
5394,6186
2595,3645
6874,7314
7300,7876
8801,8789
10740,11190
11350,10908
1648,11372
11282,1610
4756,8168
10128,5446
4229,3722
8815,8927
1343,10910
3817,12632
1412,11251
911,10592
2606,13251
2767,7703
2182,13428
12210,8324
6727,7086
12471,11881
4478,11795
5975,1086
4714,4463
3933,3491
4317,13594
10067,7555
6448,4494
5109,8762
10875,3468
11325,4208
6990,7047
4669,6345
1560,12258
1737,12142
7024,7218
842,9108
1389,9663
13506,3756
1631,9029
5140,9189
4498,7116
5451,8616
1447,11429
4279,14050
1505,10891
11826,1594
13830,4914
12846,11974
14023,4160
10976,2067
11703,6677
3118,8218
8220,6728
8928,8926
10879,1609
4444,11943
7596,7640
9711,6126
13909,5515
8956,9960
