x,y
2397,12803
6813,8342
7901,2037
7085,7173
4928,8768
6146,10013
9155,6230
10546,13940
8793,8853
8710,8125
13459,3809
8516,8216
13080,3238
13018,3538
5350,5866
13638,3539
4614,7499
4344,13993
5798,8888
7493,7103
12863,3214
13115,3453
8131,7205
8732,6058
7185,6388
7682,5954
1444,12563
1102,9942
13718,3698
4180,13455
12656,5478
12958,5204
7730,11258
2338,9556
1864,3632
1671,4731
2140,7414
3590,13189
12485,12860
12193,11312
12920,12756
2341,12008
1164,10559
1097,11223
10026,4280
7037,7281
6141,4126
5235,2808
4587,5212
4082,13813
2544,11802
3039,12796
2621,12117
1562,9570
4886,8279
7940,3560
11182,1765
13334,3908
12612,3203
6382,7140
9183,1324
8802,2292
7203,2544
1524,7024
3543,8470
4136,1421
7494,7274
7544,7443
5274,3345
2776,2500
3573,13222
2258,13277
1216,10318
1030,2716
3062,3006
5275,3697
2879,798
2969,13677
5548,6106
11477,3273
7372,6807
6401,6383
9560,4523
6168,9424
2504,12652
4061,4488
7842,7945
6156,12471
4529,13569
4287,13664
7604,7273
9030,5721
13260,7312
13406,10895
9967,6464
9951,10067
5003,5411
8810,8616
1356,11345
3234,13079
7003,962
11956,2231
7675,850
7947,768
13974,11084
7945,7961
7719,7263
9949,6613
12112,10774
10876,12087
3404,13222
3124,12706
6980,11561
11735,6683
12985,5196
9152,813
10873,1105
7814,10805
13688,3244
11169,1161
6706,1056
6248,6786
5707,5779
8312,5462
2526,2698
3830,3110
2711,1640
2620,4536
4099,14053
3590,13010
13306,10323
13288,10616
13991,13338
1486,10260
1334,10400
2356,12085
11678,1779
11826,1498
10617,1718
10119,1271
8538,1278
10019,7521
3104,13738
4493,13965
4603,13751
11547,7014
13488,5706
9232,9075
10667,10431
8357,7955
8371,7903
8968,7528
7029,9705
12970,10678
12653,11519
12144,11046
6100,12605
6437,8749
7306,9022
1548,10140
11408,6012
3369,4204
6359,8020
4730,4279
3272,12962
3938,9945
1566,9261
7927,7988
3779,4263
3912,3309
6471,1602
1707,774
6385,6748
7894,7966
5001,4954
8614,5130
6573,6889
6176,6452
4575,7091
7083,8736
4459,5078
4484,14047
2449,9246
3723,10685
11989,7773
2762,8350
8270,6634
7569,7564
5595,6256
12835,1871
11240,1682
14070,4894
11428,1918
1061,8822
8233,1513
10283,9602
9343,9296
10022,8972
6269,8140
9404,2699
13732,2972
2544,13620
990,9888
1155,10398
3200,9185
1219,10984
1228,10847
8027,8314
8116,8083
10466,10965
12925,2992
13208,2324
6542,14016
9298,5866
2609,8268
1095,4730
13518,13719
12601,2676
11248,4071
12253,1646
14078,4749
6366,8440
4380,13455
9344,1470
8401,2250
13216,3013
10699,10447
6783,7871
12899,13389
2737,13405
2397,12034
