x,y
1024,10228
6200,6645
12191,7513
9282,7174
8855,9097
6713,9537
7820,2125
3851,7952
3665,8361
12530,1909
13080,2788
8787,9929
13430,3311
12846,2546
13259,3563
1084,12220
2774,6608
14110,7249
8382,8560
8926,1716
8192,13983
7586,12386
9259,8819
8152,10182
7734,11066
8398,8061
3420,13132
4413,10046
2520,13312
12083,4702
13003,3270
7326,3360
9904,6862
8949,4176
13288,7160
7534,6887
2342,12447
6552,6155
8730,3459
9858,3219
12949,5134
1154,11217
897,11039
8238,8496
7358,7608
2114,12900
8799,9271
11092,8486
12346,1599
5686,1018
1121,5802
2408,12437
4722,7395
9981,6683
9171,9306
3985,10013
6847,2926
9984,10994
10237,10183
9499,9808
9284,5694
8163,8389
6665,9982
2628,12659
12534,2833
8052,8347
1124,10296
7646,13531
12073,8059
13562,11867
2313,8841
1679,10677
6768,6570
7815,4927
1411,10421
2547,3023
2237,4077
4239,2480
7773,3493
1767,12953
977,8577
5560,5584
4865,10295
2352,3629
1332,2728
1389,2365
12503,2491
4231,13375
4207,13137
13138,3452
11866,7043
12156,7236
14114,4453
7164,7148
8120,8168
9510,9731
7617,7495
12690,7371
10269,8810
8509,8862
10710,2102
10003,5693
13278,4668
10470,5268
14215,11863
9004,9739
11655,6525
7379,13276
11644,7174
1168,12573
859,10111
10101,1119
10365,1597
9384,2396
2758,9824
7892,7161
8337,7776
8291,7816
3147,12760
8211,13570
9845,7141
10403,10268
7555,6764
13551,7989
11187,5645
3736,13259
7889,7743
3752,10223
13964,9695
14125,11593
11361,6259
13192,8135
9378,11502
8830,11509
13202,10056
11340,3686
8954,9250
10234,10324
7014,6745
9549,1832
9160,1788
6429,4753
9112,9422
11368,4432
10183,4360
3955,6413
1356,11518
5232,8940
10563,3114
11984,3402
1244,11568
2629,5628
13432,3476
6424,9247
10755,3257
5507,13039
10425,9833
9851,10306
13824,6796
13672,8102
3195,13387
9490,8737
2062,12531
10010,10712
13235,9281
11573,9649
12450,11396
13886,11958
14188,10544
8016,7212
10212,4777
6888,4913
1876,9826
7489,6751
4493,13735
11179,1727
10090,8625
6308,6746
11166,4268
5789,12420
5532,11325
7754,10879
6359,9393
7830,11025
2645,6194
10530,5232
7407,7157
840,6390
9763,6314
14122,6095
11975,5582
9659,4622
1417,9413
10006,7288
10167,6369
12324,5110
1775,2979
10383,2411
11858,2026
5059,1098
5243,2771
3244,1641
824,3285
964,3337
6405,6247
12335,3291
13296,2444
7010,6930
10936,2269
8428,9016
2996,12248
13242,6384
7800,8504
6522,11287
6626,11382
5931,8472
12259,9737
13222,2197
7085,3133
5164,2754
4837,3759
5603,3522
9966,4466
832,8196
1092,6248
3201,13708
7226,6870
6663,8079
8346,6058
8342,7647
8101,3326
10151,6980
10000,7933
12488,7233
1279,2328
2626,13323
2047,12697
6767,6935
2877,13486
7114,8875
9559,9087
14029,5250
11072,11000
10296,10353
6841,8930
6904,9656
11134,10704
7306,7018
7574,6608
7327,8985
3238,1809
8512,10040
10272,12448
13956,13494
1562,11173
1353,11167
9440,5633
2837,13162
6622,7316
6313,6581
12116,6492
6150,5788
6143,6159
7921,1616
8448,4916
3186,13748
6724,4728
5451,5866
9057,8773
11390,6528
10230,5151
6935,12767
8184,4742
6802,9672
7834,10410
6460,9656
12048,1839
12324,2211
8242,10194
9164,6340
2805,12020
7356,11454
12205,8671
6887,12923
10766,11182
10553,11003
13411,11946
2637,11631
13555,4333
3139,10990
7214,7360
6850,7405
6727,7077
13993,7015
9851,3203
5489,3495
960,5814
5267,5099
4482,4248
6171,8636
8116,7291
12233,1628
12341,1817
9191,2297
1537,11874
9032,7339
11936,2114
5726,6035
12172,2347
11492,1969
5369,3445
4134,1693
4060,1312
3869,7248
661,1472
1169,10411
12203,6482
11221,8654
10901,10305
7961,8207
13656,8897
8521,4745
9003,7382
8623,8207
10140,5553
9845,6226
2542,2083
12802,7212
13208,12114
7346,9073
7643,7556
9987,13251
2059,13349
5658,6441
8231,8282
8121,8198
2906,12622
7318,2922
3016,11095
1444,9585
2810,1111
3882,1216
6637,6270
7999,7128
2686,11599
2430,11870
9345,1527
9409,1300
961,9448
6023,12670
13197,5045
7172,3213
12754,1686
7470,9722
6444,2712
13277,2893
6930,4886
7784,11022
6151,3318
4446,9249
5007,5593
4919,3324
2191,1361
13272,3291
9496,8737
12081,2562
12596,2216
9696,9422
6786,9794
7717,9786
10236,4772
13645,10992
14180,10704
4812,9299
9153,9282
730,2927
11528,3201
10026,2578
6895,6905
6065,5907
5026,3319
1502,11076
1759,10784
3746,10434
10906,14050
6443,9376
6483,6757
8152,5803
6479,4758
4095,7373
6128,6361
9415,8675
4724,6494
8311,4808
5956,5923
6381,7216
2378,13432
12552,1665
9550,6358
8592,7876
7597,7375
4604,11960
8707,9742
10858,10471
11223,11992
13603,13832
12502,5292
9014,4240
13412,2562
4764,4700
10164,6948
1647,6928
4979,8551
6018,7497
7650,7644
12462,9714
7293,6997
12605,7488
6122,4867
981,7513
6521,1334
1586,9288
5086,9257
8478,7836
7761,8636
11200,1699
2717,8263
10910,10239
6818,8031
12326,5486
11241,10036
8952,11064
6826,6550
13130,2665
13119,3221
2530,12821
7672,9406
3420,13125
3313,13380
4708,11946
13121,11289
1832,13153
13293,5874
6831,7137
10597,897
4913,1249
6674,4702
7472,7234
7529,11082
7512,8988
9696,6289
8197,3455
4036,4609
4094,4556
7803,977
8138,1771
9918,986
12999,5100
7148,6740
6305,4908
2024,11895
5006,4588
6374,6232
4998,13602
9257,11368
8932,13327
11504,13944
8685,12664
10634,3124
12198,11833
12525,12038
12938,12413
12340,11870
12400,13105
7745,3412
6559,6250
7566,7086
9753,1098
8434,3518
13168,2247
8491,6700
8397,7759
5938,4057
2922,2262
9700,5479
6852,7138
4030,13380
8449,6543
7157,7678
6590,6672
5231,2861
10971,4766
13699,3861
6048,9324
5132,4622
14049,8137
13544,6198
8531,5487
8704,4755
7780,7935
8011,4896
7376,10056
3968,13337
11165,5945
8801,5790
9127,6232
8954,4676
5390,10528
4973,11729
13834,13167
14336,13692
8925,8158
10632,2775
10534,2835
7351,7036
3668,10228
6323,8772
8022,8656
12230,9961
12140,8331
10314,6569
1748,11261
1720,11529
4311,11314
10252,9648
10490,10473
13928,7133
8519,6186
843,10781
7186,7060
10093,4451
7998,8663
2908,7662
12072,1486
5944,5844
4370,4906
4374,7191
2799,7423
2384,5517
2368,1711
11097,9934
3055,12858
7090,8801
1882,13155
12928,3467
860,10210
10335,1450
7570,4884
10875,10943
9261,11174
10062,8936
4693,8636
4530,12047
1444,3828
2894,12190
9642,7356
4438,11627
1341,11103
8582,9994
7786,9929
11223,14004
6831,11451
12828,3374
5991,7231
6483,8480
8016,7723
1213,10031
1715,7435
6929,1660
3218,8025
6746,6233
6328,4927
2257,12842
4875,5451
9537,4319
11666,11054
1136,11380
13170,3241
10194,1210
4611,12532
10314,4960
7247,3003
