x,y
1780,7475
10926,899
7406,8529
8064,5136
10014,8434
7238,8967
9424,8940
6880,9590
8386,4922
4565,10204
10252,2574
5738,6131
3295,8793
3856,13256
11474,4323
6505,8182
7699,7734
7732,5098
2483,9841
4258,9313
6489,7078
6407,5928
7031,6880
1830,11722
8126,5327
5211,5726
9742,6306
10702,2002
6411,6718
4344,7327
5641,7451
3493,4093
6282,3545
3386,2619
9075,5511
5603,3522
7278,2603
11449,1221
7045,7049
8492,10030
8182,12355
6078,10550
7725,8744
8100,13842
8884,9915
5290,11780
10040,7229
11944,11066
12521,13925
13941,12932
4272,7344
5469,12935
7903,7946
9726,3977
5359,10360
9250,8852
12911,12320
6163,5901
6459,6688
13180,3484
9044,2232
9524,5652
6318,4984
1876,9550
9458,5926
3024,8358
10909,11501
8559,9844
8652,6576
9981,2500
10086,4918
4138,7934
8704,4755
12518,1376
7376,10056
11165,5945
10212,9683
5390,10528
4242,11446
13834,13167
3037,13296
3889,12654
13076,4666
2980,12680
10020,9762
10782,11012
7471,7278
8205,7312
7197,13636
2374,2184
13608,13156
14024,14018
7844,10555
11942,1564
11983,5292
10322,9961
4008,12486
10228,10127
11328,8656
13544,12958
8827,8997
5696,5758
1278,10720
8236,10165
4382,13636
8771,10006
3698,10628
12666,12266
9958,8853
9820,13785
12526,12252
11132,5289
11476,1192
10065,7026
11326,7550
13160,4248
10679,1515
10621,1804
7177,9202
7485,7507
5136,4724
5262,5891
3968,3524
5095,5086
1077,2425
12910,2050
13861,4947
13695,2844
13575,7148
13782,11004
9133,9904
10772,11955
10401,11927
8263,13858
12839,12443
11488,4970
9406,4428
2936,9635
5075,7776
4716,972
9690,3948
7210,833
3903,13256
3404,6478
3597,8766
2152,2534
1054,615
12642,2946
6572,8390
8112,7826
14095,9501
12504,13313
5976,5981
9339,5559
10702,2753
5030,8431
8186,6602
3046,7615
1154,8754
3175,3809
11835,4083
11380,4169
4981,8882
6846,4369
4507,9630
2960,7576
7946,5361
4799,7836
3162,7889
9215,1335
6491,11666
12413,1498
1466,10352
8878,9106
3289,4182
6875,1004
8284,7855
9668,6372
6436,6333
11626,6659
7208,8164
9206,8461
7846,8660
6985,6648
2386,12659
2846,7561
11859,6564
11530,2009
2865,12482
7118,11480
10880,4762
13312,3281
9924,10144
1492,10938
1136,9826
10443,7476
13495,7826
10785,11013
6247,9879
5058,9662
6455,6327
12064,12846
13977,4742
11868,3834
12414,2723
12774,3308
4776,8121
10084,7470
9612,9446
7603,11886
7129,6691
10789,10894
10213,4646
5932,7454
9476,1152
11852,1634
1781,11224
2835,11958
4846,9834
13024,3454
9301,2345
5922,9906
2411,9622
11061,4611
5304,10607
11263,5673
2204,9851
5660,12894
10600,3020
6062,12453
8858,7496
7073,8260
5395,5168
3307,12982
4241,4584
1843,3441
10017,6160
10227,9028
12055,9851
7446,11123
13863,14058
6214,10287
2981,12067
11787,1910
6961,6350
3684,9290
13758,12299
12640,12008
11432,10050
12253,2525
3796,10373
8625,3601
2939,7101
6387,6301
6224,10220
8529,7789
4083,13966
7719,13809
8088,7740
3380,3770
9114,8438
11733,12129
10314,10326
8662,11280
11280,5801
8630,6055
5848,8656
8002,7930
8191,5097
5962,6041
9757,3197
8591,5131
6404,6809
10995,5511
6346,6844
7177,7153
6382,3322
8678,5347
6124,4797
820,1593
8890,6499
10597,4727
8650,1566
6702,12939
6517,9433
1998,4438
950,7082
2218,12741
2256,12724
985,11150
1340,6542
7839,5891
7294,5997
2362,8533
9400,1636
4009,11491
8389,4832
8778,3670
3767,8470
7021,6928
9309,9172
5508,13297
13832,5510
4130,13392
8633,12491
13227,9871
9997,11167
12818,12796
11879,13048
10412,1408
12156,2270
5095,7803
8378,5739
6574,12006
5894,3263
11350,1786
4895,7727
1367,12148
749,2235
3098,966
2011,1037
7268,6316
13134,3372
10825,4927
4282,9786
13858,10126
14051,14100
6607,4677
1969,11750
7804,8199
8372,7008
9947,9123
11726,6910
7311,8679
11298,1782
12125,4992
4697,9567
