x,y
7070,9058
13713,3450
6465,8754
6964,6765
8853,8247
8966,9952
6967,9836
9991,9255
9241,5979
1282,774
1584,2107
2484,732
4387,13607
7669,13624
8295,8054
6631,7605
6127,5694
10116,6804
6294,6635
6064,5768
10842,10873
4352,13649
6616,7161
7579,6977
10701,3259
4513,12401
7207,6197
5354,8852
10712,1596
9529,1068
5058,1627
4970,2813
6668,6420
2745,2578
1614,2774
5074,1695
1556,646
725,411
967,639
7154,9839
3206,13293
9612,9160
6109,5187
7848,6702
7494,6805
9408,10009
11353,5997
13774,8131
13460,7630
3339,8466
11582,4157
11451,4783
10671,3338
7241,7754
11301,1467
4814,9298
7554,3003
2198,11973
7088,6687
12856,13151
14113,12246
10703,2163
12055,1665
12677,2412
5309,5668
6491,6582
10039,3089
9026,5580
6986,4886
10508,5184
4852,4519
8659,8901
7156,7013
1328,7830
837,10693
10679,5658
4262,14044
7043,7229
2164,11684
1396,10525
1997,5090
5908,5195
7651,7063
3913,3926
2721,5901
1563,5597
2570,2907
11672,12020
4654,13895
3765,11080
6574,12006
3990,9378
9014,14085
9759,13382
12304,11958
6601,6453
9242,6372
11981,4812
11836,3000
12916,2105
13262,4891
10929,5531
12860,7315
9468,9176
8971,9872
1351,12378
10533,2935
7711,5233
1332,9523
4824,3835
4958,4490
4740,6393
3982,4939
4784,4769
4988,5285
1995,2474
12187,1836
4492,12191
6465,6989
14015,13247
7776,7429
9229,9463
2440,13300
1322,672
1363,11644
1839,13229
1435,10688
7312,8887
4761,6254
3174,11958
5826,9305
6986,6535
1388,8893
3460,4152
8638,1695
13455,4032
9591,2392
3752,10026
12733,2583
9145,5747
8749,8871
3567,9292
3268,4147
866,5068
1792,3681
7384,962
10059,6398
13241,4890
2425,11754
12398,7740
13477,10476
11000,14044
13376,14018
4396,9304
1251,11112
6636,9732
6248,9573
6248,9461
7505,12202
6592,7165
3327,11668
7539,7866
6856,6976
4931,3685
1492,2827
1150,2980
2262,2121
11752,1356
10717,1377
7350,11914
9901,1002
7275,7030
9943,7442
10243,9922
12006,3148
12265,2373
13306,3329
6747,14029
10091,7865
7560,8936
5636,3736
4399,7353
4583,4570
8464,6436
9740,1290
12088,2196
12097,2400
6398,7095
4757,10249
3063,1412
2032,1530
7095,14120
784,10057
11010,7705
3975,12612
12611,5157
11340,5802
2135,12830
6809,6273
4595,9178
6846,6580
6717,4824
7017,6452
4141,9391
7106,13470
11580,2034
11493,4710
14037,7517
9907,5563
11583,4035
1638,12016
11472,5628
8545,4727
8438,5529
10461,1213
7495,6117
13077,2400
8983,822
5843,5802
4454,7029
10462,10671
12617,2722
9434,799
9357,1464
5286,6174
6283,5861
8622,4747
2986,2816
11240,4139
9242,3421
12671,1907
8074,12348
6700,8135
11899,3195
6870,6878
5861,7347
6504,6828
6577,4810
7099,7715
6800,13028
5710,12862
6262,2852
1976,4463
6976,7409
4282,13423
7845,8016
7720,7598
7935,6519
12175,1353
13517,2722
11730,5868
1739,12256
9362,2122
5126,8712
11266,9862
3019,12694
7065,4196
9954,6635
3534,8854
7148,6803
4433,5941
3498,3655
8924,5922
8100,7914
6947,9137
5456,13090
3503,13176
8910,8123
3803,4402
1995,11528
9326,9225
3538,8229
7584,13439
9755,13657
4719,13880
10097,9481
10690,10062
8892,8970
13894,3939
13969,5471
11015,3916
10270,3199
14002,6542
12116,7260
2202,12624
11732,2324
9960,8820
8312,5356
6151,6880
5727,6164
7721,8320
840,10645
8615,5391
2405,1911
1918,2873
12884,3382
14043,5071
7847,7561
11340,1158
11622,1270
6293,11032
13101,3628
7170,7189
7823,8717
7654,7388
6379,3342
6984,4888
9600,5582
5544,3644
7056,3090
13642,10343
8358,5260
6143,9281
10135,4932
7015,6459
8033,7340
7054,9340
6230,9088
7149,7062
8088,7820
3685,3472
13403,6743
13659,7710
12136,3026
9310,6134
10054,7334
10238,8840
8583,8813
2450,13409
13415,7565
11738,8020
12015,8987
10498,14055
13200,9491
12286,8007
12196,8606
13014,9426
12950,9671
13885,10717
13202,12860
13674,13205
3174,8128
6507,7856
4628,9188
1743,11690
4988,11746
8216,5102
4334,4722
6710,9652
6609,7510
2620,4477
7042,6664
5860,8404
13059,5085
8341,6277
1162,12468
8629,8779
4110,9602
925,5087
12503,2012
8345,6308
13010,3133
8429,8593
8395,7960
5015,1183
3956,4935
14119,4588
10632,5465
9886,6268
13698,4572
9360,9814
12281,7891
13930,6048
7074,4043
6697,9122
13182,4858
10838,3391
5861,988
908,7827
5124,5956
5026,4552
4868,4680
12134,10262
12218,2348
11113,1008
8855,5795
7639,7005
7060,7423
5160,5436
3087,8217
8302,6464
3145,10904
7806,2307
11261,6201
7508,8127
8673,11671
14146,13023
4031,13590
8482,3332
7724,7373
7391,6896
8636,10385
10115,9916
12510,11122
1560,11850
10568,2514
11158,1494
5594,3521
4778,6423
7509,8628
4424,4008
4250,2737
1039,10594
1897,11508
8436,5994
7060,7543
7982,6473
7331,7366
7183,6770
4376,7443
2625,6436
9554,13130
9058,14056
3912,4128
2857,5405
13859,3241
6816,8003
2987,12751
13804,7170
9944,909
7196,9056
7481,7891
827,10485
3932,12334
10123,930
7576,2559
10714,1392
5561,3644
8256,8057
6445,9850
3641,7284
5089,10278
10700,5024
10270,3095
6211,6153
10815,5564
13446,9082
13600,9025
9958,13698
11794,11506
11573,12360
1062,11063
9974,1223
1925,13131
4853,10873
6082,9415
6902,7004
10221,5037
4853,10078
7842,5884
10207,1364
11495,1181
12967,1931
1210,11909
7621,2336
997,6711
10934,4681
9664,5256
8818,13667
9188,11332
6859,13850
13420,10692
9843,8978
2097,3315
1355,1945
3126,2162
8210,6365
8190,13934
9392,13189
11339,6072
4510,7556
8784,3842
7782,4984
9581,6143
7669,6670
7794,4854
4802,875
11439,1365
1112,12177
7263,7504
11478,1811
13592,3312
11664,5564
13307,3163
11299,1328
11865,1266
6206,10392
3851,13851
12348,1695
3078,9474
5524,4925
7110,868
12789,3310
4644,14057
11344,10687
11601,1172
11685,4663
9369,5353
6242,6476
7274,3302
12450,5810
12676,3165
8153,7660
7180,12564
8515,7667
3728,11081
13414,3502
5364,13817
4025,10158
5158,9336
11613,3289
1406,11238
7192,6763
1284,7989
5710,5873
4163,6007
2712,5309
1848,1212
6923,2640
5893,4933
4771,4364
5076,5171
5408,5351
4990,9187
13203,10095
1241,12465
3098,11393
11059,1074
11824,8944
13602,6659
4070,13284
2537,8355
13926,3738
13212,2688
12469,3149
13566,2784
10820,5150
11995,5272
7058,3891
9139,8845
6935,11391
6992,13929
13180,3894
10945,10443
11177,10120
11048,918
3155,7645
3681,3976
3613,13443
12510,2336
2610,12100
7985,7770
9920,4766
6155,6931
8442,3496
13590,4978
11060,11040
7312,1326
8518,8737
9687,9307
3179,7402
3377,7838
4704,10344
7203,12607
13749,3616
13150,2224
1225,10906
1163,2931
1451,6189
8709,8589
6688,13062
9220,8988
10843,8639
11851,5673
9802,6532
12857,10795
9962,6725
2839,12109
12649,3070
6236,6312
7796,5943
1160,12273
1258,11499
9371,8635
14001,4406
2184,12310
5221,12467
13244,2515
14002,4393
13165,2870
2763,11350
2967,12531
7324,8854
9864,9768
10851,10519
7763,7179
10073,9042
13917,5036
13893,4278
11850,10606
13259,13995
6098,10654
4504,11669
11319,8736
14135,13849
10065,13766
8180,6785
1048,3401
4059,13620
7480,11082
12798,3328
6007,9265
10173,7911
10316,7772
7324,7943
9883,4100
8310,6163
6481,6094
11541,1852
7999,7880
8152,8668
3581,9693
1192,9772
7668,7077
5715,5570
13586,3750
13385,4982
12114,2931
13465,8085
11723,11428
10069,6647
6318,4964
12656,9382
10442,11444
9264,7468
5207,13377
5334,13523
4528,13653
11976,7442
5140,11643
2614,7294
2142,12310
4540,6076
7306,6082
8021,1131
1232,12153
1564,8506
793,606
13365,3553
13645,8800
13156,2094
10157,9461
13832,13110
11769,12348
11815,3696
12558,1877
11166,1685
10580,7665
6020,3692
5725,5344
6024,3632
3835,2038
3108,892
2522,704
6067,9382
3740,934
8310,3106
6793,6452
8553,5790
12531,2818
9980,7855
10108,7972
8693,12843
11023,10867
12880,1926
13739,8704
9774,12342
10525,4662
7957,6786
8295,6662
8397,6768
12098,1311
2684,13348
10433,5365
3490,8251
6354,6262
4582,6424
8145,6449
6128,6494
11264,1276
13436,2388
11914,1776
9197,9744
2954,12646
12512,2085
2449,11832
6555,6951
9693,5960
10150,6462
8790,7914
8498,6683
12883,9718
11266,8403
7128,12684
8392,13718
8887,13089
937,10991
6039,6398
2712,13020
10044,8957
9992,9216
7700,7305
7456,7270
1566,4900
4977,919
4471,788
4090,966
1486,2074
5834,1088
7801,8330
8386,8620
7991,8367
2139,2574
2126,12016
10363,1215
10188,5106
8958,6018
1910,12414
5256,5603
4331,5933
8992,8685
2674,8435
2726,6422
11753,1193
7420,8760
10152,5242
2311,13185
13120,2478
10165,5775
7498,7527
5330,11422
9363,9162
11757,1828
13297,3209
7237,6161
4926,4461
6902,4506
8578,7554
11050,948
11592,1040
6074,8578
13326,6266
10968,1241
11417,9941
6152,6285
9929,9318
5673,1446
1159,5564
6616,8003
5839,6088
10501,4683
5672,3609
10191,868
9824,930
4845,4361
6025,1040
6760,4753
8003,6690
7772,8056
8516,5800
1647,7331
2844,7398
4589,11716
9425,1403
10694,3368
5472,1212
7072,3158
2957,9900
12268,5106
4807,9254
5004,9481
1275,9203
12483,7602
8545,3593
8254,5334
1362,7373
2974,12889
3453,8266
3951,11440
9630,4566
10619,869
11249,1586
3672,9795
3509,9439
1309,10244
3497,8312
9933,5118
11830,6556
3878,9404
4828,9944
6119,5923
7387,1157
7178,1152
872,560
981,11325
5043,5591
3487,1932
9738,5885
963,11431
4957,5894
4914,1540
4620,1196
4776,1412
2626,1301
1200,3052
765,9162
7766,7960
6901,9425
13632,3766
13880,3640
7270,7168
5662,6101
10576,3016
1578,4662
8101,7838
6193,11073
6960,7266
10535,11168
9262,13289
8792,13254
2306,12708
10782,1265
7585,7321
11686,7843
6084,4902
4770,13628
1313,12356
2043,1540
3288,1758
9622,9646
2514,1195
1835,1402
3521,9805
4886,13397
13041,7132
2656,12520
2962,12825
