x,y
3419,9945
3211,13119
2654,12215
4383,13669
9782,6985
2902,9524
9306,6378
5813,5360
1298,11843
5353,12988
7317,13315
9310,5637
6411,12395
13889,9241
6345,13412
13471,9174
11487,12472
2024,13268
9995,11060
11107,6283
2141,12323
1229,11472
6256,10992
3088,13273
1884,12871
1224,11122
7095,13242
4948,11676
10710,11220
10496,13516
12193,12348
13266,13684
4008,12956
5399,11312
3732,13692
780,10283
6993,13352
7178,11315
12181,7278
6331,6088
8965,5983
1355,11462
1458,11974
1557,9850
13561,4527
7966,7980
9788,10317
1448,8666
9286,13524
5343,9058
8486,6296
3214,11026
965,10253
4592,13721
8740,13459
7540,6097
8392,8862
12177,9039
1783,7456
1151,5483
918,11017
2155,11731
2285,13008
8250,8902
5936,9003
12187,8330
7938,8560
2666,3455
3401,2937
2099,11682
2944,13083
1813,11993
7034,9550
2543,12340
4415,11970
5558,5092
10521,10606
4544,1218
10256,4972
2977,4044
775,10448
3599,8614
3590,13189
11532,12471
3334,9056
8214,3308
3749,2821
1405,10991
11373,1730
6126,14106
12226,7871
8656,12428
1762,10986
7915,1843
5860,5796
3014,3064
2996,12248
1247,11406
1731,10922
2542,11952
1686,10902
13646,7752
8076,13304
4896,5977
5473,1421
3801,13766
1563,12687
1818,11720
11676,2175
5753,11205
8605,12612
5344,7777
6518,12280
7997,6637
5414,8956
2522,13418
1986,11458
1547,11719
1503,10892
5907,6709
7424,7636
9384,5583
5092,5522
8472,8265
12255,5535
10624,11225
11130,5651
6830,7374
4340,11636
6170,9220
6948,7024
12334,3226
4857,8423
12971,12908
3392,11572
2749,12572
4664,4229
6292,5886
2790,13363
3336,13518
7238,7224
8150,1629
9977,9302
2892,11220
2570,11764
2924,7102
7486,6906
11321,11083
4603,6581
1526,12784
8356,6295
13954,7392
6286,9466
1821,13126
11067,5638
1318,11043
12878,7255
11947,8739
6661,13097
12185,3160
3088,5014
10363,13521
5245,5385
3977,13209
3990,13769
12433,6029
13118,7206
2668,12472
8246,6342
4637,10375
8993,8236
2840,13657
2625,12894
2314,11691
2106,12690
9878,7942
13108,8346
8354,8301
5553,4938
2377,13274
9274,8786
7315,6222
10428,13422
3550,12972
4180,13338
1694,8764
1187,7757
2541,8559
1738,9180
1700,9450
2376,9636
6154,6396
4056,13240
1040,9340
1315,10161
1524,5792
1369,6119
1390,7423
984,6662
6193,3348
1522,5523
2910,9830
9652,9997
3368,4146
5068,8494
766,10283
774,10407
2852,9802
2211,12467
12023,6846
8700,8800
8144,7610
13897,11946
13019,11894
5279,3526
2941,13060
4139,13756
4476,8119
8047,6643
1751,7252
1536,11712
1054,12190
4271,13349
6500,7073
4132,13578
7832,11760
1197,10650
3339,2369
3733,13044
4046,13762
4146,13908
7301,9696
5329,8987
11745,7402
3600,10909
8078,8234
9974,6754
2467,12975
5705,6489
4350,13298
5528,5340
928,5718
2007,1811
1546,4958
854,6444
1651,2067
2860,12673
865,11124
1986,12326
952,6580
2933,13379
5971,6232
3811,1735
9960,8067
8538,5933
1380,10776
3750,10313
2660,12464
4891,4492
11821,1971
12608,5592
1288,11569
13232,5774
13438,9104
4970,8350
4574,14056
3822,13908
8103,13606
4399,14017
11559,13221
7921,7757
4564,11543
4263,12829
3663,11044
9192,9228
11776,1341
10790,5467
2150,12006
3435,13828
3974,13396
8551,13394
3400,11503
12624,11735
7853,11794
11145,10133
12272,9238
1488,12132
3867,13396
2499,13351
8121,7648
4366,12354
2583,12153
3571,13680
10495,10257
3464,12941
809,10725
2597,11966
8814,5700
5434,1818
4405,11732
8413,7685
2226,12111
1725,10905
2367,12649
1350,10312
9684,9238
12156,7330
4529,4918
7242,3748
2553,2315
13764,6628
6726,9523
14175,11512
9329,6154
1475,11961
6739,9346
10196,9686
7214,7850
7275,11190
2008,11964
4799,13890
2612,12928
1032,12162
3405,12997
4218,13542
3014,8302
4952,9988
13573,7211
5590,3538
3647,13704
1528,11642
4067,13188
4144,12439
2002,9855
12352,7844
9511,10058
7674,7152
3457,13116
2515,12396
4293,13582
5061,13992
1798,12326
9383,1598
9836,9275
3853,3562
4236,11277
10786,11180
8166,13474
