x,y
12652,2108
11818,1958
13166,2771
8670,5868
6122,6295
9668,8967
13285,11138
7780,7704
12083,2397
13449,5890
5938,5488
3382,6632
4738,7428
4073,3547
1989,2059
13748,4105
13125,3683
13968,5410
13126,4062
2785,7125
9796,1092
7913,7150
10748,10568
13015,3426
13648,4617
9324,13475
11131,10730
13855,12801
13480,6787
10822,10542
7733,10014
13901,6130
13662,5018
8629,8273
11902,6756
9172,9155
11035,11431
12244,10187
7404,10127
4344,9709
12637,12614
11413,6420
12122,2818
13331,3062
11476,1246
11952,3035
11736,1438
9597,9555
10100,12762
8896,9981
7042,8212
8386,11891
10358,10623
10882,10949
9428,7381
2384,12016
6892,9748
6288,9758
5474,7672
7277,12364
4181,11720
13219,10036
2026,2304
11233,1316
12029,2870
9761,1382
11043,5654
13394,3400
7987,7944
7553,2449
856,1556
11226,1318
12734,2792
13568,4758
5650,9426
7336,9763
10182,13980
11540,1602
8174,5062
9608,5622
4436,10114
1414,6388
2058,1891
10905,1235
6277,6357
3166,10800
7366,1415
4936,5371
8293,3563
3604,3167
2547,3023
3782,3144
13410,3637
7884,7119
12275,11211
12131,10536
13531,12125
13442,2572
11901,2812
921,4137
11516,6531
13354,5261
12482,5807
9166,1751
10774,11620
10363,10259
7569,13274
8210,10306
13908,3790
13800,3850
12824,2381
7169,1651
7926,1050
4829,9900
5937,13971
12894,2552
11826,1910
8931,1573
5306,873
8562,935
4817,5489
798,2290
11454,1939
12033,2311
13368,4136
8557,8930
8568,8268
10228,7541
13189,2286
12974,2767
11308,1222
13312,3358
8635,7713
7235,7387
5543,5874
4830,4363
7109,9038
1074,686
13506,3591
13848,5782
13111,3010
10328,10733
7218,6579
4803,6099
5865,6547
8617,13119
9959,6629
7190,11662
6699,9625
6078,9318
11822,3628
8657,12529
12465,1538
12871,1899
11097,1519
12072,3054
13097,3444
9236,1069
4700,4830
5338,5234
1730,2576
2232,2350
13410,2725
11771,1600
10233,844
4861,5560
3887,5947
2999,4184
12066,2187
5542,5473
8806,4523
6420,10084
5937,6101
6909,6646
7235,8935
12472,12006
10793,9916
1762,13013
5969,6087
11292,1912
12077,2761
8992,5541
11783,1225
6394,6066
3514,9712
1039,4801
986,6530
2066,1456
13294,4151
12822,2876
12062,2398
10119,6932
12440,12704
12552,11709
14151,13917
14014,4413
3401,13462
804,10083
7111,9527
9866,9707
7135,7503
11571,1357
11561,1447
7266,4726
4790,996
3127,711
11661,1577
11175,10892
11194,8532
7781,13346
1135,2457
12635,1522
12165,1263
10049,1040
10198,1498
12408,2381
9666,10252
13850,4818
13412,2742
14148,5344
8638,8372
4656,6994
5212,10847
844,7934
10996,1428
9360,2334
9883,885
5891,5429
1923,1439
12538,2913
13192,3778
11675,1252
13853,3885
12639,2709
11520,6695
12814,2341
13854,8428
6752,7900
10938,11789
11331,9794
11534,3213
3660,9956
4193,3896
4547,4058
10584,3098
10449,868
10086,996
12058,1641
13142,2471
8084,1238
11198,4120
8118,7779
11637,5361
10060,3198
6124,8440
2314,2016
11586,1437
12648,2853
12064,2417
13086,3074
12199,2284
8608,9088
10692,4885
9326,13891
13696,10311
11766,11460
8700,8731
11007,10886
10311,1291
10854,1321
8442,4895
8402,7499
8620,4497
3045,2383
3310,948
10280,4739
11715,1219
13929,3764
10680,1052
10700,2120
13264,2612
12914,5510
7271,7009
3872,3590
1003,814
10957,902
12985,1812
13396,3460
9844,9127
2979,12207
11514,1413
12940,2845
13469,3736
12733,3265
14075,5155
7319,7886
13268,2487
7276,6792
8040,11224
7772,8097
3433,3730
3390,8502
13580,5107
11900,13428
11061,13831
12583,13325
7617,11717
13572,12996
11644,1354
11682,1215
3312,10428
996,8966
7719,5236
7596,7846
6260,5905
4246,3051
13070,4901
12146,1743
10011,823
8258,7843
7602,7584
4190,6013
10527,5553
14007,4420
13600,4355
13323,4597
5429,5305
10656,2221
11642,3404
6370,6156
7745,8244
7520,7228
