x,y
13056,2185
13253,3338
12028,4909
9177,1242
13906,10670
12699,2226
12508,3133
5399,1395
12622,4864
12476,2819
5312,5691
4784,5209
2706,5988
10197,7693
6105,6896
10208,10387
2410,2867
13515,3688
11708,2196
13455,4463
13639,5525
13392,4458
13801,3961
13164,4704
14075,7376
13826,7378
13741,7949
13323,7830
13158,7712
10728,10664
8258,10261
9036,9010
9351,9272
12994,12793
13604,12631
12967,11905
12760,12106
13477,12325
12323,2343
13494,6370
13501,5435
11934,7248
11235,10016
6896,9824
11620,1192
10753,12818
8638,13221
8858,13444
12837,13139
12244,13110
11139,965
12142,2005
13535,4265
12198,2611
9812,9337
12466,12275
13921,12462
12304,11386
7550,7393
8096,12165
10978,11096
10806,8663
6576,9983
12241,9229
11609,8159
13108,7679
14087,5909
8396,8856
9364,10008
11465,10901
10487,11610
11896,10469
5996,8828
13788,10561
14117,10611
2342,1870
12354,1539
12151,6434
3979,3927
4810,6401
10458,2291
14002,4596
5546,5052
4920,5229
13912,3962
8250,7633
4214,5093
1126,7374
2323,1576
1647,2525
4825,9324
3566,3872
12813,2985
13290,2615
13290,2232
13422,2677
10586,1156
6594,7222
4807,3869
3573,4177
678,4105
3063,2534
2995,1950
11079,1114
10370,1544
12393,6030
10200,1069
10440,1726
12176,11710
10487,1231
10019,920
6865,6834
6813,6399
12638,2997
5036,3579
2823,3759
1884,1332
13882,3376
1004,7478
7204,7850
3711,4851
13307,4332
11648,1478
11633,2070
11044,2001
11198,1341
12750,1909
11282,1588
11124,1904
10740,951
10969,1003
8968,865
9276,1223
3628,568
2034,808
7991,1860
834,1785
13492,3326
10549,854
8457,8021
13313,3031
12783,3137
9894,8835
6588,6142
8509,8541
6079,5675
4571,4879
7098,4912
950,6689
1276,5046
1216,4702
1399,3357
629,438
10464,2963
13421,2935
11527,3659
7346,7536
6213,7085
10675,10116
3882,10398
1998,11890
4821,5593
9858,7379
13695,9239
13486,12152
12775,2039
9366,2065
10648,2551
3882,7272
11681,1122
12696,2549
9902,1399
7511,7625
6324,9255
8031,6329
9600,9591
9619,8897
9143,9142
10532,10498
10132,11132
11497,11984
12846,13246
13117,12037
3349,13875
5389,9175
11770,1883
8188,5442
10950,2167
10395,5615
12960,2478
11950,12500
12654,12192
8709,6210
12611,11332
13015,11040
12907,3019
3262,11066
12282,1664
11723,1063
11365,1358
12704,2786
3353,11534
1283,10399
1098,10591
7686,10282
4817,4704
9733,9049
7045,9863
4753,7674
10739,1064
9917,4485
6074,5942
12622,1755
5267,10862
6977,4757
6925,1047
5930,1507
3888,739
2228,1250
2533,786
4614,1181
4074,4989
3488,686
3071,1384
2418,652
1714,2943
4874,708
454,841
13522,3383
11562,1480
11770,1679
12743,1724
12531,1414
13242,6849
8220,13407
11901,11069
8626,5569
5708,6028
4896,5977
1716,2524
9042,1059
5473,1421
13070,2050
9330,1945
12071,1684
8700,6353
4866,10503
6347,6377
12430,10518
13462,5249
11486,11044
11732,12224
13478,9823
12530,12198
8001,12217
12987,3366
8637,7821
8989,9136
12130,7737
12801,2136
3419,4085
7733,2230
4689,8498
4628,6762
