x,y
8216,7596
9292,3366
2564,2668
6138,6369
6193,6582
5341,7573
6667,7894
9876,9953
4805,4424
7830,870
6695,7280
6832,6963
5488,6199
4966,824
2469,2580
7499,7381
7918,3316
9348,6339
11559,14046
13866,13712
9281,8699
14097,4618
9040,6129
9543,10132
8743,10711
10025,7226
8702,8887
9160,8417
9678,9026
13288,3246
10158,9811
8191,10346
9938,7400
5573,9277
10188,5484
13331,7584
6425,6783
6235,9220
11896,10469
5996,8828
13788,10561
7383,9978
13021,5379
12033,7165
7826,7140
8394,8935
8369,8572
10049,9963
11834,8861
14111,11351
12781,13767
8548,8506
7318,7301
6566,7138
7838,6800
5316,9084
7099,6709
8823,8019
8708,8700
9311,7165
13406,11084
11042,11380
3432,12887
3201,6774
3056,12647
6509,7759
7235,7190
4488,3927
12180,1762
11328,4554
4991,5643
10069,6809
1891,13089
9846,6481
12113,4878
9498,6368
9491,3499
8648,7533
13101,4167
8401,989
6297,6412
10263,9676
7267,6881
4647,4665
695,946
2051,5496
7279,4713
9837,3931
5490,9378
8274,5576
11839,2285
3977,7334
11792,3209
1508,10537
7729,5677
10221,2628
3784,741
7407,7015
9248,3811
9282,9356
11049,1881
5785,4954
7771,5932
12295,2171
8188,5442
9978,6147
12960,2478
11562,11059
14064,10723
7525,7182
7536,7660
9192,6036
7668,7125
1368,669
5390,5683
1347,9853
5174,6010
4648,6905
8770,4774
4289,924
5404,3388
3745,3186
7288,3437
1298,10398
9125,7560
9711,10271
13830,9102
7408,8697
8290,8080
7360,6702
9747,3323
8427,8051
10410,5136
7104,8850
14181,10620
9322,4308
6701,7870
13077,13793
6686,6654
7660,6588
12171,2033
7451,6730
9366,13684
6877,8671
14114,4690
7080,7177
7300,8757
7777,7951
9990,7746
10658,838
7370,6261
10338,8862
11908,10624
12779,11795
12866,7164
4679,6141
7302,8048
10723,2050
13665,3573
9751,7067
8090,8638
7880,1719
7523,7931
10011,7907
11671,8044
14001,5825
10453,7799
1514,8854
794,10673
9726,13653
13954,13133
6004,6263
6672,6678
6243,6574
7968,7823
3011,2289
2861,1410
9000,8246
3282,2108
7872,7278
7133,7171
6292,6207
11208,12753
12711,2223
4089,11644
8995,3603
9633,10018
11502,1255
13314,6494
7549,5850
7594,7898
4260,13327
3036,11506
5401,5633
7043,7860
8014,6802
7304,6131
8164,6441
6036,5588
5003,6123
13270,10346
5080,4680
8746,7786
13483,12955
8851,6088
8523,8338
12004,10526
14272,10706
4996,3521
9958,6794
6244,6574
4802,5978
8821,5482
12331,2071
7562,6952
6168,8920
10451,7711
6256,6522
10744,4506
8310,7813
6372,6951
9233,8854
8269,8228
6302,3207
13070,3890
13903,4739
13992,5743
11506,11070
13861,13218
14058,7743
12661,12050
6854,8329
14084,12145
13774,6075
13292,9859
5332,8565
8581,8641
12357,5020
13075,9265
6180,7185
7706,7684
6032,6367
11145,5671
4753,7073
8890,4503
4535,3848
6574,6108
3604,814
6252,6115
8149,7056
12599,2968
6062,6720
1597,8834
11076,13407
9896,3274
12214,2600
3884,11176
14122,5558
5782,3479
7824,13313
10680,3171
8610,4426
2433,8769
5312,6192
10039,8774
7750,3361
4492,9909
8001,8365
6696,4779
5441,8527
5697,958
8947,4340
3582,8877
4681,5542
5846,6663
7776,7690
10772,1680
6982,6470
5968,10828
7147,7009
8614,8537
7711,5233
6096,10715
7929,8235
5349,4866
4958,4490
4740,6393
4977,5009
4988,5285
1995,2474
6591,7274
7754,8141
8284,6633
7709,8820
7343,6867
7476,7368
7078,7413
6690,9344
5674,5538
11063,10582
6514,8262
13008,5112
13770,7840
12494,5107
11178,10084
6874,11482
8963,5748
12819,2650
3660,3387
7989,6814
9466,7369
11830,1850
4401,4295
8266,8007
6807,7557
8865,4161
10422,8962
7777,7397
4834,5468
7774,8233
4595,4754
1643,6930
2905,2008
727,1701
3681,9081
12093,3296
11950,7416
13208,3962
5949,7356
12264,8131
11374,12496
4396,9304
6079,6575
7936,7994
6248,9573
8831,2314
7448,8511
5902,6485
9110,9276
6097,4836
11383,11130
1150,2980
6963,6401
8724,6436
8566,6608
7802,7048
6649,9163
9493,8838
6529,6883
6540,6078
8246,5395
6817,6434
11294,5751
10027,1080
11373,1342
12228,1706
11851,10604
10558,5224
6185,5844
6513,6150
5152,5556
7940,4754
6735,7437
8392,7563
7082,6105
1627,11126
4865,5240
2743,9881
7222,3744
9802,6073
5417,8624
5377,4931
2759,7050
1559,2438
7930,6574
7150,4900
8195,8697
12073,4555
7449,6987
11167,11428
9652,9070
6748,7322
3736,3300
11222,4163
3429,12886
3231,13542
792,6812
7065,7632
6818,7300
7833,10879
8483,5941
11458,9838
9322,928
5526,7496
13888,6744
9231,5899
6756,8120
6986,6859
12736,5426
10973,4565
9789,6992
7881,2101
5504,8942
12014,1512
4961,4477
7814,4976
2967,4463
9178,8522
10084,5397
7025,7726
7692,10190
1374,10335
1378,7611
2842,2344
6415,6531
6072,6257
5916,6684
11856,1566
3322,7890
1424,5648
9027,1217
8809,7480
8166,7180
10260,8838
5287,4788
3167,13126
13373,4206
8763,14071
6677,6253
7694,6891
9555,7062
6307,5858
13276,5646
6063,6270
5891,5252
6543,6180
10260,2563
8222,2172
1839,2107
3426,8543
3513,13545
2683,12865
12364,12740
1253,9890
7139,7800
6104,4400
13017,3697
6362,1812
4727,3746
5452,9413
8318,6021
11775,2452
8524,7766
11189,4289
6727,7001
12141,10968
13125,9073
7249,8903
13323,11717
10078,820
7910,894
7799,1152
7880,7928
6761,6472
6564,4617
5189,5483
6399,1520
5246,2426
10604,11000
8188,7802
6697,6876
7183,7748
8114,8130
6566,7001
5938,6715
9944,8942
9662,9348
9864,11023
11297,11701
5323,9470
14107,10743
10300,9822
4080,764
1496,3998
10213,1108
6161,8953
12146,8271
6594,4620
5318,5017
9093,7396
5334,5880
788,7518
10986,4885
3570,7840
7404,6704
6864,6498
5926,6110
7189,1164
5227,810
8082,7427
9985,6392
7998,7668
9098,8845
4608,9220
8341,5019
7755,10885
5225,5292
6612,6596
990,1050
5566,5954
6653,6501
11567,4097
7598,10174
11048,9904
6138,785
6488,7934
11871,7559
2730,9717
5596,5954
11156,5028
9645,6391
8501,5187
4864,1107
9080,8644
3667,4041
1038,1744
9192,3672
12254,7259
13529,6902
9256,8763
9168,5950
5165,4697
6485,12262
4189,9342
8788,5911
2063,11861
1938,7680
6810,7764
13357,13852
5050,3215
7178,4977
5482,5704
10511,7448
8678,8341
10011,5485
9530,9404
13533,10355
13776,12486
11310,7118
7349,7435
11522,1149
10740,2699
10873,8944
9709,10243
8622,9196
9454,13180
11400,10088
7286,6670
12867,5289
10740,9984
7848,7314
8568,8014
7077,7273
8148,8446
9887,5925
4326,13019
2799,12538
9038,5458
7121,7024
6486,9022
4303,12004
2060,5435
9183,8724
4470,11846
4158,10099
2924,2396
3683,6128
7004,6192
7198,6924
6977,4847
6963,7009
6984,6195
6333,6850
6536,7226
8213,6216
7605,7288
8463,7530
5828,5230
8960,7663
4831,6009
9952,9560
9291,884
5324,5446
5963,3455
3194,1150
4080,9627
9850,2670
11628,6028
10006,8326
12245,7829
8290,7420
4818,8458
8435,6397
3824,2950
10109,2379
3340,9249
4272,1684
8300,6129
8237,8476
7787,5402
10661,10613
9477,10114
8744,6278
2415,3597
7623,7593
9185,9425
6915,8127
7638,7584
8197,7861
8009,7460
7151,7206
6489,6864
4449,11632
7426,3852
6241,6470
3523,3202
5024,7563
1167,1426
2045,12412
12418,9589
9250,8872
8208,7525
9250,9302
11048,1587
5981,8332
7174,3775
7921,9991
6324,8056
12767,11467
8026,4746
13800,14164
10922,2566
12042,3614
13867,3736
3013,13570
12189,3003
13835,5876
11777,13153
1248,10034
12640,11590
12624,12068
7113,7353
9420,7144
9859,5316
10331,5160
10708,5413
8356,7928
11502,4882
8429,8704
11729,5071
13527,9956
4023,6098
3097,2654
11736,13646
11646,9676
8212,7622
8002,7549
8916,8829
2246,12393
6306,3525
8307,8350
7474,6734
7833,6460
7483,13738
5697,6261
4310,9693
7173,7283
9385,2779
1582,12973
4976,13653
11894,5629
13861,8846
2268,9927
13710,3664
9809,6382
9052,9597
8807,6354
8540,6532
13512,13710
6806,7943
5775,6089
5736,6032
8333,6640
8576,1014
7271,6683
6881,5067
2852,7505
6069,10184
1099,1912
8822,7558
6598,7118
7527,3485
8387,6376
8724,4836
4758,6220
6774,7594
5911,5107
6086,6311
7444,7904
9128,7290
6566,6846
4098,12128
10805,9920
12412,6176
6591,8338
11626,5724
12557,12889
5688,6473
6366,8070
7182,7057
5521,5558
2794,12876
9930,6533
8741,6174
2912,12047
2667,5785
4225,2027
6307,6562
6402,6287
5837,6024
5835,4936
4331,5091
9379,9158
8968,8219
9431,8679
8037,1146
7508,5998
7768,7203
4620,7574
12251,9284
8583,1249
1743,8048
5902,9242
1859,9389
2563,12288
9886,11318
2681,13579
12266,8781
2774,13650
9439,10097
10533,11450
942,4736
13230,11970
7462,7150
3207,7419
11527,1613
13091,3925
11808,4148
10597,4876
7192,4785
12568,2498
8768,5624
5218,9480
5074,4558
9988,9655
6635,9562
1927,3479
10864,1078
8620,7577
8446,8249
8023,7415
14038,8402
13814,11106
5894,8554
6975,6977
9349,3503
7652,7211
7215,6986
10053,9924
9664,7342
10039,8750
9156,7520
12473,13661
12590,10847
8770,8283
9186,5920
8479,8544
6114,5887
9421,9628
7953,10024
9880,8768
8311,7773
13869,6789
8663,6592
7444,7572
6769,6764
13043,3315
8353,8753
7890,8006
7204,9126
8358,8592
6345,6393
8320,7608
9410,8902
12991,5390
6736,7232
8257,10129
12220,11253
7704,7327
8818,8035
6038,6264
1334,6421
11489,4846
6193,5961
11002,13375
6712,1372
7848,13621
12094,8601
7738,8171
13435,9003
13910,14234
7680,7661
11923,3955
7732,7094
7352,8031
9886,11568
2216,12285
11288,4195
12973,1883
10586,8999
9893,12024
13660,13597
6385,5022
11280,12065
9565,9852
6428,8756
11931,2233
8055,7525
13134,2147
11486,7756
9186,9389
7123,3655
13349,2714
6050,6597
10757,10383
10538,2354
12880,3302
6385,5012
4706,3850
11123,1949
1086,465
8662,8065
9827,8858
7275,6863
1999,3519
12094,11412
7175,7654
7299,6763
8916,6244
7014,3952
4852,7167
14124,6011
6843,4558
3372,2522
6599,4820
8134,6615
6739,7130
11734,10046
8382,7511
8387,10076
2560,11586
1522,9307
13216,7404
4887,8693
12640,13293
6719,7257
11362,7086
7766,7912
12065,3071
10012,10615
9734,12203
7167,9872
8665,12549
13411,8389
8181,7924
8788,10510
8867,6068
6257,9894
7373,6080
8818,8068
7791,8298
9638,9482
8427,4853
13498,3474
8100,10337
7059,12522
9935,10375
12254,11766
7864,7546
6528,6704
1941,11809
8050,5034
13421,14097
4828,6930
6541,6989
7594,7750
8848,9715
9797,11146
11609,7851
6271,8173
10314,10524
11454,11393
12504,5809
12742,13784
6842,13944
11134,1900
12366,5205
4747,12606
12856,2309
8633,5756
7577,2960
8093,3515
4233,4900
8050,7306
12407,7263
11424,11031
2909,2500
6866,7486
8584,8024
3407,3736
3824,5919
6122,5810
521,1905
7056,7334
6092,6135
7683,7148
6055,6565
8945,5919
6624,4561
3140,6995
5438,6269
7672,8508
7122,4976
4208,9348
9230,9304
12914,6894
5224,10506
9958,9667
9996,9020
7369,6010
8032,6659
3506,3953
7801,2172
7154,4571
1791,1132
7220,6946
7104,6273
3811,9772
8777,8017
10776,4698
10024,5279
13860,8174
8536,8253
6057,7269
7640,6977
8527,6719
7837,8037
8334,6482
7036,6944
6975,7447
1869,11422
3836,9378
7084,4554
7632,7269
7880,7485
6940,6765
1575,7031
13768,3295
1735,10504
2204,880
4820,5571
4558,2587
2366,5128
9582,11604
10966,4300
7217,7315
4187,9399
5731,5807
12734,9359
10423,10263
8694,10804
8459,8878
11720,8126
1710,2720
4588,4610
7538,7303
3352,5123
4702,9476
8172,8381
7117,6740
6949,6578
7927,7958
10487,7829
12081,1840
11164,4429
3236,2048
9546,7113
6429,9282
7278,6784
8761,7946
8822,9932
7849,8187
8380,6890
4801,5370
4749,9348
7461,9918
5534,5304
6086,5996
2312,2802
2040,1490
6348,6654
3136,8255
8729,4732
12162,1933
3903,5043
5512,6094
7253,7666
6090,6215
7516,7037
1120,12305
8236,6822
7580,8360
7203,12607
13568,4797
1163,2931
7112,8940
6144,7157
6532,7130
9746,6373
13697,13568
9255,11204
13925,9553
7864,7815
6690,9555
7235,7178
7581,7169
8157,5458
1005,6701
4618,672
7214,7128
11180,1722
1026,9002
7687,946
8216,8073
8569,8523
8596,6274
9264,9059
8326,8161
6626,6409
5365,1147
3925,1452
7875,7522
13239,5909
13080,5039
3762,11583
11771,10012
9272,9171
11203,1591
8331,6421
5441,4850
731,1312
7445,6742
6971,7134
7520,9862
8956,5434
5554,5085
4822,6821
11200,8402
5744,8442
5853,6231
5178,5362
3940,4132
5359,7657
11498,3150
2238,5521
6023,6244
9426,5546
4054,13236
6619,6900
5938,6202
9093,9271
8403,7848
6242,7265
10723,1903
7307,7939
2226,1561
7079,6929
11940,11602
6731,7105
12063,7672
