x,y
8331,6830
7297,13419
6543,7020
10205,2273
13621,3553
11630,1556
9354,8735
9164,5665
9367,10041
4622,738
8180,3483
3742,9289
4708,12440
2350,9870
11331,7651
10445,7774
1785,13103
13104,2090
10010,8729
9794,9493
8897,4293
7494,13803
11858,12924
6211,8300
3577,13389
3200,9268
13352,4000
5706,1310
3907,3487
1751,5493
8080,7922
8757,8523
8536,11302
8528,12946
13179,7317
12620,6006
11243,7062
5374,10256
11498,7108
10452,11806
6592,9996
4352,4377
12072,1277
6537,7155
4604,7227
7986,7075
10268,5778
8046,10477
8393,2632
11788,10947
4791,8102
12404,2026
2381,12491
11016,997
11506,6309
8454,9813
1486,11191
5823,6641
5258,2234
4398,5974
13573,3399
7839,7991
3997,13444
1136,11475
13480,3863
11996,5016
11774,5655
13400,7379
9745,10288
13514,7620
10718,10631
12239,7995
12168,10869
13246,12426
10575,3039
9660,3300
2564,13525
11571,3681
10066,5700
11549,6533
11957,1725
3211,7760
3349,6878
9801,7215
3512,8789
6264,6334
11607,1772
4948,10514
9444,7151
9993,8953
7661,5062
10589,10842
12153,2185
6161,4701
7436,3977
8646,8487
4250,11701
8592,8608
8868,9678
10164,9809
4970,12421
3356,8366
8309,6743
8441,7564
4853,4583
6375,11111
13363,11044
5887,5262
9936,1286
13095,4966
4722,7395
9981,6683
10167,7680
9707,4482
8115,7734
8835,8273
7414,6809
3835,13350
8382,10023
12224,8429
10142,13984
11453,12598
9436,11549
5723,5121
12521,3058
9660,5921
1410,4429
8111,5058
5892,6622
5641,5480
7790,8260
5848,8952
3786,9570
11340,3664
9206,5798
10058,5369
14072,5846
13959,9621
12652,12526
10190,11122
10533,1548
9195,7399
2841,8300
9980,4838
3695,3237
2870,3370
6335,4842
5582,5642
3275,11768
5155,10274
5880,4244
9038,8751
5360,3040
3470,2181
10245,5572
5798,8888
7886,8170
10822,7208
1606,6842
9000,5815
6478,1179
9063,7592
3157,7647
12206,1698
9955,838
4822,5350
4720,4145
6180,5054
2411,7234
898,726
8588,4689
8395,2174
5106,8466
8914,9352
4858,9476
4118,12384
8924,3832
1242,631
13272,9095
10096,1723
12576,5146
1799,4045
3406,4243
5964,5647
4524,1624
1207,9534
2294,9507
1146,11467
12393,6030
12062,11592
7868,12367
6210,9058
1667,9560
8699,7482
13496,10616
10335,1710
3021,12684
8372,8792
7538,8646
7209,7692
8006,10127
13622,8605
1623,13015
13206,13825
10066,7219
7770,1054
6666,775
8259,6588
6710,3043
8620,6288
1942,12607
8593,4643
10174,8136
7102,1248
6090,7278
10750,4490
1443,9920
11975,13926
2206,13230
3506,9743
11160,7589
6658,7518
1190,10426
8403,6344
12336,1449
4622,6529
6808,4845
3868,3703
5513,9324
12273,1883
1763,7481
4515,6123
4282,4488
8882,5978
11512,4522
10080,5202
8326,1104
1385,9384
6553,2724
6821,5588
4161,2419
3980,3771
2642,1165
9326,9834
13115,3453
8732,6058
13256,5969
6179,10751
9848,5572
6800,9446
6598,4734
10176,4920
3486,8452
1696,12300
12700,2674
929,8102
8142,2203
6849,7244
6711,6594
6074,7186
7476,2891
4727,4816
4448,1661
6424,9247
7996,9284
8164,10826
2590,13168
4741,13919
9072,3768
9152,7287
6914,7521
8138,1114
1725,4448
6609,9517
9945,11304
12110,11922
13015,5402
7634,6143
9836,5456
11307,6061
9576,9208
4836,8725
13608,8278
12963,5088
2360,9338
7731,7380
9994,10220
5652,5590
8926,5784
4987,12303
6191,5018
1266,9179
3260,3543
3426,11091
8905,8139
11914,4945
9804,14114
13838,7281
10088,13364
7530,12385
7743,6885
2126,7598
7081,4048
8018,5427
5685,5952
11090,1064
7791,7474
9409,14113
2050,9119
9108,6437
9532,9192
5339,1334
9227,5427
2648,5960
3231,7450
10039,4522
5532,11325
9034,9301
10330,7952
9757,10295
10490,10385
9319,11472
2318,12213
5474,11524
9676,5296
1567,3989
7218,4764
7533,7016
9197,3813
5713,8572
6496,4668
6782,4100
5008,10562
8616,6520
13077,5409
5415,7830
7546,5952
6913,6804
2278,2350
10180,4613
7086,9447
10417,3063
3471,10674
9195,8774
9081,7241
1002,7814
5833,12613
5730,4967
2891,5827
4374,2062
3480,1576
11281,3486
13197,6445
3638,1433
3564,3820
10160,5731
13687,6337
12068,9736
12183,9672
8554,12588
11402,12239
2489,8715
12406,12381
3575,13789
6603,6567
1402,7856
6808,7128
4790,8114
5832,10429
13997,5594
11242,13215
10045,6673
10790,9843
7745,9991
13815,6690
6928,14064
8038,5160
5708,6028
5013,1492
13618,3044
12400,4727
5230,5541
7597,10079
6964,10891
9577,4559
3534,2486
12382,1299
11867,7613
8978,7270
11765,10897
6146,12417
8576,8370
12838,5394
7836,5997
11194,1005
7628,8105
9076,8358
4820,5602
12380,7387
7953,10083
13124,12132
3519,13168
7856,6533
10078,4727
8175,10222
5637,5321
4767,10519
7733,2230
4590,6850
4682,10344
1035,7597
8553,9608
3556,10762
6774,6753
2712,6132
12352,1758
4810,917
2156,1160
6469,6542
8253,8749
10172,9566
12272,14153
14276,14068
8897,4702
13635,3891
5990,9268
8991,11276
2796,9848
12092,7047
7713,5795
9216,13757
12579,9818
10221,14126
3161,7468
3592,9814
11931,7145
2795,3432
1580,3291
2795,7298
7764,13520
6334,9231
2448,12966
10062,9911
10113,7393
9779,9522
4676,11692
11361,4117
8261,5695
6297,11190
3204,10798
9611,3258
8643,8356
8072,8708
8491,6611
3113,7448
8508,6564
2796,6352
4125,9589
1226,11386
2869,4569
1009,797
10566,8908
9890,9731
6386,12596
7310,7435
4868,10240
6868,12513
9889,4302
13686,11064
14111,13139
9594,9156
8984,3464
9892,1538
3520,9322
10658,7672
11772,9949
3519,2422
3012,7072
8575,8966
6938,7284
7524,7380
1675,9899
12421,2791
9870,10997
6066,12568
11466,1441
8192,3177
10732,10514
6262,7334
8862,3483
13123,10321
2762,9920
10481,12687
8602,8757
10202,2634
1358,11951
4142,13319
4572,7409
1552,8429
5893,5232
7995,8229
6968,4791
7876,7744
10392,4942
6850,7405
13074,7498
9392,1604
13720,4244
10357,2220
8228,5822
5336,6026
2981,10236
10915,2248
4096,4172
8714,8676
7768,877
1975,1783
3760,11315
10623,1558
6911,7433
8685,5177
7906,13853
4053,4049
1743,4531
10160,849
7402,7145
7587,6923
7737,5010
13116,2175
9452,9660
7642,8780
6016,5886
9746,11083
10754,3257
10334,9854
6639,9382
6171,8636
9191,2297
9032,7339
4134,1693
4060,1312
3869,7248
3504,8678
13523,3746
11800,7266
3608,2970
1410,6440
13161,2600
12634,5474
7442,7401
7277,7983
10730,5572
9852,5394
11285,9875
2898,9207
8508,7498
12466,1581
13214,7969
9833,9906
10597,10422
10485,12292
12781,3240
12528,4889
8525,3553
3133,7561
9132,4063
8883,8302
7029,7710
11965,3862
6488,6439
6218,2338
11799,11587
7581,10114
2702,7622
11970,11484
8666,8138
13690,5206
8173,8762
4680,13558
10859,8829
10333,10780
3531,7268
9908,8896
6092,5194
6731,7505
10671,2818
9470,4417
9208,3361
6644,3135
1120,6306
6801,7477
6862,3984
11822,1515
8012,12360
11262,5720
2678,13384
2349,5101
4299,4758
9368,5715
9204,2004
9988,6802
7320,13558
9045,8684
9096,8572
6474,9930
6207,11323
10928,10196
11661,8395
12743,12006
2669,6486
7834,8325
975,11164
1080,11087
5683,8575
989,10833
6218,4853
8948,3798
2059,1262
864,10833
2309,13002
1082,10249
9657,1596
5413,7795
7713,7952
8167,5308
6536,4697
8749,6455
1313,3794
6074,3378
5007,4598
13343,3777
7073,6453
