x,y
5054,6113
5666,5120
7339,5027
6138,6369
12579,2720
3124,13202
10987,2018
6667,7894
3243,8803
9221,5524
11254,5972
13774,3479
4108,13074
6661,1436
6146,4071
4962,5537
2121,7528
7059,13848
2998,4998
3984,10137
3148,13646
10921,4450
12652,2016
11596,1309
10063,6715
2376,8866
12189,10518
8432,8716
4034,13535
3496,13007
11178,1874
4015,10456
1072,11328
13398,4720
7972,9306
10601,5720
7312,9728
8882,4999
8205,3202
7314,4628
3419,9945
6449,8680
10912,4942
8969,11398
2701,12940
1474,11920
8267,7137
11137,5781
11708,7210
13854,13434
1564,11474
2360,12400
12177,1304
10812,7618
11862,7284
12128,8284
5037,5268
1885,12970
7497,7535
5448,12585
12443,2282
13080,3365
11832,5371
9439,13511
9250,9504
7768,13575
5182,12451
1778,10229
6622,8244
12176,6524
12933,2375
4935,10404
4837,5149
9440,1533
8339,6145
1146,6028
4612,9274
3073,1301
6488,8562
9507,1690
10224,881
1331,9611
2578,12998
11790,1126
11937,1366
8281,10217
1064,12257
4190,13318
13267,3555
13747,3054
9888,6395
2552,12426
6955,8064
12931,7377
9572,10088
13777,13090
10282,10531
9402,13642
13086,13909
1436,11233
11004,1004
1439,7142
8722,6708
13303,5923
10432,10298
3955,13271
2749,3702
6766,6890
13922,3408
10870,10956
12842,14340
8818,6065
9437,5653
1383,5067
8424,3724
8674,4212
11537,3928
10137,8357
9589,4790
1583,7269
7186,6741
3170,3892
8634,8438
2969,13423
4611,9548
3850,11148
8601,12689
8836,1125
10388,7887
5120,9414
7832,8556
2164,12832
10532,11122
812,10808
3838,9386
10825,1330
3641,3179
2728,3306
1871,12356
3078,11275
5949,7424
7594,11922
14123,6622
5060,3705
5616,1395
1141,7590
11641,4248
8188,8358
8624,8518
10178,9679
11814,2358
10474,3094
9450,6148
13528,6571
13200,10812
7256,6696
8082,8253
5596,9116
4535,9203
11422,7547
5625,6033
9157,8561
11110,1543
6082,2063
8560,2193
4806,8902
8691,10192
12110,1859
6765,4858
5057,5180
4477,14049
2562,1572
1818,7565
2371,11772
13537,3177
8688,3786
7977,7320
5942,6022
5746,8438
13551,3647
13726,2942
13330,4375
13749,5827
8682,6106
10103,8752
13734,7830
13778,11792
10542,13395
1984,11476
11747,5488
1245,7811
2085,11912
6267,9927
2010,7576
9860,6462
12482,5807
12187,11022
5055,11585
6653,8560
8070,8454
11846,9362
1410,11832
13490,2752
11507,1822
6762,6938
7369,7761
11681,5978
11996,5106
8505,9835
13608,13366
14064,4400
9166,11145
1053,8563
6788,6217
13629,3767
8140,7524
10139,10101
12554,2499
9518,6342
8559,6312
5096,8791
4918,8931
2176,12565
13577,4432
12273,1267
10344,6797
7827,1376
9826,11037
1312,9882
6773,7239
6327,6386
10405,7728
9373,1508
2064,4431
4862,13954
12293,2426
5268,9295
6410,6242
854,10937
10009,4674
6036,10899
7378,3832
5374,12806
835,10464
5252,3159
3562,4234
8222,8556
8445,8016
4458,9906
5914,10114
4983,9314
8851,7964
2727,13056
8696,5562
3727,8282
6224,6437
5920,5605
3239,8394
1492,3422
801,10265
13490,2763
13312,4122
6892,2982
5121,10807
13963,6818
8301,7410
9680,1744
7840,8372
11450,1948
2023,3828
8574,1476
3307,4083
7015,6263
8282,11687
3678,4119
11114,1708
10996,3734
7991,8370
6068,3772
5336,5610
13240,14323
12184,2289
8491,8606
10401,10223
10788,858
10342,1478
13544,7220
14116,11556
2018,13223
11578,13307
2730,5013
8412,7561
2475,7200
2529,12357
792,8150
7029,3895
9399,13254
11637,2016
2032,9760
8974,8871
4025,4646
8605,850
2755,6594
8611,8552
7892,7792
4364,14036
1758,11884
11871,3737
8890,4784
7624,1726
4812,842
4261,1797
9124,6356
13229,3484
11903,3874
4845,8505
3490,11208
3237,11336
6402,6946
9569,4577
998,10833
7184,5265
6636,6168
4637,4256
4834,4200
4568,2698
4465,3129
740,7416
1369,5276
3061,2175
12402,3040
4618,7650
2281,11959
13774,6545
5479,8793
6911,7940
6522,8519
7052,9982
6622,7366
8772,2234
3836,13023
3753,12980
7227,7717
6235,10355
8170,11741
5840,5480
2891,5827
778,2346
1156,7027
7248,13504
13246,6656
3300,966
3876,3744
8011,7976
13206,10126
11469,4426
11298,10095
11577,12322
12511,12705
3426,13439
13412,2852
